nama,rating,isi_review
purnamadiyah,,
Gun Putra,,"Lumayan komplit, tempat nyaman,  pemandunya keren,"
ally ndarie,,
D Chanel,,
ummu abqory,,"Rekomendasi tempat wisata keluarga, banyak pilihan permainan, cocok untuk acara gathering dan outbound, tersedia kolam renang, restoran, dan toko roti yang enak murah"
Dwi Lasni,,
Rafni Putri,,Bagus banget. suka deh. Apalagi roti dari amanah. Nagihin bangettt.. Nyesel cuma beli 1 😭 …
tya widi,,Oke... Bagus sekali
Yayuk Lestari,,
birrul walidain pro,,"Kenal amanah sejak 2008 nan semakin berkembang layanan dan fasilitas, bagus buat rombongan skala besar kalo yang mau private kurang cocok. Layanan kebanyakan utk skala over 100.Lokasi walau di jalan arteri cukup strategis."
Dimad Prakoso,,
Mid Hope,,
Kenzo putra Naufal Abiyyu,,
Mirzha Arista,,"Harganya murah dan tempatnya nyaman. Kamarnya ada yang pake AC, ada yang hanya fan. Tapi kamar yang pakai fan pun sudah cukup karena memang tempatnya sudah dingin. …"
Latiful Alif,,"Maaf mau tanya
Rencananya di bulan Mei anak saya ada acara dari sekolah outbound disini. Semisalnya saya mendampingi anak saya menggunakan motor sendiri dikenakan biaya masuk berapa kak 🙏 …"
wibowo chanel,,
Muhammad Misbakh Munir,,Pernah disini
Mas Basuki,,"Aman, nyaman, pelayanan bagus
Makan malam bisa di antar di depan kamar"
Naira Zurra,,"Tempatnya sangat nyaman , karyawannya ramah2 sekali
Sukses terus buat amanah"
hurika Widjojosastro,,"Fasilitasnya lengkap, dan ternyata bisa buat family atau perorangan juga ya , menu ada nusantara ada juga western dengan harga terjangkau dan cita rasa yang nikmat …"
Ikhsan Prastya,,Tempatnya nyaman
Citra,,Bagus
kreativitas tanpa batas,,
Agrowisata Amanah,,Pelayanan bagus dan fasilitas lengkap
Marwedhi Nurratyo,,staycation murmer. Peak season ngga sampe 400k udah tmsk waterboom + sarapan + outdoor activities
Nur Subekti,,"Sangat recommend. Bersih, luas, nyaman, lengkap, ramah, dan masih banyak lagi.."
nur hayati,,
Adhitya Dk,,
Abdur Rachman Yusuf,,"Tempat makannya cukup oke, tapi untuk bukber sepertinya masih perlu perbaikan pelayanan."
nuri afian,,"makananya enak,timusnya ngangenin"
Damar Susi,,
yusuf ismaya,,"Tempatnya sangat luas
Hotel ada
Wisata anak dan dewasa
Outbond
Ninja warior anak ada
Flying fox
Peternakan ada
Petik sayuran
Refting atau telusur sungai
Makanan 8,5/10
Roti ready
Kolam renang ada sekitar 5 titik
Parkiran sangat luas bis masuk"
DIAH ADIBA LUBIS,,"Pelayanan dan penyajian makanan lama
Sudah tanya 3x tak ada respon
Komplen ke dapur baru ada respon
Mengecewakaannnn"
diwan wahyudi,,
Berkah Muharrom,,Nyaman Sejuk dan Cocok untuk menikmati suasana lereng gunung
Rintan Wibawa,,"Outbond terseru di Amanah Agrowisata. Fun Gamesnya Banyak, Para pemandu outbond nya seru, lucu dan sangat ramah. Menu sarapan soto desa dan makan siang aneka lalapan ikan hasil tangkapan sendiri juga memuaskan enak serta mengenyangkan. …"
Neysha Andira,,jajak pendapat yang buruk
Dani Kurniawan,,Alhamdulillah kunjungan tk al hidayah mranggen menyenangkan
Thalita Hasna,,"udah nunggu lama di tempat tubing nya 3 jam an lebih, malah di suruh ganti ke flying fox."
marwa munawaroh,,"Sudah berkali kali kesini nganterin murid murid outbond,
Seruuu bangetttt dan gak ada bosennyaaa... Tempatnya bersih nyaman
Plus bisa main air sepuasnya hihi"
Tegar Pahlawan,,bagus untuk anak outing class
Dania Enterprise,,"Terimakasih atas kunjungan dan reviewnya. Mohon maaf atas ketidaknyamanan saat berkunjung ke agrowisata amanah. Kami sangat membutuhkan masukan dari pengunjung2 kami agar bisa lebih optimal dalam memberikan pelayanan pada konsumen,  jika … Lainnya"
izal ifka,,"Untuk pemula kurang recommended, yg di sajikan g sesuai dengan harganya, mahal tp dikit , rasa juga standar biasa aja, kebersihan tempat makan juga biasa. Semoga bisa menjadi bahan evaluasi manajemen. Eman2 udah besar dan terkenal juga restonya."
Asda,,"Agro Wisata Menyejukkan Mata
Hasil Pethakilan :
1. Tempat luas, banyak spot2 wahana. Gari milih suka yang mana. Mauoutbond …"
eko sudarsono,,
muadz mahmudi,,"Pada dasarnya wajar d hotel2 ada acara
Tapi karna ruang pertemuannya terbuka jadi suaranya mengganggu ke penginapan
Apalagi saya bawa bayi …"
Arief Aryadi,,"Fasilitas yg lengkap, semua usia bisa. Hanya perlu diperhatikan posisi aula untuk kegiatan manula."
setiyanto OT,,"Tempatnya sejuk dan pemandangannya indah, cocok buat berbagai acara, pagi hari banyak yang outbound dari berbagai sekolah dan kantor - kantor..."
Ulumuddin Cahyadi Yunus,,"Tempat outbound yang recommended, best lah.
Tempatnya luas banget, banyak spot kegiatan outbound.
Buat tim kerja, wajib ke sini biar timnya makin solid. …"
indar prabowo,,
Astin Bachruddin,,
Bella Hogantara,,
Fandy Smith,,
Ratna Widiasmara,,"Pendamping outbondnya ramah, n responsif bgt"
Alena Gamma Novita,,
rizky safitri,,
Fatimah R,,"Untuk harga menurut saya relatif mahal. Berenang 25rb per org, untuk makan nya maaf kurang enak karna pesan kakap bakar tp gak berasa bumbu nya plus ikan nya keliatan masih putih2 gitu kurang bgt bumbu nya. Untuk nasi goreng nya juga biasa …"
Enrique de Malacca,,"kalo kesini gak nginep, gak outbond, cuma mampir utk makan aja itu kena tiket masuk berapa ya?"
Daniel Prasetyo,,Direkomendasikan untuk keluarga
Hudawi Channel,,Semalam penuh sensasi dan kenangan. Menyenangkan bisa jalan2 juga ke farm dan lihat hewan2 peliharaannya. Sayang ga boleh masuk ke bakerynya
Yoga Ardi,,
Yudho Paripurno,,
ika nurhayati,,"Keseruan yang menguras tenaga, tapi menyenangkan untuk pengalaman anak belajar di alam"
Rini Susilowaty,,Rapi bersih dan cocok untuk bertamasya banyak permainan edukatif
Dhea Jati,,"Terimakasih atas kunjungan dan reviewnya. Mohon maaf atas ketidaknyamanan saat berkunjung ke agrowisata amanah. Kami sangat membutuhkan masukan dari pengunjung2 kami agar bisa lebih optimal dalam memberikan pelayanan pada konsumen,  jika … Lainnya"
Laila Ollsop,,
Lietha Acmasia24,,"Tempat wisata untuk anak-anak ,tempat edukasi ,, dari di ajarkan cara pembuatan roti , hewan2 seperti kelinci ,sapi,kambing ,wahana outbond .. dan dipandu sama kakak2 pemandu yang super sabar nghadapin anak-anak .."
Suparni Enni,,"Anak2 happy,acara outbond bareng2 SD.."
Sabta Rahasti,,
kunti agung,,"Pernah outbond disini seru. Baru minggu ini kesana lagi nginep. Pas tidur pakai selimut, tau2 paha saya gatal bentol bentol. Karena tidak terlalu dingin, jadi pasti bukan karena dingin. Dan saya tidak alergi dingin.Mungkin bisa dikontrol lg kebersihan nya. Terimakasih"
Hanifah Prasetyo,,
Anom Ari Nugroho,,
tri sawali,,
Iftah Afthoni,,
endang setyowati,,tempat seru untuk outbound..sayang hari ini hujan deras dan kita yang 50+ gamang untuk berbasah basahan 😘 …
Sunita Jeni,,"Overall semua nya bagus, ramah, pokok nya best, kurangnya cuma 1 di bagian restonya, nunggu makan sampe 30menit, sekalinya datang makanan dulu, makanan habis, minumnya gak Dateng"" sampe komplain 3x jawabannya sebentar"" terus"
Najwa Mama,,Keren bisa melepas penat
Riu Kaey,,"Seru menyenangkan dengan berbagai wahana permainan ketangkasan individu maupun kekompakan tim, dari yang kering dan basah basahan."
anggi Resa,,
Lexi's Mom,,
Sri Widada,,
Oktareza Hermawan,,
azizah,,"Bagus, tempatnya luas dan bersih, kakak² pemandunya ramah dan game²nya menyenangkan."
Noctizen,,
Devi Fitri Nursanti,,"Ke sini cuma' mampir beli oleh² roti tawar telurnya. Rasa roti tawar telur meses kejunya enak dan lembut, manisnya juga pas, dan nggak eneg. Selain itu harganya juga terjangkau."
Aldrin Satria,,"pelayanannya bagus, baik pelayanan resto maupun outbondnya"
Fandi Binuko,,
rizki perdana,,"Tempat yang cocok untuk menikmati wisata di Karanganyar bersama keluarga. Kamar harga sangat terjangkau, dan berbagai pilihan kegiatan outbound."
Bayuiran Bayu,,
totok suyanto,,"Nyaman dan aman,petugas juga ramah2,bikin betah deeh"
Agung Kurniawan,,
Siswiyanti Wahyu,,Tempat yg baik utk edukasi  dan outbond
Dwi Setiyawan,,"Agrowisata amanah bisa resto, penginapan, outbond,tempat yang luas bersih rekomendasi untuk wisata keluarga besar"
Akhmad Dahlani,,"Outbound nya seru², pemandunya juga seru. Makanan juga enak.
Ke sini bersama keluarga besar yayasan Qurrota A'yun Ponorogo"
Pungkas Ari,,
Yesi Nisnawati,,"Hari ini, Kamis 24 Oktober 2024 SD Muhammadiyah Rabbani Klaten mengunjungi agrowisata amanah, disana pelayanan bagus, bersih, dan tertata rapih."
