nama,rating,isi_review
Gunung Harjanto,5,Okelah
Mas Ivan,5,
Ika Widayati,4,"Tempatnya bagus, tp tidak sempat petik jambu. Ada welcome drink (es krim jambu merah), ada berbagai macam  oleh² (ada tester makanannya)"
Tika Tri,5,Terimakasih kak
ika fatimah8,5,"ini nih enak banget buat ngadem,arisan atay reunian krn makanan bisa request sesuai selera tp suasanya tenaaangg ijo mewah. juara!!"
Ratna Jufri,5,Cocok untuk edukasi ke anak². Harga terjangkau.
heri nia,5,"Terimakasih kak,sehat selalu dan semakin sukses"
Regina Safrida Safamaura,4,"bisa petik buah jamu secara langsung sepuasnya, oiya pas masuk jga dapet es krim jambu, tempatnya jga adem, gak cuma jadi wisata tapi ada edukasi mengenai budidaya jambu sampai pemasaran dan dibuat berbagai macam olahan"
Widodo budi Santoso,5,Terimakasih kak
Giyanto Gareng,4,"Tempat luas, asri nyaman buat acara bersama"
ali alwi,5,"tempat bersih, nyaman"
alfiyah immawati,4,"Bersih ,  cocok utk kegiatan  outdoor sambil petik jambu.
Harga terjangkau yang pastinya. 👍 …"
irfan beibeeh,5,"Sejuk, tempatnya tertata rapi. Jambunya besar besar dan manis. Cobain ke sini sama keluarga cocok"
Aris Agustiana,5,Terimakasih kak
Slamet Winarno,5,Terimakasih kak
Tyas Rahmawati,5,"mantap pak, temen saya jadi doyan jambu"
Hafidha Paramita,5,"Jambunya enak, temen saya makannya sampe domblong"
Atikha Arista,5,"Mantep pak, temen saya ampe betah main ayunan ga mau pulang"
Annisa Hidayah,5,"Mantep pak, temen saya seneng bisa manjat2"
Arifa Isti,5,"Mantep pak, ayunannya enak"
Anita Maharani,5,Terimakasih kak
Anang Fu'ad,5,"Tempatnya bersih, masuk 5rb per orang sudah gratis es krim serta petik dan makan jambu di kebun sepuasnya. Gratis icip2 olahan jambu pula. Worth it banget sih dengan harga segitu. Untuk jambu yang di bawa pulang bayar ya per kilo jambu …"
elang advertising,5,"Tempatnya luas dan nyaman untuk acara acara komunitas, asri dan sejuk"
SITI SYAMSIYAH,4,Terimakasih Bapak & ibu kami tnggu kedtngnya kembali 🙏🏻 …
Ario Bagas,5,Alami
Kakaika Ka,5,"Wajib diagendakan wisata petik jambu disini
Tempatnya enak..bikin gk mau pulang😁 parkir gampang..makanan juga enak
Pemiliknya ramah..welcome banget
Next pasti kesana lagi..thanks mas aris n team …"
Sugito Sugito,5,"Terimakasih ,kami tunggu kedatangnya lagi"
lucky ariyani,5,"bagus, para penduduk dikaryakan untuk mengelola daerahnya, dan menarik karna ada seorang tuna wicara yg juga dikerjakan, semoga semakin banyak kreatifitas untuk pengelolaaan produk daerah berikut... sukses yaaa 💪💪💪 …"
Wiwin kusaeri,3,Tempat nya sangat bagus
mia rustanti,5,"Tempat strategis bersih & asri
Tiket masuk hanya 5rb FREE es krim jambu merah
jambu merah @5rb/kg bisa petik sdri di kebunnya jambu kristal @15/kg"
ma_ nt,5,Bagus
Didik wahyudi,3,"Kira2 disini bisa beli trus di bawa pulang nggak ya, beli banyak, 5kg?"
Tri Handoyo,5,Alami.jambunya seger.bisa petik sendiri
Aan Yudha,5,Yg mau petik jambu merah bisa kesini
Riya wahyu,3,"Terima kasih kak
Kami tnggu kedtngnya kembali"
toni wae wes,4,Agrowisata mantap
Ghufron Ismail,5,Hebat
Didin Ari H,5,"Ada jambu kristal & jambu merah...
Ada toilet dan mushola.."
Joko Joko,3,Gak ada yg jualan jajanaan utk ank2..musti bw jajanan dr rmh
Eko Priyono,5,🙏 …
Fajar Maulana,5,Puas sekali pelayanan
Fahri ef,5,Mantabbbbb
Den Joko Aj,3,Memberi pengalaman edukasi ttg perkebunan jambu..
Nasywa NandiraK,5,
Haryo Sas,5,
