nama,rating,isi_review
Diva Z.A,5,"Pertama kali kesini,tempatnya asri banget. Cocok buat mengademkan pikiran. Banyak jajanan enak juga (dimsum recommended). Untuk harga tiket masuk,worth it lah ya sudah include terapi ikan,berenang dll."
Fakhrudin Yahya,5,
riza fitria sartika Sari,5,
Wahyu Prihatiningsih,5,"Tempatnya bagus banget masyaallah, sejuk, banyak gazebonya, toilet bersih, mushola tersedia, banyak stand jajanan bahkan kafe
Kemah di sini 3 hari berasa lagi di rumah (wonosobo), alias sama-sama di kaki gunung, segerrr"
Bolodh Madee,5,Cocok buat healing bareng family
Api Yanto,5,
Indra Irawanto,5,
Martinus Triyanto,5,
Yasir 87,5,"Bagus buat keluarga, tiket masuk murah"
Yeyen Restiana,5,"Nyaman
Bisa untuk meeting, arisan keluarga, acara halal bihalal dan lain2 karena luas,, …"
Enik Sersi,5,
Tukino Hadi,4,Tempat ini cocok utk liburan keluarga  tempatnya bersih dan adem
Yeyen Yeyen,4,
dhanang teylow,5,"nyaman ,makanan murah enek"
Sovia Nur K,5,
Sindu Ernanto,5,tempat wisata murah meriah
Tyono 22,4,
ben21,5,
Abi Abizar,3,Wahana outbon cafe dan resto ada tubingnya
Bowo Ardianto,5,Konsep menyatu dengan alam terasa banget di sini. Luas banget. Bisa mengeksplore sudut-sudutnya untuk berbagai kegiatan. Sekedar wisata jalan-jalan mengajak keluarga bisa berkeliling di sini. Mau ngecamp atau outbond juga bisa. Fasilitas …
Munasalma Hanifah,5,Saya siswa kelas 6 dari SDN singopuran 03 mengucapkan terimakasih sudah memberikan pelayanan yang baik dan saya dan teman² SDN singopuran 03 sangat senang bisa berkunjung ke Kampoeng karet saya harap saya dan teman² SDN singopuran 03 bisa berkunjung kembali ke Kampoeng karet
Ibnu Hasim,4,
Andri Untara,5,
Joko Sriyanto,5,"Dari dulu gua pecinta alam dan ketenangan..Tempatnya sejuk asri..kerendah pokok nya...
Saran..Tambahkan kolam pemancingan. Biar tambah rame..👍 …"
rahma wahyunindya,5,
A_H,5,
Boni Kusanto,4,
Nolik Sulasno,5,
surya apri,4,"suasana asri  ,  nyaman menenangkan
banyak kicauan burung.
udara segar."
Endang Widyowati,5,"Luar biasa nyaman untuk acara keluarga,hanting sama teman,pacar,tempatnya yg luas bagus"
lasmi prameswari,5,
Shogi Johan Wahyudi,5,Kampung yang diremehkan
ratna_hera,5,"Tempat rekreasi keluarga yang recomended. Area bermain anak sangat luas. Ada berkuda, atv, taman kelinci, kolam ikan dan terapi ikan. ada juga wahana bermain anak seperti kolam renang, ayunan, trampolin, playground. Disediakan juga gazebo …"
Syahrul azhari,5,
Maritza Widiastuti,5,"Teduh banget tempatnyaa, kamaar mandi bersih, mushola mayan bersih, mukena aga kurang nyaman digunakan, tempat playgroundnya bagusss luas banget, terapi ikannya oke banget"
Tree Deacfe,5,Sangat indah & sejuk udara p'gunugan
KENDRICK JOVANOZKIE,5,
Mirna Callysta,5,"Nyaman,adem makanan nya enak2 pokok nya recommended buat liburan bersama keluarga tersayang"
Eko Polokarto,5,
Agro Kampoeng Karet,5,Tempat sejuk alami cocok untuk anak dan keluarga
kampoeng karet TV,5,Tempat nyaman untuk keluarga
Heru Heru,5,wisata kampung karet tempatnya nyaman buat referensi keluraga....
Eko,5,Kampoeng karet mantap.buat camping.audbond.pertemuan rapat.komplit deh
Tari Ayuni,5,"Tempatnya luas,
Cocok banget buat anak"" bermain, banyak wahana dan tentunya banyak ilmu yang didapat. …"
Budi Hartanto,5,"Bagus
cantik
merekomendasikan"
Doyo Suparno,5,
Joko Bapak,5,
Handoyo 44,5,
Kembar Kembar02,5,"Tempatnya sejuk,nyaman,Pelayanan ramah dan gercap."
Dewo Alas,5,Tempatnya oke... Adem. Cocok untuk liburan sekeluarga
Sudar Darno,5,Di go reonian mantap
Carsono,5,
Maulana Ibrohim Fajjri,5,Mantappp....recomended area....
Andi Haryanto,5,"Nyaman,asri,sejuk 💙💙
Recommended …"
Sutomo Salatiga,5,
Hesti Prihartanto,5,
Putut Batujamus,3,
Dicky Adriansyah,5,
Yoga Pratama Mulya,5,Tempat outbondnya keren 🍀 …
Amir Husin H,5,
Joko Purnomo,4,
BuAri Suwarni,5,Alhamdulillah..senang ...dsana .tempatnya sejuk nyaman...area luas .oleh oleh hrga terjangkau dan rasa juga mantap
Chatrin p.u,5,
Novi Rianawati,5,"Tempatnya bgs bwt outbond anak"" Tk & paud & traner nya ramah"".. ksh pelatihan outbond anak"" sbr,..👍👍 …"
Abdul Rumi,5,Mantapp
Nanas Merah2,5,
Astro GotNoRizz (AstroGotNoRizz),4,
SUPRIYADI JONDHY,5,Menyesap
Azza Liya,5,"Baru pertama datang kesini ,suasana sangat menenangkan"
Argatia Desi,5,"Menyenangkan sekali.. Nyampe sini pas ujan, kita sarapan dl lanjut main game² sama pemandu outbond ada mas wahyu, mb nani, mb bety sama mas dilan ramah² orangnya seru jg game² nya. Anak² habis outbond lanjut flaying fox. Semoga masih diberi kesehatan dan kesempatan bisa berkunjung ke kampoeng karet lg🤗🤗 …"
Hafizh,5,
TRI NB.,5,"Suasana sejuk, pepohonan rindang, petugas ramah."
M Zaini,5,
Nabilah,5,"Nyaman buat keluarga atau lembaga pendidikan dan sejenisnya yang hendak mengadakan outbound di lokasi perkebunan karet yang asri, hijau, sejuk dan nyaman. Tentunya dengan aneka game edukatif, disediakan juga menu masakan variatif yang memanjakan lidah para pengunjung.😉😊 …"
anik tri fathonah,4,
Mita FArida,1,"Untuk kegiatan outbound, susah ditawar."
muh sarwani wolezs,5,"Keren, dingin sekali."
NoEr,5,"Kampoeng karet suasana adem, ada bbrp wr kopi, 1 saja minusnya : nyuamuknya luar biasaah"
Rizqialip_ Prasetyo,5,
Dani Ramdani,5,Dingin waktu camping di sini
sar tono,5,
aditya fajar,5,
faturrahman ghozali,5,
