nama,rating,isi_review
Saiful Ramadhan,3,
Hery Domas,5,keremnnn sekaliiiii
Lailatul Badriyah,4,Lumayan untuk wisata sekelas pedesaan
Dwi Yulianto,2,tidak terawat
Opi Sugianto,5,
Slamet Widodo,1,
ayumi amay,5,"Tamannya luas untuk acara 200 orang lebih tetap longgar
Bersih dan nyaman. Ada kolam renang dan bs gambar jadi anak tidak bosa"
Surya Herlambang,5,Tempatnya indah
Ahmad Fahrudin,5,Tempat cocok buat nyantai ngopi..ada kolam renang untuk anak..ada tempat karaoke ada macam macam tananaman
Hesti Arnes,1,
Anak kampung,5,"Lumayan,"
sahidun sahidun,5,Kami adalah owner agro sejahtera mandiri yg terletak di desa geneng sari rt08 bagor miri sragen
Ervin Yoga Pratama,4,"Taman kecil yang cukup untuk menyejukkan pikiran dari penat, ada kolam renang buat kids juga"
Chubby Andra,5,
Nafeeza Nafeeza,5,
Helga permana,4,Lumayan
Fandi Ardyan,4,Suasana Adem
KHAYLA MY CHENAL,5,Walapun Rumah Ku Agak Deket Tapi Enjoy Kesini Bayar Murah Kakak kakaknya ramah spot foto bagus jajanan banyak bawa anak kecil dijamin happy 😁 besok mau kesitu …
Rejo Sasongko,2,Sangat senang
Muhammad Isdhiyanto,4,Lumayan
nur aziz,5,
KABITA RUJAK LOTIS GEMOLONG,4,"Tambah indah dengan musim buah nya  terutama buah markisa nyah,Asri ,rindang, nyaman"
Hima Qoiriyah,5,Seru sekali jika di agro
Husnun Lina,5,"sejuk dan banyak tempat berteduh, saya datang nya siang tp alhamdulilah ga kepanasan karena banyak tempat berteduh"
Salma,5,"Kolam renangnya bersih. Cocok untuk tempat nongkrong keluarga, rindang dan banyak spot foto alam."
Mifta Rahma,4,
Dwi Susanti,5,"Sebenarnya bagus, cuma pas ke sana tempat pas agak kurang bersih"
Muhammad Najib,5,
Nur Wahid,4,Cukup menyenangkan buat refresing tingkatkan pelayanannya.dan perawatan fasilitasnya...
Bagus Lutfi,5,
rifai saga anugrah,5,"Tempat wisata yang cukup luas . Cocok untuk edukasi dan bermain anak-anak . Terdapat taman bermain , kolam renang , kandang kelinci , berbagai wahana permainan seperti jungkat-jungkit , dan beberapa tempat spot foto yang menarik . Untuk …"
Aurel Natasya,5,Bagus
Nahid Dziddin,5,
M Choirul,5,
Dzaki al barri,5,mantuulllll...
Lagiyono,5,Agrowisata yg cocok banget buat anak2 dan buat nongkrong santai sambil menikmati cemilan Jamur dan usus krispy yg rasanya mantap dan nagih😍😍 …
Linggar Linggar,5,"Nyaman untuk bermain anak anak maupun dewasa, kolam renang nyaman untuk anak2, banyak gazebo dan tempat nongkrong."
Wulan Dari,5,Nyaman buat nongkrong asyik buat renang
titi triani,3,"Utk tempat sdh nyaman utk rekreasi keluarga, utk kuliner mgkn lbh ditingkatkan utk menunya, utk spot foto sdh bgs.trmksh"
Widianto Agus,5,Tempat luas dan nyaman untuk nongkrong dan mainan anak anak. Full live musik. Semog sukses dan meramaikan miri dan sekitarnya.
KANG LILIK CHANEL,5,
jarot Slo,5,
Putro Slamet,5,
Topo Budi W.,5,"Wisata alam dan Out Bond,.
Sejuk Asri,.."
Rahmatun nazila,5,"Sangat indah, bisa lihat view gunung merbabu dan merapi, alam banget, bisa sekalian belajar tanam""an, pokoknya mantab deh"
Fahri Fahri,5,Sangat bagus untuk edukasi anak-anak
Sugeng Rma,5,Nyaman buat nyenengin anak
Etik Suyati,5,"Tempat luas,strategis dekat dengn kawasan New Kemukus,kolam renang ada dn bisa buat edukasi untuk klarga kita👍🤝Sukses Om Ja'far🤲🤝 …"
Dwi Ary yani,5,
Dhiajenk Inuk,5,Enak buat wisata keluarga tapi bawa makan sendiri terus sayurnya metik ditempat .😁 …
Beni Grabcar,5,
ADW putra,5,
Murtifah Poenya,4,
IXSANUDIN_ KaepciBCF,5,
Nanang St,5,Semoga semakin bagus lg.. Untuk santai sore bareng anak2
Kansa Wijaya,3,
