nama,rating,isi_review
Hanif Nur Kholis,5,
gita andika,5,
Nur Afifah Putri,4,Dulu sangat populer tapi sekarang mungkin kurang terawat
Eko Setiono,1,
Anna Ana bae,1,Ternyata sudah tutup lama
sriwasis Top,5,Lumayan ramai jadi tempat bermain
Nazla Ghifari,5,"Baru kmrn ke sondokoro, februari 2022,.  Tiket masuk 20k, free wahana di dalam ada 5 atau 6 kalo g salah yg bebas naik,. Kereta uap 10k, masih bayar sendiri didalam, kereta yg satunya 8k,. Didalam ada pertunjukan reyog juga pas hari …"
kenzie ario,4,
Sriyanto Imam,5,
Wildan Arfian,5,"cateringnya murah dan enak , paling cocok kalo buat acara acara keluarga ,teman,sekolah, kantor sampai acara² yang besar ...fiks jadi langganan"
Ubo Rampe,5,"Sepertinya Tutup sementara, semoga bbrapa tahun lagi dibuka kembali"
Nur Setyo,4,
Bagas super excited,5,"Peradaban pki,jelas sangat terbau kak"
Yant Subiyanto,4,"Tempat bagus utk belajar, wisata n kuliner"
Ana Tyowati,3,
Haha Hayuk,1,
Nur Janah,5,
Ardiwa Santoso,3,Liat kereta jadul
PJSI JAKSEL,1,Tutup
Didik Maryanto,3,"Tidak serapih dulu kala.
Banyak fasilitas rusak dan tidak berfungsi.
Hiburan sedikit dan itu itu saja. …"
Pras Setyo,1,"Jauh jauh dari Semarang , di maps buka,, sampai tempat tujuan malah tutup,,,😢😢😢 …"
SUKIYONO SUKIYONO,5,
Susilo Suryo Wibowo,5,
Dewi Purwanti,4,
Arifa An Nisa Syafara,5,Tempat yang nyaman buat belajar + bermain tentang pembuatan gula yg kita konsumsi setiap hari
dewi siwi Peni,5,
Bowo Ardianto,4,"Sebenarnya tempatnya asyik buat wisata keluarga. Murah biayanya, bisa mengajak semua anggota keluarga. Terutama anak-anak. Wisata edukasi alat transportasi zaman dulu : sepur. Tempatnya luas dan rindang. Semoga ada pembenahan dan pembangunan kembali. Sayang, tempat potensial seperti ini kalau terbengkalai."
Wahyu Ari Putranto,4,
master zaen,3,Minimal kasih wa lah min biar bisa minta info” nya
Dita Mayasari,5,
Diah Kusuma,5,info kontak cp yang bisa dihubungi utk rsv rombongan naik kereta uap ?
Devarz. Vz,5,
Shogi Johan Wahyudi,5,Njir penuh sejarah
nanta nanta,5,
Ace Kra,5,Wisata deket rumah
Alvian Hendra,5,
Fajar A.P,5,"Yang mau kesini saat liburan januari 2025, tolong ditahan dahulu. Karena tempat ini akan dibuka pada bulan februari. Dikarenakan sedang ada pergantian manajemen pengelola Wisata Sondokoro."
Ika Haryani,5,
Rendy Putra,5,Tempat favorit saya
Saptia Ryan,4,
Eny Widiyastuti,5,
Gita Santhika,5,"Ayo semangat sondokoro pasti bisa bangkit!!! krn cuma disini yang ada kereta jadulnya, dikembangkan dipromosikan semoga bisa kembali seperti sedia kala. Tempatnya pun luas dan rindang. …"
Teguh S Raharjo,5,sayangnya bangunan tidak terawat
Meydina Kaynastiti,4,Coba tempatnya di kelola lebih baik... Keren lo
Noto Kusumo,5,"Pasar malam di agrowisata sodokoro
Cukup asik dan menyenangkan bagi anak anak dan dewasa"
Aje Eswe,5,
Hamid Smartfren,5,
Sadur Adudu,5,
Vita Alifia,4,
Nur Hayati,5,
Tangguh Ridho,5,
Danang Harimukti,5,
Fathan Baru,3,Berwisata nya seru cuman spoor tebu harus mangkrak di tengah perbaikan semoga bisa hidup lagi
haikal kanaya,2,Tempatnya ga terawat mungkin karena jarangnya pengunjung yg datang jadi tidak ada alokasi dananya buat perawatan.pas datang sepi kereta sedang rusak.banyak nyamuk juga.
Putut Witanto,5,
Keizya Aqila,4,
aprilia futami,5,
Sugeng P sugpri,2,tutup
Ilham “Bendol”,5,
Ari Abi,1,"Sangat buruk. Tidak ada lagi di sana. Tidak ada kereta, tidak ada museum. Dikunjungi sekitar 7 tahun yang lalu dan itu luar biasa. Tidak ada yang bisa dilihat atau dilakukan sekarang."
shin asuka,2,
Lanjariwiji Astuti,4,
Asih Yuliawati,4,
Lala Manis,4,
Nanda Kholilnur,5,
Sugenk Riyadi,4,
Rina Putri,4,Tempatnya bagus
Ucrit_mom,4,"Lumayan asri tp utk wahana air kurang perawatan,"
muhammad iqbal bafaqih,5,Tempat yang bagus
chris dianto,5,
Mus Meong,5,mantap
denbei paijo,5,"gowes dari Cemani ke Sondokoro kayaknya cukup worth it 👍

serasa masuk ke nuansa atau dimensi yang beda waktu lihat beberapa peninggalan jadul (era kerajaan Mangkunegaran Solo) 👍 …"
Iin Gilang,5,
Docter Motor Ary Setyawan (Pak Docter),5,
praktikfisioterapisragen Salam Fisioterapi,5,Alhamdulillah
Muhammad Irfan Al Ghifari,5,"Ayo berkunjung ke Agrowisata Sondokoro, perkembangan dan kemajuan ini, tempatnya sejuk, rindang, luas, kalau mau Nostalgia ada Kereta Lokomotif Uap, Lokomotif Diesel, keliling Kompleks Pabrik Gula, semoga dapat tercapai atas kejayaan perkembangan di Pariwisata ini, terus Maju dan berkembang Sondokoro👍👍👍👍 …"
joko ristanto for youtube,5,
Sigit Pamungkas,5,Tempat bersejarah pembuatan gula
Sumi Ati,5,
David oficial,5,
Zulfan Ziaulhaq,5,Keren
Tyipo Hanafi,5,
n. wahhh,5,
Devhy N P,4,"Tempat kurang terawat.
Arena kolam anak yg didepan airnya kosong pdhl anak udah bawa baju renang mau main dikolam renangnya... Kereta jg gak jalan..."
Prayitno Amigoro,5,gas
Gonsaga Prasetya,1,Untuk sementara tutup karena pergantian pengelola
Mas Loemiyono,5,Punya mangkunegaran
Fxagus Sudarsono,5,Solosi kebersamaan keluarga.
Rusdiyanto Muhammad,5,
FRIMA DERY FERDIANSYAH,4,Deket
ardhie sundara,1,"sepi,jelek,kotor,kumuh gak terawat.banyak nyamuk.gak seperti dl"
Nika Aisyah,4,"Wisatanya seru, tapi sudah jarang dikunjungi. Akhirnya perawatannya juga gag maksimal"
sutiyani yn (yani),4,Sekarang sepi
Aris Kepis,5,
Giono Gio,5,
Yudhi 90,5,
Anom Ari,4,Bagus
ikutin arus,5,
Imam Yulianto,5,
MUHAMMAD ANWAR,5,Mampir Ngadem
Dwi Haryanto,5,
Nanang Erwanto,4,
Zain Fanani,3,Coba fokus pada maintenance/perawatan aset tapi biaya aset tidak murah. Income tiket tidak cukup harus ada uluran tangan pemerintah/swasta untuk wisata edukasi ini bertahan dan ada inovasi lain dalam hal pengelolaan aset yang sudah ada. …
Agus Purnomo,5,Tempat wisata iconic murah meriah .edukatif
JUST FOR FUN,4,
Nurul Ismawati,5,"Pengalaman naik kereta uap pertama kalinya, menyusuri bagian dalam melewati terowongan dan semak belukar terasa masuk ke dunia lain. Luar biasa👍 …"
