nama,rating,isi_review
Terma Wahyu,5,View nya bagus hanya untuk mencapai lokasi butuh perjuangan
Dayu Indah,5,saya minta maaf
topo chikal,4,seperti replika grojokan sewu
Azril Saputra,4,
Yarmani Soemitro,5,
Yanuar Bukhori,3,"Tiket 5K / Orang | Akses Ke Air Terjun Bisa Menggunakan Motor | Suasana Hawa Dingin & View Alam 👍 | Untuk Akses Jalan Beberapa Bagus & Ada Yang Masih Tanah Licin Ketika Ada Air Maupun Hujan, Sebelahnya Jurang & Rawan | Semoga Akses Jalan Diperbaiki 🙏 …"
Yusuf Fajar,5,"Tempatnya bagus,sejuk"
Kukuh Eko Prasetyo,5,Tempat yang bagus untuk terhubung dengan bumi
Rizki Bagus Setiawan,5,
Mustofa Kamal,5,
Byx's Asy'ari,5,"video 1 januari 2022
air terjun bagian utara
disarankan pakai kendaraan karna dari tempat masuk (loket) sampai atas jaraknya lumayan jauh."
Edo Pawi,5,
Gima Bimaputra,5,
Gunawan Creator,4,Cocok utk keluarga. Pasangan pacaran. Warung yg murah meriah diatas. Masakan enak. Punyanya pak sakun. Rekomendasi itungan harga nggak ngepruk.
wahyu saputra,5,"Kesana pas weekend,untuk ke air terjun utamanya harus jalan kaki dulu berapa ratus meter dulu.akhirnya mutusin buat yang terdekat.untuk akses jalanya termasuk mudah."
Putra Dito,3,Sudah pernah kesini tp lupa tahunnya...jalan ke airterjun Susah banget...tp terbalaskan dgn indahnya airterjun yg masih alami...
Imamdhana Prastika,5,
yoyok soba,5,
Zea Alfaris,4,Air terjun alami... Cocok buat pecinta wisata air terjun. Gak usah berharap lebih karna memang wisata alami
Nicko RAFI,5,
Tiyo Kamtiyono,5,"Jalannya masih relatif bagus dan mudah dijangkau dengan motor, ademmmm."
Ofi elKahuripan,5,
Eko Sudrajat,5,
Tri “Amy” Utami,5,Masih sangat alami dengan udara hutan yg segar.cocok untuk refreshing.ada warung juga jdi bisa istirahat makan dan minum setela perjalanan.
Nero aja,5,Air gunung nya sangat dingin
Rio Hanifa,4,
Linda -,5,"Suasananya tenang, nyaman dan sejuk. Jalanan naik turun berkelok tapi asyik karena pemandangan yang indah. Tersedia tenda yang disewakan dan tempat foto yang menarik."
Gembala Desa,5,
Naryo,3,
willy yoga46,4,Akses agak lumayan sulit karena jalannya sedikit rusak
Surya Adi,5,
Safitri Prima,5,"Tempat yang cocok untuk healing, relaksasi dan menepi menyendiri😁🤭  udara sejuk dan segar …"
Windarsih W,5,
Daryatmo Mamo,5,
Cain Highwind,5,
Vannn Vincent,5,Minggu full kabut
Agung Setiyawan,5,ayo ke girimanik...gassken
mul yadi,5,Yaman tempatnya
Retno Sari,5,Awasome untuk petualang. Airterjun di dlm hutan. Pemandangantengah hutan yg masyaAllah masih rimbun dan sepi.. Recomended
Toko Fian,4,Menyesap
Nanik Aja,5,
Bayu Aji,5,
Scritjh Dich,4,"Dari pintu gerbang ke parkirannya lumayan jauh (tapi bisa dilewati pake motor) dan dari parkiran ke air terjunnya agak jauh juga (cuma jalan setapak) , tapi itu semua terbayarkan waktu udah sampe ke air terjunnya, soalnya pemandangannya …"
clewo chennel,5,
Dyan Sunu Prakosa,5,
Anif Fanani,4,"Asyik, sejuk, nyaman dan alami"
Heylurz,4,"Lokasi air terjun masih jauh dari objek wisata, thanks!"
bayu andika,5,"Nyampeng adalah tempat perkemahan yang menyenangkan, tetapi sampahnya tidak dikumpulkan"
Mar Si,5,
David Wijaya,5,
Nabil Ali,4,"Air terjunnya lumayan tapi jalan menuju kesanya yang indah tapi jauh, saran : bawa motor hingga pos yang ada warungnya kalau mau jalan dari basecamp jauh bener gak recomended buat bumil bener"
Basari Sahri,5,Mencari apa yg di cari...
Rizq Putra,3,"2010 pertama kesana masih alami,  jalan setapak yg gak bisa buat jalan sebelahan ,  masih sering ketemu monyet & kadang ada lutung juga,
2017 jalan mulai lebar dikit bias buat jalan sebelahan, setelah jadi wisata mlah blm kesana lagi"
cahyani dwi h,5,bagus alami.
Firoh 2,5,"pemandanganya msh alami, udaranya dingin ,msh terasa segar,apalagi malam hari terasa hening,perlu di jaga maupun di lestarikan"
septian abdullah,5,Butuh perbaikan jalan
Akbar Suuryo,5,
adji riz,5,
Zero_ to_0,4,Wisata alam yang recommended
Tri Jati09,4,"Recommended untuk pecinta wisata alam,."
Pohon Kayu,3,Akses dari parkiran menuju air tejun manik moyo adalah sekitar 2km
Anton Bepe,5,
Adi Madia,3,Akses jln ke air terjunnya ngerii
Rochman Setiawane,5,keren...tempat yg pas untuk ngadem
Setyo Pribady Pribady P,5,Udaranya bagus dan sejuk
Agus Widarbo,5,"Klangenan,,, kulakan oksigen"
Bayu Aji Saputro,2,
Arif Setiawan,3,
iksan sanusi,5,"Udara segar. Tempat sangat tenang, aku suka kesini"
nana ayuratna,4,Untuk sampai ke lokasi air terjun bisa dg kendaraan pribadi atau berhenti ditempat parkir bawah lanjut pakai ojek lokal. Dan itu hanya sampai pada tempat parkir diatas. Kemudian masih lanjut jalan kaki untuk bisa sampai pada lokasi air …
Muhammad_ Sultan03,5,Sangat indah
epri eppio,4,"Terdapat lebih dari saty air terjun dan sendang dalam satu kawasan wisata..
Sayangnya.. berkunjung di hari kerja (selasa) dan agak sore, jadi gak sampai ke titik lokasi air terjun/sendang nya, hanya masuk di kawasannya aja.. …"
Feni Permata,3,
Bayu adv LG,5,"Suka sama update tmpat yg sekarang,"
Afdhol Basil,5,Medan ke tempat terjun cukup sempit karena masih jalan setapak. Usahakan bawa perbekalan cukup bila ingin menuju air terjun dan tetap jaga kebersihan. Jangan pergi ke air terjun saat sore hari karena saat malam akan tiba akan gelap sekali …
Immam Immo,5,
Wilis Siswanti,4,
Astana Kelinci (Kak Ranie),4,"Sepi tempatnya, jalan ke air terjun masih setapak"
abdul halim,5,Seru dan menyenangkan.....sayang jarak terdekat kelokasi 300 m ...... Yg 2000 m susah dicapai
Heri Sutrisno,5,seru deh pokoknya
Bymo Nusantoro,4,
Zhafira Rahma,4,"Sudah kesekian kali kesini sejuk indah sekali
Sayangnya terakhir berkunjung ada kandang ayam  dekat lokasi wisata jadi kurang nyaman"
Iswanto Wae,4,Mau k air terjun nya jauh bgt
Maulida Mslfh,3,keren
Lancar Jaya,5,Tempat e seh alami
Omar Yadi,5,
Dedi Rubihartanto,5,
Muhammad Rahdian,4,"Tempatnya bagus , minus jalannya yg belum mulus sampai lokasi.. ada ojek lokal dengan tarif yang  lumayan mahal ."
Kpz Prszley,5,
Danish Rayyan Septyanto,5,Banyak air terjun n rute berbeda2
rizal muh,5,
Khoiruddin _94,5,Wisata di Wonogiri yang ekonomis bagi semua kalangan dan disini kita di suguhkan pemandangan yang tersembunyi yaitu air terjun
Larasraras official,4,Tempatnya masih asri
Aprilia Ayu Pratama,5,"Lokasi air terjunnya masih jauh dari obyek wisata Girimanik, disarankan membawa motor/mobil untuk sampai Pos 1, akses jalan lumayan bagus walau agak curam dibeberapa tikungan. Area parkir di Pos 1 cukup luas dibanding obyek wisata di bawah …"
sugih anto,3,"Girimanik terletak di desa Setren dalam lingkup kec . Slogohimo.
Lokasi di lereng selatan gunung ""Lawu di utara berbatasan dengan kabupaten Magetan. …"
