nama,rating,isi_review
Putri Salsabila,5,
Rudi Gunawan,4,
Zia Tari,5,
Ayu Lestari (Ayulle),4,
Tri prastyo Nugroho,5,
Ana Septi Ana,5,
Ariesta Yogha Kurniawan,5,
Ratna Maya,5,
Lusi Ega Kristiani,5,
andriw dwi Yulianto,5,
Deal Baby,3,Liat2 doang karena ada pasar malam. Kalo hujan area tengahnya jadi beceeek
Natasha Vina Agustin,5,
Okto Catur,4,riuh... kang parkir di pasar gading bikin semrumet
Kashiful Preuner,5,Area bersih
Nahrulia Fitri,4,
Muhammad Yazid Zidan,3,
Catri Nyandra,5,
Eko Harsono,5,
YAZZ'ONLYME,5,
Arifin IR,5,
Rahmat Nugroho,5,Destinasi Wisata solo
Arif Gereh,5,
siti rohana,4,
Danny Wahyu Hidayat,5,
Hafidz Fuadi,4,
Silvy Mariyati,5,"sudah di renov jd makin rapi,, enak buat jogging , jajanan malam jg sudah di kios makin nyaman pas makan ga semrawut"
Maria Andari,5,
dewi novia saputri,5,"Alun2 yg skrg lbih indah.
Sangat nyaman buat olahraga lari2"
Muhammad Sulaiman,5,
Ciciologi,5,Kesini pas ada Sekaten. Serame itu dan penataan standnya rapi bangett.
Februar Barkah,5,"Alun-Alun Kidul Surakarta (Alkid) bukan sekadar taman biasa, melainkan ruang publik yang sarat nilai sejarah dan budaya sebagai bagian penting dari Keraton Kasunanan Surakarta sejak zaman kerajaan. Di dalamnya terdapat beberapa ikon unik …"
adilah hasna nur (αнη),3,
Andhu Bramastio,5,
Agustinus Tino,5,Keren banget karyawannya cantik cantik dan ramah ramah 😍😍😍 …
Chello d'concerto,4,
Andhika Bimaskoro,1,Tempar parkir motor dan mobil kok dijadikan 1 jd penuh.. hrs nya disendikan lah mobil dan motor parkir nya... Pas ad pasar malam gini parkir tidak tertata rapiii.. lebih bnyk motornyaa.. tukang parkirnya lebih milih motor lebih menguntungkan drpd mobil... Jd amburadul parkiranya
Neny Nirmalasari,5,
ILHAM SETYA NUR ANDIKA,5,
Dihyat Rifqi Erlangga,4,
Adam Khoir,5,"Alkid semakin bagus, selter baru lengkap harga tergolong murah, mantab, terus jaga keberishan dan lestari"
aditya kurniawan,5,
Handrian citra -Aan,5,Sekali aja mampir sini seru juga
Ali Yasin,4,Sepertinya tempat ini kurang perhatian dan gersang
Nicky Mega,5,
Wahyudin Aji,5,Bagus
Sunar To,5,
Ardian Guci,5,
Lintang,5,
Akhmalul Ni'mah,5,
Cicilia Andika,5,Selalu rame orang
Nugie Solo,4,
Sep Ty,5,Pasar mlm untuk yg menghindari area rame dteng pas mlm jumat apa mlm sbtu.bener2 bisa keliling sepuasnya😁 …
A S,5,
nopa andi,5,Oke
Rahmat Romadhon,5,
Ahmad Zulfa Sabrianto,5,
Wahyu Prihatiningsih,5,"Tempatnya luas, banyak stand jajanan, makanan, atau minuman. Bisa buat kumpul-kumpul dengan keluarga, rekan, atau sekadar menikmati suasana sendirian."
Devi Hida,5,
Agustina Nur Setyawati,5,"Luas, cakep karena kemarin ada pasar malam, ramai"
Masruri,4,Pasar Rakyat
Naufal Saja,5,Bagus sihh.. tapi banyak sampah
Trii sartini,5,
Heri Yanto,5,
Amin Maulana,4,
Zaenal Abidin,5,
Merlika Nur Oktafiaa,4,
savridaa putrii,4,semenjak diperbaiki lebih rame lebih bagus
Aprilia Fitriani,5,
Yona Fatwa Nur Annafig,5,
Amir udin _,4,"Tempat bersejarah karena ada keraton solo,pas ke sana ada hiburan pasar malam👍👍👍 …"
Satrio Bowo,5,
Fauzi Alifian Al-Fathoni,5,suasana di sana sangat ramai dan sejuk ketika malam hati dan orang² di sana cukup ramah serta banyak jajanan dan kuliner yang wajib di coba ketika mampir
Anis Choirunnisa,5,
Syaifudin udin,4,selter kuliner sdh tertata bagus
Nurfaqiyanti,5,
Purwo Channel,4,
Shavira Parasayu,5,
Ilma Putri Lathifah,3,"suka tempat ini karena bisa milih banyak jajanan, wahana dan permainan, ga suka nya kalau ada event sekaten atau pasar malam sampahnya bener bener berserakan baik itu di jalan, di tempat parkir, maupun dilapangan, mungkin karena kesadaran …"
Gatot Kaca,5,
Nicole Ayunda,5,
Teguh Wiweko Priyoaji,5,"Tempat nongkrong yg asik, banyak aneka macam  kuliner tersedia disini"
Fandyka,4,
Iksan Iksan,3,
Ida Diyana,5,
KEVIN ANDRIANO,5,
Aletha Nanda,5,
Joko Santoso,5,
Gedang Goreng,5,
Muhammad Lutfian akbar,5,
Santuy,5,kenangannya behh banyak
Musthafa Arip Isnandar,5,
muhammad zainuddin,5,
Bayu Irawan,5,
Hasti Sucini,4,"Area luas dan banyak yg jualan sokar, 🤩🤩 …"
Khayirin Nisa,5,
