nama,rating,isi_review
Putro Anggara Wibowo,5,lanjutan nginep dr assalam glamping dpt diskon😁 …
Tyo Armianto,5,"Sangat cocok untuk wisata bareng anak2, kebetulan menginap dihotel Allura Azana yang sangat dekat dengan lokasi wisata ini. Untuk per ons 10 rbu masih sangat recomended."
Nurul Istiqomah,5,"Tempatnya nyaman,mbak nya jg ramah banget
parkir luas sebelah masjid..😄 …"
Esa Shafatta,5,cocok bgt buat healing😍 kebunnya luas dan strawberry nya juga banyakk🥰🥰 ibuknya juga ramah bgtt bintang 5🤩 WAJIB KESINIII …
Marcella Dhika Aprilia,5,"kebunnya luass bgtt bgtt dann nyamannn, ada gazebonya jugakk buat santai. pelanyanannya super bintang 10000000 wajibb bgtt buat kesiniii!!!!"
Putra Ary Nugraha,5,"Kebunnya luas,
jadi puas metiknya ibu yang jaga baik banget"
Nurdiana Ita,4,Kesini pengen petik strawberi tapi belum ada stroberinya. Adapun cm 1 dan 2 buah aja . Terus beli deh dipasar tawangmangu malah ada yg jual .
Niko,4,"Lagi ga musim, buah jarang ada yg merah dan bagus kebanyakan putih atau busuk karena musim hujan. Nyusuri full kebun cuma dapet beberapa akhirnya menyerah untungnya ibunya yg jaga baik."
rofiatul hima,3,"Strawberry nya kecil2 bgt dan jarang ada. lg ga musim saat musim hujan. Kalau akses jalan mudah dilalui, tempatnya pinggir jalan"
wl,5,"Pelayanan sangat baik
Tempat nyaman dan pemandangan indah

Rekomendasi sekali"
Faqih Fida,5,Bisa metik strawbery dengan anak anak
Vinca Amalia,5,"Pengalaman seru untuk anak-anak, bisa memetik langsung strawberry. Lain kali mau berkunjung selain di musim hujan, karena banyak strawberry nya yang rusak"
Alya Audrey,5,"Tempatnya lumayan luas, banyak buah strawberry nya klo pas musim panen"
Ridho Hawkins,1,"Skip. Harga selangit, pelayanan sekarat."
Lika Munzaro,5,"Okee tempat luas..
Sayangnya kesini pas tidak musim panen, kata bapaknya yg jaga karna musim penghujan jd cuma sedikit stroberi nya... …"
Luthfia Martna,1,"MAHAL BANGETTT, 1 BUAH SERIBU, PADAHAL LAGI MUSIM HUJAN, STROBERI JUGA GA TERLALU SEGER, MAKAN DISANA JUGA TETEP DIHITUNG. RATE 1/10
MENDING BELI DI PEDAGANG KECIL 10K DAPET BANYAK, SEGER+GEDE2 PULA."
Fatimah Rizky25,5,
Umi Asih,5,"Kebetulan pas dapet yg asem aja 🤣, mungkin belum waktunya panen 👌😇😅❤️ …"
silvia pramesti,5,Pengalaman pertama petik buah strawberry hmm... Seneng 😍 …
tegar setiawan,5,"pemilik ramah, strowberry banyak yang bagus, suasananya nyaman.. cocok untuk anak-anak belajar memetik strowberry, tapi harus diawasi atau satu kebun bisa dipetik habis.."
Darra Utami,5,Suka sekali
Andi Sulistiyono,5,
Dedeh Hamidah,5,Ibu nya ramah
Lifia Rindiani,5,"Pengalaman memetik disini sangat asri, untuk harga disesuaikan dengan per 100gram untuk makan ditempat per bijinya 1000"
Rita Mussaroh,5,"Strawberry nya besar2, manis, masuknya free, parkir di halaman mushola 2k, strawberry bawa pulang hanya 10k/ons , ini murah banget termasuknya, kesini pas hari sabtu awal nya sepi pas dapet separo di serbu ama emak2 🤣 saking merah nya khilap sampe 1 kranjang , ibu penjaganya baikkkkk banget …"
Didik Cahyono,5,tenang
Rahmat Riyadi,5,Hamparan kebun stroberi yang luas. Bebas metik strobery sepuasnya. 1 ons = 10k. Makan ditempat perbiji 1k.
ALI_ ID,5,
Alfian Setya Nugraha,5,
Wilson Theodore,5,Kebun stroberinya bagus. Cocok untuk beraktivitas bersama keluarga. Recommended👍 …
Xiao Ecy,5,"Bagus sekali strawberry terawat, cocom untuk rekreasi, murah sekali"
Anna Biris,5,"Untuk Parkir mobilnya berada di masjid setelah kebun strawberry 🍓  nya. Kebunnya luas, pemiliknya juga ramah. Harga 10k/ons, hati2 jangan kalap, petik  banyak-banyak seperti saya 😁 …"
Karonina Group,5,Pemandangan bagus
Wahyu Toyota Solo,5,
Heri Syaiful,5,"Penjaga dan para petani sangat ramah, tempat rehat pas ada maajid jadi nggk kebingunangan pas mau sholat, nex time mampir lagi deh, berkah selalu"
Diajeng Rizkyana,5,
Edie Kumboro,5,Sangat membantu dalam perjalan
Mustofa Bustfin,5,"Kebun strawberry luas, view bagus, bebas petik..penjaganya ramah"
Afthoni 3313,5,
Lely Rahma,4,Tempatnya sejuk dan nyaman cocok untuk anak anak
Iftah Afthoni,5,
farid usman,5,
Anton Ton,5,Asik
Anisa Chairun,3,"Pinggir jalan raya, pas kesitu pas ngak musim kali ya,, harganya 10rb/ons"
bintang lawu519,1,Tdk  ramah sadis omonganya
Dua Putri,5,
Maulana Reza Pahlevi,5,
Fahim Abu Zhahirul Haq,5,Stawberrynya besar² dan manis
Andri Awan,5,"Alhamdulillah anak2 senang diajak ke sini. Kebun strawberrynya luas, jadi tdk takut kehabisan. Saking asyiknya metikin, tak terasa sdh dpt hampir 1kg tadi. Lanjut kami timbang dan cemilin di gazebonya, di tengah kebun. Ukuran strawberry nya jg banyak yg besar2 ya gess"
esori putra,5,
Aditya Ishananto,5,Petik buah strawberry.
Yena fatimatul,5,"Strawberrynya besar2 dan manis, tempatnya juga mudah ditemukan cukup ikuti maps saja. Harga per 100gr 10rb, masuknya free."
hauzani aviba,5,
Nurlinda Alfiannisa,4,"Kalau mau buah yg bagus dan masih banyak katanya datang pas hari kamis/jumat aja. Rasa strawberrynya manis cenderung asam menurutku, nggk ada htm tp minimal pembelian harus 2 ons, per ons 10k. Rata2 ukuran strawberrynya emang kecil-kecil tp kalau cuma butuh healing aku rasa tempat ini cocok."
Erin Mei,3,
Umi Nadliroh,5,Ah terlalu happy metikin buah strawberry sampai lupa foto. Next kalo ke tawangmangu bakalan mampir lagi . Best pokoknya
Ari Wibowo,4,"Nyaman suasannya, adem, pelayan ramah komunikatif, tempat parkir di masjid sebelahnya nyaman juga. Sekalian bisa melaksanakan sholat..."
Ria Rebekka zara (Ara),4,Tempatnya luas yaa jd lebih leluasa petik strawberry nyaa
Lisa Ariyanto,5,Tempatnya luas banget jadi bisa sesuka hati mau ambil stroberi di bagian mana. Boleh petik sembari makan di tempat dengan harga 1000/stroberi. Untuk 1 ons stroberi diberi harga 10000 dan bisa petik sendiri. Ada gazebo untuk makan stroberi …
Marfuah Nur Azizah,5,"Pelayanannya ramah, kebunnya luas, harganya murahhh"
Anis Septiana,5,"Tempat untuk petik strawberry sepuasnyaa, masuk ga pakai HTM , hanya harus beli hasil petiknya min 2 ons/org."
YATI SARI,1,
Joko Purwanto,4,Oke
Aya Ko,5,"Kebun luas, pemilik ramah sekali, buah banyak berbagai ukuran rasanya mantap 🤩 …"
amanda anastasya,5,"Cocok banget tempatnya, buahnya juga manis manis banget gede2 lagi"
Villa Assalam Sekipan Tawangmangu,5,"Tempatnya Deket masjid,cocok sambil istirahat setelah sholat keliling² panen strobery"
Feby Fitriani,4,"Experience metik Strawberry dikebun nya sih healing banget, manjaain mata. Buat masuk kebun ngak ada tiket masuk, kalau makan dikebon di inget-inget yah gaes because nanti pas udah nimbang Strawberry di hitung makan berapa biji dikebon, …"
Rahmadani Dian Fitriana,5,"Stawberry nya besar2, manis dan segar. Kalau mau petik strawberry disini aku saranin datang pagi. Soalnya kalau udah siang lumayan ramai"
Rahma aulia,5,
Adi Prasetyawan,5,"Tempatnya luas dan nyaman, strawberry nya manis dan besar2, viewnya gunung yang indah"
