nama,rating,isi_review
Agus Santoso,5,
JakaSembungBawaPeluit,5,
Mirza Mufazzal,5,
Banyumanik Jati,5,
Bayu,5,"Tempat peristirahatan  terakhir jenderal besar Alm Bp.  Soeharto & keluarga

Tempat yang  asri, bersih, nyaman , petugas dan tim baik & ramah
Terima kasih banyak Bp Kirno & Tim"
maryadi yadi,5,"Mantap presiden mantap, memikirkan rakyat nya"
wiwin setiabudi,5,bagus dan luas tempatnya. Saya tiba di Makam Astana giribangun menjelang buka puasa dan di temani hujan rintik rintik. suasane syahdu sepi dingin. Terdengar suara hewan hewan yg saling bersautan. Di sekitaran makam bersih dan terawat dan …
Indiis Waelah,4,
AZR Transindo,5,Alfateha buat Bapak Soeharto 🙏 …
Shogi Johan Wahyudi,5,Jenderal HM Soeharto
Dimas Surya,5,Itu keren
Wahudi Yaya 77,5,
Eko Purwanto,5,
Johannes,5,Tempat peristirahatan terakhir Presiden H.M. Soeharto yang asri dan luas walau sedikit terpencil di lereng Gunung Lawu. …
Samsul Arif,3,Tempat bersih bisa buat ziarah rombongan ...sebenarnya bagus semua hanya untuk penanganan jasa foto kurang sesuai ...saya niat bantu untuk jasa foto dengan membayar lumayan dengan harapan agar dapat file dikirim sesuai kesepakatan ....file …
Khatamul Mushlihin,5,"Oleh² terjangkau, pakaian @35k, 100k/3pcs boleh mix kaos,daster, setelan anak.
Ampyang/gula kacang 5k/2bungkus.
Sate ayam, sate kellinci, kopi murah tidak harga wisata. …"
Dyah Ayu K . D,1,"Tolong ya, yg kesitu hati2 kejebak sama tukang foto yg didalem gedung. Saya niatnya bantu malah kena scam , bilang harga 35 hasilnya nanti bisa dikirim ke hp , karena niat mo bantu larisin jasanya, akhirnya saya mau. Ternyata foto cuma 4 …"
Me Resign,1,"tolong pengurusnya, mengkondisikan tukang foto dalam gedung (makam pak soeharto). bilangnya jasa foto cuma 35 rb. disuruh beberapa kali foto (sama fotografernya) . tiba tiba dicetak 2 foto. …"
Helmi Ihsan,4,Makam presiden ke 2 Indonesia dan keluarganya
Mas Oby,5,"Bersama istri, ziarah ke kediamannya Keluarga Bapak presiden Indonesia ke-2 H. M Soeharto"
ferdi januariawan,5,Alhamdulillah bersyukur kepada Alloh atas jasa alm H.M. Soeharto yang telah membangun negara.
Muhammad Rosyid,5,"makamnya terawat, syahdu dan sejuk suasananya, ada masjidnya dan ada ruko penjual oleh oleh khas daerah setempat."
s a n,5,
june junaidi,5,Wisata Religi kota Solo
Hein Mulder,5,"Tempat yang indah dimana mantan presiden Soeharto dan seluruh keluarga Ibu Tien dimakamkan.
Apalagi di akhir pekan ramai dengan pengunjung yang penuh hormat.
Di luar kami dikejutkan dengan kunjungan sekelompok kera."
ABIZAR,5,
Sulaiman Qanuni2,5,Ziarah kesana sesudah jumatan.. 04-10-2024 dan ngangkring sebentar di sorngin ngisor ringin RINGIN SEMAR Alias Beringin Setahun Merdeka. Motoran sendiri lho. Perjalanan tuh cuaca kok mendung .. Alhamdulillah pulang juga masih mendung. …
Anan Anan,5,
tri yanta,5,Terima kasih
Najib Irfany,5,
Rifal Fernando,5,Terbaik
Susanto KM,5,"Ziarah kesini langsung kelokasi, pake kendaraan kecil, ngisi daftar kunjungan pelayan ramah isi kas seikhlasnya, ada jasa fotografer lgsung jd.."
IRHAM WIBOWO,5,Astana
Saryanto,5,
Tuainah entu,5,Alfatehah untuk Almarhum Bapak Presiden ke 2 H.Muhamad Sueharto dan Almarhumah ibu Tien Sueharto .
Ray Han,5,Tempat lokasi jauh
Gilang Mulya Ramadhan,5,
doni farisa,5,Suasana hening... Tenang
Sigit Mas,5,Telah lahir di jaman bapak presiden suharto
Bin Habib Foundation,5,
hisyam asnawi,4,"Makam presiden ke 2 Indonesia.. bertempat di sebuah perbukitan/ pegunungan.. parkir luas, retribusi per rombongan.. suasana adem ayem karena di pegunungan.."
akis okto,5,"Tempat makam bapak suharto dan ibu tien
Kawasan nya sejuk dingin sebenernya dari parkiran bus bisa naik ojek/colt tapi kalo jalan kaki lumayan menguras tenaga"
Fry Vreydinand,5,
Nz Studio,5,"Sumber : Chanel kampung Aswaja
Astana Giribangun berada di Desa Girilayu, Kecamatan Matesih Kabupaten karanganyar. Kompleks permakaman Soeharto ini berada di 40 km arah timur Kota Solo. …"
satria,1,
Dominikus Diliyanto,5,"Ziarah ke makam Bp. HM. Soeharto dan Bu Tien Soeharto sekaligus mengantar saudara datang untuk ziarah juga di Astana Giribangun, tempatnya sejuk; nyaman; dan pelayanannya ramah 🙏🙏 …"
April Sari,5,"Pengelolaannya sangat ramah dan baik, tempatnya asri dan bersih.."
Eka Nurfajrina Ramadhani,1,"Makam Soeharto
Presiden ke 2 republik Indonesia"
baby twins SS,5,
habib muntasir,4,
meita dhamayanti,5,"Pemakaman yang bersih, tapi toilet yang di parkiran udah waktunya di renovasi karna cukup kotor"
zarra kuswara,5,"Beda dengan makam Alm Ir Soekarno, di makam Alm Soeharto tidak terlalu ramai, bahkan saat weekend sekalipun, apa mungkin faktor wilayah yg agak masuk naik turun gunung kali ya. …"
Darmawan Wawan,1,"Satpam di lokasi makam yg badannya gemuk bawa tongkat sangat tidak ramah, bentak bentak rombongan peziarah."
I A M,5,Bismillah... Silaturahmi dateng pesarean mbah presiden soeharto....
Devi Nurafiana,5,
Yusril MAWJPR,5,"Komplek makam raja dan makan mantan presiden kedua Jenderal Besar Soeharto, pengelolanya sangat ramah"
Gatot Awaludin,5,
Yuni Sulanjari,4,Untuk kedua kali nya berkunjung ke tempat ini setelah 15 tahun dan masih tetap sama.Kompleks pemakaman ibu Tien dan pak Harto.Di pintu masuk kami diminta membayar 50k untuk 1 rombongan.Dan di dalam makam kami masih harus membayar infak …
Kg Wowon,5,"Khusus bagi yg serius spiritual lebih nyaman ketika di jam & sikon malam hari.
Cuma yg agak di sayangkan itu juru foto (lokal) yg terkesan memaksa dan sedikit byk aturan yg sedikit2...ga boleh...hadeh 😅 …"
gandhy prasetyawan,5,
M FAHMI MUNAWAR,5,"Tempat makam yang aksesnya udah bagus , ada musholla nya juga, dan suasanya adem tenang."
Ari Nugroho,5,"Tempat ini sangat ramah, tenang dan sejuk."
fathur rahman,5,"saya harus bisa ziarah ke makam bapak soeharto, suatu waktu saya pasti datang"
Erlan Ridho,5,
Kusumo Wardoyo Cahyo Nugroho,5,"Astana Giribangun dibangun pada tahun 1974 oleh Yayasan Mangadeg Surakarta dan diresmikan pada tahun 1976 dengan ditandai pemindahan sisa jenazah ayah Tien Soeharto, Soemaharjomo, dan kakak tertuanya, Siti Hartini Oudang. Bangunan makam ini mengadopsi bentuk joglo dengan gaya Surakarta beratap sirap."
Moh Nur SPd,5,
Wulan Suprapta,5,"Makam Presiden ke 2 RI..
Masuk lapor dulu nanti ada surat ijin ziarah..disini ada uang administrasi jumlahnya seikhlasnya...masuk per kelompok masing2..di dalam tidak diperkenankan …"
Sutrasno Trasno,1,
Firda Natasya K,4,"Saya kesini tahun 2008. Berfoto di makam Pak Harto bersama orang tua, paman, dan nenek saya. Namun, gambarnya tidak dapat ditemukan :("
Cici Sunengsih,5,
Wino To,4,
Ardset,5,Presiden ke 2 ❤️❤️❤️
hartono dj,4,Kompleks pemakaman yang menjadi tempat peristirahatan terakhir presiden RI ke-2 yaitu bpk Soeharto atau lebih dikenal sebagai pak Harto. …
Damasus N,5,"Terdapat tiga bagian cungkup di Astana Giribangun yakni Argosari, Argokembang, dan Argotuwuh. Satu bagian cungkup utama dan dua bagian cungkup lainnya merupakan calon makam yang diperuntukkan bagi keluarga dan para pengurus Yayasan …"
Slamet Fridinan,4,Mau kesana
Irwansyah Prihartono,1,Sangat tidak ramah !
karya adji jaya,5,"Agak bingung Juga entahlah....
Niat kita ziarah mendoakan mendiang bapak Soeharto beserta keluarga beliau.
Semoga tidak dikomersilkan oleh pihak pihak yang mencari keuntungan."
setya wardoyo,5,Tempat nyaman
Rinto Erwin Handoko,1,"Tempatnya lumayan bagus, yang saya kecewa juru kuncinya, rombongan keluarga 7 orang, gak direspon sama sekali, yg direspon rombongan banyak orang, disuruh kesana kesini, gak masuk² ke pemakaman, akhirnya pulang, kecewa banget"
Adek Yunita,5,Di buka untuk umum.. bayar tiket masuk.. di belakang ada yg jualan oleh oleh
Canggih Sastrawan,5,Tempat nyaman dan asri
Joko Tingkir,4,"Tempat makan presiden Soeharto, sekaligus tempat wisata yang indah"
zZZ Kedai Coffee,5,
Grosir Kemeja Pemalang (Antono),5,"Tempatnya sangat sejuk dan nyaman, bersih lagi"
MOHAMAD RACHMAD,5,Dingin lebar
Romlie Bukhori,4,Sejuk
Ade Setiyawan,5,
KELUARGA GOKIL CHANEL,5,Alhamdulillah dibisakan ziarah ke makam murid jadi sekaligus kesayangan Guru Agung Pangersa Abah Anom
Moe Hamzan,5,Oke
Sesi Bima,5,Terpesona menakjubkan sgt baik bangunan n penataannya. Selalu ingin datang mengunjunginya lagi... lagi... baru 2x dan setiap ada kesempatan In syaa Allah akan datang lagi sholat berdoa n beli souvenir juga *****
ilmukaton,4,"Klo masuk harus ijin dulu d pintu masuk, karena d d tanyakan ketika masuk area makam. Dan d dalam cungkup\rumah makam tdk d perkenankan foto pke hp atau kamera pribadi, harus sewa fotografer yg ad dsna.. kmrin ad 4 ekor, walau cm deal satu fotografer, yg lain tetep ikutan foto, dn sdh ketebak, bakal bayar bnyak cetakan foto.. 😩 …"
Agus Daryanto,2,Tempat  nya bersih dan sangat terawat dan di sambut dengan petugas yg baik dan ramah
Iklima Lintang,5,
Dickyn Kopler,5,
Rudy Maruta,3,👍👍👍 …
JAYUS TV,5,Enak untuk wisata religi
arif anaketelu,5,"Tempat ziarah untuk mengenang jasa salah satu pemimpin hebat pada masanya, sang Macan Asia"
