nama,rating,isi_review
malibrah,5,
Achmad Muchlison,5,Tempat bersejarah yang nyaman dan berkesan untuk dikunjungi saat berada di kota solo
"AllooH Continuum 1,618 Frequency Earth 61 power",5,
anjing galakcyber,4,Kalau malam sunyi ada suara sound tembang serat wedatomo. Tirakat di masjid nya cocok bgt untuk menenangkan diri
Husain_ Ali,5,
Destiana Cantika,5,"Makananya enak
Tempat bagus banget ala ala kpop k drama
tempat luas, ada mushola
Parkiran luas"
indrie maulia,5,
Ade Rahma Dyan,5,
Kushardi Widodo,5,di sana Anda dapat melacak siapa Anda. .
Alexa Chrisyabintang M,5,
Karim Jonosisworo,5,
Jaso Jangan Soto,5,"Makam dari pembaharu Pura Mangkunagaran. Walaupun agak tidak disukai oleh kerabat-kerabat Mangkunagaran pada masa kepemimpinannya karena kebijakannya yang melakukan penghematan. Walaupun begitu, tokoh ini cukup berjasa menyelamatkan …"
Yudha Widyantoro Prabowo,5,
Ady Leksono,4,"Tempat nepi yg nyaman... sejuk, sepi, dan ada masjidnya"
Herman Tri Handono,5,
masboy mn,4,Perlu perapihan dan pembenahan disisi timur atau atasnya bekas makam orang tua ibu Tien Suharto. Juga perbaikan tempat tinggal juru kuncinya.
Nirmana Adhelia,5,
Abrahambreee,5,Tempat bersejarah
Diena Nurhandayani,5,
Soesilo Wibowo,5,
Ivan Nisyar,5,Terawat dengan sangat baik
baha uddin,5,Tempat yang sangat bagus
Erlangga Bhakti,5,
Gembong Hadi Wibowo,5,
Rayandra Ray,5,Mengantar sahabat ziarah ke makam keluarganya
Dian Warasswita,5,
Isa Kira,5,
Antox Handariyanta,5,"Makam + tempat bersejarah...
👍 …"
K.K.,5,
Alan Walan Cantung,5,
aditya pradipta,5,
Lilin Kumala,5,
Triman Vespa,5,
Diaz Ananda,5,
john ann,5,Terawat dengan baik
Novan B,5,
Tammy Yonosoepoetro,5,
Pasha Naim,5,
Punto Dewantoro,5,
arif tuep asyikin,5,Yang Mulia Pangeran Adipati Arya Mangkunegara Vl dikenal sebagai Gusti Wali di masyarakat sekitar Aston Utara
susthira wimardhana,5,
