nama,rating,isi_review
antonius sidik,4,Destinasi wisata yg bagus...bisa memikmati panorama waduk gajah mungkur dari ketinggian ( landasan paralayang yg sudah aktif )
queen Slot,4,
Anna Risky,5,
Lanjar Istika,5,
Hendri Rizaldi,5,
Closed Doz,4,
Wahid Hino,5,Mereka
Aly Jt Eromoko,4,
purnomo Sidi,3,Lumayan buat out bond
Zulfikar Azaria,4,
nuning lintang,3,Bagus
Nur khafifah,5,
Dayon_89,5,Tempatny keren...............pokokny nyesel va mmpir
Adytya Nopriyanto,4,Bagus sihh..tapi ya gitu aja
Layang Senja,5,Tempat yang indah untuk rekreasi.
Triasmara,4,Lokasi menarik untuk menikmati olahraga paralayang.
Ardilla Carolina,5,
Wulan Puspita Sari,5,Bagus
Ireojimajebal,4,Ada baiknya jika Anda datang ke sini pada sore hari agar bisa melihat matahari terbenam
Amar Makruf,5,
purwandani h pinilihanse,5,
fatahanisa,5,
reza ajha,5,
Arie Official,5,
aym yt,4,Silir
joko triyanto,5,
Upiek Retno Wulandari,5,Josss mantul jummm
dhevaelectone 2210,4,
Khansa Rafisqy,5,Terkesima
Muhamad Fatoni,3,Tempatnya keren
Marwanta SPd,5,"Kalau berwisata ke Waduk Gajah Mungkur, lebih lengkapnya mampir juga di BUMDes Sendang Pinilih"
Gustav Subagio,5,Kreativitas pemanfaatan daerah tandus menjadi lokasi wisata...
RIAN ESA NUGRAHA,4,Pemandanga yang asri nan indah di pandang mata
John Gembul,4,
lydia nova,5,"WAJIB KESINI YA GENGS.
Apalagi untuk temen"" pencari konten terbaru. Letaknya berdekatan dengan waduk gajah mungkur. …"
Sugiarto,4,Tinggi menjulang....
Pesona Fragrance,5,Mantap buat gowes
Mahardhika Setyawan,5,Lumayan
Yunik Kasswari,4,Enak buat nyore.  Ada tempat buat latihan SIM.  Parkiran nyaman.  Toilet nyaman.
Rahseto Ardi,5,
Bukan Rahasia,5,"Tempat nya Bagus n pemandangan nya Bagus banget.. Sayang cuma bisa ke batu cenik gak bisa ke Puncak nya karna pakai mobil yang kurang sehat mesin nya..
Next kesana lagi.."
Magdalena Dewanti,5,Dari kejauhan terlihat panorama alam di Kota Wonogiri.... Serasa di puncak gunung.....👍😍 …
ILHAM N,3,
reni ekowati,3,
kristanto dwi,3,
Muhammad Ismail,4,
Koko,3,"Pemadangan bagus, sejuk, free wifi, cuman pedagang makanan agak nakal menaikan harga makanan nggak wajar"
Ary Ananta,5,
utami darma pertiwi,2,
Artika Dharmawati,5,
