nama,rating,isi_review
Dwirinto Widodo,5,
Yoris,5,Tempat wisata sejarah di kota surakarta solo..
Aprilyanto Pamungkas,5,
Etika Madhani,5,
Wisal Alyasani,5,"Benteng peninggalan jaman belanda, bangunanya masih cukup terawat."
Shodiq Fakrudin,5,
Daud Tejo,5,Parkir saat CFD
Nayla Radiya Salsabil,5,Tempatnya nyaman
Ifan Hamzah Fansuri,5,"Pertama kali ke surakarta thn 2013, karena ada kerjaan dan lumayan lama dsana sekitar 6 bulan"
febi faradilla sari,4,
AW Tour & Travel Organizer Malang,5,
Daibonjinn1 SA,1,Pintu masuknya terkunci dan saya tidak bisa masuk ke dalam.
ikhsan arrahman,3,Tidak terawat dengan baik namun tetap menarik
Putu Wisnu,5,
mas ilul,5,Menakjubkan untuk dikunjungi
Dedy E.S,4,Mendingan liat dari foto google aja
Risky Pramudya,5,
selvy savitri,4,
Bowo Ardianto,5,"Menurut catatan sejarah, benteng Vastenburg didirikan pada tahun 1775 sampai 1779 oleh Gubernur Jenderal Baron Van Imhoff. Benteng Vastenburg mulanya bernama Fort De Grootmoedigheid. Kata Vastenburg sendiri mempunyai arti istana yang …"
Izzan Zubair,5,
Aprilia Prasasti,5,
Khafid Ansori,5,
Adhy Himura,5,
Ira Meliani,4,"Benteng bersejarah yang indah peninggalan Belanda . Bangunan nya kokoh masih terlihat bagus .

Kebersihan nya saja yang perlu ditingkatkan,sampah daun bertebaran ,perlu lebih banyak tempat sampah agar wisatawan tidak buang sampah sembarangan.

Sebagai wisatawan yang baik dan bijak mari kita sama sama jaga dan rawat kita lestarikan peninggalan bersejarah ini"
Wisnu Budi P,3,"Bangunannya kurang terawat.
Berkunjung ke sini hari Rabu 09 April 2025"
Nur Diyanta,3,
Atut adin Suparji,5,
Iman Budianto,4,"Tempat wisata Benteng Belanda, mengingatkan saya pada Fort Van den Bosch di Ngawi. Sayangnya benteng ini kurang di rawat, berbeda dengan di Ngawi yang jauh lebih terpelihara dengan baik. Di benteng ini kita tidak bisa masuk, hanya dibuka …"
Hera Dyah Fatmawati,5,"Benteng peninggalan belanda yg masih terjaga keasliannya, masih kokoh dan kuat. Kemaren dateng H+4 lebaran, tanya2 sama pedagang asongan disekitar benteng katanya tutup, bukanya pas ada event aja. …"
iwan ton idayat,5,Tempat bersejarah kota solo
Fitrah Rizki,4,
KidsTalent Fam,1,
Ryo Juara,5,"Parkiran luas, sering kesini terutama momen SBS/ Solo Bersama Selamanya"
Koori Sugawara,5,
Den Marga,4,
Yudi Ari,5,Tempat nya penuh misteri
azim dhiansetyo,5,
eko supriyanto,5,
Musyaffa 'izzul haq,5,
Hastono Setyaji,5,
victor Solo,5,Bagus tempat nya nyaman buat nyantai
hollynation,1,mahalnyo
polo chandra napit,4,
