nama,rating,isi_review
eko Cimenk (Eko),5,
dodo widodo,5,
Aninda Rahmawati,5,
Muhammad Rassid,5,inspirasi awal mendaki gunung di Indonesia
Muba servisce,5,
IAn GIE,5,
Yuri lawasan yuri,5,
S H W K 2007 ツ,5,"Bukit Jonambang dulunya dijadikan tempat wisata dan sempat ramai di tahun 2018–2020. Namun kondisi sekarang di tahun 2023, tempat wisata Bukit Jonambang sudah tidak terawat lagi, banyak replika-replika seperti Perahu dan Pesawat yang …"
Agus Bambang H,4,Oke
Safrudin Copa,5,saat ini terlihat kurang perawatan.....
Liza amanda,4,
irfan bayu,4,
sapto megosari,4,"Ternyata ada yg d keramatkan jg d sini
.mbah jonambang"
Jovita Tungga D. K,3,"Cm suka suasana nya, spot foto udh pada rusak"
Timotius Patma Ardi Pamungkas,1,Pengiriman buruk
Sigit Purnama,5,
Risma Dewi,2,terlihat sudah tidak terawat
Arma Kenwo,5,
Heru Purwanto,2,
Kurniasari Alifta R,5,
sidik hastanto,5,
karmin winarta,5,"empatnya lumayan buar refreshing,.."
Otong Siksakubur,3,"Cocok untuk acara santai keluarga, rekomended juga bagi yang suka funcamp.
Fasilitas toilet dan musola sudah di sediakan oengelola dan akses ke lokasi mudah"
Tantra Bayurini,5,"View keren, tinggal pengelola-nya aja pinter-pinter bikin spot yang oke dan kebersihan bisa lebih dijaga"
Cahyo Cahyo,3,Cukup bagus..
Andi Moeryatno (Aan),5,Recomended.... Hiburan ala Hobbit... 😄😆 …
Dwi Setyawati,3,Gak terawat sekarang
Dwi Christanti,4,
Muhammad azis Pratama,3,
Wian 93,3,Pemandangan yang indah...
Zahra Sabrina,4,Tempat yang bagus
Pirda Sentod,5,
catur priyo,5,"Nice place to see sunset from the top of baturetno. Pemandangane sae, tempat lumayan bersih walaupun tidak seramai dulu
Destinasi bagus untuk sekedar gowes pagi atau sore bersama teman teman."
Fx Saryanto,5,
Bodat Birong,5,Sudah di renov
GHALIB DWI R,4,Suasana lumayan.sayang dah tak terawat
nur huda,3,
Adi Wicaksono,5,Kenyamanan yang baik di dekat Rodok
Titin Kristini,5,"Tempatnya asri, sejuk, dekat dari rumah.
Gak nyangka tempat gembala waktu kecil jadi tempat rekreasi. Terima kasih untuk pemuda2 disekitarnya atas semua waktu dan tenaganya demi kemajuan di bukit Jonambang"
Waahid Nur Cahyo,5,
