nama,rating,isi_review
Aji Tri Laksono,4,
Heru Kusnadi,4,
Shanti Sejati,4,
Momo Toro,3,
Goenawan Revano,5,"Banyak pilihan perawatan mobil.
Teamnya ramah, enak buat berkomunikasi"
Rangga Jatmika S,3,lumayan
yulyul kembar,5,
diek jabreak,4,
Dian Ernawati,5,
Hendra Baskara,1,Sayang sudah tidak terurus dan tutup.
Suyanto Antok,1,
Ahonxx 04,2,Sekarang tempatnya kurang bersih..banyak rumput2 tinggi..kapan dikelola kembali ini?
Bani Salendra,2,"Kesini maret 2022
Objek wisata ini sudah kurang terurus dengan baik
Tidak ada penjaga loket dan fasilitas umum sudah rusak dan rumput liar tumbuh …"
Hadi Wiyanto,5,
Ary Tunggul Patung Fiberglass,5,
Ahli sumur bor klaten Aan,4,Jasa sumur bor
kak naufal,5,
Khusni Mubarok,5,bagus tempat nya
widya ningrum,5,Masih dalam perbaikan. Tapi tempatnya asri
Azka Aqil,4,
Betran Ariyanto,4,
Suharto Cahkerjo,4,Bukit yg masih asri...
Joko Nuryanto,5,
Sumaryanta Yanta,4,Pilihn untuk berwisata
Deni Sholeh,5,
Hasna,3,
Albert Purwadhy Permana,5,Sayangnya tempat sudah tidak beroperasi lagi
Joko Riyanto,3,"Tempat pemakam umum, ada tokoh jaman dahulu kala dimakamkan di sekitar bukit pertapa"
Rosyid Haryanto,5,
Dhany Aprianto,5,
Adien Tsaqif,5,Bagus
Faiz Faiz,3,Kurang terawat
Agus Santosa,5,"Lokasinya sangat indah...., bagus buat selfi2..., bikin kangen"
Karlisa P,5,
Tri Wahyudi,3,Cukup kyakny msih kurang perawatan
MARGIKERIS,5,"Destinasi wisata alam yang bersejarah,kental dengan nuansa religius.
Eko Wisata yang terletak pegunungan / perbukitan di desa Kebon, Kecamatan Bayat, Kabupaten Klaten ini layak dijadikan destinasi wisata yang terrekomendasi. …"
Eni Purwanti,5,terbaik
kabar klaten,5,Spot Baru di Bayat
AGHA MOTOR,5,Udaranya dingin kawan😀👍 …
kristoforus Adi,2,kurang menarik
Surya Buana Katulistiwa,5,
Niswatun Aulia,5,
CungkringNSTR,5,
Nur Dianingsih,3,
wahyu sibank,4,
Nathanael Rudita,5,
Saka Wahyu,3,
Hari Dewanti,5,"Bukit pertapan adalah tempat wisata alam dengan berbagai fasilitas ada taman bunga, area gardu pandang, area kemah, spot-spot foto, dan area makan. Di bagian atas juga ada sebuah petilasan. Bukit pertapan juga mempunyai keunikan dengan …"
aregoes nnzz,5,menyesap
Adinda Nurhayati,5,
Aisya Isnaini,5,
katharina widyastuti,5,
Trick Hartono,4,
Fathur Stars,5,Masih perlu perawatan yg lebih
Ray A. Harsana,2,"Menarik, tapi nanjaknya bikin capek."
abadi ahmad,4,Lomba melukis batik tingkat kab. Klaten
BINTANG TERANG,5,
gilang photografy,5,Spot baru di klaten
debog bosog,2,
MDzaky K,4,
Diazfachreza Putra710,3,Tempat yang kini lagi hits dan sebagai destinasi wisata baru di bayat
surya apri,4,kebetulan rumah mantan saya ada di bawah bukit pertapan.   melihat rumahnya mantan yg lg goreng jamur
hangky W hanggoro,5,
MebeL adihary,5,Salah satu destinasi wisata di daerah Bayat
Julians Love,5,"Bagus view nya
Instragramable"
Sumardi Mardi,5,Terlalu tinggi tempatnya
Agung Bonex,5,
Marwan Setiawan,4,
Doni Gunawan,3,
Sahabat Kid's,5,Walaupun tempat baru tp bagus jg buat liburan keluarga 😄 …
Agus Es,4,
Totok eko haryono,4,Sangat romantis panoramanya
ridha akbar,5,
ihsan ruvi,3,
yanto,5,
Agung Nugroho,5,Bukit yang berada dikampung halaman
andy dejava,5,Mantap tempatnya 👍👍👍 …
Ngegibah Online,5,Bagus dan menarik
warsana kliwir kliwir,5,
Joko centauri,4,
Reddy Setyawan,3,Salah satu tempat wisata sederhana ke arah tempat pertapaan di Bayat.
IRFAN Al_i,5,Jika
husyain AP,4,
Aisyah Salsabilla Rositha,5,
Latifah Nurhayati,4,Wisata andalan Bayat
Herman Suherman,1,
Pojok Bako,3,
Iwan Wibowo,4,"Wisata murah meriah di Klaten cuma rp.3000,- kita dpt tracking naik bukit dan mengunjungi spot2 foto yg tersedia... Saran saya gunakan sepatu olah raga biar nyaman saat mendaki.. dan bawa air mineral sendiri dr bawah..Krn blm ada orang jualan di sepanjang trek."
Arief Adi Raharja,4,
Matohar Thoha,2,Cukup baik...tp masih perlu dikembangkan lagi...
sobripandu 87,5,"Bukit pertapan yg dalam tahap pembangunan fasilitas pendukung
Dr taman bunga
Akses jalan dicor
Adanya taman bermain anak dengan beberapa jenis mainan anak
Gazebo bambu
Mushola
Toilet
Bèberapa warung
Serta spot foto dengan background yg cantik
Semoga dalam waktu dekat bebenah menjadi destinasi yg indah dan cantik"
salwa aja,5,
Ichlasul A,4,
Arrachmano Dharmesta,5,Joss
roh man,5,Indah bngt tempatnya
Prawoto Adi,4,
Ardi Anto,3,
Frinda Tri Cahyaningrum,4,
alicia Putri,1,Pengeboran
prihatin irma,3,
eko bektisusilo,5,Disini tempat wisata dan edukasi penelitian batu alam. di puncaknya jg ada petilasan.
Lajur Kanan,5,"tempatnya bagus cocok buat yg cari spot foto dengan view terbaik, juga beraneka ragam background foto seperti rumah hobit dll, tersedia juga fasilitas permainan anak sperti jungkat jungkit, ayunan dll. yang kecapekan naik bisa istirahat di …"
Hasan Dimetrio,5,
iqha youllee,5,
Malaikat Kecilmu Darsono,1,
kandra oktavianta,5,
cahyo nugroho,5,
Kirana Dita,3,keren
tyo denzoo,5,
Alvaro Marcello,5,Panorama Alam natural
Miftachussurur (Miftah),5,"Bukit yang bagus..taman bunga yang indah..tersedia air dan toilet umum. .juga terdapat mushola...dan sangat cocok untuk anak2,remaja bahkan orang tua. .😇😇😇 …"
Agus Salim,4,Tempatnya indah
Almeera Kacamata,4,tempat wisata baru yang bisa menjadi tujuan refreshig kamu
Ari S,5,
Andre Pras,4,"Bagus, bersih."
syahrul dicky,5,
St. Ricky,5,Joss
TRI SANTOSO,5,
Dewa Cell Production,4,Nyaman Adem tempatnya
Arca Chen,5,sangat mantap
Ami Sri ayu,1,
Taufik Hidayat,4,Wisata alam yang asyeque di Desa Kebon 😊 …
Wandari Suharjo,5,
Bintang Kecil Indonesia,3,Lumayan buat olahraga.. sayang sekarang udah gx terawat
Heri Dioz,5,
Sumarhaeni Sptmh,4,
Arif Zaenal Muhtarom,5,Dekat rumahku.. 😅 tempat yang bagus untuk bermain sama keluarga.. Masih asri.. Anginnya sejuk ..mantab pokoknya☺ …
Evita Prihaningrum,5,
Bozh_JM / Trie Nggothon,5,"Dengan semangat dan kebersanaan yg kuat pasti busa tercapai menjadi obyek wisata yg ramai, kuncinya gmn kita bisa memvirralkan secara bersama2 dan serentak"
Alya Jihan Nabilah,1,
Yuni Pamuliyanto,3,Proses masih lambat
nurngaini nawawi,1,
Candra Adi Putranto,5,Baguss
Dinda Putri,3,
Yusep Suryanta,5,
Zainnun Akhdan,5,Spot foto indah
Qphay Josephyra,5,Kereen
Rendy Ardiansyah,5,Muga lebih baik lagi
Wahyu Ardiansyah,5,"Ini keren warbyasah sih... di puncaknya bisa kelihatan Merapi di Utara dan jejeran perbukitan baturagung di selatan... mantap punyalah...
Also has a Geological site, such as phyllite and schist outcrop"
Anggraini Dewanda,4,
iin ristina,5,
Edi F,5,Viewnya bagus
rizki hp,5,Joss
Ganjar Nugraha,5,keren
Anggara W. Prasetya (Anggarawepe),2,Bukit Pertapaan adalah semacam taman di sebuah bukit. Namun sekarang kondisinya tidak baik. Terlebih jika hujan jalannya becek. Sementara itu spo fotonya sudah banyak yang rusak sehingga membahayakan. Nyamuknya juga buanyak. …
pecinta alam wisata,1,JAlanya jeblok
Yosua Pelamonia,4,"Tanjakan tinggi. Pemandangan cukup luas. Ada tempat untuk foto. Ada rumah pohon. Ada warung-warung yang menyediakan makanan, minuman, kain batik, dan oleh-oleh."
Beny Suryanto,5,
Pradika Setia Aji,5,Pemandangan nya indah
Dony Novianto Soekarno,3,
Yohanes Arie Supriyanta,5,Area Parkir Bukit Pertapan
Suwandi Suwandi,1,
irawan yunianto,5,"Seru,menantang pemandangan indah sekali. Bukit cinta mah kalah . Bener deh ah"
Irsyad Aufa Ghossan,5,
mamba` yusri faidhoni,5,
Don Koes,5,Rkb koes plus Bayat
ahakiaki,5,"banyak spot foto dr ketinggian yg bagus, warung juga banyak, tempat istirahat banyak, air melimpah, pokoknya merupakan tempat treking paling joss..."
Photok Perkasa,5,Menyukai
Shela Mariska Faradiska Astrid,4,
Sugeng Handoko,5,
Farhan Fauzi,5,
Dani Kamaludin,3,
Adip Fadli,5,
Muksin Al,5,Yup
nugraheni dwi utami,5,"Alam yang masih asli dengan sedikit sentuhan terlihatlah lebih indah dan modern... Cocok buat kumpul sama teman lama, sahabat, keluarga maupun dengan orang2 yang dicintai"
Ridwan Wibowo,5,"Kereeenn.. alami, sunrise sunset bisa dapet. Naise"
Yuan Erlando,4,"Bisa sunrise dan sunset,  mantap"
budi Marwanto,5,
Anissa Faradyna,5,Sangat indah dan mengagungkan ..tidak sia-sia naik ke puncak dan sesampai puncak di sambut dengan pesona alam yang sangat natural
Sagiman 3,5,
Diah Saputrios,1,
Aulia Putri Anggraini,5,
Adi Nugroho,4,Perlu fisik dan stamina yang prima untuk sampai di puncak bukit pertapan.
dawung beluk,4,Pemandangan menarik untuk foto2
Emghe Sagiman,5,"Pemandangan dan keindahannya luar biasa,terutama di pagi dan sore hari"
Bangkit Prima,5,
erli darmawanto,5,
