nama,rating,isi_review
Yakub Kusniran,5,
Muhammad Kaisi,5,"Masih satu komplek dengan candi prambanan, cukup berjalan kurang lebih 10 menit dari candi prambanan, cukup sepi dan kurang diminati wisatawan"
Cashflow RE Diana Lovetravel,5,Kuil yang bagus untuk dikunjungi!
YOSHIMASA HASHIMOTO,4,
Bimo Wib,5,Beneran Bubrah 🤣 …
Sita Sitaresmi,5,"Sebuah candi kecil yang sangat menarik dibandingkan dengan tetangganya yang megah, Prambanan. Meski diberi nama Bubrah yang artinya berantakan, untung candi tersebut direstorasi dengan rapi dan megah. Tempat yang indah di sekitar Prambanan untuk menikmati mistik candi dalam suasana yang jauh lebih tenang"
Ryuichi Kozaki,4,"Salah satu reruntuhan yang berpusat di sekitar Candi Prambanan di Jawa Tengah, Indonesia. Ini adalah kuil Buddha abad ke-9. …"
Marc Heiden,5,
天啓,4,"Sekitar 5 menit berjalan kaki dari Pura Lumbung

Seperti Lumbun, tidak ada apa pun di dalamnya."
Ayi KW,5,"Candi kecil dibandingkan dengan candi Prambanan. Dikelilingi pembatas setelah restorasi, tidak bisa masuk seperti candi lainnya"
Jerry Zhang,5,
Amee Tria,5,masih di kawasan candi Prambanan
Javier Beltrán,5,
Miguel Penalva,5,
Dimas Putra,5,
Robbie Indra,4,"Beda dengan Candi Prambanan, Candi Lumbung, dan Candi Sewu, Candi Bubrah sendirian aja berdiri kokoh di tempatnya. Bagus dan bagus."
Jui-Yu Chuang,5,"Setelah mengunjungi Pulan Baolan, Anda akan melewati kuil ini saat berjalan ke utara, jadi Anda bisa mengunjunginya secara gratis!"
Bledrik,5,
Ambar Cahyaning,5,
Achmad Noer Cholis,5,"Candi Bubrah merupakan candi bercorak Buddha yang masih satu kompleks dengan Candi Prambanan. Dibangun sekitar abad ke 9 M, bangunan tinggi ramping dengan atap stupa. Susunan stupa induk merujuk konsep pantheon dalam agama Budha. Satu stupa …"
Chin Zhi Hui,4,"Ini adalah kuil kecil yang berjarak sekitar 12 menit berjalan kaki dari gerbang tiket, dan kuil Buddha tidak seperti yang lain.  Sebagian besar pengunjung tidak mencapai sejauh ini dan Anda dapat menikmati seluruh tempat untuk diri sendiri atau satu atau dua keluarga lainnya."
popo wibisono,5,
Maëlline shr,4,
MatroseTi,5,"Kuil Buddha kecil yang indah
Kesimpulan: sangat direkomendasikan"
Nova Tegalrejo,5,"Layanan mantap,ramah,sangat puas sekali"
Pak Putra,5,Candi Buddha di Jawa Tengah.
Asy Syahidu,5,
Okuli Nainggolan,5,
正雄,4,
OtW47,4,"Candi Budha kecil yang ada di kompleks Prambanan, dapat dengan mudah dicapai dengan berjalan kaki, sayangnya kami datang terlambat dan hanya bisa mengamati candi dari luar. Bubrah adalah kuil Buddha kecil namun fotogenik."
Grégoire Carou,5,
Nada Lala,4,
Keperluan Penelitian,5,Candi Bubrah merupakan candi Budha yang terdapat dalam kompleks Candi Prambanan. Terdapat sebuah relung besar ditengah bangunan namun sudah tidak terdapat arca di dalamnya. …
Heru Trihandoko,3,Wisata benda cagar budaya yg anggun karya nenek moyang kita.
Dhani Prasetyo,4,"Meskipun dekat dengan Candi Prambanan dan masih dalam satu kawasan, ternyata ini Candi agama Budha..
Dinamakan Candi Bubrah karena dulunya ketika ditemukan kondisinya Bubrah atau …"
Marcos Watts,5,
Desy Indriana,5,
Darwin Nursamsur,5,"Areanya setelah candi sewu. Kayak bersebelahan gitu.

Enak sepi dari pengunjung ya. Bersih juga areanya. …"
Endri,5,
Dian Herdiana,5,Candi Burbah Pemandangan 360° 👍 …
Baptiste Boichu,4,Permen cantik dapat diakses setelah Prambanan.
kmalll,5,view dari luar pagar saja
Win Tai,5,Candi Budha kecil yang indah sangat menyenangkan untuk dikunjungi di dalam kompleks prambanan yang sudah termasuk dalam tiket. Senang berjalan-jalan untuk berkunjung. Arsitektur dan desain yang sangat indah. mereka melakukan proyek restorasi yang baik untuk mengembalikan candi ke kondisi aslinya
Meta Yanti,5,"Versi mini dari Candi Prambanan tapi cuma ada 1 bangunan aja. Tinggal jalan kaki. Masih dalam satu kompleks.
Detail infonya bisa cek video youtube ku ya di channel : META YANTI"
Divyesh Wadke,4,Sebuah candi Budha kecil namun sangat indah di kompleks candi Prambanan. Anda dapat menyewa kendaraan roda 2 di dalam kompleks untuk berkeliling atau berjalan kaki juga. Jalannya menyenangkan dan indah. Dibangun pada masa Dinasti Shailendra …
Yinan Chu,4,Merekomendasikan untuk menyewa skuter. Bukan candi yang sangat istimewa di parambanan
Jaka Randa,5,Bagus
Ian Harris,3,"Layak untuk berjalan-jalan kecil di antara candi utama Prambanan, khususnya karena di sini Anda setidaknya bisa memasuki area candi. …"
Wahyu Suseno,5,"Salah satu candi yang ada di sekitar an candi Prambanan,
Jangan lupa mampir bila berkunjung ke candi Prambanan."
Ten Aten,4,
Eneng Nolis,5,"Jangan lupa ya.. Kalau ke Candi Prambanan, kita harus menyelusuri komplek Candi biar tahu sejarah dikit untuk anak anak kita😍 bbrpa kali ke Prambanan saya juga baru skrg ksini.. Hhmm sekolah lagi deh.. He.. Setelah Candi Lumbung, kita ke Bubrah ya.. Ini dia …"
Nick Collyer,4,"Jan Brady dari kompleks. Sebagai anak tengah, menurutku segalanya menjadi lebih indah karenanya. 😀
Bubrah berarti 'reruntuhan' dalam bahasa Jawa, dan pada tahun 2011-17 candi yang …"
Melody Safeea,5,
Rachmad Hidayat,5,Salah satu dari 3 candi yang berada di sebelah utara pintu keluar Candi Prambanan.
Anwar Wijaya,5,Menambah pengetahuan di areal candi ini
Andi Hermawan,5,Bagus bgt gaes..👍👍🙏 …
Muhamad Hasbuloh Mardiana,5,Rasakan suasana zaman kerajaan
Agus Sapto,5,Peninggalan yg sangat mengagumkan...
Akhmad Hidayat,5,"Candi Bubrah merupakan Candi Buddha yang terletak di sekitaran kompleks Prambanan, lokasinya berada diantara Candi Lumbung dan Candi Sewu. Terlihat indah bangunan candinya apalagi disekelilinginya ada taman hijau yg luas. Bagus sekali untuk spot foto,"
pelung tangi,4,
Mbah Jo,4,"Sekarang dalam rangka renovasi, semog lancar dan cepat selesai"
Jamal L,5,
Moch Ansori (Aans Anshori),5,Buat nongkrong disore hari cocok
Regina Arini Saraswati,5,
Dwi Sutariyanto,5,Candi Bubrah adalah salah satu candi Budha yang berada dalam 1 komplek kawasan wisata candi Prambanan. Candi Bubrah terletak diantara candi Sewu dan candi Prambanan.
adi zein,3,Perhentian singkat antara Prambanan dan Sewu..
Kevin Khalevi,5,Candi yang arsiktekturnya mirip borobudur
Kuncoro66,5,"Candi Bubrah,selesai di pugar thn 2017 bulan Desember,merupakan Candi berlatar belakang agama Budha,satu komplek di lingkungan candi prambanan dan candi sewu,di sebelah selatan ada Candi Lumbung"
dwi Susilo,5,Namanya candi  bubrah.....bangunanya sudah di pugar..😊 …
Agung Pramono,4,prsmbanan sudah dibuka tapi candi² disekitarnya belum dibuka
Detta Tyas,1,
Mety Anisa,5,
Denice Frank,5,Terletak di dalam area Candi Prambanan/Roro Jonggrang. Di apit oleh Candi Sewu dan Candi Lumbung. Disekitar ada banyak pepohonan dan rumput luas.
sonny wibowo,4,
Fitria Tsabita,5,
Sari Suandari,4,
Agus Haryanto,4,"Renovasinya sudah selesai.
Dekat dari candi utama Prambanan.
Agak sepi pengunjung, karena tidak di jalur utama jalan keluar candi prambanan."
Mezzo Rafli,5,"Bagus banget, adem tanamannya banyak , taman nya juga indah"
meyrina tjandra,5,
kang ma'ruf,5,
gxried,5,Tempatnya panas pollll... dan jarang ada tempat berteduh..
Speed Damai,5,"Pitstop #1 Tour de Borobudur 2019, luas lokasi pelatarannya, bisa selvi barengan"
Awang Pradipa,5,Candinya bagus dan bersih. Pintu masuk melalui pintuk masuk Candi Prambanan pun dengan tiketnya. Harga tiket per 11 Januari saya ke sini adalah 50.000 untuk dewasa. Candi ini merupakan candi yang berada di bagian belakang atau di utara …
Fakih nur Rahman,4,Sepi yang lihat
Oky _29,4,
