nama,rating,isi_review
Dewa Kresna,5,
yogi namaste,5,Salah satu candi paling indah
Lia Marliana,4,"Akses jalannya curaam, pastikan rem kendaraan aman. Ada di kaki gunung lawu, udaranya sejuk. Tidak ada penjelasan mengenai sejarahnya candi. Tiket masuk 15.000. Dikasih pinjem kain untuk foto."
Arvia Ari Sugesti,5,Rekomendasi wisata ikonik di Karanganyar tepatnya di Desa Gumeng Kecamatan Jenawi. Akes menuju kesini melewati kebun teh kemuning dengan tanjakan yang cukup ekstrim (jadi pastikan kendaraan dalam kondisi yang baik dan driver mahir). HTM mei …
Widyanti Lestari,5,"Menuju kesana mobil harus bener2 sehat, tanjakan nya extream, harus extra hati2. Sampai sana hujan deras terpaksa harus neduh dulu. Setelah hujan dpt view bagus, tdk ada kabut. Bersih."
Agit Setiawan,5,"Jalanya asik, udara segar"
Rizkia Afisa,5,"Cocok buat ngadem, bersih viewnya good✨"
Andi Rubiyanto,5,Mantap
Ka Rang,5,
Otto Kilimanjaro,5,
Laura G,5,"Biaya masuk untuk orang asing 50.000 rupiah. (Jika Anda tidak membawa sarung, Anda bisa menyewanya seharga 5.000 rupiah.) Kami ke sini dengan sopir pribadi dan perjalanan terkadang penuh petualangan karena tanjakan jalan, tetapi sebagai …"
Hadyanto Edi,5,
Titik Pujiyati,5,
Rifqi Mukti Darmawan,5,
Sang Jawara,5,
anastasia silviana,5,"bagus pemandangannya, cuma karena di gunung jadi sering mendung dan turun kabut 😂 sabar2 ajaa, tunggu sampai kabutnya ilang …"
Risma Nur Faizah,5,"Tempatnya bagus, terawat. Tiket lokal 15.000. Kesana pas sore menjelang sunset, cuaca cerah, jd dapat view buagus."
kattaline kattaline,4,Cantik. Jika Anda berada di area tersebut jangan lewatkan
Dwi Budi Winarno,5,
Ummi Sholihah,4,"Masuk tiket retribusi candi nya murah hanya 15 rb dan pakai qris , topp
Tetapi pas mau masuk kawasan saraswati dan candi ketek di mintai retribusi tambahan 7 rb, apa itu resmi dari pemerintah juga ya?
Kenapa tidak include di tiket masuk awal"
No Suko,5,
mustaqim jaed,4,"Jalur untuk melakukan pendakian ke gunung lawu dari basecamp Lawu Barokah, tangga nya lumayan panjang juga bikin ngos ngosan 😁 …"
Unang Junanda,5,"Jln naik yg ke candi Cetho sdh bagus.
Dlu aspalnya jelek sekarang mulus"
Fella Vitoria,5,
Sibad Sibad,5,Untuk tanggal 03-05 mei 2025 jembatan masih belum bisa di lalui sepeda roda 2
Muhammad Badarudin,5,
blob tm,1,"Oalah iki jalur Candi sek terkenal pungline, wong karanganyar kok yo enek sek doyan pungli ya"
Danang Saputro (Danang),5,
Hajran Lillah,5,
Hety Purwanti,4,Kurang beruntung krn kabut dan belum bisa eksplor semua sudut sudah keburu hujan
ucok novianto,5,Pas adem2 nya datang kemari.. Sejarah ngikuti ibadah orang hindu.. 😊 …
Dewi Maha,5,Kuil yang menakjubkan
Ignatius Bayu Adji,5,"Tempat sembahyang umat Hindu, tempatnya yg berada di lereng Lawu menjadikan candi Cetho memiliki pemandangan alam yang indah.. seperti negeri di atas awan,
Pembayaran tiket menggunakan Qris/cashless, tempat parkir luas, kamar kecil bersih"
Akbar Rahmatulloh,5,
Adi Nurcahyo,3,
faizazmiibnuyaqin 27,5,
03. AFA,5,bagus
Romdhoni Nur Huda,5,
Gosha Dharmawan,5,candi dimana semar moksa
M. Ulum,5,"Kunjungan kedua kalinya bersama keluarga, untuk tiket masuk 15ribu rupiah. Candi sangat terawat dan bersih, masih digunakan juga sebagai tempat ibadah agama Hindu. Tempat yang sangat indah dan sejuk tidak pernah bosan kesini. Candi ini …"
Adi Santosa,5,
Diplograma,5,Salah satu situs peninggalan masa klasik yang terletak di lereng Gunung Lawu
Setiawan Prihatmanto,5,
Herman Syah,5,"Mantap nilai sejarahnya, mantap viewnya, mantap dinginnya, mantap tanjakannya. Pastikan kendaraan prima&rem pakem!!!"
Ragil Wicaksono,5,
