nama,rating,isi_review
dedy rushadmaka,5,Dalam pandangan saya Candi lethek merupakan punden berundak.
Yohanes Jo,5,𝘚𝘦𝘫𝘢𝘳𝘢𝘩 𝘢𝘣𝘢𝘥 15 …
Alif Almee,4,
Ahmad Nanda,5,
Sewa Lurik Yogya,5,Candi kethek ini masih 1 komplek dg candi cetho. Sepi mgkn karena masuk kesini musti bayar lagi. Perjalanannya lumayan jauh 300m. Ada sendang & patung sarasvati …
senthil kumar,5,Harus dikunjungi jika Anda pergi ke candi cetho
Sani iflah zahara,5,
Mariani tjio,5,"salah satu cagar budaya, kalau mendaki gunung Lawu kita melewati candi Kethek, merupakan piramida tersembunyi di kaki Gunung Lawu ."
Bayu Sakti,5,
yuni,5,"Sepi... dari candi cetho keluar dulu lalu masuk lagi bayar 7rb untuk melihat sarasvati, sendang, meru dan candi kethek. Dari sarasvari ke candi kethek katanya 300m. Ternyata lumayan jauh, ikut jalur pendakian ke lawu."
Oesman Hifdzer,5,
Ira 1417,5,"Saya kira candi Kethek lokasinya masih sekomplek dengan puri Saraswati. Ternyata perlu perjuangan untuk kesini. Harus melalui jalur trekking pendaki, naik, turun, dan melintasi aliran sungai kecil. Meskipun jalurnya aman, cukup melelahkan juga."
Dolan Wae,5,
Kris Hadis,5,Keindahan yang belum tereksploitasi..
Supri Yanto,5,
Dita,5,"Jujur saya sama sekali tidak merencanakan pergi ke Candi Kethek. Awalnya saya kira hanya ada Candi Cetho. Sampai di Candi Cetho saya diajak ke Candi Kethek yang jaraknya lumayan 😅 sepanjang perjalanan menuju ke Candi relatif sepi, jarang …"
Abdul Ghonisyahudi (Ghoni),5,
Yudha Adhitya,5,peninggalan sejarah agama Hindu di Gunung Lawu
Vincensius Surya,5,Tempat ini berada tepat di belakang candi cetho. Biaya tiket masuk 7000 rupiah dan dapat dijangkau dengan berjalan kaki sekitar 15 menit dari pintu parkir. Sangat sepi dan sejuk karena bersebelahan dengan jalur pendakian lawu.
Suigetsu Vertical,5,Luas
Giri Bagus Bagaskara,5,Candi Kethek Nama Kethek diberikan oleh masyarakat sekitar karena di tempat ini  sering dijumpai hewan kera. …
Manggala Suryanegara,5,ꦙ꧀ꦮꦺꦴꦱ꧀
edy budiono88,5,
Purbo Christianto,5,Perlu berjalan kurang lebih 2 Km dari Candi Cetho untuk sampai candi ini. Jalanannya bagus. Pemandangan sekitar jalan juga bagus. Candi bersih. Tapi tidak ada toilet dan warung di dekat candi ini.
Leo Nardus,5,
kk sound system Themond,5,
DIMAS GUSTI ALI FATAH,5,"Good view.
Mistis, sepi, sejuk, damai."
Yosua Hendro W (Awie),5,"Masih satu areal dengan candi cheto yg penuh aroma mistis.
Asri adem krna di lereng gunung Lawu.
Luar biasa"
Rahayu Saputro,5,
Sigid Wahyudi,5,"Candi Kethek adalah candi Hindu bertingkat megalitik berbentuk piramida dari abad ke-15-16 di lereng barat laut Gunung Lawu di desa Anggrasmanis kecamatan Gumeng di Jenawi Kabupaten Karanganyar di Jawa Tengah, Indonesia. …"
Fauzan Winata,5,"Siap kan fisik yang kuat, karena lumayan jauh jalan kaki nya"
Amazia Bintang Channel,5,"Situs sejarah dan cagar budaya yang masih belum banyak diketahui oleh orang atau masyarakat, lokasinya tidak jauh dari candi cetho... Untuk menuju lokasi bisa dengan jalan kaki mengikuti jalan cor beton yang sudah dibuat... Bentuk candi nya …"
YUANTO PRAYUDI,4,"Candi ini masih satu lokasi dengan Candi Cetho yang berada di jalur pendakian. Wisatawan yang mendaki melalui jalur ini pasti tahu posisi candi ini. Tetapi, bagi yang bukan pendaki pasti tidak banyak yang tahu tentang candi kethek. Mereka …"
