nama,rating,isi_review
Seagate Citytour & Rental Mobil Jogja,5,"Baru kali ini antar tamu dari Jepang, walau cuma kecil tapi bersih dan penjaga nya ramah, masuk gratis"
Adha Jaya Furniture,5,
Sanupal Muzamil,3,
Ratman Ratman,5,Situs purbakala
NRafiqatul Jannah,5,
Bengkel tata Las,5,
Wahyu Indian,5,
Muhamad toha saputra,5,Manatp
Hermi Darsono,5,
Bowo Ardianto,5,Candi Merak merupakan candi Hindu yang dibangun pada abad 8 hingga 9 Masehi. Candi ini menghadap ke timur. Candi Merak memiliki relung kudu bertipe seperti candi di dataran tinggi Dieng. Ada relung-relung kecil yang berisi arca-arca …
Ari Wijaya,5,Kuil yang indah. Kecil dan dikelilingi oleh rumah orang. Tidak perlu membeli tiket untuk memasuki kuil adalah hal menakjubkan lainnya tentang kuil ini.
Astrid Kucrit,5,Indah dan bersih
Adi Darma,5,
Adi Wibowo,5,
VF Riza Irawan,5,Bersejarah
Mudrik Affan Iryana,5,Sejarah Indonesia
Didit Redyanto,5,Pengetahuan sejarah candi abad 8
Wargiyana Singosaren,5,
Traveloke Jogja,5,
Bima Bima,5,
Nathan,5,Peninggalan bersejarah
agung eko,4,"Salah satu peninggalan bersejarah di wilayah KEC. Karangnongko, Klaten, Jawa Tengah"
Muhammad R. Al-Fakhri (Eki),5,Arsitekturnya mengagumkan..
Indri Dwi Setiyowati,5,
Pak Moe,4,"candi peninggalan agam hindu yg terletak didesa karangnongko klaten, lokasinya ditengah perkampungan yang sangat asri, htm free hanya mengisi buku tamu saja"
Deddy Rahmadi,5,Kesini untuk ke pondok pesantren
Almanye Tarunomenggolo Yudho,5,
Bebek Kwek,5,Kemarin datang kesorean. Jam 2 siang udah tutup.
Asef Ardiansyah,5,
ahmad mustofa,5,
Stefanus Agoes,5,
Joko Wisnu Catur,4,
Febri Febri,5,Candi kenangan waktu sd
Satyaadi Widjaja,4,
Sholichin arif nugroho,5,"Candi yang unik. Letaknya di area perkampungan.bersih udara sejuk.
Lumayan untuk nambah"" Pengetahuan sejarah. Tidak ada tiket masuk alias GRATIS"
Anggi Enggar Firdinan,5,Sepi
Andi Bayu,5,
Louis Axiang,4,"Saya tidak pernah pergi tapi kelihatannya keren, raja Mataram Kuno dibuat seperti itu"
Jasmine Salsabila,5,"Tempatnya bersih dan nyaman banyak nilai sejarah, masuk ke candi free tiket."
Budi Hariyanto,5,Jika kita mengatakan yang sebenarnya tentu jiwa tak ada beban. #inibudi #JajahDesaMilangkori #Juni2022
Bramantya Sastra Ramadhana,5,"Tempatnya berada disekitar pemukiman warga, jalan menuju kesana tidak terlalu besar, usahakan jika bisa memakai sepeda motor agar mudah untuk putar balik. Keadaan disana cukup sejuk karena terdapat banyak pepohonan yang mengelilingi candi, …"
Tirta Pangestika,5,Enak lezat
Chandra Kristian,5,"Pura ini terletak di tengah desa, di Klaten. Sangat mudah untuk menemukan dan mengunjungi. Candi utama indah di tengah dan candi lainnya hanya merusak sebagian candi kecil. Dikelilingi oleh pohon. Suasana begitu tenang dan damai ketika saya berkunjung. Harap perhatikan jadwal waktu berkunjung sebelum Anda berkunjung kesana."
