nama,rating,isi_review
fita fitut,5,Tempat nyaman dan asri
sri hartono,5,Tempat yg sejuk dan indah untuk berkreasi bersama keluarga
dimas adi official,5,Mantap
Agus Susanto,5,
Dzaka,5,
Farah Syifa,5,
budiyono jo,5,Tempat ngedem yang cocok dengan harga tiket 5rb saja... Sambil melihat ikan... Udara sejuk tempat semakin bagus
Ef Ndi,5,"Alami, dengan ikan Koi yang sehat2.
Wisata alam yg murah meriah"
Den Marga,5,"tempat refreshing,jalur lumayan ekstrim,cek kendaraan sebelum kesini.. tempat sejuk nyaman jajanan enak terjangkau"
Mas Danangwae,5,
Asrini Riska,5,
Irawan Yerwiyant,5,
Danang Hidayat,5,
Khoirul Amal,5,
M Farel,1,
dwi agus nugroho,5,Tempat syahdu untuk melepas penat…suasana asri dan adem sambil kendengarkan gemericik air
Fahrur Fahrurroji,5,"Kesini diwaktu pagi jam 7,suasana pemandangan kaki gunung benar2 terasa adem dan hawa segar...bakal balik lagi ahh"
Indira Woro Ayu Srikandi,5,"BAGUSS BGT SEJUK UDARANYAA , ikan nya gede² lucuk² apalagi kalo ada orang ikannya langsung nyamperin jdi gemessss , airnya dingin, viuwnya bagus buat foto² bersama keluarga juga tapi jalannya ekstrim yaaa gunung dan banyak jalan berlubang, tikungannya tajem apalagi buat di pinggir² jalan mau ke muncar nya"
Giat Manshurin,5,
iQ jongkok,5,
Boykier BDC,5,
Zhe Ghed,5,"Recommended, jalan menantang"
Bakso dan mie ayam Pak gino,5,Tempat nyaman
Jainal toharun,4,
Su Midi,5,
Anggun Rara,5,
umilesatari make up mua,5,
Niken Dwi Margiastuti,5,Tempat nya nyaman dingin view-nya ijo menenangkan dan cantik
Eko Toni Raharjo,5,
Tiyo Kamtiyono,5,Bintang lima dulu biar makin banyak orang datang dan bisa buat perbaikan fasilitas. …
Arie Capello,5,Tempat mencari ketenangan
budiono Optik12,5,
Anjar Kristanto,5,"Wisata yang sangat menjanjikan pemandangan alam menuju kesana nya..semoga dikelola dengan serius,jalan dibenahi aksesnya kesana..dan satu lagi wisatawan diminta tertib buat bunag sampah pada tempatnya..tambahi bak sampah pakde..pada ndablekk wes jhannnn"
