nama,rating,isi_review
Sigra Kumala,5,
Didot 4704,5,
Henry Lumbantoruan,5,"Candi pengganti karena Prambanan sangat rame, mini bersih dan akses mudah."
Dwi Sulistya,4,
RP Soep,5,Pengalaman sejarah
Jalal Arifin,5,
"FERDINAND SAHAT PARULIAN TOBING, S.A.P",5,
silvi d,4,
Ana Belle,5,
dika perdana,5,
zonetonk art,5,
Kinanthi Rindang,5,"Tiket murah, candi cukup sepi jadi nyaman untuk foto-foto. Lokasi banyak pepohonan sehingga nyaman untuk sekedar duduk-duduk saja. Saya pribadi dari pada ke candi yg ramai lebih memilih tempat ini."
Bimo Wib,3,
Usa Maliki,5,Oke
RAKHMAT MUSHAWWIR RASYIDI SH,5,"Candi yg bagus utk foto2, d arwa ini sangat cocok jika bawa anak, krn ada rumput hijau yg sangat nyaman utk anak kecil bermain."
Siti Wasitoh,5,
Ursula Tj,5,
Jontir Kentir,5,
Masbi,5,"Candinya bagus,tamannya sejuk dan asri, tiket masuk 8k,parkir 2k, saya kesini saat langit mendung jadi fotonya kurang bagus 😃 …"
Sumar Yanta,4,Candi banyu nibo
Wahyu Di,5,Peninggalan sejarah yg membuktikan kebudayaan Indonesia masa lalu
Alex Murgito,4,Peninggalan kerajaan zaman dulu yg masih terawat
Kelik Nahtono,4,
Putu Ayu Diah,5,
Azis Ibrohim,5,
Marto Dimedjo,5,Kuil yang indah ❤️
Agnes Ika,5,
epiana lestari,5,"Berkunjung di hari minggu ,tiket masuk 8rb,sangat terjangkau bisa buat edukasi juga mengenalkan anak sejarah candi budha ,dan sekitaran candi ada tempat bermain juga cocok lah kalo buat wisata keluarga"
agus purnomo,5,
Bambang Pramusinto,5,Candinya terawat dengan baik
Fitriyah Triandini,5,"Adem,, enak buat menenangkan diri,,, spot foto bagus..."
Fendi Nurrochman,4,
Ahmad Zainal,5,
Donny Hery Pakpahan,5,
Tian Tristianto,3,
Cotton house Monjali,5,"Tempatnya asri , akses gampang"
Art Estetika,5,"Assalamualaikum warahmatullahi wabarokatuh
Selamat berjumpa kembali dengan Jack Petualang Jagat
Sering banget aku berkunjung di candi ini, ya karena dekat dan HTM nya sangat …"
dwi restiyanti,5,Sejuk dan asri disana. Candi ini masih digunakan sampai sekarang untuk beribadah. Jadi harus menjaga kebersihan di area candi.
ario hadiputro,5,Tempat yg indah utk bermeditasi
Budi setyowati,4,
nur iskandar,5,
tegar setiaji,5,oke
Priyahita,5,
ALYA AG,4,"Taman pada umumnya, ya namany taman banyak nyamuk. Jan lupa bawa sesuatu yg bisa digunkn untuk menangkal nyamuk gaess klo dtg kesini👍 …"
Linda Oktavianingsih,5,
Suruurul Fuad,5,
YK. Sugiyarta,5,
A t m o,5,
Sabrina 4D's,3,
Wisnu's foto,5,
Aris Sekok,5,Agak lengang.....mungkin karena agak sedikit menepi dari candi Prambanan..akses hanya paketan tour wisata lokal...Jeep..
Nia Antoniacraft,5,
Tinna Putri,5,"Berkunjung tanggal 25 Desember.
Tiket masuk dewasa Rp 8.000, untuk anak-anak Rp 2.000, sangat terjangkau.
Sengaja pakai kebaya karena mau photoshoot ala-ala. …"
Agussalim -,5,
AmrY,5,
Ayu Putri,5,". Pertama kali masuk k candi sojiwan ,,, t4nya nyaman , bersih  , sejuk , asri ,  g begitu panas ,, 🤩🤩 …"
Mahesasp 127,5,candi sojiwan👍🏻 beserta gantangan burung tepat ditaman kuliner 👍🏻 …
Mifta Nafia,4,bagus tp panas bgt
Intan Dita,4,
rohati wd,5,
Adi Wibowo,5,
Kris Tanti,5,
Gathut Imam Gunadi,5,"Candi yang terletak di dekat candi Prambanan. Tiket masuk wisatawan domestik 8K (dewasa) & 2K (anak2), kalau wisatawan mancanegara 25K."
Adi Darma,5,
Muhammad Alfin Prastya. N,5,
Ary maulana,5,
Realino Aditya,5,"Candi nya bagus, cukup besar, juga bersejarah, Candi Buddha ini sudah ada pada abad ke-9 juga telah dihiasi ukiran relief batu juga ada patung. Waktu itu berkunjung tempat nya sepi, juga cuacanya panas. Untuk harga tiket masuk nya tidak …"
tri yo,4,
MR DO,4,
Sashelldom,5,
Kusmiatun Kimin,5,
heriipurnama,5,
Agustina Purwantini,5,Candinya mungil dan areanya dibikin nyaman asri.
Eka Novia Anggraini,5,
Arizt Skd,5,
giyatno,5,
Aries Jaden,5,Bagus
Muh Bayhaqi,5,
Nur Ismilah,4,
Muninggar Enggar,5,
Deny Pranabudi,4,
Fadiah,5,ramah ramah
Budi Prasetyo Utomo,3,
Iza Izmail,5,
Dinda Pratiwi,5,
Ermawati Hayyi,5,
David Hamdani,5,
Maya Christine Al,5,Bagus HTM 8000
Edy Sutarman asis,5,
Kirana Putri,4,
Sigit Prasetyo (Thenk7),5,
Primanda Kiky Widyaputra,5,
Isha Ismaeel,5,
Michael Asmara,5,
Meta Mahayati,5,"Salah satu Candi Buddha peninggalan kerajaan Medang (Mataram Kuno) yang terletak di Klaten Jawa Tengah. Lokasinya tidak jauh dari Candi Prambanan. Jika dari arah Jogja, bisa belok kiri mengambil arah ke pasar Prambanan, melewati rel kereta …"
adm sheyco tour,5,
aditya dhanwantara,5,
Toffan Hussein,5,
Achmad Noer Cholis,5,"Candi Sojiwan, terletak di desa Kebon Dalem Kidul, kecamatan Prambanan,  Klaten, Jawa Tengah. Bercorak Buddha & memiliki ciri khas ada 20 relief di kaki candi yang berhubungan dengan cerita² Fabel Pancatantra atau Jataka dari India. …"
Rifki Kurniawan,5,"Candi Sojiwan adalah sebuah candi Buddhis yang terletak di desa Kebon Dalem Kidul, kecamatan Prambanan, kabupaten Klaten, Jawa Tengah. Sebuah ciri khas candi ini ialah adanya sekitar 20 relief di kaki candi yang berhubungan dengan cerita-cerita Pancatantra atau Jataka dari India."
Mukhammad Khoiron,5,
Umi Latifah,4,"Kurang tempat untuk berteduh,
Tapi didlm candinya sangat dingin."
tb mukholik,4,"Bagus dan mempesona, ada taman buat bersantai dan istirahat. Candi nya cukup megah dan penuh ilmu sejarah.
Datang berkunjung baiknya pagi atau sore hari."
Terry Endropoetro,5,"Salah satu Candi Buddha di kawasan Brambanan, Klaten ini cantik, dirawat apik.
Buka: 08.00 - 16.00. …"
Majelis Ngatur Jiwo,5,
Fachrizal Rian Pratama,5,
irwan s mulia,5,"Gowes Ratu Boko - Spot Riyadi - Sojiwan - Prambanan ...
Kembali lagi tuk kesekian kalinya.
Cagar budaya situs purbakala adalah salah satu kekayaan bangsa yang patut …"
Oesman Hifdzer,5,
rakalap channel,5,
Udin tuju,3,
Roy Ahmad Nazril Ibrahim,5,
Moh Amirudin,5,
dian dona,5,
Hasan Trio,4,
Fifi Probowati,5,Wisata candi adalah sebuah
Ika Setyaningrum,5,"Lokasinya g jauh dr tempat tinggal aku saat ini. Kesana bt hunting tempat main anak2. Candinya bagus, bersih dikelola dgn baik."
Nur Handayani,5,
Bledrik,5,
Albert Song,5,
Alex Hariyono,5,
Dwi Iswani,5,
Muhamad Aditya Setiawan,5,Candi Sojiwan merupakan salah satu dari peninggalan sejarah era Mataram kuno. Memiliki bentuk yang unik dibandingkan candhi-candhi lainya. Pertama berkunjung ke sini pada tahun 2016 saat kegiatan study tour dari kampus. Lalu kembali berkunjung ke sini pada tahun 2019 sambil mengajak teman yang sedang berwisata di Jogja
dymaskusuma_,5,
Blues Cepit Masak,4,
Suyadi Pardiyo,5,"Ada di selatan rel Kereta Api,
Selatan Candi Prambanan.

Parkir luas dekat dengan pasar hewan Prambanan.
Tickets box ada di utara Candi.

17 Juli 2024."
Samsul Maarif,5,Tak jauh dari candi Prambanan 👍 …
Reny Andia,5,Candi yg hampir punah jika tdk dijaga dan dilestarikan dengan baik
Yanto,5,
Rama Gebby,5,
Dina Leha,5,"Dari dulu pengen ke Sojiwan baru kesampaian pas malem kemarin. Pas ada acara apa gitu 3 harian.
Malam hari viewnya ga kalah cakep."
Ikasari Putri,5,
Diena Fisio Prambanan,5,Candi deket rumah dengan taman yang terawat dan lingkungan asri. Sering banget ngajak bocil2ku kesini buat maen rumput dan ngenalin budaya
Arim Wijaya,5,Senang bisa berkunjung ke sini
campaka puri,3,
Nurul Ilmi Istiqomah,5,"Cantik dan asri, berasa candi milik sendiri wkwkw. Jalannya jg sedikit, dekat dgn parkiran.."
Taufik Satriadi - opik,5,"Keren gak banyak yg tau lokasinya, dekat tempat berkuda, dari Prambanan 10 menit"
Dimas Aryo,5,
Diplograma,5,"Candi yang terletak di desa Kebon Dalem Kidul, kecamatan Prambanan, kabupaten Klaten, Jawa Tengah. …"
Dhammamitto,5,Candi Sojiwan yang tak kalah indahnya dengan candi2 bercorak Buddha lainnya
ririn dyah aryani,4,
Jahes Si Moow,4,Candi yang sudah dipugar. Candi yanv masih aktif digunakan untuk upacara keagamaan.
Anjar Wahyuningsih,5,"Candi yg bagus yg hanya terdiri dari satu candi besar dan ada beberapa candi kecil dan patung disekitarnya. Harga tiket masuk candi sojiwan untuk dewasa Rp 8.000, anak-anak Rp2.000 dan untuk wisatawan Rp25.000 Di samping candi ada area …"
Farendra Adiatama,5,
Almanye Tarunomenggolo Yudho,5,
ADITYA PRIANGGA,5,
lia faqot,5,
Ahmad Shobirin,1,
