nama,rating,isi_review
Oliver Stearn,5,
Karyo utomo,5,
neptuno neptuno,3,Oke
Otto Kilimanjaro,5,
Laura G,5,Biaya masuk untuk orang asing 50.000 rupiah. Toilet dan minuman/makanan ringan tersedia di lokasi. …
arman daris,5,
Hari Nugroho,5,
kattaline kattaline,4,"Cantik. Jika Anda berada di area tersebut, jangan lewatkan"
J J,5,
jekser 16,5,
nbart channel,5,
Ignatius Bayu Adji,5,"Candi Sukuh merupakan candi umat Hindu, berada di lereng gunung Lawu menjadikan candi Sukuh berhawa sejuk, pembayaran menggunakan Qris/cashless"
Helmy_ J,5,
Adi waluyo,5,"Candi ini cukup unik, terutama jika dilihat dari bentuk bangunan utamanya yang seakan menyerupai Piramida di  pedalaman Amerika Selatan. Tidak terlalu luas, namun bersih sekali kompleks candinya. Cocok untuk tempat kontemplasi, merenung atau pun meditasi. Pastikan kendaraan prima, karen akses ke Candi Sukuh jalannya menanjak."
Diplograma,5,Salah satu situs peninggalan masa klasik yang terletak di lereng Gunung Lawu
The Travel Junkie,5,
Rifki Hidayat,5,"Masih Asri, diatas bukit. 💯 …"
Randi Prajadi,5,
Farrel Rahman,5,"Nuh smdwdjetgl vi PO ru
Ng ad h"
Paino Pai,5,"Adem,"
Budi Bodonxz,4,peninggalan sejarah yang harus dilestarikan
Edi Disalamoru,5,
AdriYR 45,5,Candi berbentuk mirip dengan peninggalan budaya maya
Achmad Syafii,5,
mas gin,5,Wisata edukasi
Luci Wahyuni,5,Pertanyaan muncul di benak saya ketika saya datang ke kuil ini. Saya berharap mendapatkan jawabannya pada kunjungan berikutnya.
Hastono Setyaji,5,
Adzin Khalfani,5,
Zahra Yuliana,5,"Tempatnya best banget buat healing santai, bersih juga tempatnya, relaxing with nature💆🍃
Untuk rutenya menanjak gitu dan berkelok tajam, tapi setelah sampai sana akan …"
faydinal primansyah,5,
Yustika Muharastri,5,"Candi Sukuh yang terletak di Jawa Tengah merupakan situs bersejarah menarik yang menawarkan perpaduan unik antara budaya Jawa kuno dan mistisisme. Terkenal dengan struktur khas piramida dan relief erotisnya, kuil ini memberikan gambaran …"
Kusni Setiawan,5,
Yohanes Riyan Prasetyo,5,
Alexander Budi,5,
Philippe Solages,3,"Kuil di lereng gunung ini memiliki konstruksi yang menakjubkan tetapi tidak terlalu besar, selesai dalam 20 menit. Harga 50000 agak mahal
@annephil (YouTube)"
