nama,rating,isi_review
Sadrah Harjito,5,
Habid Ridho,5,
henrietha putri,5,
Sup Arno,5,
punto danuaji,5,
WISYANARI SETYABUDI,5,"Mantap ,luas, enak buat olahraga"
Netty P Rahayu,5,"Jangan berharap terlalu banyak saat mengunjungi Museum Indonesia, tetapi museum ini ternyata cukup bagus. Ada cukup banyak koleksi dari masa pabrik gula ini masih beroperasi, termasuk beberapa koleksi mobil antik yang saya duga milik …"
Dinda C Putri,4,"buat harga 40rb, utk experiencenya biasa aja jujur. tapi overall oke👍🏼 …"
AGUNG SUDARMAJI,5,
Maulana Rizal,5,"Luas banget, kemarin buat nonton cerita sialku dari Raditya dika sangat nyaman"
Joe Fugie,5,"Asyik tmpt ya,buat rekreasi dan olah raga bisa,pokike joss"
Panji Irawan,5,
Teguh Wiyono,5,
Umi Arifah,4,"Bagus ,

Datangnya pas malam, jadi nggak bisa masuk ke dalam museum nya"
Andreas Wibisono,5,
Miratrianita Etty,5,Menarik untuk dikunjungi karena banyak historinya yg patut kita ketahui
None Any,5,"Keren ....tambah pengetahuan mengenai si manis ....mulai dr segi budaya, ekonomi,dll.... kekurangannya tiket mahal jika wisata yg ditawarkan hnya museum n spot Selpi..."
Raditya Andrew,5,
Agisha,5,"Tempatnya sekitar 20 menitan dari kota solo. Tempatnya luas, bisa foto-foto juga. …"
muh zamil,4,
andreas irawan,5,"Anak saya sangat tertarik dengan sejarah tempat ini, terutama mesin pembuat gula dan prosesnya. Stafnya sangat baik, penuh perhatian, dan ramah."
Fendy Sirimangalo,5,"Menambah pengetahuan mengenai sejarah pabrik gula sejak zaman Hindia Belanda. Petugasnya ramah membantu, recommended untuk dikunjungi."
Irna Notari,4,
Ajar,5,
ary brata,4,Kalo yg belum coba wajib coba.biar nyesel seumur hidup
Danni Ismail,5,Lega bgt tempatnya
SGPR 1648,5,
Ko Peets,1,tiket masuk harga 40.000 isinya cuma begitu saja. cukup sekali saja dan ga akan kesana lagi. …
Deasy_ Respati,5,
FransiskaChristiani Christiani,5,Bintang 5
LUSI PRASELYA,5,
Putri Qadar Rama Dania,5,
