nama,rating,isi_review
almeera salsabila kharunnisa,5,View nya kereeen... Jalur tracking nya aman dan nyaman... butuh stamina dan kondisi fisik yang prima untuk sampai ke pos 4
Mbah sarji,5,Luar biasa
ahmad yunus,5,"Kopinya enak katsunya enak , suasananya enak"
Dewi Koriati,5,
Aprilia,5,
Wildan Ainurrahman,5,"Tempat hiking ringan yang sangat recommended. Jika beruntung, bisa dapet pemandangan merapi yang megah."
Roni Irawan,5,Viewnya keren
Sofyan Wijaya,4,"2 loket
Loket pertama bumdes dan parkir, 5rb per orang , parkir motor 3rb, parkir mobil 5rb …"
nia artistika,5,Lumayan menantang untuk yang ga pernah olahraga berat/ g pernah naik gunung/ pengunjung dgn BB ekstra / sudah berumur
Ajeng Rusdianti,5,Pendakian yang masih cocok untuk pemula. Aman cuma kalo pas musim ujan harus hati-hati dan bawa mantel. Licin poool
Indah Oliip,5,"Perdana ngajak krucils tracking, Alhamdulillah finish sampe pos 4, indah bgt setiap jalan yg kita lalui kids friendly pula mantap pokoknya"
bambang suryatmojo,5,
Adam Bagus Sadewa,5,
Nadia Rochmah Kurnia Pratiwi,5,VIEWNYA JUARA .... kalooo ga mendung guys hahahaa plus saran jangan pada kesini pas weekend karenaaa syudah pasti macet dan padet sperti yg klian liat ditiktok tiktok
Nophie A,5,Tidak pernah bosan ke sana
Wonderfull Batik,5,Seruu sayang pas mendung pdhl sdh musim kemarau😁 …
Heru Senjoyo,5,Usahakan datang pagi biar tidak kabut. Jalan bagus
Toyib Kusuma Jaya,5,"Kendaraan terakhir terdapat tempat parkir dan untuk menuju ke ekowisata nya harus berjalan kaki lagi.
Enak datang di pagi hari."
arif kurnia,3,"Jalur tracking yang nyaman dan mudah untuk pemula, namun terdapat 2 retribusi, dimana sebelum masuk area parkir dan sebelum memulai tracking kita diharuskan membeli tiket lagi"
Yahya Nur Rahman,5,Tempat yang cocok untuk latihan mendaki
Amanda Safira,5,
Fathur Ridho,5,Keren! Akan kembali lagi
Kurniawan Aby,4,view nya bagus
Reza Putra Pratama,5,
R. Naufalul Khoir,5,
"Rochmanuddin, S.T Udin",5,Iya tempat bagus untuk trackin jalan kaki
Lita Hasan,5,Mantap seneng sekali.camp dsni nagih bangt...suasananya tenang dan nyaman.kamar mandi deket dan bersih sekali.wifi ada dan kalau pagi sampah diammbilin.dan warganya ramah sekali membantu tanpa pmrih.kmrn saya dibantu mendiriikan tenda trimakasih banyak mas mas sudah membantu dengan senang hati dan tanpa pamrih .
Dwi Kristiawan,5,"Pertama kali kesini (padahal kuliah di jogja udh 3 tahun) dan karena kemarin bertepatan dengan tanggal merah (Libur Waisak), jadinya yang ke Kali Talang ini juga ruame poll. …"
Yekti Wuryaningsih,5,"Suatu tempat yang sangat menyejukkan mata dan hati ketika kita berkunjung disini..
Lumayan cukup bersih lingkungannya dan ramah2 petugas2nya.. pertahankan itu.. …"
Re Gir,5,tempatnya kereen untuk yang baru belajar naik gunung
Naswaathifah Nurwahidah,5,
dwi lestari ummineyahya,5,"Tempat yang nyaman dengan udaranya yang segar, kicau burung liar masih riuh ramai terdengar di atas sekitar pos 4.
Di jumpai bbrp monyet liar di sekitar pos 3, monyet tidak agresif, aman, in syaa …"
tri jaenuri ahmad,5,
Andres Bahari,2,"Payah,bayar Weekend 15 ribu, Panjang antri ketoilet kr. cuma 1 pintu yg buka dekat pendopo itu. padahal 2 kamr mandi. Masa yg dibuka 1. Gimana ini pengelola..?"
Nur Puji,5,
Bernardinus Axcel,5,"Salah satu wisata alam yang cukup populer di Jogja dan Klaten. Untuk lokasi cukup mudah dijangkau dan fasilitas sudah lengkap. Selain menikmati pemandangan, disini juga bisa untuk hiking dengan pemandu atau pun rombongan pribadi."
Djae Ayu,5,Treknya jelas. Lumayan landai cocok untuk fun hiking.
Tamara Humairah Hamid,5,Sebelum hiking usahakan ngecek cuaca terlebih dahulu ya
nur mujab,5,Syahdu
Adhitya Aldu,5,Jalur tracking nyaman dan enak
Himawan Kurnia Eli Santo,5,
Sekar Dwi prastuti,1,"Sebelumnya saya mau nge review permasalahan di loket ke dua dan bersangkutan dengan sopan santun, sebenarnya semuanya baik-baik aja tapi setelah saya sampai di loket dan pengen beli tiket yang ke dua, saya itu di liatin sama ibu-ibu yang …"
Mayang Sah Putri,5,"Bagus, suka banget sama tempat nyaa 💕 …"
Oktaviaa Purnama,5,"Datang kesini pas libur panjang, ramai pengunjung."
Siswoyo Kucur,5,"View gunungnya bagus, tempatnya nyaman dan cocok buat refreshing"
H,5,"BUAT YG MAU KESINI, PLEASE JANGAN BUANG SAMPAH SEMBARANGAN DI TEMPAT SEINDAH INI."
eko setiawan,5,"Harga tiket murah sudah termasuk asuransi dan biaya parkir, harga makanan dan minuman di warung masih normal, toilet bersih tersedia dekat loket."
adhy Karyana,5,"Tempat nya bagus untuk menghirup udara segar.
Track nya lumayan seru.
Ada menara pandang tapi di kunci. …"
Hasbullah Akbar,4,Menarik untuk hiking keluarga mungil.
Harlis Cand.,5,Damai
Netty Riani,5,Trekking dengan view merapi yg cantik
RIDHO JULIAN WIJAYA,5,
Hafida Amalia,5,
ulfah alfiana,5,Cuma sampe pos 2 😅👍 bayarnya lumayan ya 13k sama 17k …
Yuni Artas,4,
Martin M,5,
Jayajayawijaya Wijaya,5,
Yoto Abdurrohman,5,"Suasana yang sejuk,segar dan nyaman
Subhanalloh....."
Wahid Hambali,5,
Marselina Purnomo,5,"Trekking di sini sudah 2 kali karena jalurnya enak dan pemandangannya juga bagus dan udara sejuk.

Walaupun memang susah cari cuaca yang pas supaya bisa keliatan Gunung Merapi yang seakan bisa dijangkau dengan tangan, tapi trekking disini nagih kok.

Mulai dari akses parkir yang sangat luas dan jalan masuk menuju ke kali talang ini juga mudah dilewati, disini cocok buat yang lagi program latian trail run, naik gunung, atau sekedar cari pemandangan alam dan udara yang sejuk.

Di tempat parkir jg ada beberapa warung jadi nggak usah kuatir kelaperan sebelum atau sesudah trekking.

Next time bakal kesini lagi! 😊✨"
teguh wibowo,5,
Redot Ebe,5,
danielion 023,5,
Brigitta Fiona,5,mantaap!! tracknya lumayan sih buat pemula but it was a good experience
Sultan Alif Al Aziz,5,
M. Faisol,5,Mengesankan
Sari Purna Wati,5,"Cocok bngt buat yg tenaganya mendang-mending, pemandangan buagus."
Saddam Hussein,5,"Saya kesini hanya untuk menikmati pemandangan Gunung Merapi saja. Tapi ada kok area buat tracking, tapi kalian harus ke loket dulu ya."
Bagus Pratama,5,"akses mudah dan jalannya bagus, bisa untuk akses roda empat juga, kapasitas parkiran lumayan banyak, jalur mendaki nya tidak terlalu curam dan banyak yang agak landai"
Anindita Azka,5,
Ade Andini Pradani,5,
Soni Setyiawan,5,"Tempat wisata di gunung merapi yang masih asri banget, tempatnya asik buat baca buku, nyantai dan ada jalur hikingnya juga"
nur b,5,mantap
Bambang Triatmono,5,"Kalau ke sana usahakan pas cerah, view merapi bsgus bgt.."
Tri Handayani,5,"Good place for hiking, jalan menuju tempatnya juga oke sekali pakai arah yang manisreggo / prambanan👌 …"
Wijaya Jati,5,"Tempat asyik dilereng merapi,masuk kabupaten Klaten kecamatan Kemalang,hawanya cukup sejuk, aksen jalan masuk ke lokasi mulus,cuma menanjak,tidak ekstrim, HTM 5rb, parkir mobil 5rb,motor 3rb, parkiran cukup luas, tersedia musholla dan …"
Persada Mas,4,"Suasana tenang, suhu relatif dingin..healing keluarga cocok"
antonvidy,5,Jalur tracking Lumayan bagus untuk pemula...
Shodiq Nurfalah,5,view memuaskan trek nyaa landai
Your Travel Buddy,5,Wajin dicoba
Wage Tri setyo,5,Tempat tracking yg asik..dengan pemandangan gunung Merapi
Sonia Sukma,5,"Bagus, bisa banget dapet best view merapi
Tapi mending jgn pas weekend/libur soalnya rame banget

Minusnya cuma 1: susah banget cari tempat sampah disana. Dibagian loket/ toiletnya gaada tempat sampah"
Irawan Andi,5,"Tempatnya baguss polll, jalur tracking nya masih bersahabat dan bersihh"
Aziz Nugroho,3,"saran untuk pengelolaa mohon di perhatikan parkirannya masak sudah bayar parkir masih  mindah"" sendiri motor orang karena tidak bisa untuk keluar mobil. dan mohon diperhatikan lagi untuk area camp mohon di seterilkan dari jalur pendakian karena kurang nyaman maturnuwunn🙏 …"
Vera Ira Era,5,
