nama,rating,isi_review
Kasmuri Hidayat,5,tempatnya bagus
Risma nurfiyan23,5,"wahananya seru, kamar mandinya bersih, kolamnya bersih tidak kotor luas kolamnya bisa buat berenang sepuasnya"
theloox try,5,
yudhi wahyu bimawan,5,
Hendra Widiasworo,5,
Rafa Vania,5,"Kolam renangnya bersih,nyaman,lmyn luas,anak2 sng bermain dsini.kolam renang anak2 dan dewasa terpisah jadi aman"
DANANGEDEWE OFFICIAL,1,"Kolam renang bagus, kantin bagus, tempat lumayan bersih, sangat disayangkan petugas parkir yg jenggotan agak rese, saya datang 7 orang, bayar 6 org, karna hujan deras saya numpang neduh malah diungkit2 masalah tiket masuk, perlu dibina org model SPT ini, padahal tadinya mo langganan di kolam renang ini"
Sumardi Izzur,4,
Chanel Youtub,5,
akhmad subekti,5,Tempatnya nyaman Dan bersih...suasananya elok seperti namanya
tabita endah,5,
Rizka Fitri Nugraheni,5,"Akses ke Elok Water Park ini mudah, dari jalan raya cuma maju sedikit sudah sampai. Parkirnya cukup luas dan teduh, karna ada pepohonan. Kolam renang dibagi menjadi 2 area yg bisa dibedakan untuk anak² dan remaja-dewasa. Lingkungannya bersih, pengelola ramah, dan bagi pendamping bisa sambil nyantai karaokean."
Moms Novita,5,
JK Comp Sragen,5,
cansa paeqiya,5,
yohanes widodo,5,cukup komplit dan bagus..
Itanur Realme,1,
kus mar,5,Tempat renang ok suasana ok
darma gm,5,Sabtu minggu
Ceri India sari,5,
Deny Kusuma,5,
Dewiosa X Kedai Java,5,👍🏻👍🏻 …
Lailatul Aja,5,
Arie Wisnu Eka Putra,5,
Tawon Ijo,1,Sangat mengecewakan
Sp Trans,1,"Mahal kotor, tidak rekomendasikan"
Najwa Phones,4,
Black Kebab,5,
LaLa Nyaka,5,
Ainicomp ticket,5,
Alfath Susi,5,
Novita Erlyanza,5,
Diah Hapsari,5,"* Lokasinya mudah dicari, tinggal masuk gang sedikit dr jalan raya.
* Tempat parkirnya Luas. Tarif parkir untuk mobil 5.000.
* Tiket masuk per orang 20 ribu. …"
ida susilowati,5,"Nyaman bagi yg memang niat berenang, kolam infinity luas. Utk kolam anak2 juga luas dan ada permainan prosotan macam2 plus musik live ..."
Iftah Afthoni,5,
Sutrizt Tjah kenne,5,bagus
Layl Hafidza,5,Kata orang tua saya dulu kalo mau masuk kolam renangnya harus pinter dulu apakah itu benar
Afthoni 3313,5,
AbadiJaya Persedotan Limbah,1,
Shodiqul A'mali,5,
"Gerry Hendrik, S.Pd.",5,Indah dan enak untuk rekreasi
Nadia Pramu Shinta,5,
Lina Annisa,5,
Farell Wirayudha,4,"Elok Waterpark terletak di RT.17/RW.05, Kebayanan Jetis, Pilangsari, Kecamatan Ngrampal, Kabupaten Sragen, Jawa Tengah 57252. Sebagai wahana rekreasi air, Elok Waterpark mungkin menawarkan berbagai fasilitas seperti kolam renang, seluncuran …"
Makmun Jaya,5,Sangat bagus pelayanannya barang juga bagus
eridwi cahyo,5,"Adem, nyaman, bersih,  air seger, termasuk murah lagi"
Nadia Ramadhani,5,
Wijaya Mandiri,5,
Yanto joglo cs Yanto,2,
Agus Tina Isni,5,"1. Lokasinya dekat dengan jalan raya, cukup masuk gang sebentar. Area parkir luas dan rindang. HTM 20K …"
Iin Iin,4,bagus tempat bersih
Kalya Azalia,5,"Kolam renang sangat bagus dan bersih, seru bermain disini, untuk tiket masuknya 20k/orang, biaya tambahan juga untuk sewa ban dan parkir. …"
Riska Herdiana,5,"Main saat libur lebaran, lumayan ramai tapi tetap menyenangkan karena banyak pilihan perosotan yang bisa dinaiki."
Afnita Dwi,5,Menyenangkan
Suryadi Suryadi,5,
wahyu mahendra,5,Saya dari Ngawi pas mau ke Solo coba2 googling water park area sragen ketemu yg dekat jalan utama dan wahananya jg lengkap dan bagus menurut saya dengan harga tiket 20k/orang termasuk murah
Devan Ac,5,
tribroto siwiadi,4,"Kolam anak ada, kolam dewasa juga."
Rizky Indah,5,
prabowo ajie,5,"Tempatnya bersih, banyak tanaman jadi teduh"
Wasi Al abror,5,
Jumeno Magetan,4,
iyaz iyuz,5,Membersamai anak-anak bermain
Pupunk Ipung,5,
Aktifah Murtafiati,5,"suasana indah, sayangnya bukak hanya sabtu dan minggu"
Ubaid H.Bandung,5,
Khadijah Ansharullah abidah,5,Oke
dr Zulaikah Istriyani,5,Musholanya luas dan bersih
Aie Sari,5,
Ibnu Giman,5,Mayan lah
Ari Barudin,5,Serasa kolm renang milik pribadi 😊 …
anton guntoro,5,
Ari Winarto,5,
Iqbal Bukhari,3,
Anggraini susilo Wati,1,
Arsya Sultan nugroho,5,Bagus
Kartika Kurniasari Sasmoko,5,"Wahana bermain air yg menyenangkan serasa kolam renang pribadi... tempatnya nyaman,bersih disertai pelayanan yg sangat baik dan ramah, HTM 20 ribu ..sangat recommended buat liburan keluarga...👍👍 …"
Danest echa,5,
Heni Rumiyati,5,
Marsel Ridwan,5,Sangat cocok untuk keluarga
Karno Sukarno,5,tempat lumayan nyaman terutama buat acara keluarga sangat enak harga tiket masuk terjangkau parkir geratis monggo di coba
alfarizqi aja,5,
Trio Kurniawan sanjaya,4,"Setiap kali Berenang disini serasa berenang di waterboom pribadi karena pasti selalu pas sepi 😁😁😁 utk fasilitas cukup bagus , cukup nyaman , harga juga sangat terjangkau tpi fasilitas untuk bilas  bisa di tingkatkan lagi karena terkahir kali kesini krannya mati utk bilas yang cowok 😊😊 …"
Global English Pare,5,"Waterboom baru nggak jauh dari pusat kota Sragen, cocok buat anak-anak kolam renangnya bersih tempat parkitnya juga luas. Alangkah lebih baik diberikan papan petunjuk arah sebelum masuk lokasi"
Tutyk Sastro,4,
Sukma PM,5,"Kesini sehabis lebaran. Cocok buat acara liburan keluarga. HTM 20ribu, parkir mobil 5ribu. Dikantin tersedia gorengan, pop mie, minuman botolan, eskrim dll... Semoga membantu..."
dirga perwira putra muftagri,5,
Saraswati,5,"Banyak pilihan wahan bermain air, kolam renang luas, ada kolam khusus bermain anak2 dan kolam khusus dewasa. Kamar mandi bersih, taman rapi dan terawat. Harga tiket masuk sesuai dengan fasilitas yg didapat. Harga makanan dan minuman masih terjangkau."
Lidhea Dheya,5,Seneng aja ngajak anak² maen kesini airnya bersih tdk bau kaporit dan tdk terlalu rame.Jadi anak² bisa puas bermain air
SUTOPO SRAGEN,4,
Umul lailatul Jannah,5,
Novita Aisda,5,
Endro Kustono,5,Murah dan cukup menyenangkan
Monica Grace,5,
Nur Salamah Wijayanti _SMA N 1 Slogohimo,1,"Mahal, kolam yg dalam keramiknya gelap takut ada ularnya karena dekat rerumputan"
Rahma Sofaniah,5,Tempat nya luas. Banyak gazebonya
bambang setyawabudiarta,4,
AGUS SRIYONO,1,
moh indra,5,Ada prosotannya berkelok kelok
Dedy Freedom,2,
arya alfatih,5,Tempat yg bagus
DAPUR FAFA,5,
R,5,
Endang Triyanti,4,
Novi Puspitasari,5,Bersih cocok buat si kecil
Nurul Hidayah,4,
Ratna Nurisuprihatin,4,
Heri Kurnianto,5,"tempat yang indah dan indah untuk referensi keluarga, pokoknya indah sekali."
Yola Ravelina,5,
TRI WULANDARI (Wulan),5,Murah bersih anak2 sukak banget
Arda Budiyanto,2,Cukup baik
Aldila Siddiq,5,
jualalat terapiwicara,5,
Medicano Surgicalgown,5,Ini bagus..
jose photography,5,"Rekomended sekali untuk anak2 yg ingin bermain air dan berenang

Dewasa juga bisa"
Wawan Prasetya,5,Cocok buat pool wedding party
Dhodo Koplak,5,"Tempat bersih,nyaman"
Paprit JR,5,
Fats Rot Channel,5,Tempatnya nyaman untuk anak2 dan keluarga
Dyah Ari Wulandari,5,"Tempat nyaman,,kolam bersih"
tito sandopartino,5,Menyenangkan
Endar Ardianto,4,"Tempat sebenarnya bagus, cmn pengelolaannya saja yg kurang maksimal."
Muhammad Suharto,3,Asik buat anak mainan air
UCOK RIMBA SEBRANG,5,
Djangkep Wiedodo,4,
jimmy 26,5,
Dian Ismianto (Ian),2,
fauzi handaka,5,
Titik Titik,4,",,👍👍👍 …"
fairuz nawwar,5,Tempatya nyaman buat liburan keluarga dan bersih tempatya ramah pelayanya semoga tambah maju buat kota sragen dekat perkotaan
Syafik Eko,5,
MANTAN WIYATA BHAKTI,5,Bagus dah buka serasa kolam sendiri
Halwa Hani,5,
Aisyah Aqila,4,
Dwi wiww,5,"Ada kolam dewasa+anak..
Kalo sore seperti kolam pribadi,tempat bersih dan rindang.
Nyaman,seru&menyenangkan.. …"
levy danzoo,5,
Annisa Zahira Nurhayati,5,
Dwita Hutama,5,
Sxtryylit Cat,5,
Niura Ikasari,4,
wafik Azizah,4,Assalamualaikum.... Elok water park ini tempatnya bersih.. Rapi.. Nyaman... Ok bgt lah.
Lestarisri Lestari,5,
Ririn Raihanrezka,4,Tempatnya nyaman ga penuh  kayak kolam renang yang lain.. toilet dan ruang ganti bersih. Cuma untuk HTM di sragen mungkin agak mahal.
Dewi Ayu warisman,5,"Kolam dan halaman nya bersih,luas
Rekomen buat nyenengin anak👏 …"
Khairu Nisa,5,
Ida wahyu Ida wahyu fatmawati,5,Bagus
Ismail Fw,5,
Dendepar dendeparwae,5,"Elok waterpark, cocok untuk melatih anak-anak berenang."
TeKNIK SINP,5,"Wsterboom dan kolam renang favorit saya di Sragen, air nya bersih, lingkungan nyaman, dan lebih ""privat"", jadi cocok bagi yang ingin bermain dan berenang dalam kondisi pandemi, dilengkapi hiburan musik / karaoke serta tersedia aneka jajanan dan minuman, jadi pengen ke situ terus"
Apri Anto,5,
Selin Fia,4,
Titus Ariyatma,5,"Kolam renang yang nyaman bagi anak2 dan dewasa ... Papan luncur yang bagus dan letak yang strategis di wilayah kota Sragen ...
Tambah menarik ... Cocok untuk berlibur keluarga ..."
Eka M Sholikah,5,Tempatnya bagus
Mbah Srie Official,4,Sangat bagus untuk rekreasi sekeluarga
Miswari budi.prahesti,5,
Samsul Arifin,5,
Nafi'awan Rajabbani fdk,5,bagus&nyaman
Fitrahmadhany KM,3,
Indrat susilo,4,
Wawan Nugroho,4,"Tempat tidak terlalu ramai dan ruang tunggu adem, tidak panas"
drajad saputro (dd farenhet),5,Kolam renang yg sangat bagus.. harus di kembangkan dan di tambah wahananya👍👍👍 …
Teguh Tirta 02,5,
Heny Lala,5,Bagus
danu mahendra,4,Bagus tempate
aning dessilawati,4,Kolam renang paling bersih di wilayah Sragen kota.. Tiap renang tujuannya ya cm ke Elok Waterpark.. 👍👍👍 …
Hello Ubay,5,Untuk Tempat ini sering saya kunjungi ketika sedang gabut di rumah
lieatenant mayor,5,Pemandangan gunung dari atas prosotan
DWI AWPI SRAGEN,5,Keren
anna kusuma dewi,5,
Alat Laundry Sragen Cuci karpet sragen,5,
Gustin Ayu (Daily Gustin),5,"Harga murah, tmpatnya lumayan bersih, silahkan di coba buat yg ingin rekreasi dkt hrga murce..."
Channel sbr.07,5,oke
Jasmin Dower,3,
Nurul Hidayah,3,
MNWAQIT,2,
Eko Andrie Erhan ramadhani,5,
Ahmad Syafarrudin,1,
el_ Ryans11,4,
Tri Wardoyo,5,
Masduki Keplek,5,
collector pensiun,5,untuk anak2 lumayan bagus
Tutik Carolin,2,
Dian Prihastomo,5,
NST,5,
Bralink Jhonatans,4,
Rindang Kasih Padmasari,3,"Bagus sih, tapi lumayan mahal untuk warga setempat"
Darwanto Purwoceng,5,
prima agustina,5,
Dewiosa Cell,5,👍👍👍 …
Beni Yaka,1,
ilham_januar sari,2,
Sania Adibi,4,
