nama,rating,isi_review
Chandra,5,Batik Legend Solo disini tempatnya..
agus riyanto,4,
damaryanti dwi rahayu,5,
Muhammad Dedy Ariyanto,4,
Dimas Mutaram,5,
Fatih Luthfi,5,
vonny sulaimin,5,"Ke sini krn diinfo warna batiknya beda dg Kauman. Ga beda banget sih, krn warna batik solo memang agak gelap, cenderung banyakan  warna coklat dan hitam. Tapi lumayan banget buat cuci mata 😁 …"
Rahmad Novianto,5,
Muda Basya,5,
Wahyu Puji Lestari,5,Dipersilahkan untuk melihat rumah produksi batik. pemilik dan karyawan di salah satu rumah batik yang ada di Kampoeng Batik Laweyan. Sangat ramah. Suasana tenang dan damai. #tilikbudaya
Defri Duantika,5,"Datang kesini dalam rangka ikut walking tour dari @soerakartawalkingtour.
Meeting Point di Masjid Laweyan, menyusuri gang-gang Kampung Batik Laweyan, memasuki salah satu rumah saudagar batik dan masuk bunkernya juga sekaligus …"
Annisa Annisa,5,
mitri noverianti,5,"Kampung yang hampir semua warganya membuat batik atau menjual batik, kampung batik ini dijadikan cagar budaya, setiap jalan dan gang banyak dihiasi pernak pernik batik atau lukisan batik, batik yang ditawarkan ada batik tulis, batik cap, …"
handoko susmila,4,"Bagus,tapi kurang komplit,dan model kurang update"
Sri Istiah,5,Di sini ada warung makan yang masakanya enak2 lhooo
subhan jumadi,5,
Siti Alfi,5,
Ngatman Priyo,5,
Edu van bruno,3,Tempat yang bagus
Muh Solikun,5,Batik nya mantab kualitas ok
sisilia liesty,4,"Bersih, dingin dan bisa melihat orang yg lagi membaik, walau harus membeli produk ya jika mau ambil gambar it's okelah."
Joko sulistyo (joko),3,
Muhammad Adam Fahmil 'Ilmi,5,"Mantab, sukses selalu Laweyanku"
Air minum PRIMARO,5,
Ifah Gusti,5,"Kawasan bersejarah dg arsitektur indah, merupakan sentra batik di Solo dg bbrp kuliner khas nya seperti ledre, apem, wingko dll.. luar biasa 👍👍 …"
Yullia Cipruts,5,"Mba2 di toko batik bengawannya gak ramah blas, padahal belanja hampir 1jt"
Sri Muryani,4,Bagusnya  model
Basuki Kustarianto,5,
Nor Aini,4,
dwiorisatifasari,5,
bendrad dwi prawisnu,4,"Komplit batiknya
Pelayanan dan parkir baik
Jalan agak sempit"
Oey Shen Lung,3,
Edy Sulistiyono,5,
Benz J Jonash,5,
Bagus Anang,2,Harganya
Ismail Abdullaah,5,Mantap surantaaaapp Esensi Cafe
Hafi Tari,5,
Lissa Malantia,5,Waa kampung batik terekomendasi di solo. Pelayanannya super ramah sekali. Masing2 ruko pumya ciri khasnya sendiri. Debest deh
03 Rahmat Adi Nursanto,4,
Bambang Nugroho,4,
Juru Wesi,3,Tempate bagus produknya lumayan sayang dulu belum sempat beli ..baru pilih pilih saja..
Lily Koo,5,
sigit siswanta,3,
Aris Setyawan,2,Bagus sekali tempat nya aku suka banget😃😃😊😘 …
Nunk Hazana,5,
ria wulandari,5,"Good People's Bisa belajar membatik disini, per person nya 75k"
Aqw Wibowo,5,Menarik dan lengkap
Felix M,5,Daerah terbaik untuk menemukan batik
Riya wahyu,5,
kebaya adhikari,5,Koleksi dan harganya pas di hati 😍😍😍 …
Rahman Hilmy Nugroho,5,
Gibbor Theofilus,3,
Setiyo Budi santoso,5,pakaian batik dr kelas mnengah sampai kelas atas...ssuai pilihan sekera pngunjung.
Putri,4,
Adiet Singgo,4,
Dinny Yuliani,4,
widyastuti setyaningsih,5,"Disinilah kampung batik terlengkap di kota solo. Segala jenis kain dan baju batik ada mulai dari yang murah sampai mahal.
Di tempat ini selain berbelanja, lingkungan nya juga sangat intagramable"
Ayi' Yanna,5,
putri septia,5,Jadi tempatnya kaya kampung. Terus di kanan kiri jalan ada toko-tokonya. Ada yg masuk gang yg lebih kecil juga.
reny Lukito,5,
laelatur rosyidah,5,
Fany Arynsa,4,
TRIMAN 70,5,
Emmy Endut,4,
Selga Karunia,3,"Sepanjang jalan batik kiri kanan, cocok buat yang cari batik tulis"
Rosdiana Rosdiana,1,
Joko Raharjo,4,
kimi yarsi,5,
Pidor Ham,5,Satu hal tentang bepergian adalah merasakan budaya eksotis suatu tempat. Saya senang sahabat Indonesia saya membawa saya ke rumah Batik di mana saya bisa melihat bagaimana setiap helai Batik dibuat. …
Winsa Khoirul Anam,3,
putri bapaknya,5,
Kinoy Vespa Tua,4,Internasional
Annisa,5,"Kebudayaan yang kental
Rumah di sana dihubungkan gang gang kecil, yang sebagian tdk bisa dilewati mobil"
Vandio Extrass,5,
Tarcoy prczz,5,
Totok Koernianto,4,daerah batik bagus bagus batiknya
antonvidy,4,
Ammar Ma'ruf Kurniawan,5,
Hanna Gandhi,5,
Agus Priyono,5,Tolong dijaga kebersihan dan nilai Historis bangunannya
adly nalin,4,
Yuyuk Yuniman,5,Inspiratif ...gudangnya konsultan
Kawula Alit,4,
Krisna Tirta Ryadi,2,
