nama,rating,isi_review
Desy Indriana,5,
Muhammad Khusaeni,5,
Endang K,4,Jsuh2 dr jogja kirain lihat yg indah tetnyata cuma makan es krim aja
Dedy F.Kurnain,5,Warisan
Agus Setiyawan,5,
Dwi Wisnu Wahyutomo,5,
rio tantrisya,5,
Graine Indra Artmetta,5,Cukup oke tempatnya untuk resepsi pernikahan…cuma untuk lokasi parkir sedikit tdak tertata rapi dan kurang tersedia dengan baik
yazsx,5,tempatnya bagus 7/10 kalo di rate. dsri salatiga berangkat pagi sampe sana siang bener² banget. tp banyak banget kenangannya. gelatonya jg enak.
Eksan arya,5,
DONNA SILVY,5,"Banyak spot foto, bersih. Gelato nya enak. Sayangnya kebetulan ada pesta pernikahan jadi gak bisa ke outdoor."
Abdi Nurdiansyah,5,Enak buat nongkrong santai
Ardelia Amanda,5,"Iseng kesini malem malem ternyata sebagus ituuu, gak begitu ramai jadi enak buat foto foto, banyak spot instagramable, gelato nya juga enak"
B.S.F lingsang wengi,5,Jadoel mantoel
Mecca,3,"Tiket masuk adalah beli produk gelato, cocok untuk yg hobi foto dan selfi.
Kurang cocok untuk yang tidak suka foto karena lokasi tidak luas, siang panas, harga gelato minim 20k untuk ±2scoop kecil. …"
arif wibisono,4,
Danar Widiyanto,5,
Fitri Margaretha Malau,5,
Ika Vibrianti20 (Nuuna_Viby),3,Sebenernya untuk tempatnya estetik bgt.banyak spot foto yg bagus.tapi kalo mau masuk harus ada transaksi dulu di resto gelato.kesini cuma krna penasaran aja sama isi dalemnya.
Nelson Yanto Kurniawan,5,
Noor Aufa Shiddiq,5,Cakep gedungnya
Natalie D,5,
Annatasya Ramadhany,5,
Baitul Mustopa,5,Kalau mau ke gedung djoeang harus masuk di gelato. Beli eskrimnya nanti sekalian dapet view dalamnya gedung. Spot foto estetik banyak disini. Wajib singgah disini kalau sedang liburan di Surakarta
novita rahardjo,5,
bekty multi,5,
kurnia timur,5,"Saya menginap di hotel yg terkoneksi dgn gedung Djuang.
Lokasi sgt strategis. Ada es krim gelato dan kopi untuk menikmati mlm minggu disini"
Budhi Mulyanto,5,
Agung Ardianto,5,
Linna,5,Area yang sama dengan toko gelato. Salah satu tempat bersejarah di Solo
Bambang W,5,
lulunsari rettob,4,"Pertama masuk sy pikir d dlm nya seperti museum, ternyata ada restoran dan cafe. Seharusnya sblm dtg sy harus baca lebih jelas lagii. Utk bagian halaman kita bs masuk dgn bayar parkir 3K.tp utk bs foto2 seperti yg ada d google kita. Harus …"
kolokal id,4,
Rina C'ciuk,5,
Gabriel Brilliantanti,5,
Gunawan Dwi Nugroho,5,"Tempat yang bagus, lokasi di tengan kota, sebelah BTC dan PGS.Untuk dapat masuk dan menikmati tidak mahal biayanya hanya beli es gelato minim 20k. Bisa photo sepuasnya. Di bagian belakang ada hotel Petit. merupakan hotel butik dengan banyak aksesoris yang bagus dan harga tidak mahal."
Freddy Zulkarnain,5,Instagramable
Aji Ardian,4,"Tempatnya bagus banget , tapi sayang harus beli gelato seharga 50rb untuk 1 orang apabila foto pakai DSLR/mirrorless , itu aja sih selebihnya tempatnya benar benar bagus"
Eko Harsono,5,
nuris hardono,5,Atas
R Gumilang,5,Splendid. Bangunannya cantik. Es krimnya lumayanlah
Sofyan Darmawan,5,
Regina,5,
Alan Adi Pratama,1,"Baru sekali ini, resto es krim tidak membolehkan keluarga untuk sekedar duduk santai ke dalam ruangan ( jika tidak membeli es krim masing-masing orang). Padahal kita ber 4, dan kita hanya ingin beli es krim seharga 50rb, untuk 1 orang saja. Tetap tidak boleh karena  harus masing masing beli eskrim baru bisa masuk ruangan."
Norman Logandu,5,"Sejarah Gedung Djoeang 45 Solo: Dari Kantin Militer hingga Simbol Perjuangan

Gedung Djoeang 45, yang terletak di Jalan Mayor Sunaryo, Kedung Lumbu, Pasar …"
Farel Al hafiz,5,
Dwi Salman,5,
Eko Hari M.,5,"View menarik, serasa nostalgia"
Nara Indriani,5,
hanna suryandari,5,
Aulia JihanZ,5,
mira nia putri garneta,5,"Luas, ramah anak 🫶🏻 …"
ardhian duta,5,
Zaim Official,5,Tempatnya ok buat selfie photo
Tiara Putri,5,"Bagus banget di sana kerasa kayak, ada rumah eropa dan disana saya bisa melihat solo jaman dulu"
Laura Victorine Christhea Pontororing,5,"Gelatonya ok. Beli minimal 20rb, bisa masuk buat foto-foto"
Cak Olleiy,5,Tempatnya bagus
Hervin Tosari,5,"Gedung Djoeng Solo di malam hari,  tempat yg estetik dan romantis., dengan menghadirkan ice cream gelato membuat smakin menarik.,
Tempat sunyi dan sepi, sangat menikmati suasana..,
Dari jogja hanya ingin menikmati suasana gedung djuang."
joko seket AE City,5,Sejarah banget
Taufik Efendi,5,
Teguh Wiweko Priyoaji,5,
Adelia_ Hasna,5,Masuk sini free dari hotel petit boutique langsung terhubung gitu sama gelatoku juga
Sofiaa,5,
Gadhing Mahendra,5,saya hanya sekedar numpang lewat saja kak
Aura Cintarani,5,"bagus, jalan masuk nya dari gelato gelato, tempatnya juga dekat pusat kota, viewnya bersih dan aesthetic, toiletnya juga bersih dan banyak, spot fotonya ga banyak tapi bagus2"
Leonita Rumenta,5,"Bangunannya super cantik, sayang ruangan-ruangannya terkunci. Terdapat petit boutique hotel dan gelatoku dalam satu area. Membayar seharga Rp 20.000 untuk tiket masuk dan mendapatkan satu scoop es krim gelato...."
Hendri Tama,4,
Bayu Prihasto,5,👍 …
Gert Lemkes,4,"Sebuah bangunan kolonial dengan pameran foto-foto kecil namun menarik dengan teks tentang awal Agustus 1949: pemberontakan besar melawan Belanda. Hanya dalam bahasa Indonesia, namun dapat dilakukan dengan terjemahan langsung melalui kamera."
Simon Priantoro,5,Salah satu tempat tempo dulu yang dijaga dengan sentuhan modern.
Mayang ningrum,5,Tempat Instagramable di jantung kota solo..menyatu dgn Petit Hotel dan satu area dgn Beteng Trade Centre (BTC)..staycation..shoping..and kongkow at one..👌🏻 …
Valdi A Febrian,5,
Zahrotul Jannah26,5,
Suci Intan,4,
antonz bams,5,warisan
muhammad yunus,4,Gedungny masih terawat dengan baik
Lovina Aryono,5,Teman yg nyaman buat kelg saat menginap di petit boutique hotel
Niken Aryani,5,
Little Peace,5,Pilihan makan gelato yg worth it. Rasanya enak harga sesuai pelayanan ramah n baik. Bisa fptp2 juga disini
RidiiK Basuardi,5,Tempat nongkrong yang nyaman sambil makan Gelato
Muhammad Rifat,4,"Tempatnya lumayan asyik, vintage abis, sempat berekspektasi klo ada atraksi bikin gelato langsung saat orderw, ternyata tinggal milih yang sudah jadi😁 …"
Baud Prananto,5,Gedung bersejarah dijadikan toko eskrim dan objek foto kekinian. Great idea!
Afra Almas,5,
Herry Sutami,4,"Tempatnya unik, bisa foto2, ada jual es krim gelato, harga cukup terjangkau mulai 20rb an. Cm toiletnya agak menyeramkan.. dan toilet cowok cm urinoar aja ga ada tempat bab."
Budi Yunianto,5,
woelly william,4,Bangunan bersejarah mengubah toko es krim dengan desain gaya kolonial. Ada seorang monunent yang berdiri tegak di depan kompleks.
Cindhy Yuanita,5,"tempat bersih dan parkir luas
biasanya gedung ini buat event
menurut saya, gedungnya perlu perawatan"
Suradi HS,5,Gedung juang 45 bangunan peninggalan jaman Belanda
Hermawan Nugroho Adji,5,
Agus Eko,5,"Bagus penuh dengan sejarah, gedung juga masih klasik"
erma susant,5,
Utama Ps,5,Suasananya mantap
Naila Rachmah,5,
DMR,2,Gay.
Siti Rohani,4,
Awang Handrawati,5,
yansen fransnata,2,Hanya tempat jual gelato. Tidak ada yang menarik
gokma gokma,2,"Tempatnya bagus, aesthetik, bagus dan bersih, cuma sayang pegawai yang jaga di depan pintu masuk, yang jual gelato dan mas yang jaga depan tidak ramah, terkesan malas melayani pengunjung. Saat saya dan kakak saya makan di cafe, kami di …"
NIRWANA Setiyowati,5,"Tempat yg asik banget,tenang, nuansa bangunan Belanda"
Harry Tritya,4,"Gedung Djoeang '45 sebagai bangunan historis kolonial Hindia Belanda, yg saat ini difungsikan sebagai kawasan wisata utk menikmati karya arsitektural eropa abad 18. …"
Eko Saputro,5,"Sering digunakan untuk event2, maupun acara nikahan."
Ferennrnrn,5,Gedung djoeang 45 yang berada di jalan utama kota solo. dekat dengan benteng vredeburg. memiliki arsitektur yang khas jaman perjuangan dahulu bahkan masih terasa vibes kuno nya yang dapat terlihat di dalam area gedung yang masih beroperasi …
Lukman Fahmi Djarwono,5,
Putri Rupu,3,
