nama,rating,isi_review
Bowo Ardianto,5,Asli enak and asyik banget ngecamp disini. Tempatnya luas. Bersih dan rapi. Suasana kalo malem full dingin tanpa AC. Cocok buat yang kesehariannya berpanas-panas ria dan butuh healing dengan nuansa alami. Berada di ketinggian dengan …
Alfi,5,"Tiket masuk untuk dewasa Rp. 5.000 untuk anak-anak Rp. 3.000

Di dalam ada cafe dan tempat duduk outdoor yang cantik. Disini ternyata ada …"
Velix,5,"tempat yang bagus untuk healing, banyak warung dengan aneka makanan dan minuman, juga bisa digunakan untuk tempat camping"
galuh sulistyaning,5,"Tempatnya bersih, hawanya sejuk, makanannya lumayan, harga makanan juga gak mahal. Buat yg punya balita, cocok dibawa kesini karena anak2 bisa lari2 dengan aman. Gak begitu curam. Tp tetep harus diawasi ya. Pas mau pulang kebetulan kemarin …"
Andi Prasetyo,5,"View bagus banget, angin dg  udara yg  sejuk dingin, akses jalan sudah lumayan halus tapi cukup menantang. Restonya harga masih terjangkau, paling suka menu snack2 nya, pisgor, dll. Suippp"
Mur G,4,"Tempatnya nyaman, bersih, sejuk. Tersedia wifi, kemarin datang pas tanggal merah harga penginapan 300K sudah dapat sarapan lumayan enak, disediakan teh dan kopi. Pelayanan baik, karyawan ramah dan sopan. Toilet bersih sayang agak jauh dari kamar 😊 …"
jerapah.itu.tinggi,5,"Lokasinya bersih, sejuk....
Ada restonya jg dengan harga yg terjangkau.
Penginapannya cukup banyak, mungkin ada sekitar 20an..
Ada gazebo n kebun strawberry nya"
Esti nm,4,"Tempatnya enak, suasananya nyaman.. Kalau cuaca mendukung bakal dapat pemandangan yang indah. Menu makanan juga beragam dari mulai makan berat sampai snack, harganya terjangkau. Ada toilet. Tiket parkir 2 orang 1 motor 8K. Tiket masuk mountain camp 5K"
Mbokke Chelsea,5,"Cocok kalo cari hawa dingin
Tapi sebaiknya kesana pas musim kemarau"
Kawit Prayogo,5,"Tempatnya Nyaman, Bersih dan Murah. Semoga akses kebagian Atas jalannya bisa diperbaiki dan diperlebar. Amiin …"
Agung Riyanto,5,"tempatnya nyaman..tp siapkan selimut tebal kalo bermalam di sini krn diiingginnn..
masukan...tolong kalau malam penjaganya minim 2 orang dong dan untuk pencahayaan …"
ahmad thoric,4,"Giri Manik..
Destinasi spot ngadem deket Slogohimo..
Diajak kemari sama Bu Artika sekeluarga…
Menarik siih.. spot nyantai asik bareng keluarga.. tapi ada beberapa catatan yg kudu diperhatikan..
1. Pagar ujung pembatas yg biasa buat berfto terlihat ga kokoh, khawatir ada anak kecil maenan, dan roboh.. ini sangat disayangkan mengingat Di Girimanik ini adalah tempat Wisata..
2. Backsound musik yg diputar ga match sama lokasinya, terlalu kenceng, dan pemilihan musik yg kurang tepat…
3. Alangkah baiknya disini disediain mini zoo, jadi anak anak makin betaaah aja kemari…
4. Es beras kencurnya kudu direvisi deh menu nya, aq yg penggemar jejamuan, cukup kecewaa dgn yg satu ini :(
…….
Yg aku suka disini: Gethuk Gorengnya enaaaaaaaaaaaaaakkkk!!! Sampai nambah cobaaaa
.
Yg pengen nyari spot makan dengan View Pemandangan indah nan ajaib, GiriManik salah satu Solusinya…"
MJD DGB,5,"Tempatnya nyaman,saya kasih saran ya. Kalo pengen cafe dan glampingnya hidup. Harus bikin kolam renang. Karna tidak semua orang mau ke air terjun yang aksesnya jauh. Pasti saya akan sering ajak keluarga liburan disini jika ada kolam renangnya."
Ristya Mulyasari,5,Kalo pulang kampung selalu mampir ke sini. Ga pernah bosen datang ke sini... Apalagi pisang goreng nya bikin kangen suasana kampung halaman.
Byx's Asy'ari,5,jika ingin menuju atas dgn motor harus ekstra hati2 aplgi ada belokan yg cukup tajam jga.
Kakazhi dweja,4,"Tempatnya di Wonogiri bagian timur, tepatnya di desa setren Slogohimo Wonogiri.

Sebelum masuk ke tempat ini di pintu gerbang pertama masuk bayar @3000 …"
Agung Suparto,5,"Camp site dengan pemandangan bagus, udara sejuk, tersedia 11 cabin dengan fasilitas bagus (berisi 2 single bed), kalau mau pakai cabin nya sebaiknya book dulu sudah termasuk sarapan, terdapat resto, toilet bersih, air panas tersedia untuk bayi, makanan khas Wonogiri, suhu malam hari bisa 12-20 C, tiket masuk murah."
