nama,rating,isi_review
ANANG GL200,5,
Srihandoko Handoko,5,
Ngat Tono,5,
Pur Wanto,5,
Yusup Danu,5,
Mas Da,5,
Kros Maulana,5,"Area pegunungan,,yang sejuk sekali"
Pur Pur,5,
Harumi Boemi,5,
Sigit Sugiri,5,
El Putra,5,
Rizal adhinugroho,2,Parangtrisi tempat wisata dan ziarah tempat yg sangat cocok utk melepas kepenatan
Komo Lewat,5,
Tirtomoyo,4,
bayu rahadi,4,"sudah ada perbaikan, dulu tempatnya kumuh dan sering dipakai untuk anak muda pacaran tp sekarang sudah mulai tertata. semoga terjaga terus ke-asri-annya"
Dasman Jaya,5,
Ibnu Nugroho,5,Bagi yang paham menajubkan
Maria Sari,5,"Bagus, wisata religi, utk nyenyuwun
Dalam gua byk bekas lilin berserakan, kalau guanya bagus"
Dwi Haryanto,5,Tempat yang sejuk dan alami
Prabowo Hs,4,"jalan agak sempit.
menanjak sedikit."
Fandy Gafar,5,
Setiawan Thox,5,
ardi mey,3,
Wahyudi Umboro,3,"Lumayan,;masih perlu fasilitas pendukung."
Sriyanto Yanto,5,
Suki Yatno,3,Aset yang terurus
Ningsih Sea,5,"Bagus tempat yg penuh sejarah Putri kencana Wungu ,kisah putri dari kerajaan  Majapahit yg terbesar diNusantara kala dulu serta kejayaannya"
Nurul Eekaa,3,
marmo adi,3,"Dlu awalny menarik, sekarang tidak terlalu"
Agus Sri Wardana,4,
Hossain Reza Hutabarat,5,Pemandangan yang bagus
Dwi Murni,5,
Luluk Lailatul Farida,3,"Tanjakan masuknya luar biasa, gk ada ancang2 buat naik 😂😀 parkir deh di bawah, naiknya jalan kaki(pulang-pulang betisnya oii...kaku semua)eee.. sampai lokasi masih ditutup 😂😂😂 …"
Surya Angkasa2,5,
Melva,5,"Goa ini bagus. Termasuk tempat yg sakral. Ada sendang air suci di dalam goanya. Kalau ke sini di musim hujan, pakai sepatu karena tanah di dalam lengket2. Jgn pakai baju putih krn gampang kotor 😁 …"
Sam Widodo,4,fantastis
Alif Qhinthul,3,
Tekti Ningsih,5,
Edy Prasetyo,5,
Rief AMD,5,Wisata alam pegunungan kars yg banyak goa alami
Joko Heri,5,Fantastis
david firman,5,Tempat berwisata sekaligus edukasi yang recommended di Pracimantoro
Aruna Jauharil,4,Sayang sekali tempat ini belum buka untuk umum. Saya sebelumnya sudah konfirmasi lewat telepon kalau tidak rombongan bisa masuk. Tapi pas saya ke lokasi gerbang dikunci dan tidak ada orang sama sekali. Memang tetap mengikuit protokol untuk tidak membuka tempat wisata selama pandemik.
gotilsojen 22,5,Bagus
Ardi Yanto,5,
Yorri Gadud,5,Bagus
Leong,3,"ini yg semalem ada dicerita misteri salah satu acara radio, yaitu Jimat Sajian malam jum'at, yg awalnya lokasi pengambilan batu kapur atau apa itu. Salah seorang pekerja dapat mimpi, trus digali hingga nemu lubang goa. Serem banget ceritanya"
Bunda ZQ,5,Tempat wisata di daerah wonokerto yg lumayan indah
Firenischa abellia,4,Terimakasih atas ulasannya.
Charger -86,4,Sya suka
Endah Susakti,5,Tempat Terhebat
Java Krisna Media,3,Sempet kecewa direla2in kesana malah jalan akses digerbang dan gembok tidak ada petugasnya
Seputar Wonogiri,5,Terima kasih.
Ratin Aji,4,Lumayan tapi kok pas aku kesana belum buka ya tp enak sejuk
Edy Antho,5,Wisata peninggalan kerajaan majapahit
DEWANGGA PRATAMA,1,👍 …
Rossi Galih.,5,Ngleasing wkwkwk
Pariadi Setiawan,5,👍 …
MANDIRI ELEKTRONIK,5,
Schmutzigs,2,"Petugas tidak ada, tidak terurus, goa dkunci"
Heru Setiyawan,5,
Bambang Kenut,5,
amat bokir,5,Bgs
Mahardika Yoga,5,Sangat seru berwisata di Goa Putri Kencana
Nhimas Ayu Kinanthi,3,
Gua Tanding,3,Goa putri
Yoga Putra,4,
Boby Fredi,3,
Lina Wahyu kalista,5,
Triyanti Darmawati,3,Masih alami
Dwi Cahyono,4,
Ardan Pamungkas Pamungkas,4,"Goanya unik ,panjang. ,tempatnya nyaman..."
Danang Tjk,4,Keren
Traditional Art Studio,5,Indah
Hendra,3,"Tempat nya kurang diperhatikan oleh pemerintah, toilet dan parkiran kurang"
Skansaprasta Tata Boga,1,
Aldy Kurniawan,5,Sejuk tempatnya
Wiyan Tho,5,
Khoirul Nisa,5,Potensi wisata desa Wonodadi yang sangat menajubkan. Wonderful the earth 🌍 of wonogiri …
Rangga dy,5,"Anda suka kegiatan liburan yang bertema petualangan bersama alam? Nah, kalau anda hobi menjelajah, gua putri kencono harus masuk dalam daftar tempat wisata di Wonogiri yang akan anda kunjungi nantinya. …"
Diky Dwi Harjanto,5,Wisata goa paling natural dan tentunya terkeren
Panji Ariyo,5,
AHMAD HAZIM ASSARY NUR AZIZ,2,
Ahmad hazim assary nur aziz,5,Joe
jemi Afrison,1,
Irawan Yulianto,5,Bagus
Anif Widyastuti,5,
Tyan Elang,4,"Gua temuan sekitar tahun 1990an, lumayan bagus didalamnya, tapi kurang terawat, jadi berkurang keindahannya"
Afan Samsung,4,
Asiih_ rere,5,
Defri anto,1,
Ag. Andika Nur Alin,5,
Diah 12188,2,
TATOK HIMAWAN,4,
dia prihanto,4,
Wawan Manjung,4,Rasakan  sensasinya di dalam gua
Gokilzz Rasty,5,
Andre Piith,5,
eplek metal,4,
Hartanto Cipta Nuansa,5,alternatif wisata di Selatan Wonogiri
Rosian,5,
Alifian Nur Rohmad Arif,5,
Whays Alqorni,3,
Oktav,5,
felicite silenzio,2,jauh2 nyampe t4 ini ternyata tutup.  kecewa berat..
Anita Sari,5,
Annisa Fajar Siti Fatonah,1,
The Briendiel Channel,5,
Edo Kenzo,4,alami
Oktaffyani Puji,3,
Fajar Setiaji,5,
Damm,5,Thanks to Smk Al Amin Palur atas kunjungannya.
Ahmad Syahputra,1,
Irmanisty,3,Sepiiiii bangeeeeeet
iTV iskandar,5,Jika
Puji Yanto,5,Goa putri kencana terletak di daerah pracimantoro tepatnya  didesa wonosobo wonodadi tempat ini biasa dipakai ritual para pengunjung ngalapberkah atau Duniawi
Amalfitano Hafis,5,
Bakul Karak,5,"Cukup menarik, goanya lumayan dalam sekitar 100m jarak dr mulut goa sampai ujung goa, dan didalam ada tempat yg lumayan luas, ada juga sendang dan mata air didalamnya"
Dheficxz 23,2,
Retno Purnomo,4,
Supiyarno,3,
Edhar Pelipurlara,5,Lumayan Cantik
Eko Nurhadmanto,4,
Aryanto S,3,Markotob 👍👍👍 …
Rais Solo,3,
Amayoriあまより,5,
bayu sagara,5,"Tempat yang asri , dengan bebatuan stalagtit&stalagmitnya"
Dwi Wahyudi Zain,4,"Gua yang indah dan masih alami dengan lingkungan yang asri,"
Kukuh New,5,
Slamet Riyadi,5,"Tempat wisata sekaligus tempat religi,, dmn kita bs melihat akan kebesaran allah swt,,,serta bs berimajinasi bahwa kerajaan itu ad,,,silsilah majapahit,,,gua brawijaya ,,,"
ekosutrisno riantoro,5,
Tri 2672,5,
Sultoni Frw,4,Goa ini memiliki karakter yang dipadai dengan stalagmid dan stalagtid di sepanjang goa. Lokasi goa ini sendiri ada di Kecamatan Pracimantoro yang berjarak sekitar 40 km jika dilalui dari kota Wonogiri. Wisatawan bisa menikmati keunikan goa dengan ciri khas batu-batu menggantung.
Zaidan Dzilan,4,
Modif _kce,4,
Doni Seno,5,
