nama,rating,isi_review
Aim Subarkah,5,suasananya nyaman dan menenangkan..
Nita okto,5,
Rini Widatipujiwati,5,"Pemandangannya sangat bagus udara enak ....tempatnya bersih, mushola bersih, ada kolam renang cocok buat healing....
Tiket masuk murah......
Ada cafe ."
ahmad ubaidillah,5,ada kolam renangnya dan sejuk
dedi anggoro,5,
Warto adi Dms,5,
Bang Miko,4,"Alamnya indah, sejuk nyaman, ada resto, mushola, kolam renang, enak untuk refresing"
Agus Joko,5,
oryzasativa,5,Bagus adem tempatnya ada goa ny juga cocok untuk yang ingin ber rekreasi
Dimas Adi Prasetyo,5,Sejuk cocok untuk rekreasi keluarga
Suprih Jabrik,5,
nova addietya,5,
Eko Priwibowo,5,"Dewasa 3, anak 4 kecil bayi 1, 60 rb.
Renang tambah 15 rb
Kopi 5 rb …"
ratna handayani pop ppo oppo p PPP 0ql,4,
Shaquena Albar,5,
Gembul Chanel,5,Oke
Arfi Surya,5,Bukitnya tinggi sekali
Prih Hatmoko,5,"Adem, sejuk, view kawasan gunung dan pesawahan, harga tiket terjangkau"
AJEK P,5,
Muham Johar,5,
Ranti Kurniasih,5,Pas sepi banget..renangnya kyk dikolam pribadi..
Sri Ambarsari,4,Suasana sejuk dgn hamparan sawah dan pegunungan yg hijau....fasilitas lengkap tapi utk kafe menunya blm byk.
RATRI DIYAH R,5,
Wiwit Paguchi,5,
Nadanisa Nisa,5,
Hanung Surya Saputra,5,
Andika A,5,
Yus Laeksmi,5,Tempat asri nyaman cocok buat klrga
Alvian Hendra,5,
Triyono Trondholl,5,
Harun AR,5,
Azim,5,
susilo dwi,4,bagus menarik sayang goanya belum sepenuhnya gi benah i
Agoeng Tosca,5,
Ahmad Mahrus,5,
Diva Parang,4,
Raesa Rania,5,hariku...
jaman harmanto,1,
wahyudiono 75,5,
Hana Fernando,5,View-nya bagus
Ribka Felani,5,
Rudy Ndablex,5,Oke
SDN1 SOMOROTO PONOROGO,5,
Suro Gedhug,5,
Setyowati,5,"Rute menuju Goa Resi apik, jalan bagus dan lokasi wisata lengkap dengan fasilitas. Yg utama harga sangat ramah di kantong dan sangat cocok buat refreshing bersama keluarga dan teman2 utk menghabiskan waktu bersama"
anton pranowo,4,Tempatnya sejuk dan nyaman untuk bersantai.
Retno Ricky,5,"Cerita nyaa ke goa resi pakai gmaps, lupa mencet jalan yangg khusus mobil, alhasil di puter2 in nihh sama maps kanan jurang, atas gunung, mntr gx bisa nanjak, harus turun jalan kaki, suami yg bawa mntr, baru jalan berapa langkah ad bapak2 …"
Indah Fitry,4,
pokoke 313,4,
Bambang Susilo,5,"Pemandangannya cukup bagus, cuma nggak nemu penginapan di sekitar.
Pengin lihat kalau pagi pasti lebih indah 😍💓 …"
Mbah Kardi,5,
Botak Bersinar,4,Saya datang lumayan sepi sih ngga kayak pas awal awal buka
Martini Bangko,5,
Pungky Nugraha,5,Sejuk...
Yuriska Nurha,5,Oke
Alzio Gibran,5,"Tempatnya nyaman untuk liburan keluarga , fasilitas sperti toilet dan musola tersedia"
Nurkholid Setiawan,4,
Likin Kautsar,5,Itu luar biasa
Siska Ajeng,5,
joko andri,5,
Sri Rosmayanti,5,Tempatnya bagus bersih. Pemandangan alam yang alami. Udaranya sejuk. Harga makanan terjangkau.
nur Na'imah,4,
Shari Adi,4,"Udara sejuk, nyaman, pemandangan bagus"
Viola Firda,5,"Bagus,"
Jonii Pramono,5,
Dody Setyawan,5,Menyediakan berbagai macam sparepart kebutuhan motor anda🙏🏻🙏🏻 …
Satiri Ahmad,5,"Tempatnya bagus, udara sejuk, didalam goa udaranya sejuk, pencahayaan bagus"
Ninos batara,5,Nyaman sih tempat juga bersih
heny dwi,1,"Hawanya sejuk, cafenya juga recomended harganya"
Amel,5,Sangat bagus sekarang li pemandangan ya
Giovanda Luvita,5,
Edy Mantep Mantep,5,Goa Resi yg berada didaerah nlgarangan bulukerto wonogiri atau paling ujung timur laut wonogiri yg berada dilereng selatan gunung lawu .adalah tempat yg indah dsn sangat memukau dgn pemandangan yg sangat indah dan menakjubkan diatas goa …
eko haryanto,4,"didalam hawanya Adem sejuk Damai, cocok buat Meditasi..

pas meditasi sebentar malah kebayang kanjeng ratu kidul hehe"
Marjono Jono,5,"View n lokusnya menyengkan, berhawa sejuk. Sekaluan jadi sehat....so naik tangga juga spot lainnya harus berjuang dengan topangan dua kaki utuh."
Titi Fauziah,5,"Perjalanan yang melelahkan...
Berangkat ke atas nyampe, mau pulang turun udah gag sanggup lagi 😄😄😄
Semoga suatu saat nanti bisa ke sana lagi aamiin …"
Partin Hartanto,4,
mbah Ndot,4,Akses ke lokasi mintak aspal semua
Danang Siswanto,5,
Radit Fariz,1,pelayanan tidak bagus ..arena berenang mentang mentang yang berenang cuma 1 anak wahana bermain nya tidak dinyalakan... sungguh mengecewakan...
Muhammad Chudlori,5,"Keren, biaya masuk 1 org 15 rb
Masih alami goanya byk kelelawar"
Andri bahwanto,5,
Alit Suranto,5,
Hafidz Taufiqul Hakum,5,"Saya suka dengan wisata disini banyak area berfoto dan ada gua resi sebagai wisata utama disini dan pelayanan sangat bagus , okelah buat liburan keluarga"
Sulusi Lael,5,Wisata alam yang bagus
Sabrina Alea,5,
MJD DGB,5,
Carina Galas,5,
Ki Pak So,5,
Romantiretno Halimah,5,"Wisata alam di wonogiri timur. Jalannya cukup ekstrem, tapi terbayar dengan pemandangan yang luar biasa"
Spall Spill,5,kalian harus coba kesini guysss ... ada fasilitas shuttle jd ga capek2 naik. makanan murce2 enak jg .
Pur Wanto,5,
Amalia Nofitasari,3,
Yan Gunk,5,Mantul
Adit 04 (Aditya),5,
Palupi Novitasari,5,
fifi fitro,5,
Tedjo Sasono,4,Tempatnya asyik
Mala Azizah0610,5,
FAJAR SETYO HANDOKO,5,
Rini Astuti,4,"Tempatnya sejuk, bersih, parkiran luas, toilet bersih, cafe makanan harga terjangkau dan lumayan enak"
Tom OSR,4,Tempatnya enak udaranya seger...  Tempat makan juga murah...enak juga... Ada kolam renang di taman atas... Dan ada shuttle untuk antar jemput bagi yg malas jalan
andi hartanto,5,
Nada Juwita,5,
Sd Advent Surakarta,5,"Lokasi bagus, pemandangan nya keren, cocok utk refreshing dan olah raga.😇 …"
Antonius Poerworaharjo,5,Udara sejuk. Pemandangan alam paling ciamik. Pemandangan alam dan wisata air 75% vs 25% gua Resi. Wisata untuk keluarga.
Mufida Ansaf,5,MasyaAllah wisatanya bagus bangett aku suka nii😍 …
Nur salim,5,Lokasi bagus. Susana adem dan bersih..
Kawit Junaedi,5,
Wandi Asmoro,4,
Sri niati,5,"Wisata alam yg menarik. Aku datang pas sepi ,suasana jadi tenang sejuk dan pemandangan jg bagus."
Susi Susanti,5,"Udara sejuk, bersih, lengkap, dan menyenangkan"
Risky Yudha Tama,5,
Fadhilah Syahputra,3,Bagus
agusm Marsudiyanto,5,"Terima kasih ka Agus, atas review positifnyaa ❤️"
dewi puspito,5,Tempatnya sejuk. Naiknya agak nanjak. Tapi tenang di sediain shelter minibus. Ada kolam renang juga dan tempat makan.
Tukang Las,5,❤️❤️
nafies ammar,5,❤️❤️
Rio Dedi Prasetyo,4,Tiket masuk 10rb ongkos naik armada ke bukit pp 5000
Yessy Patmala,5,
Arvirey Lestarry,5,"Lumayan bagus tempat wisata ddaerah,bersih,rapih,ad kolam renang anak2 dan dewasa"
Hishon Wutsqo,5,
Dani Zaelani,3,
Purnomo Poekil,5,
Julius Handoko,4,
Afifah Jee,5,"Bagus bgt pemandangannya, cocok buat aku setelah tiap hari liat gedung2 pas mudik kesini rasanya seneng bgt. Healing, hunting, santai2. Recommended bgt pokoknya. Tp cape bgt kl jalan"
gilar yusuf,5,Alami banget
Nadia Cheisa,2,pelayanan lama
Muhammad Taufik Akbar,4,"Lokasinya nyaman untuk piknik, tapi untuk hiburan orang dewasa kurang menarik, Karena hanya ada spot foto …"
Hamba Allah,5,
Rahmat Tolib,4,"Hati2 klo abis hujan naik tangganya licin, tolong untuk pengelolanya rajin2 ngosek tangganya biar g lumutan"
Fitria,5,"Bagus tempatnya, sejuk. Ada ayunan juga, kolam renang juga ada. Banyak spot foto"
Dedy Darmawan,5,
Shofie,4,
Hafid Soleh,5,
Puri Cak Wan,5,
Sri Laras,5,View-nya bagus sekali.tanjakannya ekstrim
RM. Kusumo,5,"Keren...ramah..tiket terjangkau...
Idum...dingin"
Erna Novebrian,2,
Nono Naget,5,
Ricky Yanitra,5,"peninggalan sejarah yang bagus dan di tata rapi, rekomended untuk wisata bersama pasangan, teman-teman ataupun keluarga"
Ella Aneira,4,"kesana pas lg gerimis jd vibes nya sejuk dingin tp bisa diangetin dgn makanan dsana, tmpat nyaman makanan jg terjangkau,cuma saran aja toilet tlong kasih kamper/pengharum toilet biar ga bau plus lbih dicek kebersihannya lg, selebihnya ok pemandangan jg bagus"
Fendy Potong Rambut,5,
Andreas NASA,5,Rekreasi keluarga biaya terjangkau
bang karmins,5,"Suejuk dan cocok untuk mengheningkan diri ,anda harus kesana untuk membuktikan"
Ali Suryadi,4,"Dingin banget, pengen sembuh Yo muleh Wonogiri 🤩 …"
Ndaris Sompiel,4,
EDI Parwanto,5,Tempatnya nyaman suasananya sejuk bisa refles dipikiran pemandanganya istimewah lanjut lain waktu
Anwar Fuadi,5,Cantik
Eza Grosir,5,Tempatnya dingin..indah..jajanannya murah..gak capek main kesini karena naik turun ke taman bisa naik mobil shutel..
Sipay Pairul,4,"Goa di wonogiri dengan pemandangan bukit yang hijau, berhawa sejuk dengan spot selfie juga ada shuttle untuk naik dan turun biaya naik 3k kalo turun 2k,ada fasilitas kolam renang, mushola,food court cocok untuk keluarga anda yang pengen healing"
corry damayanti,5,Gua terbersih ramah bgt petugas n penduduknya...
Maharani Dyan,5,"Tempatnya bagus, sejuk, tenang, fasumnya bersih dan terawat, staf²nya ramah dan baik hati, ga nyangka wisata goa bisa senyaman ini. Rekomended bgt. 2 👍👍utk goa resi wonogiri. Pertahankan ya. Kuy ramekan tempat ini …"
Ofi elKahuripan,4,
Rofiq Muklisin,5,"Wisata alam yang sangat indah....
Suasana yang nyaman dan damai...."
Masirel,5,
Sun Arto,5,
Putri Rahma,5,
Imam Sholikin 3,5,
Arzetya Virdiana Ayumi,5,
Aulia Nadia XII-2,5,
aroemi Poetri,5,Keren dekat kampung halaman
Maryadi Maryadi,5,
nesi ngamalin89,5,
Edi Pratomo,5,
QUOTESER DIAZ QUOTESER DIAZ,4,lumayan bagus
Warhamni,5,
Iptek Muhshoni,4,
Risan Antariksa,5,
Teddy 88,5,Bagus sejuk ..mengingatkan sejarah u generasi muda ...sayangnya di cafe blm tersedia makanan
Nila Cenil,5,Puas bgt deh tempat nya bagus bgt🥰🥰 …
Ryna Puspitasari,5,"Tempatnya bagus bagettt, rekomendasi pokoknya untuk jalan jalan disana dan hiling. Aku di goa resi 3 kali dan bagus bgt. Udaranya sejuk ditambah pemandangan yang menyejukkan mata"
Ti Party,5,Tiket masuk terjangkau. Untuk kolam renang juga rekomendasi untuk anak-anak. Dengan panorama pegunungan yang sejuk sehingga membuat betah berlama-lama disini. …
erfan shaputra,5,
Ardistha Yuliana,4,
Sherly Kristy,5,
gin mothor,3,
Nifsu Laili,5,
History Jatiroto,5,Tempat nya nyaman sejuk
Ryadi Ayem,4,Sejuk
Eny Suranti,5,"The best..., tempatnya bersih.. udaranya sejuk.. dan kami sekeluarga bahagia..."
Ernest Argani,5,"Tempat ok, cm parkir rada jauh tdk cocok utk manula"
New HartanTi,5,
Teddy Hartono,5,
Hasna Adeeva,1,
mahmud alinurdin,5,
Agus Susilowarno,3,
Yeni Astuti,5,"Sejuk, nyaman, banyak spot foto. Keren, cocok juga untuk wisata bersama keluarga"
Antigo Bagaskoro,5,Baguss💯 …
Google Personal INDONESIA,5,Bagus
Tarisa Tri Utami,5,
Yyy Almunzir,5,Yang penting stabil
Gilang Permana (Gilang),5,
Gus Yani,1,Bagus
Rista supomo,4,Bagus tapi jalannya ekstrim
nanik lestari,5,
Zah Ra,5,
Rino Anggoro,5,Mantap. Sayang tempat jauh diperbatasan timur
Padmiyati,5,Nyaman. keren
fitri yani,5,"tempatnya bagus,jalannya sudah bagus,terdapat 2 kolam renang, terdapat gua,caffe dan spot foto yg keren"
Aisyah Al Humaira,5,Bagus.. pemandangannya luar biasa.. harga dan layanan sesuai.. mantap..  toilet bersih.. kolam renang bersih..
mulyaningtyas kartikasari,5,
Bayu Mo,5,
AMIR SUPADI,5,Mantap... Pesona alam yang artistik
Sarkun Koen,5,
Amn lele mnc22,5,"Tempatnya indah bisa lihat persawahan dan desa
Sangat rekomendasi untuk liburan bersama keluarga"
Windarto,5,
lely daryani,5,"Diluar panas, pas di dalam gua seperti salju"
Susilo Grand,5,
SAFARI GADING TRAVEL,5,Penataan yg indah dan tertata rapi. Meski jauh dr kota tapi banyak pengunjung yg datang
Amoret Bonnie Aristo,5,Tempat yang indah
Yoga Ardi,5,
nurgaha aksomo agung,4,alami panoramanya tempatnya bersih
Siegfried Novagrada,4,"Bersih, asri 👍👍 …"
daffanland,4,
Jamiatul Hasanah (mia),3,
rama rissa,5,samagat
Arinda Weddinia,5,Walau jauh tapi terbayarkan sampai sana lihat pemandangan yang indah
sigid hariadi,5,Asik. Kopinya mantap
Miyarsi,5,"Taman Wisata Goa Resi merupakan taman wisata dengan view pegunungan. Udara Sangat sejuk, bersih, dan fasilitas lengkap, pelayanan wisata juga bagus. Tapi akses jalan menuju wisata agak rusak.. semoga ketika berkunjung kesana lagi sudah diperbaiki."
Era Setiyawati,5,
Achmad Andika,5,Tempat refreshing yang cukup oke lah
Akooe Reza,5,
Wahjudya Soeprapto,2,Bersih dan nyaman
Ary Ary,4,View bagus
Mas beng 07,3,Pelayanan ga asik yg kerja ga profesional main sendiri berisik. Juga parkirannya terlalu jauh
