nama,rating,isi_review
galih akademik,5,"Goa tembus terletak 1 jam dari pusat kota Wonogiri. Satu kompleks dengan Musem Karst di Desa Gebangharjo, Kecamatan Pracimantoro yang ditemukan oleh warga sekitar tahun 2011. Tinggi gua 7 meter dan sudah tidak menereskan air. Panjang goa …"
Jody Febryan Bagaskara,5,"tempat wisata edukasi tentang karst, masih banyak tempat disini yang masih lestari, tempatnya luas sejuk"
Arimbi,5,Pengalaman yang sangat berkesan saat pertama kali masuk goa terkejut akan keindahannya
De Bestenherz,5,Gua yang masuk area Museum Karst Indonesia. Walau panjangnya sekitar 75m kalian jangan sampai melewatkan melalui gua ini. Di atas gua ini didiami kelelawar-kelelawar yang menambah keseruan suasana gua.
Anggara W. Prasetya (Anggarawepe),4,"Goa Tembus berada dalam kompleks Museum Karst Indonesia yang menjadi alternatif kunjungan mereka yang berkunjung ke sini. Goa ini tidaklah panjang, paling hanya sekitar 3 menit untuk berjalan menyusurinya dari ujung ke ujung lainnya. Di dalam goa juga sudah dilengkapi penerangan."
fb Kurniawan,1,"salam mga bsa lebih baik lagi
tu kb peraci sukses selalu 😀😀😀 …"
Bani Setyoaji,4,"Tsmpat asik,ada taman dan jalan dalam area wisata.bisa untuk olah raga."
Syahrul Sidiq,5,pengalaman yg sangat berkesan buat saya ..
Adhe aditya,5,"Tidak perlu khawatir mengenai tiket masuknya karena biayanya sangat murah, terlebih lagi bukan hanya keindahan alam yang memikat mata, tetapi ilmu tentang bagaimana manusia prasejarah pernah hidup di daerah ini.. Wisata yang mengedukasi"
DUNIA BURUNG,5,tempat yang bagus buat refresing
dedi sumardi,5,"Bagus benar bagi kaum muda yg sedang pacaran, semakin mesra di tengah keheningan, tapi mas dan mba jgn piknik malam hari. Sbb banyak hantu."
agus ts,5,"Goa yang unik, tembus dikedua sisi. Di goa tembus ini juga pernah digunakan untuk syuting film wiro sableng waktu aku kecil."
RIZKI KURNIAWAN,5,Bagus pemandangan nya sejuk juga udara di sini dan tidak terlalu banyak polusi udara yg mau berkunjung di sini silakan untuk warga yg berada di kota kota besar
Vyan Rhezza,5,Pura puncak jagad
Rief AMD,5,Misium yg apik dan berwawasan cocok untuk yg cari pengetahuan tentang pegunungan kars dan satu satunya di pulau jawa
Yusup Eko Prasetiyo,5,"Lokasi d sblh selatan rumah saya , to setelah pendemi masih sepi sampai sekarang"
Sandy Wijaya,4,Masih ada yang buang sampah sembarangan
Fany Cahyawati,4,"Penerangan di dalam gua cukup baik, mengurangi resiko tersandung saat berjalan"
Syamsul Munir,5,Benar2 beda dgn yg lain.  Lebih natural & suasananya tenang tentrem
Giyatno Hadiantoro,5,"Saya senang karena museum karst di renovasi,di situlah saya main setiap hari"
Evaldo Dasil,5,Aku pun oernah kesana ternyata guanya sangat bagus
Yuniar Piliantoko,5,"Tempat yang bagus , masih Terlihat nuansa Alam Alami"
Yunius Arsita,5,"musium batu""an purba dengan sgala sejarah - sejarah bebatuan kars di indonesia"
Ardan Pamungkas Pamungkas,3,Museum dan geopark yang indah
aries wibowo,5,"tujuan wisata keluarga di kawasan karst wonogiri, dan diarea museum karst pracimantoro.."
MANDIRI ELEKTRONIK,5,"Tempat Wisata yang Sangat indah Akan Pemandanganya,,"
Damm,5,Inovasi baru ..
Fabian Gunawan,5,Kebetulan ada di desaku pariwisata musium kars indonesia...
Yusuf Armando,5,Kampung halaman saya waktu masih kecil...
Ghony Salam,4,Bagus cuma kurang pencahayaan..
Drh. Kantun Setiawan,5,Anak-anak senang main ke sana
Indra Suryanto,4,Sangat bagus buat pacaran...
Bambang Sriyatmo,5,"Tempat maen dari kecil, kampung kelahiran"
Bhara ND,5,Ok... Kenangan...
Arie Fairuz,3,Rekomendasi wisata edukasi tentang kars
DTW,4,Nyaman sejuk bersih.
Rio Achmad,5,Keren
Tyan Elang,4,Wisata gua menembus gunung
Revansa 102016,5,Karena desa saya pracimantoro..
Faizah Fitriasih,5,Dekat dengan kampung halaman..
Gyar gi,5,Kampung halaman bro
Kliwir Chanel,5,Tempak Untuk Berwisata
Herry Vnot,5,"Bagus banget,,"
Intan Aninda,3,Bakso bakar?
Dwi Wahyudi Zain,3,indah banget....
sabo Shinobi,5,Bagus
Ipong Wardhana,5,Masih asri
hilmi kaukabun,5,Keren
joko hartanto,5,"Pemandangan sekitar bagus, udaranya sejuk.."
Jenian Marin,3,"Salah satu gua yang terletak tidak jauh dari Museum Karst, Pracimantoro, Wonogiri. Ada papan informasi di dekat mulut. Gua karst khas di Geopark Karst Gunung Sewu, menampilkan stalaktit, stalagmit, speleothem, sungai bawah air. Jika Anda ingin mengunjungi gua di dekat museum ini, Anda bisa kesini karena gua lain letaknya lebih jauh."
Kenz sabbath,5,Kondisinya bagus. Ada penjelasannya di dalam gua. Bagus
manUL sport,3,Lum ayan
Alloe Setiyadi,4,Tempat yang bagus..
Chatarina Hapsari,4,
Brahmantha 8,5,Silakan kunjungi tempat ini.. luar biasa
Kini Husna,5,
cendra wasih,5,
Muh Kucing,5,Bagus
Pungky Aztama,4,mengirimkan
Hanif Asyari,5,Wow
Muannas Nur,5,
Asdiansyah Saputra,2,Tidak ada fasilitas
Jhon Kiplo,5,
Alfa Luchifer,5,Tempat yang sempurna
Indra Wijaya,2,
Diki Irvanda Nur Arifin,4,
Panthera Adi Nugroho,5,
Achmad Yulianto,4,
Niridas Okta,1,
Sigit Sugiri,5,
Restu Handayani,4,
Winda Diyah,4,
Eka Andry,5,
Purwanti Wanti,5,
Feiza Athalla Fahlifi,4,
Sifa Aulia Zahrani,5,
Habib Burhan,4,
Reza Risky,5,
no no,5,
Wiwin Erna93,4,
Dewie Novita,5,
Qaulan Syadida,5,
Oktavia Kartikasari,5,
Zainal Arifin,1,
BEDUDAX RASAX,5,
Nurul Purnama,4,
zahiq channel,4,
yoko id,5,
Alvin Kusuma,5,
sri Winarni,5,
Luthfi Kurniawan,5,
Wahyu Aditya,3,
Gunawan Ganteng,5,
Eko supriyanto,4,
Pipit Nur Sholikhah,5,
Dwi Purnomo,5,
Muhammad Rafi Kurniawan,5,
Diah 12188,3,
Musik Fals,5,
Koba,4,
Bhe Wijayadhi,3,
Diki Alvandi,5,
Mas Ram69 official,5,
Ragil Aja,5,
Nur Cahyani,5,
Rinda Fionitard,2,
Putri Mega,3,
Nurul Dessy Ardiani,5,
Kidjo Kirana Rakino Kirana,1,
Subi Anto,5,
DiAdzkiya Chanel,5,
Sodikin Dikin,1,
Dhika Saputra,1,
Wahyu Eka Arifianti,5,
Wasto Jenggot,5,
Ardhana_Gk 86,5,
Kanjeng Putra,5,
Aji H Susanto,5,
