nama,rating,isi_review
BAGAS JUNIANTO JUNIANTO,1,
Ramayana AC Variasi,4,Sering lewat
Erlina Pertiwi,4,"Kesannya terlalu luas tempatnya atau kurang penuh dagangannya ya . . .
Tapi enak dan nyaman . .
Parkir lumayan luas. . ."
louphdeath 4ever,5,
Muhammad Azis,5,
mustofa elqowi,5,
hapsari putri fashion,5,Bagus
Teguh Riyanto,5,
Galih Putra ramadhan,5,
Eko Suryono,5,Patokan pabrik gula jika ingin ke arah klaten
budi Setiyono,5,
Adhyatmika,5,"katanya buat shooting film horor yah, hehe. sangat konoha."
Jepro samudra Wisnuatmaja,3,
Sri Murdiyasih,3,
christanto tri,3,
Waks Waks,5,Enakkkkk
Hananto Roby,5,Lokasi syuting film Pabrik Gula
oki anto,5,
laila ihsan,4,
Anto Kris,5,
Rose Anto,5,Seru menyenangkan rumah hantunya
Oxlade Befi,5,
Khoironi Rachmad Damarjati,3,Pabrik gula yang selalu dilewati kalau ke Klaten. sudah tidak fungsional jadinya dijadikan wisata ala ala lokal. ada museum tentang sejarah gula dan ada kereta lori gula. bisa jadi alternatif wisata anak sekitar klaten. tapi akhir2 ini agak kurang terawat areanya semoga lebih baik lagi
Alex Murgito,4,Ok semua.
IlyasNM,5,"Tempatnya baguss banyak namun sayang tidak serame dulu
Semoga semakin berkembang"
Lesmono Widagdo,5,Luar biasa dan perlu di kunjungan jangan sampai terlewatkan
Bowo Ardianto,5,Salah satu pabrik gula di Klaten yang saat ini sudah tidak aktif lagi. Sisa-sisa kejayaannya dimasa lalu dapat disaksikan dari artefak yang disimpan dalam museum. Berbagai peralatan pembuatan gula masih tersimpan rapi. Umumnya sudah tidak …
Ardi Yanto,5,
Pak Eko,4,
Bapakne AAA,5,"Museum dari salah satu Eks Pabrik Gula di Klaten, selain Eks PG Ceper Baru."
Didik Klithikanonthel,5,"Keren KLO dikelola lagi
Vibes vintagenya kerasa banget"
abu ubaid,3,
Yulia Puspita,5,
kwr gaming and fishing,5,
Muhamad Fikri,5,
Iqbal_CaValleRa7,4,
Ardian Purnomo,5,
Aldian Aditama,5,"Tempat yg sangat bersejarah yg masih adanya sampai saat ini
Sayang tempatnya kurang begitu terawat banyak rumput & ilalan tinggi sekali, andaikan terawat mungkin banyak sekali wisatawan yg berkunjung"
raditya dian Nugroho,5,
Ronggo Radityo,1,
dwi wahyu,4,"Hbs di percantik,, perl ditingkatkan fasilitas, permainan, tempat nongkrong n foodcourt"
khansa ibrahim,5,
Susilo Suryo Wibowo,5,Pas kesana hujan lebat jujur ada hawa nuansa mistis nya pas yg berkunjung cuma aku doang
bagas satriya,5,
Kiki Kirana,5,"Tempat lokasi film horror ""Pabrik Gula"" yang disutradarai Awi Suryadi (sutradara film KKN di Desa Penari) dan juga salah satu pabrik gula bersejarah di Indonesia, masih banyak sekali peninggalan Belanda yang ada disini. Saya sebagai penyuka …"
Ongko M,5,
Sheriena Mega,5,
Parama Aji Darmawan,5,
Singgih Purwanto,3,
Suradi Wonogiri,5,
Anjar N,4,
Purwandi Purwandi,4,
Karnadi -,5,Masya Allah Tabarakallah
Hadi,5,"apakah ada guide di sini? mohon infonya admin
rencana mau studi ke sini. membawa rombongan"
wa ode selfi darfiah,5,
Azis Bugis,5,"Layak di kunjungi..dan penuh sejarah, cuma sayang kurang di rawat."
Sigit Saputro,5,
adeyomie,5,
Irawan J. Hariyono,5,
Edi Suprayitno,4,
Fandi,4,
Wiwik Widijawati,5,"Kena macet di pintu keluar tol klaten pas mau pulang kejogja...akhirnya ambil rute yg kearah gondang winangoen ini,lancar jaya"
ary gms28,5,"Tempat bagus. Tp pelanggan sepi. Eman""."
argand febry,5,
