nama,rating,isi_review
Wahyu Retno,5,
Martin W,4,
Allex Suprayitno,5,
Francisca Wulan,5,"Tempat bagus ,terawat  bapak yang merawat Hua Maria ramah sekali"
Mas Miko,5,
Kurniadi Hindarto,5,Sunyi .... Cocok untuk devosi ke Bunda Maria dan refleksi diri
Paulus Waluyo,4,Oke sip...
Lauren Sia,5,"Terletak di Tawangmangu, sehingga menjadi salah satu pilihan tujuan wisata religi bagi yang sedang berlibur di daerah Tawangmangu dan sekitarnya. Dengan suasana alam pegunungan yang tenang, sejuk dan indah, serta terdapat tempat yang untuk beristirahat."
Chris Natalia,4,Tempat berdoa umat Katolik ditengah perkampungan 🙏😇✝️ …
Sylvia Bieng,4,
Vrexfy Mp4,5,Gua yang sangat menarik untuk dikunjungi
Ronaldus Bagas Prasetyo,5,
Katarina Maharani,4,"aku cm punya foto proper ini aja.

pls guys jalannya beneran ga masuk akal, udh curam + rusak. berdoa spy kendaraan …"
Bernadeta eM Dee,5,"👍👍
Sepi dingin
Tempat doa ternyaman …"
Anselmus,5,Tempat yang menyenangkan
loncengonline times,5,
Hendra Yana,5,
adhi prabowo,5,"Gunakan motor dalam kondisi Fit. Kurang disarankan mobil, apalagi mobil sedan.
Google maps beberapa provider tidak tersedia layanan internet. Tidak ada plang penunjuk jalan. Tetapi tanya warga saja , warga sekitar sangat ramah. …"
Danarto Agung,5,
Marisa Christ,5,
Lia Anne,5,"Masih asri bgt suasana nya bersih dan khusyuk buat berdoa, semoga makin byk yg tau dan mengunjungi tempat ini."
Maximilian Edwin,5,Tenang
Pradina N,5,
Camplongan,4,"Lokasi di tepi jalan yang berliku. Pastikan mobil dalam kondisi prima karena jalan sempit dan curam. Pilihlah rute yang datang dari barat, jangan yang dari utara meskipun lebih dekat tapi jalan lebih ngeri. …"
velelia lopes,5,
benny rahmawan,5,
Must Bee,5,"Tempat doa yg benar2 hening dan damai. Lokasinya jg tidak terlalu sulit dijangkau,medannya sedikit menantang tp kondisi jalan cukup bagus. Untuk mencapai gua harus hati2 karna anak tangganya curam ttp syukurlah lokasi gua tidak jauh dari …"
GojeKk Jakarta Driver,5,
Investman Wong Newreef,5,"Jalur barat jalan naik lewat pertigaan desa Sepanjang beraspal tetapi sempit dan terjal berliku, menurut warga masih lebih baik daripada lewat jalur timur dari terminal Tawangmangu yang lebih terjal"
Dedy Iskandar,5,"Gua maria yg asri, sunyi, rindang, dan
Terjaga bersih oleh bapak Narto yg sangat amanah.

Saran menuju lokasi naik motor atau mobil roda 4, dengan kondisi mobil yg siap untuk tanjakan ( siapkan gigi 1 dan 2 ), jalan aspal sampai lokasi bisa berpapasan 2 mobil pelan2, diusahakan tidak sedang hujan.
Saran rute PP lewat matesih ( dari bawah ) ke lokasi gua maria.
Parkir mobil bisa di lapangan terdekat ± 30 meter dari pintu masuk ada papan nama kecil

Tangga turun ke gua maria dari jalan masuk tidak jauh, hanya ±50 meter kebawah.
Jalan salib memutar sampai pemberhentian terakhir salib besar.

Air sendang sangat sejuk.
Buku tamu disediakan dan kotak

Toilet terjaga bersih dibawah pendopo tempat istirahat.

Bantu Jaga kebersihan dan ketenangan"
Sebastianus Nugroho,1,Jalan menuju tempatnya kecil jadi kalau kesana bawa mobilnya harus kecil dan medannya agak extrem harus benar² menguasai Medan di sana
Agung,5,Gua dng lokasi yg belum tertata..... Bil angin berkunjung lebih nymn dan aman dng nik roda dua saja... Kalau makai roda 4 kendaran n driver kudu Save bnyk tikungan yg menanjak dn jln pas pasan
Albertus Rahindrayuda,5,Berkah Dalem
Yohanes HP,5,Sungguh aku penasaran dengan sebuah tempat taman doa yang ada di Tawangmangu kab.Karanganyar ketika ada kesempatan waktu bersama keluarga aku berusaha untuk berziarah ke tempat taman doa Gua Maria Sendang Pawitra tawang mangu . Konon …
Paulus Pangka,5,"Gua Maria ini bisa dg Mobil, namun belum ada tempat parkir utk lebih dr 2 mobil.
Nyaman, mhn maaf bagi lansia tdk direkomaendasikan, kr cukup terjal tangga …"
Stefanus Agoes,5,"Tenang, dingin untuk berdoa"
Poppy W,5,
WISYANARI SETYABUDI,4,"Tenang, adem , tempat ziarah nyaman"
Ardi Dimarjati,5,Sejuk dan tenang.. pas sekali untuk berdoa
Jias Zekunas,3,Mantap buat Doa & Meditasi. .
danar dono,5,Tempat Ziarah Katholik yg tenang dgn udara yg sangat sejuk
Ragil Seno,5,Kawasan hening
jojohan herutobanderas,5,Tempatnya Adem...khusuk untuk berdoa.
Yoh. Anton Nugroho,5,"Tempatnya bersih, terawat dan masih bernuansa alam"
Rafael Novena Budi Harmawan,5,Sejuk
mugosa arwon (MUGOSA),4,masih sepi nih
Saverian Heaven,5,"Gua Marianya sepi bagus, jalur akses ke Gua Maria hanya bisa dilewati mobil kendaraan roda 4 saja . Area parkir di lapangan bola. Ada pendopo dan toilet. Untuk jalan salib beberapa bagian kurang terawat. Tetapi cocok untuk berdoa secara …"
Martinus Porjum,5,Susana tenang damai dan asri nyaman banget buat doa dan menenagkan diri
Widi Nugroho,5,Otw
Rima Dita,5,"Berasa tenang banget disini, bisa mendinginkan pikiran"
danny touch,5,"klo via google map diarahin ke jln kecil kampung sebelum terminal ( dari tawangmangu/dr atas) jln nya terlalu sempit 1mobil dan tanjakan curam nan extrim.Lokasi nya setelah lapangan besar jln pelan kiri jln ada lahan kosong 1 mobilan, turun …"
hesthi tomo,5,"Suasananya tenang, didukung oleh udara yg sejuk, enak utk berdoa Rosario"
FRANS LPL,5,"Tgl 26 Mei 2021 berkesempatan mengunjungi gua Maria ini.
Berangkatnya saya pakai motor matic lewat belakang terminal Tawangmangu.
Jalurnya luar biasa ekstrim. Tanjakannya tinggi sekali. Bahasa Jawanya Ndengkek. …"
Untung Sugiarto,5,"Tempatnya sepi, baik untuk berdevosi. Jalan masuk licin turun tajam harus hati² dari matesih jalannya  bisa menguji adrenalin"
GANARKA,5,Ingin doa semedi disana
andi fariyanto,4,Kurang terawat
Aruna Jauharil,5,Akses jalan ke sini tidak terlalu bagus karena belum diaspal. Temparnya juga menanjak jadi persiapkan kendaraan yang fit biar menjaga keselamatan diri sendiri. Tempatnya sepi tenang dan cocok untul beribadah. Jika ada pemandunya akan lebih …
Hendrik,5,
Benitto P L Sinulingga,5,
Bambang Pitoyo,5,Jalan e juosssssss...tanjakane siiipppp
Christio Langitan,5,Bagus
Yan Yan,5,"Gua maria sendang pawitra sangat indah menarik suasana sekitar masih alami,karena berada di lereng gunung,tapi bagi yang mau berkunjung ke sana harus berhati hati di karenakan medan jalan yang sulit dan jalan kecil,banyak tanjakan yang tajam."
Rakta Raditya,5,
Christianto Trihanggono,5,Senyap tenang
Suksma Dalem,5,"14 Desember 2011, gereja ini telah dihancurkan oleh pihak yang tidak diketahui; patungnya hancur. Sebagai catatan, cagar alam ini dibangun tahun 1975-an. Menarik berada di sini? jika anda berkendara dengan sepeda matic atau sepeda biasa. …"
RideR SFU,3,
Katerina Gabriella,4,"Kesini enaknya naik motor, tempatnya adem. Sayang sptnya tdk terlalu dirawat jd banyak rumput"
ribut eko,4,
fransiskus xaverius,4,Tempat yang tenang untuk berdoa...hanya saja kesan tidak terawat....patung bunda maria kelihatan kotor dan dibuat asal2...(mungkin dalam tahap finishing) penunjuk arah blm banyak hanya mengandalkan GPS....jalan terjal curam...bagi yang tdk …
Swanny Gita,5,
ikhabhakti rajut,5,"Tempat doa bagi umat nasrani tempat yang tenang, teduh,dingin krn terletak didaerah tawangmangu"
ery hermawan,4,
Yodi Yodi,2,
Prasetya Adi,3,Bagus cuma parkiran kurang memadai
Mahessa Transmedia,3,Mohon info utk peziarah yg menggunakan bus. Area parkir utk bus smp ke lokasi goa maria jaraknya berapa ya? Apakah ada shuttle/angkutan?
Andreas Kevin,3,"Bagus tempatnya, akses nya saja yang agak menantang."
lourensius awan winarno,5,"Tempat doa yang sangat mendukung untuk refleksi tindakan hidup kita selama ini, sejuk nan asri, damai dan tenang,airnya dingin pemandangan bagus,akses jalan sudah baik, masyarakat sekitar ramah, Berkah Dalem"
Gabrielle Lenny,5,
Dionisius Thomas A,5,"Lumayan jalan kaki turun Naik bukit dari hotel..
Penunjuk jalan kurang sayannya tapi Tanya saja ke ibu bapak yg kita jumpai sepanjang perjalanan mereka sangat ramah dan akan menunjukkan jalan"
Vincensia Dita,5,Luar biasa jalannya... Tp nyeesss sampe gua nya...
Gowes Mumet,5,
Valentina Sheni,5,"Tempat doa, dengan suasana hening, tenang, dan damai, the best sekali"
Gabriel Axel,5,
Silver Surfer,5,Kuil ini terletak di daerah Karanganyar dan berada di daerah dataran tinggi.. Dapat ditempuh dengan mobil namun akan lebih baik jika menggunakan mobil jenis Jeep/SUV karena di beberapa bagian jalan harus menanjak.. Sebagian besar jalan …
Budi Setiawan,3,
Lily Farida,4,"Jalannya curam, tapi tempat yang bagus untuk berdoa dan pemandangan gunung yang indah"
Budi Santoso,5,Tepat untuk berdoa yang damai dan tenang walau kondisinya seperti apa adanya
Agung guthill,4,
Antonius Tri K,5,tahun 1999
