nama,rating,isi_review
Diva Desiyanti,5,
Widodo Hadi,5,Ke gunung gandul 35 tahun silam tepatnya tahun 1990 ketika lulus SD tempatnya sejuk.
zez de vries,5,"Gunung Gandul terletak di Wonogiri, Jawa Tengah. Dengan ketinggian sekitar 600 meter, gunung ini bisa didaki dengan jalur yang cukup mudah, sehingga cocok untuk pendaki pemula. Puncaknya menawarkan pemandangan yang luas, termasuk kota …"
Nanas Merah2,5,
Bocah Desa,5,
Joko Jeje,2,"Beberapa waktu yg lalu, saya pingin kesana pagi2, karena udara pasti sejuk, tapi ada portal yg menghangi motor untuk masuk,  akhirnya kembali agak siang sengan cuaca yg cukup panas, soalnya kalo siang dikit aja, cuaca cukup panas. Sungguh …"
Pak Putra,5,Tempat menenangkan diri.
Daehan Rifqi,5,"Gunungnya bagus,enak empuk lembut teksturnyaجنقهيتهثز"
Dar Wanto,5,
Bang RAKAN Channel,2,Tinggal diperbaharui biar tambah cakep
