nama,rating,isi_review
Rahma,5,
Saskia Nazwa Azizah,5,
oldine djiputri,4,Tempat sampah
Gangsar Bejo,5,
adi kusuma,5,Mantap
Siti Hardiyanti,5,
Aris Christanto,5,Dimanjakan dgn pemandangan yg asrii selama melewatii daerah itu....
KRT RIO,5,"Tempatnya msih alami,asri..pas tuk keluarga"
A3 Grafika,5,dingin yang indah
Java Jaya17,5,
Harjono Dwi,5,
dewi ratna ciptasari,4,
Eres Ga,3,Jika yang dimaksud adalah Stone geopark maka masih bersifat potensi yang dpt berkembang baik. Sekarang ini displainya masih belum setara jika dibandingkan dengan museum Melange di Karangsambung. Secara umum bagus dan prospek bagus.
Oka Oka Bento,5,"Kabupaten yang luas di wilayah daerah istimewa yogyakarta. Orang sering menyebutnya jogja lantai 2. Kalau pengen kesini, bisa malam hari karena akan disuguhkan pemandangan malam hari kota jogja dengan kerlap kerlip lampu dan hingar bingar kota."
ALAUDDIN,5,sudut pandang
Patna W,5,
Andi Roja,5,
Niko Ferdian,3,Lumayan indah
Dinar Anata,5,"Asri, asyik dan menyenangkan."
sigit_chanel,3,
Dedi Sukandar,5,
Adit Mujeck,5,Asri
Gombal Gombil,1,
Widhi Pratama,5,Elok tenan
Nur Cahyadi,5,Suasana dan pemandangan yang menarik
Rose Kim,4,Pemandangan Yogyakarta yang indah. Sebuah kota di bawah langit
Linda Hani,5,Itu menyenangkan
Saputra Yeo,5,
Oktavia Ekawulansari,5,
Erni Diana,1,
