nama,rating,isi_review
Widya Pratmaningsih,3,
emo rat,5,Bagus
Brilliant Van,5,
Dunia anak Ceria,4,
Safitri Sulistyorini,5,
membaca alam,5,Museum Batik Danar Hadi menurut saya salah satu tempat yang wajib dikunjungi saat di Solo. …
Agustinus Simanjuntak,5,
Lek Cong,5,"Tempatnya estetik, batiknya juga cantik untuk harga bervariasi"
famousaj1,5,"sangat informatif. 11 kamar Batik untuk dinikmati. membutuhkan waktu sekitar 2 jam untuk tur berpemandu. harga tiketnya 45k per pax. pemandu kami, Gigoh, sudah siap dan berpengetahuan luas."
Wahyu Toyota Solo,5,
Budi Waryanto,5,Antik
Barry Oblak,4,
Danda Filana,5,Saya waktu diresto ini mempunyai pelayanan yang amat dan sangat bagus. Mempunyai fasilitas yang memadai alat makan bagus dan rasa makanannya enak
Junaidi Budi Prihanto,5,"Museum batik yang menarik, menampilkan 1200 koleksi batik kuno pribadi dari pendiri Danar Hadi. Batik tertua berusia 100an tahun dan koleksi dibagi berdasarkan usia, asal, dan periodesasi zaman. …"
Ulfi Faizah,5,"Pengalaman berharga dpt pengetahuan ttg batik Indonesia terutama batik koleksi Danar Hadi 😊 Terima kasih mbak Gati yg uda menemani kami dan memberikan penjelasan2 yg menarik disertai dg keramahannya 🥰 Monggo yg sedang jln2 ke Solo mampir ke museum ini, insyaallah g nyesel deh 😊❤️ …"
johan ardin,5,
udianto udianto,5,
Luvron Luray,4,
Ifah Atmaja,5,
Kindergarten Teacher,5,Bagus. Koleksi beragam. Guide menjelaskan dengan bagus. HTM 45.000.
Cindi Napitu,5,
Elizabeth Danny Girsang,4,"Lokasinya cukup mudah ditemukan, masuk pertama disajikan batik tulis sutera dengan harga jutaan, agak masuk kedalam ada batik bahan katun, cap/ tulis kombinasi dg harga yg lebih terjangkau. Utk pakaian wanita modelnya terlalu simple, pakaian anak perempuan jg kurang lengkap. Lebih banyak stok kemeja pria.."
Timeh Harahap,4,
Rudi Purjiyanto,5,Batik legendaris asli Solo yg istimewa
Charissa Lazarus,5,"Salah satu museum terbaik yang pernah saya datangi.
Personally selalu suka guide yang passionate terhadap hal yang dijelasin, dan beruntung dapat guide seperti itu. Plus sangat knowledgeable, dan open terhadap …"
Izzan Zubair,4,
Retno Nurbaiti,5,
Rsr Rini (Rina),5,
Danar Priyatno,5,"House of Danar Hadi ini bisa memberi kita banyak pengetahuan tentang sejarah batik di tanah Jawa.. dan banyak menyimpan koleksi karya2 batik bersejarah.. ada juga koleksi dari keraton Solo dan Jogja
Tempatnya nyaman dan menyenangkan untuk di kunjungi"
Gun Gun Abdul Ghofur,5,
ratih hapsari,5,"Salah satu museum terlengkap sesuai tema. Mas Gigih, guide-nya, punya pengetahuan yang luas tentang sejarah batik. Terima kasih, Mas. Kami jadi tahu tentang cerita batik dari jaman ke jaman."
Aditya muharam,4,
Fajar Harahap,5,
bani hudaya,5,
Nur Machfud,5,
Heribertus Kongko,5,
Indra sari,5,"Butik batik yang menyediakan bahan kain, baju jadi untuk semua usia dengan harga beragam. Yang pasti batiknya bagus² 👍 …"
ITA Tomahu,5,Pengalaman terbaik🎉🎉🎉belajar banyak tentang Batik dan lebih mengapresiasinya. Koleksinya banyak sekali dan masing-masing punya cerita tersendiri. Sangat menarik😍Pemandu wisatanya sangat berpengetahuan dan ramah.  Tempat yang wajib dikunjungi jika ada yang pernah berkunjung ke Solo👍 …
Bening Sekar,5,"seru banget! guidenya mas zubair sangat informatif dan seru, bener bener indah banget koleksi batik nusantaranya pak santoso, mantapp!"
janekslv,5,Ini indah. Datang ke sini untuk keajaiban batik. Setiap orang diberikan panduan. Milik saya berbicara bahasa Inggris dengan sangat baik dan saya belajar banyak. Terima kasih! 🙏🏻 …
Yustika Muharastri,5,"Museum Batik Danar Hadi di Surakarta adalah tujuan fantastis bagi siapa pun yang tertarik dengan kekayaan tradisi batik Indonesia. Museum ini memamerkan koleksi batik yang mengesankan dari berbagai daerah di seluruh negeri, dengan karya …"
Vanessa K.,5,"Bagi pecinta Batik atau bukan, tempat ini WAJIB dikunjungi untuk mempelajari pola-pola batik. Tempat yang membuka mata kita akan sejarah Indonesia yang kaya. Foto atau video tidak diperbolehkan karena polanya dijaga secara rahasia dan …"
joonimism,5,"Di sinilah Museum Batik tempat Anda dapat melihat sekilas evolusi pakaian tradisional Indonesia. Sama seperti Istana Kerajaan yang wajib Anda lihat saat datang ke Xolo, Anda juga tidak boleh melewatkan Museum Batik. Jika Anda berbicara …"
Hiratun Deswandi,5,MENARIKKKK BUAT BURJOBS INI REKOMENDASI BANGET SIHH
Hendri Dunan,5,
Arm Siwakorn,5,
pak hadi,5,"Guide nya mas Zubair, ramah dan jelas banget dalam menjelaskan, ruangan banyak bgt, luas pula"
Rendam Bintang,5,
Vell Velly,5,"Saya banyak belajar tentang Batik di museum Danar Hadi, setiap motif motif batik ternyata ada makna dibaliknya. Guidenya juga sangat baik dalam menyampaikan informasi, dan pengetahuan tentang batik. Sangat nyaman."
Syauqi Firdaus Fiiridhotillah,5,Mas Zubair pemandu museum nya asik dan profesional
rifan alwi,5,Pengalaman yang sangat luar biasa dan membanggakan
