nama,rating,isi_review
Citra Aryanti,2,bagus tpi minus nya ga ada bangunan buat neduh kasian yg pada kerkom
ahmadi umisj,5,Cocok untuk bersantai sambil momong
Muhammad Latif Burhani,4,
SUKISTO RAGIL PRABOWO,4,Tempat sejuk dan nyaman
Dewa Yogan,5,
Catur Andini,5,"Asri,cuman emang perlu sedikit dirawat lagi terutama kolam nya,permainan outdoor anak perlu di refresh lagi,HTM FREE cuman parkir aja 2000,banyak warung makan 👌 …"
nur raisa amalina,5,
Paulus Waluyo,4,Oke sip...cuma sayang permainan untuk anak² kurang banyak
Lia Cantika,5,"Tanpa rencana, mendadak buka maps, nemu lokasi ini, lihat review, waw ternyata emang sebagus itu.

Tumbuhan/tanaman hijau yang sangat menyejukkan mata, lahan luas, area bermain pun luas. Terdapat lumayan banyak penjual didalamnya. Toilet juga tersedia. Area parkir cukup luas. Sangat cocok untuk wisata keluarga."
Mahmud Mairudin,5,sukses selalu
Hendro Dwi Atmoko,5,
Arif Gun,5,
mahendra budi,5,
Siti 4736,4,Sudah mulai rimbun...tidak panas lagi spt dulu
Danang Agus,4,
Kuswiyanto Kus,5,Nyaman dan sejuk asri
dharma toti,5,
Happy Naress,4,
Upin Ipin,5,
Muhammad Efendi,5,
Ing Madya Mangun Karso,5,
Didietweh,5,
zahran ar rayyan,5,
syahiraa ar,5,
Achmed Novel,4,Taman yg nyaman utk santai....
Fikri RF06,5,"Taman yang cukup luas, di dalam terdapat jalur untuk pejalan kaki dan banyak bangku untuk bersantai. Sebagian besar bangku terletak di sebelah jalan, tetapi ada beberapa yang letaknya di tengah-tengah rerumputan atau di bawah pohon. Di …"
fajar araya,5,
YUANTO PRAYUDI,4,"Hutan Gergunung ini sangat besar dan luas sekali. Ada tempat bermain untuk anak, beragam tanaman dan bunga, jalan setapak dari batu yang membuat nuansa alaminya sangat kuat, bangunan dan ornamen yang artistik sehingga mempercantik saat …"
irzal darmawan,5,"Ini yg namanya hutan kota sebenarnya.
Lahannya luas mau main bawa anak umur brp pun bisa
Yg perlu diperhatikan …"
Diki Ccsi,5,
Kusuma Wardhani,5,Bagus...adem tempatnya
Slamet Riyanto,5,Area sekitar terawat dan bersih..
Sri Murdiyasih,4,
Erlinda Yuka Pratiwi,5,Tempat buat nyunset
valentina yovita,5,
Raras Ciptaning Tyas,5,
Salma Muhandisa,5,
219_89_ALYA IHZA AZHARI,5,
khansa ibrahim,5,"Taman bermain..
Ok"
Chocolatos,5,"Okeee lah, kalau siang sampe sore rame bgttt yg jualan kdg sampe dalem jadinya kalap wkwkwk, tp biasa main sama temen disini emg dr sore sampe malem si, ngobrol sambil ngemil jajanan yg dibeli tadi, sampe dibilangin mas² yg jaga katanya mau …"
Agung Endarto,4,
Joko Saputro,5,Apik
Hendry Sudirman,5,
sukma okta,5,"Saya berkunjung ke tempat ini sore hari, tempatnya bagus dan cocok untuk anak-anak, terdapat fasilitas kamar mandi namun salah satu pintunya susah ditutup. Fasilitas mushola juga ada. Tempatnya bersih, di beberapa titik disediakan tempat sampah. Terdapat banyak penjual makanan. Parkir sangat memadai dan terdapat juru parkir."
Puji Hartono,5,
joko femax,5,Wahana berlatih Woodball
Agus Nurakhmad,3,"Kurang inovasi, sudah tidak menarik. Harus diperbaiki lagi"
Pemula12,5,
Rochmad Klaten,5,
Sambel Trasi,3,"Siang2 niat jalan sehat muter2. Tapi di area belakang buat pacaran 🤦🏻‍♀️ Berduaan, yang ketiga siapa? Iyaa setaan, wkwkwk, tangannya pada nackal, ampun dah, mana ada bocil2 juga yang ngebolang di situ 🥴🥴 …"
Bagus Pram,5,
Dendrid Setiyanti,5,
Rico MN (Maulana),5,"Tempatnya bersih, udaranya segar di pagi hari.."
Embunoni Wuning,4,
Trie Ghon,5,Hari sabtu lbh nyaman karena tidak banyak aktifitas di sini
Anindyati Prastuti,5,
nurul awalin,3,
Udin tuju,3,
Risma cans,1,Hilang
Catur Aprianto,4,
Alektra X,5,
