nama,rating,isi_review
jin channel,4,"Pilihan kolam renang yang variatif, ada untuk anak ,dewasa dan ada kolam khusus untuk wanita"
Fitriya Royan,5,Nyaman untuk wisata bersama anak
wnd batik,5,
Aisyah Farida triani,5,
Ferry Septiandari,5,
Anna Ana bae,4,"Lumayan luas, tempat nya bersih
Hanya saja saya hampir jatuh saat duduk di kursi bekas jog pesawat. Harus nya di perkuat agar ga ada insiden pengunjung terjatuh."
maps masdul,5,🤙🏻😋 …
chrisstar dini sukoco,4,Panas jam 8 keatas
Sri Murni,5,Direkomendasikan
Lupi Kasih,5,Bagus dan menyenangkan
Nanang Tri sulistyo,5,
Tyo Armianto,5,"Dengan tiket masuk 15ribu perorang untuk weekend masih sangat recomended. Cocok untuk wisata bareng keluarga terutama anak2. Banyak pilihan kolam untuk dewasa, anak2 ada 2 kolam dan kolam arus juga. Untuk kuliner didalam juga masih sangat terjangkau harganya. Parkir luas untuk motor maupun mobil."
budi hartono,4,Bagus
Psikologi Asri,4,"Udah beberapa kali kesini utk latihan. Lumayan rame, kamar mandi antri. Msh nyaman2 aja latihan disini. Ada kolam khusus bagian perempuan, cuman blm nyoba. Kolamnya ya kadang msh nemu sesuatu di kolamnya :D"
Khoirudin Ihsan,5,"lumayan banyak opsi kolamnya, ada yang satu meter an, sampe 2,15 meter"
Panji Winata,5,
Januar Astuti,4,Kalau ngajak anak renang pasti suami pengennya d sini...krn nyaman aja
arl ca,4,
Antin 22,5,
Sidiq Eko Prasetyo,5,"Intan Pari Karanganyar – Wisata Edukatif dan Ramah Keluarga

📍 Lokasi & Aksesibilitas …"
Tropic,2,"Buat yang muslimah mau renang di indoor mesti bilang tiket indoor ya, soalnya ticketingnya kurang inisiatif buat nanya outdoor atau indoor, sebagai pengunjung kita juga gatau kalo ticketnya beda, perlu jadi masukan buat pengelola intanpari, karena banyak banget yang salah tiket tadi gara2 miss-info"
Arini meiga munir,5,Wisata air utk anak. Murah meriah menyenangkan 😍 …
Dwi Synthia Handayani,5,"Bersih, gak terlalu bau kaporit"
Nabila Nuha,5,
