nama,rating,isi_review
Abu prayoga,5,"Alhamdulillah, bisa ketemu langsung dengan pemiliknya, yang kebetulan lagi mudik. Bisa berkomunikasi cukup lama, mendengarkan kisah sukses beliau.
Beliau orang yang ramah dan tawadhu, …"
Kiki Dwy (Kiki),5,"Tempat ini cocok untuk bersantai, atau berfoto dengan sahabat, pacar, keluarga maupun teman sekolah."
Arief Fateh,5,
Defri Paryanto,5,Sangat berpengalaman
rama 1323,4,
Rinta Sari,5,"suasane tenang..adem
.berasa jdi pemilik istananya"
sukino suparmi,5,
Andi Muhlis,4,
Reinta Wardhani,4,HTM : 5rb rupiah // ada replika pesawat dan ruangan seperti ruang meeting. Ya begitu aja tempatnya. Jangan berekspektasi besar. Tapi tidak apa apa kalau memang ingin tahu.
Sandy Dhea26,5,
dakir mudzakir,5,Alhamdulillah...
nanung meru karana,4,
Imut 27,5,Kunjungan Paud KB Ananda Ceria ke istana Parnaraya bagus tempat.nya nyaman luas mantap
Purwanti Johan,5,Bangunannya megah..bisa untuk tempat acara petugasnya ramah ..
Kisemar Ayamgoreng,5,"Bangunan benar benar seperti istana negara
Tempat nyaman bersih
Tiket masuk sangat sesuai …"
Heri Subagio,5,
Maria Sulis79,4,
endang purwaningsih,5,
Raka Irawan,5,
nur diyanto,5,Tempat bagus dan bersih...
Agus Agus,5,Menyukai
Mas Jack,5,
Tri Lestari,5,
Diut Aran,5,
Hendra Wisnu,5,
roy hermawan priandana,5,Guddd tempat yang bagus
Ismi Yatin,5,Indah bisa melihat model jaman kuno
Naryo' Karuniacc,5,
FX. Bambang Santoso,4,
fachmi wardhantari,3,
Viola Firda,5,"Bagus, sayang nya pesawat nya tertutup pintunya"
Endang Istri,5,"Istana Parnaraya
tiket masuk 5000 / orang"
Endang Baru,5,"Tiket murah
Lokasi bersih
Pelayanan karyawan ramah …"
Retno Wati,5,"Tempat nya bagus,bersih"
ratiyem 64,5,
Larjiyanti Spd,5,Pelayanan sangat ramah
Atta Alfarizqi,5,"Tempatnya bersih, pemandunya ramah"
agus trimulyono,5,"Ruangan bersih
Pelayanan staff ramah
Bisa untuk pertemuan dan penginapan
Tiket 5000"
Bapak Soepangat,2,Biasa saja..
kusningsih 1961,5,
War Tini,5,Bagus nyaman ko
Endang Zuliani,5,
sripuji lestari,5,
Mini Mini,5,
Wahyu Widyani,5,
tiaraanastasya,5,
Diah Ayu Purbaningrum,5,Bagus buat foto prewedding
kondang putra,5,Tempat nyaman
tri yatno,5,"Tempatnya bagus, tiket murah, kalau mau beli batik juga bisa disini. Dijamin batiknya bagus2 tidak bakalan mengecewakan, batik tulis khas Wonogiri mantap. pelayanan ramah ."
METE SETIA RASA wonogiri,5,
Priyo Tri,5,sangat bagus tempatnya! rapi!
Mamon Wnv,5,Tempat yg luar biasa... dan sangat hormat ..kagum..dengan Beliau ... Bp.Suparno Parnaraya ..bersahaja ...ramah.... low profile....dan bersahabat.....untuk event Club adventure dan kumpul bareng ...sangat Ok...
Eni Susilowati,5,"Tempat yg bagus,bersih,cocok juga untuk wisata edukasi.."
Martfhian Penceng,5,"Harga tiket murah
Salah satu Wisata rekomended di Wonogiri
Pelayanan oke
Tempat bersih"
triayu latifa,5,Tempat bagus pegawai ramah mantap pokoknyaa
Rizky Hariyanto,5,pelayanan sangat memuaskan. sukses selalu dan semoga berkembang 😊 …
MBAH DON,5,"Selain sebuah istana motivator, Tiket masuk tersambung untuk saudara saudara duafa, amal jariyah untuk kita... Kunjungi icon wisata ini banyak motivasi kehidupan yang terserap..."
Darma Hynwa,5,"Pelayanan nyaman dan ramah
Cocok juga buat event"" opo wae... pokoke whelll"
Didik Prayitno,5,Gedung yg bagus
Agus Setyawan,5,"Tempat nya bersih
Harga tiket masuk terjangkau
Menyediakan batik khas Wonogiri"
riky apeng,5,
Ari Harnawan,5,
Nanda rafi Ade s,5,Pelayanan baik dan cepat
Syifa Ayu Wulandari,4,"Tempatnya sangat bersih dan nyaman, bagus untuk foto-foto. Tapi kurangnya hanya pegawai di bagian loket tidak selalu standby, jadi kadang agak menunggu."
DENI SAPUTRA,1,
purnamadiyah,5,tempat wisata yang bagus
Widya Wati,5,Miniatur istana negara dilengkapi gedung pertemuan
Dwi Sulistyawan,5,
sangaji cavaleri,1,Tempat wisata keluarga. Warga lain yang berkunjung bersiap untuk kecewa
Sri Lestari,5,
Apt. IRAWAN,4,
Gampang music,5,
ridlo azka,5,
Rita Pranawati,5,
Fitria Ristanti,5,
Heru Sriwidodo,5,bagus
Mada Gumilang,5,Cukup nyaman
Suparto Parto,5,Deket rmh sy tp saya blm masuk
Didik Setiawan,5,Lumban untuk nongkrong sore
Gilang Pradhana Ramadhani,4,Ok lah buat ajak anak jalan2
Ayoe HD,5,"Bersih, pelayanannya baik, yang perlu ditambah menu makanan kantin"
Mekar Maratus S,5,"Rapi, bersih."
Mas Yon,2,Biasa aja kurang lengkap
Riang Adhi21,5,
Satimo 99,3,
Angga Saputra,5,
Nugroho Nugroho,5,"Sangat menarik wisatawan juga keren"" spot buat  foto bagus''"
Aji Prasetyo,5,
RM. Kusumo,5,"Serasa di istana negara tenanan...
Tempat edukasi yg bagussss
Pegawainya ramah...
Saat berkunjung sudah mepet hendak tutup...to tetep dilayani dg ramah....
Maturnuwun sanget..."
Ahmad Faisal,5,
Agus Supardoto,4,"Tempatnya bagus menyenangkan , cocok untuk keluarga, atau komunitas,..
Mana ya foto2 kunjungan kami koq nggak ada, ... rombongan dari Sragen,"
eko ardi,5,Tempatnya bagus
Wiyanto Hadinugroho,5,Cuma lewat depannya
hirin Rafi,5,
bunda trie moelyani,5,
endang sugiyanti,5,
Ariel Kris,3,"Dari luar sangat megah, namun saat masuk cuman mendapati meja panjang dengan kursi seperti meja rapat besar. Entah konsepnya seperti apa, seolah olah semua barang di pajang disana. Berikut salah satu foto yang ada di belakang istana."
Adhela Istiqomah,5,
Puthut Aji,5,
Bambang Santoso,5,Mantap
Basuki Nugroho,2,Cuman menghibur diri
Supri Genjho,5,
Wahyu Zuga,3,
Gedexs ianovic,5,"Terimakasih atas Kunjungannya , Sehat selalu ✨️"
Bernad Harjanto,5,
dewi anjani,4,Tempatnya bersih.
Mak iyuk Mak iyuk,4,
Mohammad Rifqi Herdiansyah (Rifqi),5,"Nyaman, cocok buat foto acara tertentu"
Kemuning Jingga,5,Tempat yang menarik walau letaknya agak nyempil ya...
harni rahayu,5,"Walau sering ke Wisata Parna raya, tidak merasa bosan. Karena salah satu wisata terdekat dg rumah yg ramah dikantong plus nyaman untuk ngadem.
Salam😉 …"
