nama,rating,isi_review
Akyuna Nightisabha,4,"Membawa keluarga besar mengunjungi Kahyangan Dlepih kala hujan. Suasana syahdu dan khidmat. Suara deras air sungainya eksotis, dan jalan menuju Selo Payung Nyai Widiyononggo sejuk. Hati2 bila berkunjung ke sini, jalan menuju atas agak licin …"
A. Arifin E,5,"Akhirnya ada waktu main kesini, dan jalannya aksesnya jg sdh bagus. Diantar sama bapak2 yg ketemu di tempat parkir buat keliling dikasih tau history nya. Tempat tenang, setelah jalan naik agak berkeringat tapi setelah duduk2 santai di bawah …"
Gadis Nugroho,1,"Tempat bagus,yg suka dengan alam sangat cocok udara bersih tp sangat disayangkan  sudah beli tiket di pos tiket pakai karcis tapi masih ada bayar lagi parkir buntung baru turun mobil itupun belum masuk kelokasi sudah diminta dulu harus bayar langsung.. per mobil 10ribu. Sangat disayangkan ."
eko mulyadi,5,"Alam masih terjaga kelestarian nya,tempat yg pas untuk menenangkan hati dan pikiran 🙏 …"
Rega tasyaa,5,"Salah satu wisata spiritual di kabupaten Wonogiri. Tempatnya asri dapn sejuk. Air sungainya sejuk. Hati hati kalau berkunjung, taati peraturan yang ada. Terima kasih"
Saiman Vivo,5,"Tempat ini dari dulu hingga sekarang kondisi jalan masih buruk..
Belom ada perbaikan bantuan dari atasan sama sekali...
Sidorejo sentono rt 001 rw002"
GSA CHANNEL (Gsa),5,"''banyak cara menuju puncak
butuh lebih banyak cara juga tenaga untuk bertahan diposisi puncak""

""salam"""
Gustaf Pwk,5,"Tempat alam yg indah bernuansa spiritual yg tinggi dan d iringi gemercak air terjun dari pegunungan yg membuat suasana menjadi hidup di kala siang maupun malam,, 😊👍 …"
Adhe Avi,4,"Tempat religi meditasi untuk napak tilas leluhur terutama sultan agung
Akses jalan cukup bagus
Tempat bersih terawat
Orang2 dsana juga ramah2"
Yoyok Bengkel,5,"Tertidur dibawah batu selo payung, sangat mempesona"
Pak Putra,5,Tempat menyepi yang menarik di kecamatan Tirtomoyo.
Agoez P,3,"Wisata yang ikonik ,relijius ( kejawen) , Dulu terawat bersih nyaman, Sekarang sama sekali tidak ada perawatan, parkir bayar, masuk bayar setuju, fasilitas harusnya diperbaiki"
nano sumarsono,5,Tempat yg masih asli dan sakral. Banyak pengunjung yang datang dengan berbagai maksud dan tujuan.
Rohman Chamin,5,Sungai tempuran dlepih kahyangan wonogiri yang begitu jernih dan asri. Alamnya masih terjaga dengan baik.
Irmawan S Putra,5,"Tempat liburan murah, cuma bayar parkir"
Satria Madangdolan,5,Di kahyangan bertemu deng bbrapa rekan dan senior.rasa sangat bahagia
Azereze Franza,5,Tempat bersejarah yg cocok utk meditasi dan menepi dari keramaian
KAWULO ALIT,5,Wisata religi yg luar biasa
Joko Saputro,5,Mantap buat mencari ketenangan. Rahayu
erfina cahyanti,5,Wisata alam yg keren
Aghi Wirawan,5,"Pas habis takziyah di rumah keluarga tetangga, diajak mampir ke tempat ini. Katanya semacam tempat semedi atau pemandian. Di lokasi ada 5 mobil luar kota, ga ada orangnya semua, entah pada kemana dilihat di sekitar juga tiada. Foto2 sungai, …"
Tarjani Gocar,5,tempat wisata religi yang bagus
Imam Suharjo,5,"Tempat yang menyimpan banyak misteri.
Pemandangan alam bagus penuh dengan batu-batu sangat besar. Masuk ke daerah ini jalan menanjak parkir diatas. …"
GieGie Giarno,5,"Tempat luas nyaman dan terawat, pemandangan jos, klu berkunjung di larang pakai yg berwarna hijau."
Djogja Everyday Holiday,5,"Tempatnya Mantab , Karena Masih Ada Hubungan Dengan Kraton Jogjakarta"
Ardi,5,"Tempatnya bersih dan fasilitas memadai. Tidak banyak yang kegiatan yang bisa dilakukan disini sebagai tempat rekreasi keluarga karena hiburan yang bisa didapatkan adalah suasana alam yang tenang, sunyi, sejuk dan asri."
Yugopus,5,Gak bisa di ungkapkan dg kata kata
ADITIA CHANEL,5,"Tmpat yg sangat asri..mudah""an pengunjung smakin bnyak.dan pemerintah memperhatikan tmpat wisata seperti kahyangan yg sudah lama tidak d perhatikan oleh pemerintah.smoga k kedpan'a smakin ramai dan bisa membangun perekonomian rakyat sekitar
Amin"
