nama,rating,isi_review
arum aprillia,5,"Tempatnya sejuk, ada spot foto, ada jajanan juga."
amanda fatika,5,
NURUL KHOTIMAH,5,
Alexander Go,5,
Budi yanto,5,
Aditya Chrismon,5,
septa Nurlenny Maudina,4,
Muhammad Haikal,5,
Jevon Edbert Samadi,5,"Bagi Anda yang mencari batik tradisional atau modern, ini adalah pilihan yang tepat. Lokasinya sangat fotogenik dan menarik wisatawan. Jika bersama keluarga juga cocok, pasti akan kembali lagi."
Avisa Redaya,5,Banyak spot foto menarik yg instagramable. Ada juga penyewaan baju adat plus foto yg harganya worth it. Di sepanjang jalan banyak toko batik dan coffeshop. Harganya juga worth it.
Achmad Rama,5,Desa itu sangat bersih.
Andri Fatra,5,"Kemarin dateng pas weekday jadi agak sepi. Lokasinya asik sih buat foto foto, batik batik gitu. Aesthetic yet traditional!"
Abraham Oliver Harjono,5,"one stop for take photos and shopping
kalau mau sepi datang pagi jam 7.00 WIB sehingga suasana kondusif dan nyaman untuk foto² kemudian baru dilanjutkan shopping krn toko buka around jam 8-9"
diasafif 21,4,
Fikri Hakim,5,"Tempatnya bagus bangt, banyak spot fotonya yang instagramable, bisa belajar ngebatik, dan ada cafenya juga yang keren banget, rekomen banget kalo ke solo jangan lupa ke sini 🤩 …"
Fairuz Su'da,4,
Reina,5,
ridwan,5,
Gamal Makatita,3,
Adistia Dhamayanti,3,Batiknya High End
Senpi Cerys,5,"Lucu kampung batiknya, apalagi naik becak, bisa menikmati suasana kampung di sore hari"
Danang Setoaji (Danang),5,
Sri Mahayani,5,"Pusat belanja batik yang murah, dari kualitas standar sampai yang bagus, banyak pilihan & toko. Bisa jln2 sore dengan spot foto yang bagus. Terdapat beberapa pilihan cafe untuk istirahat setelah lelah berjalan"
Nabillah Mahdiana,5,
Fildzah Fiesta,5,
Salmin Alweyni,5,
Ana Luthfiana,5,"Ambiencenya cukup asri, karena masih banyak pepohonan jadi sejuk. Setiap sudutnya estetik dan juga banyak spot foto menarik. Walau agak padat namun tertata dan bersih lingkungannya. Ada toko toko batik & cafe juga yang bisa dikunjungi"
Livia anggraini,5,
DENNY PONOMBAN,4,
khaerunisa nabila,5,
fuad rosyadi,5,Alhamdulillah... Dengan memjang gambar usaha istri di sini banyak pelanggan berdatangan..terimakasih GOOGLE
rizya rizya,5,Bagus sumpah dulu pernah kesini rombongan temen2 event internasional dan petugas - pegawai batik kauman semuanya ramah ramah suka deh..
Bambang Subagijo,5,"Sampai disini sore, memurtku pas banget karena cuaca sedang cerah jadi tidak terlalu panas, untuk foto spot nya banyak hampir setiap sudut bagus untuk foto, saat itu juga ada beberapa rombongan mungkin mahasiswa sedang asik berfoto. …"
Nur Elisiya,5,
Ilham Momon,5,
Muhamad Yusuf Maulana,5,
