nama,rating,isi_review
Sela Jingga S,4,
Avisa Redaya,4,"Sepanjang jalan banyak toko batik dengan harga yg bervariasi
Sayangnya jalannya sempit, parkir kendaraan tidak tertata rapi. Kanan kiri bahu jalan digunakan untuk parkir"
nur arif,5,"Sangat menyenangkan, bertemu dengan warga yang ramah, pilihan batik dengan beragam pilihan jenis dan harga, tempat makan yang lengkap, dan suasana kampung di tengah kota yang masih terjaga keasliannya."
Sri Mahayani,5,"Pusat belanja batik, banyak pilihan, harga sesuai dengan kualitas"
AZZAHRA ARDYA KAMARATIH,5,
OVANNE A,5,tanyakkk.....
Arief Setiya,5,
PARMAN GOPEL,4,Tuhan
Albert Maramis,4,
Aditya Chrismon,5,
thomy kristyono,5,
Anita Dwi Hapsari,5,
Devi Fitri Nursanti,4,"Salah satu tempat wisata yang ada di daerah Laweyan. Tempatnya lumayan estetik dan htmnya free. Namun,tempat parkirnya sempit dan kurang tertata."
Riza Adrian,5,"Desa yang luar biasa, keramahan yang indah dan luar biasa"
Hana Adikti,4,"ga terlalu byk spot foto sih, pinter” aja biar estetik"
Dgloxz Adipati,4,
Anisa Fitri,5,"Salah satu kampung batik tertua di Indonesia yang menyimpan banyak sejarah. Tersedia banyak spot foto yang menarik, bisa belajar membatik dengan htm tertentu, dan tidak usah khawatir disini juga banyak kafe yang dipadukan dengan nuansa …"
Annisya,5,"Suka bgt vibenyaaaa kaya adem gituuuu, tiap sudutnya bener2 estetik bgt cocok buat suka foto foto 😤🫵🏻 banyak cafe lokal, resto, dan batik shop. Kalo ke solo lagi, ak mau balik kesiniiiiii 🫶🏻 …"
Rina Angelia,5,"Terlalu luas spot fotonya, lebih baik cari di tiktok patokan untuk spot foto lalu cari di gmaps karena tanya ke warga lokal pun mereka kurang begitu tahu"
Ahmad Fadhil Hidayah,5,alternatif tujuan jika ke Solo... batiknya bagus...
FY,1,
Rafi Prabowo,3,
Freddy Tan,5,Kampung batik di Solo dengan berbagai varian yang menarik dan beberapa toko yang bisa dikunjungi.Cuma sayang kurang banyak promosi diskon.
woko woko,5,"Tempat yg nyaman
Temukan pengalaman belanja
Baru di kampung batik lawean"
Dinny Zaidan Nadwah,5,
fuji medina95,5,
Wulansari Handayani,5,"""Tiket masuk freee...bagusssss kampungnyaa...... Lokasi strategissss.. Banyak spot. Foto.. Banyak jualan batik dan makanan.... Aksess mudahhh.... Penduduk ramaahh ramah loo..... Ada cafee jugaaaa......"
Rhyans Harkanas,5,
Rifa Taqqiyah,5,
Iola Mieliki,5,"Bagus, bersih, asri tapj harus berani masuk masuk gang supaya dalet spot foto yang lebih oke. Banyak kafe juga buat nongkrong. Recommend buat jalan jalan di area solo."
Blandhiet Bawizer,4,
Natania Adristi,5,"buat temen’ yang dari luar solo dan mau ke solo bisa banget jadiin referensi jalan’ kaliann . bener bener bagus banget , bisa banget buat foto karna banyak spot menariknya dan juga tiket masuk ya free ! 😍 …"
Ria Santati,5,"Buat kita yang ingin mengenal budaya lokal lebih jauh, Kampung Batik Laweyan Solo adalah salah satu tujuan terbaik. …"
Ridha Patria,4,"Serasa kembali ke jaman dulu, banyak rumah2 kuno dengan gang2 yang kecil tapi bersih. Suasana adem, penduduk dan pedagang juga ramah2.
Batik2nya bagus, tadinya niat cuma lihat2, akhirnya jadi beli 😁😂 …"
Angga Paramundita,4,
Ajik Nugroho,5,
Anam Yang Choi,4,"Perlu rasanya ada satu tempat yg benar2 lengkap dalam mewadahi pengerajin batik yg lokasinya di Laweyan, sehingga orang bisa langsung menuju ke situ alias tidak harus menyusuri gang2nya dulu."
kunyo milk,5,
Dewi Eko Rahayu,3,
Antar Osamah,4,
noer rochman,5,Lihat2 batik solo gaess
Bhakti Susila,5,
Maretha Ramadhan,5,
ibnu,5,
Kevin Adhi,4,Tempat pusat perbelanjaan batik
Aghia Nasrul,5,
septiyan dika,4,Susah parkirnya aja
Yusuf Adi,4,
Bryan Hamdy,5,
yayat yayat,5,Sk swkali klo ke solo bl batik disini
Galih Santoso,5,Alternatif belanja batik selain di pasar klewer
Felix Christiono,5,Surakarta memang salah satu pusat batik nasional. Laweyan juga identik dengan keberadaan bangunan cagar budaya. …
adhi wardhana,3,
Suharto,4,Perlu terus ditata dan dipromosikan dg baik
edwin ariffianto,4,
Anisa Prastiari,5,Kaya akan sejarah dan bisa dijadikan nostalgia kejayaan batik pada masanya. Menyenangkan.
maarif zen,5,"Silakan pilih, banyak pilihan"
Delta Sharla,5,
umi waida,5,Daerah tempat ibu ku kerja
Vivian Aprida Syafira,5,
Nurchamidi Achsan,4,Nuansa etnik berbalut modern art
Widi Hastuti,5,Datang ke salah satu toko di kampung batik Laweyan. Pedagangnya ramah banget.
Sehatara Indonesia,5,"Kampungnya bersih, estetis, dan warganya ramah sekali. Will comeback soon"
Machdie M,5,
Daniel NA,5,"Anda bisa jalan2 keliling Kampung Batik. Untuk store yg cukup lengkap : Putra Bengawan, Kr Krisna, Omah Lawean, dll.."
Milton Ross,5,Sangat menyenangkan membuat batik sendiri
