nama,rating,isi_review
SRI WAHYUNI,5,Sangat cocok untuk refreshing alam
Fatchul Lizzer,5,
Muhammad Harun,5,
Suratmin Suratmin,5,
purwanto Jlengut,5,
Anisa Latifah,5,Baik
Sri Marsuni,5,
van der Pran,5,Salah satu keindahan di boyolali
fais kenzie,5,Spot foto banyak
Bagus Tubagus,5,Sejuk
Apa Muji,4,
Iyant Virgo,5,"Tempat yang luas, dan sejuk..dan recomended

Saran buat pengelola. Masjid / musola nya bisa di perbaiki.. …"
Bagus Arya,4,"Datang ke akses masuknya saja sih... Karena kebetulan kesini ndak ngajak teman, jadi ya agak males aja kedalam sendirian. Next mungkin kalau tidak ada halangan mau ajak teman kesini buat sekedar cari pemandangan kebun. …"
sari ka,5,tanya sangat bagus
marisa wahyu armawati,5,
Berlinda Hapsari,4,baguss cocok untuk kemah tetapi kamar mandi sedikit
reno fandillah,5,
Creme Genx,5,
dheny hendrawan,4,Tempat yang sangat menarik untuk menikmati waktu senggang
Ayatullah Fathi,1,"kurang cocok kalau dijadikan buper, akses kamar mandi nya sangat jauh. Kalau malam sangat minim pencahayaan, Air nya sering mati. Seharus nya kran nya di beri tulisan, mana yang air pupuk dan mana yang air biasa. Inti nya kurang cocok kalau dijadikan buper"
Devan Leith setiawan,5,
Stroke Force,3,
Luthfi Hazim,1,"listrik yang susah dicari, air yang sering mati"
MuhAmmar Isham L,1,ga ada listrik
Josse Revano,5,
amad bagus,5,
putro kuat,4,
Albert Christian,4,
dimass rifqi21,5,
Muhamad Rasya,5,
Ya latip Ya,5,
Riko Athari,5,
CV. HS TOUR & TRAVEL,5,
Agus Syaiful,5,
Mistiyani Mistiyani,3,
Sekut Otomotif,5,
Aan Andriyanto,5,"Bagus, rekomendasi untuk keluarga dan anak.
Hanya saja beberapa fasilitas agak kurang terurus."
Ragil Muzaki,5,
Abdul Mukhlisin,4,
Abdian Fredy Wijaya,5,
Khai Rani,4,
Budi irianto,1,
Fenti Kalifah,5,
ardani maziz,5,
Fendy Yudha,4,
Alfanora Naufal,5,
Wakhidrohmanto Nur,5,
Rizki Syaputra,5,
Joko Ndosoposopo,2,Sepi karena tidak ada yang baru
Joko Kendil,4,
Tio Pradana,5,Josss
ABIMANYU OFFICIAL,5,
Yoichi Hiruma,5,Betah bgt berlama lama disini..
Ari Haryanto,4,👍 …
Fresh Fruits,3,"Edisi ngajari baby belajar berjalan.. Sejuk, anginnya semilir.. Bawa makanan minuman sendiri lebih baik..perlu banyak peningkatan fasilitas disini..namun bg kami bisa halan halan dg si kecil sdh suenang bahagiaa..."
Evan Nur,5,
hendi nuartha,5,
Rizka Nuril Q,4,"pertama ke sini dulu pas baru banget pembukaan bener² rasanya wah banget, meskipun waktu itu masih banyak area yang blm jadi tapi rasanya tuh 'hidup'. beberapa minggu lalu balik lagi ke sini rasanya beda... kaya something was off gitu.... …"
Atika Dyah Kusumastuti,5,
Tri Yana,5,"Suasananya enak, sejuk"
Shafa Cahyaningrum,5,
Kirana Lucia,5,
Asep Ginanjar MF,5,
Yanti Daryanti,5,
Jumaryono Yono,4,
Yurida Rini,4,
Nita Sari,3,"Taman indrokilo bagus cocok buat piknik dan menyantai,sejuk dan tempatnya luas.
Buat pengunjung yang mau datang kesini kami sarankan bawa minum dan makanan yaaa.harga tiket 5.500/orang worth it. …"
Heri Ananto,5,Boyolali Jos
Heri Budhiyono,5,
Roosey Entertainment,4,Aneka buah²an segar di depan lokasi 👍🏻👍🏻 …
suminto joko waluyo,3,Keberdihan kurang terawat
Vita eka siswanti,5,"taman luas..
ada sewa sepeda ontel & listrik buat yg gamau capek jalan kaki...
area luar bnyk oleh2 yg murah murahhh
sy sukaaa..tmpt ini"
Mega Tri Rahmadin,5,"Pemandangannya bagus, walaupun jauh jalannya🤭 …"
Wildan,5,Roti enak murah
Sri Indrawati,3,
Rowo Jombor,5,
Rahma Optiane,3,"Tempatnya swejuk, pelayanan nya ramah, first time ke sana karena mau eksplor tempat baru. Kebetulan ke sana pas weekdays jd ga begitu rame. Tolong kang parkir nya jgn seenak jidat ya, dateng pas ambil duit doang,kalo misal ga ada kembalian blg, gak diem2 bae kek ayam sayur.overall memuaskan cuma parkirnya aja yg gajelas."
Korep Ireng,5,Sejuk banyak pepohonan sepertinya bagus . Karena pada saat kesana hujan jadi gak masuk . Hanya berteduh di warung kopi depan rekreasi . Lalu pulang
Ardiansyah Jazindra,5,"Tempatnya sejuk bgt kalo jam 8-10an, enak buat liburan keluarga, nyantai sendiri atau sepedaan. Tapi ada beberapa tempat nyamuknya banyak bgt hehehe. Tp gapapa si tetep puas. Tiket masuk juga terjangkau"
handa yani,4,"Murah meriang untuk liburan keluarga, sayangnya sedikit kurang terawat dan hewannya perlu ditambah sehingga menjadi daya tarik yg lebih untuk pengunjung"
Sahabat Heru Hs berbagi,5,
Muchamad Zaelani,5,"Tiketnya murah, parkiran luas, akses jalan yang mudah, tempatnya juga enak syahdu"
Muhamadzam Roni,5,
Must Bayoe,5,keren tempatnya
Sulis Rahma,5,
tjah joss,3,
Yohanes kurniawan,4,
Gustirani Rya,5,"swejukkk, ngrefresh otak dgn tiket masuk yg murah"
Kawit Hadimarsono,4,Kebersihan masih kurang tempat ibadah lokasi tersembunyi air pancuran kotor
Efalia Yuanita,5,
Budi Eka,4,"Cukup bagus, cuma kebersihan, kurang terawat"
Sri Hartina,4,
Dian Fajarrahayu,5,"Luas banget tempatnya , cocok buat kami wisatawan dari luar kota khususnya dr bekasii, bisa ngilangin stress dan re cargh paru² 🤣🤣, , tempatnya adem banyak pepohonan …"
Ayu Puspitasarii,5,❤️‍🔥❤️‍🔥❤️‍🔥 …
Risca Aristya,5,
mochamad nurdin,4,
