nama,rating,isi_review
Anita Yuniasari,5,Sejuuk menyenangkan dan sukaa suasana tenang hijau sejauh mata memandang
RAGHIL MTvlog,1,buat kaum mendang mending disarankan fikir'' dulu.. htm masuk 40ribu  untuk sekelas wisata kebun teh saya rasa terlalu mahal belum lagi jika masuk wisata yang lain... kesejukan juga sudah tidak seperti dulu lagi.. mending cari wisata yang lain masih banyak
Bowo Ardianto,5,"Ketika tanaman teh terhampar di bukit yang luas. Menciptakan pemandangan yang menyejukkan kalbu. Secara fisik, suasana di sini memang sejuk. Udara yang bersih, oksigen yang segar dan minim polusi. Di area ini terdapat obyek lain yang bisa …"
PRIYATMANTO ANTO,4,Tempat dengan pemadangan yang sejuk...cocok untuk wisata semua usia banyak tempat wisata yang di pilih....
Bang jack Antok,5,Tempat sejuk cocok buat ngedemke pikir
Fahmi firdaus Firdaus,5,
fitrianisopa,4,Pemandangan yang indah
Hasan,3,
Rukiati Hariyanto,5,Keren pemandanganya...klo menuju lokasi pakai masker .. angin n debu
Daffa Devina Melati,2,akses jalan menuju ksana kurang bagus. Masuk tempat nya 10k trs kalo mau ke tempat yg agak bagus harus bayar lagi. Yang ada pager putihnya itu ga include tiket masuk ya gaes. Kurang worth mnrut ku thank.
Dessy Riyani,4,"Salah satu destinasi wisata di Karanganayar.  Udara yang masih sejuk dengan pemandangan yang bagus, cocok untuk merefresh pikiran. Weekend biasanya ramai, banyak plat luar kota yang berkunjung. Banyak spot foto di kebun teh kemuning, juga …"
Yusak Sugiarto,5,
Danika Arv,5,"Menarik, pemandangan nya sejuk meski terjal jalan nya."
Sulis Tyowati,5,"Bila ke candi cetho harus mampir kesini ya krn lokasinya berdekatan. Tempat ini merupakan kebun teh yg sangat luas. Kami kesini pd hari jumat jadi sepi pengunjung. Htm 10 rb, di dlm tdp wahan yg msh berbayar diantaranya kemuning sky yg …"
Ari Purwanti,5,"Adem, sejuk, suasana yg sangat cocok untuk menghilangkan stres"
Erdy Anto,3,Mampir ke kebun teh kemuning setelah dari candi Cetho..
Khusnul Hanayati,3,"Tempatnya sejuk karena dekat dengan gunung Lawu, cocok untuk camp. Banyak spot foto pemandangan kebun teh."
Rusdi 1,3,
Sena Hadi,5,"Tempatnya sejuk, nyaman banget, ijo royo royo"
imam fauzie,4,"Sungguh indah pemandangan di kawasan Gunung Lawu ini.

Hamparan kebun teh terbentang luas sejauh mata memandang. …"
estu. kuncoro,5,"Tempat yang wajib dikunjungi bagi para pemburu angin gunung. Meski tidak banyak menjelajah karena sudah tiba cukup larut sekitar pukul 15.30, kami masih berkesempatan menikmati sejuknya udara pegunungan. Harga tiket masuknya 10k namun akan …"
Santika Pramuty,4,Sejuk 👫🏻 …
Ale Aja,5,"Pemandangan kebun teh yg menakjubkan, bikin hati jadi sejuk seperti sejuknya udara disana...."
Martinus Cahya Widhi Sadewa,5,Wow.... udara sejuk. Makanan murah dan wisata yang menyenangkan.
restia ningrum,5,"Cuaca dingin, cukup ramai pada akhir pekan. Cocok untuk liburan keluarga"
Yacinta Nanda,5,"Ke tempat ini waktu acara gathering kantor..sejuk tempatnya, recommended buat  yang pengen melepas penat dari pekerjaan..bisa juga mencoba jeep untuk mengelilingi kawasan kebun teh ini..🌿☘🍀 …"
arif bobrok212,5,sangat indah
ora kenal,4,adem
Yuyun Solo,5,"g bosan ksini lagi dan lagi..
udah ada jalan tembus pula ke paralayang..
jadinya gausah muter jauh.."
Chesee Ee,5,"Datang kesini hari sabtu gak begitu Rame , sampek sana gerimis + Angin & Kabut Masyaallah tambah syahdu Hati² ketika musim Hujan jalannya banyak yg bolong dan Licin , banyak warung dipinggir jalan Harganya Standar ,Nyoba naik ke candi cetho tanjakan tajam dipinggir jalan bisa liat Air terjun Masyaallah Keren bgt"
Vika Ari,5,
Ria Web Programmer,4,Tiket masuk untuk montor 10rb dan untuk mobil 20rb. Pemandangan nya syahdu..
Suwarno Mathematic,5,Lokasinya bagus. Hanya saja pembangunan disini sepertinya terlalu masif. Khawatirnya akan mengakibatkan longsor
Timbol Jaya,3,
Nova Prasetya,4,"Perjalanan sampai dititik ini jauh banget dari rumah...cape banget,tapi rasa cape terbayar karna tempatnya itu bagus sekali..."
Anjas Arga,5,"Kebun Teh Kemuning ini adalah salah satu destinasi wisata di karanganyar. Dengan menyuguhkan pemandangan hamparan kebun teh & dataran tinggi sehingga cukup bagus untuk tempat berkunjung wisata anda. Suasana sejuk, tenang & tidak terlalu …"
Arika Denikpurwani,5,"Sangat indah dan sejuk semua ramah dan santun dalam pelayanan ,,,,rekomend 😚 …"
Rizaldi,4,
tomi puspito,1,"Sekarang lagi males ke kebun teh kan?"" Tiketnya diparkir. Banyak pembangunan, nggak indah."
RiZki Rifa,5,"Kebun teh kemuning merupakan wisata alam yang berada di karanganyar Tawangmangu. Kebun ini dulunya peninggalan Belanda pada masa penjajahan. Atas perjanjian Belanda dan Pemerintah Mangkuneragan, terciptalah perkebunan ini. …"
Meiva Vabiola Jacobs,5,tempat wisata kebun teh terbaik si solo. jalannya menanjak dan berkabut. banyak jajanan juga dan rumah makan
naomi ryokoyama,5,
Kahiyang Anindita. Ard,4,"udah ada kejadian kaca pecah di banyumas masak tidak ada tindakan guna mengurangi resiko kecelakaan, setidaknya bawah kaca di kasih jaring"
Buddi luhur Chanel,5,"Dateng ke sini menjelang akhir tahun, suasananya sama seperti Puncak Bogor, tapi bedanya adalah gak macet kalau ke sini, ditambah banyak wisata lembah katrsnan. …"
Dede Sulaeman,4,Bulan September kemaren ke seragen ke rmh kakak ipar.terus jalan2 ke sini naik motor ....puas banget
Lowho Edunz,5,
Dj Ayla,5,
By Ommega,5,
Pratama,4,"Perkebunan teh yang terletak di lereng gunung lawu,
pemandangan yang hijau indah dan alami serta suasana yang segar cocok banget buat refresing karena disekitarnya banyak  destinasi spot wisata, …"
Heru Nur Huda,5,
Dedy Freedom,5,
Johanes Jo,5,banyak tempat wisata baru dibuka
Jambas,5,keren dan menarik
Pia Piia,5,"Viewnya gada obat, walaupun rada capek naiknya wkwk"
dani wahyu,5,"Cocok untuk rekreasi keluarga, sambil menikmati udara sejuk dan melihat kebun teh. Banyak penjual jualan disekitar lokasi kebun teh."
Yasminun Ardine Issudibyo,5,"Tempat wisata kebun teh gratis, hanya membayar parkir. Tempatnya sangat luas cocok untuk spot foto dan tidak ramai. Sepanjang jalan terpadat pedagang kaki lima yang menjual bakso."
Path Zero,4,"Kemarin aku berkunjung disini, tempat lumayan jauh ternyata dari kotanya. Tempatnya sangat dingin, kalian bisa nongkrong diluar wisata atau didalam wisata.
Tapi kalau sekedar nongkrong, enak di luar wisata soalnya di dalam lumayan …"
Listy wooy,5,tempat yang sejuk dan nyaman disini
fauzi handaka,5,
Rizky Nirwana Putra,5,"Kebun Teh Kemuning berada di area dataran tinggi sejuk karanganyar. Berlokasi tak terlalu jauh dari kota solo, area perkebunan menawarkan sensasi wisata kebun teh yang unik. …"
David Nathanael,5,
erlina prasanti,1,Sudah tdk seperti dulu lagi
Wulan Djofi8,5,"Di maps ga tau pasti titiknya yang tak kunjungi 3x itu bener ini ato bukan, tapi intinya aq berkunjung ke kebun teh Kemuning yang berada di sisi kiri jalan klo dari arah bawah. …"
Nurul Imam,5,
Nisaa Nur Azzahra 026,5,"Sangat cantik dengan pemandangan kebun tehnya, lebih cantik ketika tehnya sedang hijau hijaunya terlihat segar segar."
Lely Aprilia,5,"gatau ke kebun teh kemuning dah berapa kali dari zaman SMA, bnyak banget kenangannya disini, sampe sekarang bnyak berubahnya, dr yang dulu akses masuk ga bayar sekarang bayar dan ada jembatan nya but ttp worth it buat ngeteh2 cantik di bunteh 🥰 …"
Ani,1,"Not recomendet, kemarin diberita peraturan tiket masuk kebun teh sudah dicabut, tapi kenyataan masuk masih dipungut biaya perorang 10 rb belum termasuk parkir , iya kalo faselitasnya bertambah ini sama aja, terus berita kemarin itu gimana!!!"
Stephanie TR,5,3 tahun yang lalu... akan segera kembali ke sini.
setya wardoyo,5,Spot view nya lawu
gatot muning,5,
Esti Umayah,5,Jalannya rusak yg menuju di kebun teh .semoga cpt di perbaiki .untuk pak sopirnya kereta baik dan masjid bersih
zainalla789 zainalla789,5,"Tempatnya sangat indah, sejuk..dan ramai"
Fatimah Az Zahrah,5,"Tempat favorit yang dituju kalau lagi liburan atau sedang penat ingin refreshing. Udaranya bersih, hawanya selalu dingin, dan pemandangan kebun teh yang luas sangat memanjakan mata. Love this place so much!"
Sindi Yulia Nur A,5,alhamdulillah tempatnya sejuk dan bisa mengurangi penat. ada beberapa penjual makanan yg bisa untuk menghangatkan badan sembari menikmati pemandangan.
Aniesa Niesa,5,
Yasmien Munifah Zahratusita Purwanto,5,
Titah S.,5,Tempat yang indah
mbolapala outdoor (Rental alat camping),5,
Arra Mbariq,5,"Rekomended..yg pengen santai jauh dari sang mantan..kesini cocok buat ngobati kegalauan..😁
Update tanggal 21 maret 2023 : sekarang ada tiket perorang sebesar 10 ribu dan parkir sepeda motor 3 ribu,belum termasuk naik wahana.. …"
Anindhita Putri,5,
Lestar Utin,5,Direkomendasikan bgt
Winda Eka,5,Indahnya alam ciptaan Allah SWT
Lidia Natalidini,3,"Dulu ke sini aja gratis.
Sekarang masuknya udah harus bayar 10ribu per orang + parkir motor 3ribu.
Aku ke sana kemarin hari Senin pas tanggal cuti bersama. …"
Ayu Gitarani,5,"Wisata favorit keluarga saya,krn dekat dr rumah.udara sejuk dan view yg indah."
Andara Nursery,4,
