nama,rating,isi_review
Raden Oktova Gamma Star,5,"Taman hiburan yang menarik di dalam perkebunan teh Kemuning yang luas di lereng Gunung Lawu. Biaya masuk: Rp10.000,-. Area atraksi utama adalah Jembatan Kaca Langit (biaya masuk: Rp30.000,-), Kemuning Sky View (Rp30.000,-, tidak termasuk …"
indra,5,
Leo Ismail,5,"Seru tempatnya, asik buat foto2"
Didit Effendi,5,"Bagus tempatnya, ditambah view gunung lawu. Tiket masuk cuma Rp 10.000 dan parkir mobil cuma Rp. 5.000, kalo masuk wahana bisa dilihat di foto saya. Baiknya kesana sore hari,, enak banget udaranya"
Rini Astuti,5,"Senang sekali bisa ke kemuning
Tempatnya cantikkkk
Next bakal cobain wahana lain yaa dehh"
BIMA WISATA BATANG,5,Bagus
eddie pamungkas,5,
Yuniarti Praptiwi,5,"Pemandangannya bagus, banyak spot2 foto,,"
Dani Nurelansyah,4,"Bagus, cuma safety nya agak kureng.....gak ada jaring pengaman nya ..."
Win Rasba,5,Tempatnya seru dan menyenangkan... ♥️♥️
Della Karisma,5,
Rochmad Madiun,5,Liburan asyik di pegunungan yang sejuk
Abkolik,5,"Tempat healing yang syahdu banget!

Kalau kamu lagi cari tempat buat sekadar bengong, refreshing, atau menikmati …"
Ari Asianto,5,"الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ.
ga sia sia berangkat pagi dr hotel..jalan masih sepi..view nya top banget apalagi ada mas tukang photonya."
Wahyu Andriyanto,5,
mas brow,4,Sampai disini wkt siang panas sekali jd krg bs menikmati view nya
Rahayu Ningtyas,5,"Memasuki area Kemuning Sky Hills anda akan disuguhkan hamparan hijau perkebunan teh, spot jembatan kaca, bukit Teletubbies dan spot-spot foto lainnya. Udara sejuk dingin. Di sini juga tersedia Jeep (off road) berkeliling di kebun teh dan …"
Galuh Dewangganisa,5,Destinasi tepat untuk melakukan kumpul seru seruan dan refreshing🥳 …
Irfan Veka,5,View-nya bagus baguss di area kebun teh
okta baik,5,
Anggie Setyani,5,seru bangetttt dapat foto cantik²😻😻 …
Lovianingtyas Pramithasari,5,
Hesti Putri,5,Tempatnya sangat nice.
meeif,5,
Inggridalif 01,5,bagusss rekommmnd siii buattt healingggg sekeluarga
GUDANG TRADE INDONESIA (GUTI),5,
Erna Nur Rohmah,5,"view nya baguss, ga nyesel si kemarin abis kesini, tempatnya juga bersih, recommend deh pokoknya"
Elaine Yang,5,Kalau weekend lebih ramai dr weekdays. Tiket masuknya brp ya lupa (bayar tiket masuk ini sudah termasuk bisa cobain ke bukit teletubbiesnya/ kebun tehnya). Utk masuk di jembatan kacanya berbayar sendiri & antri (lupa jg bayar berapanya). …
AMAterasU,5,
Asih Party,5,Ndak bosen dg keindahan alam kemuning hils... baru beberapa bulan yg lalu dari sana.... kemarin kesana lagi..
Wawan Widjaja,5,Unik n menarik dan apik view nya. Keren 👍 …
Basovi Alwi,4,
linda saputri,5,"Buagus banget view nyaa😍, kaya di ciwidey versi jateng🤭 …"
Erma Erma,5,
Wahyu Gunarso,5,View bagus
Sulistyoagus,4,"Kemuning sky hills ngargoyoso karanganyar

Kesan pertama adalah hamparan  kebun teh dengan gunung Lawu di sebelah timur …"
Lutfia Arum Pambudi,5,Baguss buat healing. Liat yang ijo ijo. Murce dan kakak kakak nya baik banget ngejelaxinny
Edison “Ojak” Sormin Siregar lobusonak,5,
Teman Masak,5,Dingin dan viewnya worth it.
Ayup Setio Irawan,5,
Umi suci,1,
Dwikie Mahendra S.,5,
No Suko,5,
Rahmawati Oktriana,5,Pengalaman seru berjalan & menikmati pemandangan dari atas jembatan kaca. Deg-degan merinding juga haha.
IRA SETIABUDI,5,"Udara sejuk , pemandangan indah"
Michael TV,5,Luarbiasahh
ainur rohmah,5,"Indah banget, spot fotonya jg oke. Cocok buat liburan acara kluarga, hanymoon"
Daniel Ubay,4,Untuk pengamanannya kurang saat main turbing
Didik Wahyono,5,Udara segar dan pemandangan menakjubkan. Ada jembatan kaca yang menjulang tinggi di atas perkebunan teh.
Su Raji,5,Bagus banget viewnya
Anto BSK,5,"Keren ini mah, suasane adem, view menyejukkan, jalan arah masuk juga seru, ga nyesel jalan-jalan kesini, perlu cobain juga jembatan kaca nya waw banget"
Disya Ajaaa,5,bagus babgett keren
Vika Kumala Sari,5,"Stunning, pas kesana cuaca cerah banget jadi view nya makin amazing, yang suka ijo-ijo pasti seneng banget kesini, parkiran luas kalo bawa kendaraan sendiri ga usah khawatir, kl kmrn kami kesana pake Jeep, dr parkiran k atas bisa banget …"
Margon Krajan,5,"Gak sia-sia setelah menempuh 1,5 jam, akhirnya bisa nyruput segelas kopi sambil nikmatin sunsetnya 🏜️ …"
REVALINDA Siskawardani,5,
nurani tour and transport,5,
Puji Rahayu,5,
Ardiansyah,5,
Damn Diablo,5,"Seru...
Menegangkan...
Exciting..."
Dhanang Dhan,5,"Tempatnya dingin dan sejuk,pemandangannya sangat indah, dikelilingi kebun teh menambah keindahannya,cocok sekali bagi yang menyukai wisata alam.pastikan kendaraan dalam kondisi prima untuk menuju ke lokasi ini karena medannya pegunungan berkelok-kelok"
Burhan Udin,5,"Ngopi santuy dg view jembatan kaca dan kebun teh, dicafe kemuning sky hills jan..jos jis👍
#ballerina cappuccina💃☕ …"
mas4viep,5,"Udaranya sejuk, panoramanya indah menawan berada di lereng barat gn lawu.
Pokoke 👍 ngene …"
Tito Arifin,5,Tempat bagus dengan pemandangan alam yang memanjakan. Untuk Nugas rekomen banget! Apalagi kalau di hari2 kerja. Jadi bisa berfikir jernih.
Dani Saputra,5,"Pemandangannya bagus banget, ga nyesel kemarin abis kesini, Pelayanannya bagus, Tiket ramah dikantong
Parkir Motor 3k …"
Febri nowi ardana,5,"kesini sekitar 4 hari  yang lalu mantap suasananya sejuk udaraya, kebersihan lumayan baik, senang berwisata di kemuning sky hills insyallah mau ajak keluarga kesini rame rame 😀 …"
Ika Yuliyani,5,"Gercep pelayanannya , tempatnya bersih.Karyawannya ramah2 , view nya indah sejuk cantik😇 …"
Siwi. E Utami,5,"Kesini utk makan siang. So far makanan tidak terlalu lama (saat weekend). Byk spot foto tp saran saya dtg lebih pagi atau menjelang sore karena saya kesana jam 12 siang jd terasa panas walau berangin.
Satu2nya wisata yang oke di daerah Kemuning."
husen nuden,5,"Pemandangannya sangat indah,udaranya juga sejuk apalagi dengan memandangi kebun teh dan jug jembatan kacanya sangat cuantikk🥰🥰 …"
Fajar Fajar,5,
