nama,rating,isi_review
Gea Gita R,5,"rekomended, dokumentasi minus karena hujan* kak"
Arny Arni,3,"Yg bagian jualan makanan, yg deket sama toilet itu, pelayanannya msh kurang sat set. Lemooootttttt !!!!  ORA GEK SAT SET !!!!"
Yuli Ana,5,tempatnya bagus
Budi Santoso,5,Senang sekali bisa nginap di sini hotelnya sangat bersih nyaman dan orangnya sangat ramah is the best deh pokoknyaa
khrisma sutiyono,5,"Bagus, mendidik sekaligus happy &fun."
fyss89 susilawati,5,"Kolam renang ada 3,ada kebun binatang mini,kebun jeruk, kebun tanaman herbal, peternakan. Tempat bersih dan nyaman,ada ikan terapi juga. tempat jajan nya terjangkau,tp kalau mau bawa sendiri pun sepertinya tidak apa2. Anak saya senang sekali. Semoga ada wahana baru dikolam renang nya."
Ratih Tanto,5,"Murah, luas, nyaman.
Ada Mini zoo, buat anak2 sangat menghibur"
Supri Chat,4,
Dokumentasi SK,4,Saya suka tempatnya dan cocok untuk keluarga
RAYHAN RIZKY,5,
Verdi Ansyah,5,
Riski Leka,3,
Arjuna Fachri,4,resik jiee
Azkiya Nadira,5,Mantapp
Meina Dwi Yuni Riska Putri,4,
Dewi Satu,1,"Penjaga tiket yg gemuk super duper tidak ramah galak 😭
Kolam renang oke bersih …"
Jaylani Serengan,5,Bagus dan ramah untuk anak
Fitri Retno Sari,3,Terakhir kesana pekan lalu banyak lalat dan bau kandang ayam menyengat sekali.. sangat mengganggu.. semoga bisa segera di atasi
Erik DeST,4,Bagus.
kholil kira,5,
Dimas Aji B,5,"Menemani kegiatan anak. Lumayan luas ada kolam renang air mancur, hewan hewan kini zoo."
Devi Nurmasari,5,
Nurudin Hanif,4,"Alhamdulillah, anak2 suka karena ada sabun2nya di kolam. Bisa lihat kebun binatang. Dan tiketnya pun ga mahal."
Khoirudin (Kanz Roey),4,
Purwi Purwi,4,
Khusnaeni Faruq,5,
Raziq Hanan,5,Seruu bgt
Devina Isna Cahyani,5,"Tempatnya nyaman, sejuk dan mknannya enak"
Gambreng Chanel,5,
Irham raffasya,5,
Neta nur indah laily,4,"Alhamdulillah anak-anak happy main disini , lumayan banyak binatang dan banyak jenis tanaman juga 🤎 …"
muhammad noordin,5,
tina setya,5,
Riyzal Arifin,4,kolam renangnya airnya jernih..bersih..tidak terlalu bau kaporit
Benni Setiawan,5,Oke
Fitriani rahim,5,
Zahrina Mardhiyah,5,
Shine Nhur,5,Tidak ada komentar
Didik Yuli atmojo,5,Kacang oven rekemendate
Ahmad Rizqi,5,
Hanif Mustofa,5,
Joko,5,"Seru sekali, kolamnya banyak loh yuk kita ke kidoland"
Agesta coppier,4,
Galih Catur,5,
reca prilia,5,"Cukup nyaman, semoga sukses selalu...

Banyak hewan""nya, ada rusa, kura"", aneka jenis ayam"", merak juga ada, dll. …"
tjah joss,1,Kurang servise kepada para sopir
NhoeR,4,
Suyatman Yatman,4,
Tri Ratnaningsih,5,"Lengkap. Ada kolam renang, mini zoo, resto dan park juga. Cocok untuk keluarga."
selvira fatma,5,
Sayang hak cipta Pada,5,
Salsabila Azzahro,5,
Sutardi 020772,5,
Ratna Sari,5,
Vitria Santika,5,"Jarak tempuh yg tidak terlalu jauh dari rumah,tempat bersih,,harga tiket masuk ramah di kantong"
kayyasah,5,
Galuh Istikhomah,5,Sangat sangat menyenangkan dan meng edukasi
luluk tomboy,5,Bagus buat mengisi liburan anak sekolah
Desi Ridho,5,
Yuli Elfeni,5,
Arvan Samsuri,4,Tempat menarik untuk membahagiakan anak anda. Terdapat kolam renang dewasa dan kolam renang anak. Ada tempat duduk disekitar kolam yg nyaman untuk menunggu anak yg sdg bermain.
Tarmi And Family,5,Murah bgt tiket masuknya. Weekend cuma 12ribu udah bisa renang sama liat binatangnya jg cukup banyak. Jalannya jg halus dan ga terlalu jauh dari jalan raya.
Puri Utomo,4,"Tiket masuk weekday 10k, weekend 12k..
Tidak boleh bawa makanan dari luar..
Kolam renang ada 3..
Kamar bilas/KM/Toilet bersih dan gratis..
Ada mini zoo satwa terbatas
Taman terawat..
Cocok utk meeting dan pertemuan"
may moewn,5,
Sriyani Lois,3,"Ya cukup puas,, apalagi dgn adanya bonbin walaupun cm sedikit, membuat anak2 suka dan betah hehehe."
agus bumen,4,"Tempatnya enak,ga begitu panas,masih banyak pohon2 buat berteduh"
Deni Satria,5,
darsih bunda,3,
ipvnoot arifah,5,Liburan murah meriah
hhdjhf Hduhdjdh,5,
Fachrizal Rian Pratama,5,
Sri danar Susilo,5,
Dina Kurniati,3,
Wiyono Cemplon,4,
fina andara,5,
Harno Sitompul,5,Kolam renangnya bersih dan tidak terlalu dalam cocok untuk yang baru belajar berenang
Daniswara Zada Aryaputra N.,3,Mantap
Pejuang Rupiah,5,
Yuli Astuti,5,Ini kolam renang sdn 2 wonokarto pernah ke sini pada suka banget anak anak kadi senang gembira 😊😊 …
Toni Fitri Ambarwati0k,4,"Untuk harga tiket 10rb weekday per orang itu sangat memuaskan,  murah banget, paket lengkap,  di dalamnya ada kolam renang, kolam ikan,  berbagai hewan dan tanaman selain buat rekreasi jg sebagai edukasi, pertama x ksana dan memuaskan"
Sarmila Mila,5,
Avi Febriand,5,
Nanang Ganendra,4,terimakasih untuk kedatangannya
Ayu Hasna,4,Mantap..murah..ada kebun binatang mini jg..sayang kamar mandinya sedikit
Cahyono Samiyem,5,terimakasih untuk kedatangannya. 
Rohmat Adi Nugroho,4,"Lumayan lengkap fasilitasnya, untuk anak2 juga bagus,, akses jalan masuk bigbus cukup tp untuk berpapasan tidak bisa."
Sulistyo Regarsport,5,
Achmad Indarto .S.E,5,
nur fatimah,4,dan lagi lagi kesini
Muslim Arrochman,2,
maryani,5,
Ana Lasta,3,
faris Kurniawan,5,"Tempat luas, ada mini zoo, kebun sayur, mini train. Kolam renang ada 3. Sayangnya kolam renang utk anak2 kecil malah dibuat yg paling sempit, pdhl yg plg banyak renang anak2 kecil. Kolam renang dewasa plg luas pdhl sdkt sekali yg berenang disana, smtr kolam anak2 penuh sesak aplg di hari libur."
