nama,rating,isi_review
Dewi Fitriyanti,5,"tempat yang sangat menarik
pelajari sejarah musik di Indonesia
ikuti tur pemandu selama 2 jam dan Anda akan kagum"
Nikko Yudistira,5,
Chen Aileen,4,
Andri Gunawan,5,
Hafidzajanya Lilian,4,baguss
Deal Baby,5,"Menyenangkan di setiap sudutnya, waktu tour kurang lama 🥹 …"
Kashiful Preuner,5,Tempat bagus
Zwageri Adnan,5,"Bagus, tempatnya informatif dan nyaman"
nafnaupgrade 19,5,"Aesthetic pokonya mah, ga nyesel kalo balik lagi kesana"
Sasa,5,tempatnya cantik banget!! suka banget!!! harus dateng siii
St. Prabawa Dwi Putranto,4,"Bagus sih, walaupun agak kecil. Tapi banyak banget cerita tentang perjalanan musik Indonesia khususnya pop"
rian prayogo,5,
Nabilla safira,5,"serruuu banyak tenant nya, tempat nya juga luas mayoritas outdoor"
Juan Sebastian,5,
Sir Destroy,5,"Tempatnya bagus sih, tourguide nya juga menguasai banget. Lagi, harga tiketnya juga murah!!"
Adinda Larastiti,5,"Asyik sekali melihat perkembangan musik Indonesia di sini. Langsung jadi salah satu wisata favorit saya di Solo, kayaknya gak bakalan bosan mengulik aneka barang dan mendengarkan musik di sini. Apalagi tourguide-nya juga asyik (saya lupa …"
Rahadyan Febri,5,
Advent Fajar,5,
Dinda Friska,4,
Ade Buyung,5,
Wingga Destranti,5,
Risky Pratama,5,
ECY Jombang,5,
camad rizal,4,pengalaman masuk ya harus reservasi dulu. jadi orang kebanyakan masuk hanya untuk foto2 ditiap ruangan. tanpa baca sejarah lokananta seperti apa. ruangan paling banyak yg dilewati adalah ruangan gamelan dan pustaka. dan boom saya lagi baca …
annisa cdp,5,"Museum musik indonesia. Tempatnya ga begitu luas tapi bagus banget, informatif dan modern. Banyak spot buat foto apalagi ruangan yang isinya piringan hitam dan rak rak buku. Sebelah museum ada deretan cafe dan toko souvenir."
Marco666,5,
Achmad Rama,5,"tempatnya bagus, rekomen buat keluarga"
Caroline,1,
Oscar Da Pedro,5,
Eillen,3,"Tempatnya kecil, tetapi punya beberapa spot foto."
Riki Nursandes,5,"Kami mengikuti sesi tur 5 (18.00-20.00)
Tur berlangsung selama satu jam, dan satu jam sisanya bebas untuk dijelajahi pengunjung. …"
hega prakosa,5,
RIA TRISNAWATI,5,rekomen kalo mau cari tempat yg buat duduk duduk aja cerita
Ready's Soulshine,5,
Andreas Wibisono,5,
Reina,5,
Dihyat Rifqi Erlangga,5,
Ika Hanif Rahmawati,5,
Bactiar Blora,4,
GoMath HLC,5,"Tempat jajan yang luas di area museum milik perum percetakan negara. Jualannya hampir senada: kopi, pastry dan makanan street food korean. Untuk rasa cenderung seragam. Keunggulannya adalah tempat ini memiliki vibe retro zaman sebelom internet melanda"
Ninik Admawigati,5,Kereen...
Meta Putri,5,
Reni Wibawanti,5,Tempat yang wajib dikunjungi kalau ke Solo
Imanuel Sutopo,5,"Tempat nya bagus, banyak piringan hitam /vinyl beserta alat pemutarnya. disamping nya banyak tempat makan, souvenir dan coffee shops.
kebetulan karena ramai dan sedang hujan, dapat tempat di Aloo.
Surprisingly, their coffee was good !"
Sylvia Anggita,5,
Dheani Fauziah,5,Banyak bgt ilmu yg bisa didapet di sini terkait sejarah musik. Daftar dulu di website/portal untuk dapet antrian tour.
Azmas Arvinaldi,5,
Irwan Tri Yunianto,5,"Tempat nyaman buat makan, sekedar duduk2 atau melepas lelah dari kerja atau hiruk pikuk kota"
kana laila,5,"Sangat estetik! Bersih
Pelayanan ramah dan cepat

Luas banget areanya, banyak ruang terbuka dan banyak pilihan coffeeshop, resto, snack di area luar galeri/museum.

Kamar mandi bersih, wangi

Parkiran luas, tapi panas"
brillyan dimaz,2,"Maaf harus kasi ulasan jujur, bbrpa hari lalu saya,anak dan istri saya ke lokananta untuk santai sore sambil nyuapin anak yg lg di fase GTM atau belajar makan. Singkat crita sampai disana langsung di sambut satpam dengan nada yg menurut …"
Alfi Hasanah,5,"Tempatnya baguss, buat tiketnya bisa beli online ataupun offline. Kalo masih pelajar, bisa bgt bawa kartu pelajar atau ktm buat mahasiswa. Harga normalnya 35, kalo masi pelajar dpet diskon jadi 25k aja. Kebetulan kemaren sama temen temen, …"
Fernanda Saputra,5,Kalo ke solo wajid ke sini
Agil Desnatra,5,
Hendro Kusumo,5,"Ini merupakan museum sejarah tentang perkembangan music di Indonesia.
Lokananta adalah studio musik pertama di Indonesia.
HTM 25.000,pembelian melalui laman web lokananta ya,atau bisa check link di …"
Pid,5,Pengen kesini tiap hari rasanya
Zenela Lazuardin,5,
satria azhari,5,Tempatnya asik buat nongkrong + mempelajari sejarah industri rekaman indonesia.
paranoid thelast,4,
Bali Vano,5,
Nugroho Tiyo,5,"Pengalaman terbaik, saya begitu bersemangat menelusuri sejarah industri musik di Indonesia"
WIDAS ALI ARAFAT,5,
Al Fiani Dellona,5,
binuko widyantoro,5,
elisabeth monardi,5,"Semoga berjodoh, bisa recording disini🙏🙏😇
Terimakasih keramahannya …"
Dian Sunardi,5,Museumnya minimalis tapi dikemas dengan sangat modern dan estetik. Disini menyimpan kisah perjalanan studio rekaman yang pastinya sangat bersejarah. Tour guidenya sangat komunikatif dan penjelasannya sangat mudah dimengerti. Waktu yang …
Liem Xin Jiu,4,
Yoni bergaz,5,Enak tempatnya buat santai
Romli Alfian Febrianto,5,
jilan namira,5,
Meli Herowati,5,Senang banyak lagu2 bernostalgia
Eugenie Dwirenata S,5,seru! yang mau berkunjung direkomendasiin beli tiket yang ada guidenya supaya paham dgn jelas sejarah lokananta. jgn lupa mampir ke cafe-cafe imut di m bloc nya
Yaoi Daisukida,1,
