nama,rating,isi_review
ADHY NUGROHO,5,
Purwantoro Putro,3,"Lokasinya cukup bagus, tenang dan luas. Binatang yg ada juga  cukup bagus dan sehat."
Agus jk,5,
Yes Yes,5,Keren dan sangat bermanfaat
Siti Mardhonah,5,
rendy dersdevil,5,"Nuansa sepi
Cuman tempat spot foto
Itupun jg kurang di urus …"
Ilham Failosof Mandegani,5,
Khoirul Nurhuda,1,
Kharisma Aulia,4,
yoono siejie,3,
Asrudi Hartono,4,
Avit Villa,2,Tempatnya kurang terawat
Ngatimin,5,
ipunk pamungkas,3,"Tempatnya oke sih, tapi kurang terawat"
Franky Tan,4,
Noval classic Part,5,
Yusuf Ali,5,
Bahtiar -,5,Sekitar 2019 Jan 1
Khoiriyah Khoiriyah,3,
Andhika Prakoso,4,
Abu IQBAL,5,
KORG Oranye,4,Hanya sebagai tempat menghibur diri sambil menikmati menu kuliner yang khas dan ada di tempat tersebut
Abdul Bais Mardianto,3,Tempat yg bagus utk berswafoto asal lebih terawat
Budi Pariyanto,4,
Stephanie Dian,2,"Tempatnya udah agak gak kerawat, maaf banget kotoran kucingnya bau banget, karena kandangnya besar jadi mohon sering-sering dibersihkan 🥺🥺 Buat yang kepo, menurutku gak usah datang soalnya biasa aja, gak ada yang menarik, makanan dan …"
Ananda Ardi,5,
slamet riyadi,4,Pinggir jalan raya dekat dengan gua gunung madu
Nur Sahid,5,
Supry Supry,5,Mencari hiburan buat anak2 dan keluarga
Sri Widati,4,
Sri Yanto,1,
Budi Aj,5,
Pak yanto Banjarsari,5,
Masbianto Subianto,5,"Dari depan sempat ragu, temlat apa ini. Eh begitu masuk, rupanya nice place ya. Yuk pengelola bisa touch up dikit lagi. Ke sini sama ponakan ponakan seneng pada main di taman utama bawah. Masuk gratis, bisa makan nongkrong asik bareng keluarga."
Isti Qomah,5,
Muhammad Daivany,1,"Sangat kecewa dengan pelayanan restonya. Dari awal saya datang langsung pesan steak. Tapi apa yang terjadi?.. pesanan saya tidak kunjung datang dari awal saya duduk dan pesan makanan tsbt dari jam set 12 sampe jam 1 gak datang², dan ketika …"
abas bazio,5,
Rochmad Hidayat (YR Trans),5,
Titis Wedanti,4,"Tempat lumayan luas tapi agak sepi , padahal hari minggu
Menu resto pesan ayam taliwang mie rebus jawa lele kremes , rasa standar harga standar"
Aqila Afra,2,Udaranya sejux
Bekatul OHS,3,
Siska,4,
Arie Zona,5,
Galih Ratna,1,"Tadinya ku kasih bintang 4, untuk tempat wisata buat keluarga oke, tapi seperti tidak terawat. Mungkin saking sepinya. Dan yang bikin emosi, pesan ayam taliwang tidak kunjung datang ternyata katanya Cs nya belum pesan, kan lucu. Snack …"
Seto Nugroho,5,Terima kasih kak sudah mampir
Darsono Darsono,5,Luas bngt tp mahal
arimby Rey,5,Tempatnya keren sekali🫰❤️❤️❤️☺️☺️☺️saya jauh dr luar kota merasa nyaman tempatnya bersih....rekomen untuk berwisata bareng anak anak ada edukasi binatang …
Fina Boyolali,5,"lumayan lahh tempat nya ,tapi agak kebun gitu ya hehe banyak nyamuk"
Su Tomo,4,
Mustopa Ahong,5,Gak tau
MUHAMAD ALFIN,5,
Fitri Solo,4,Bagus lokasinyaa.. Segar buat nyantai..
AHMAD TRI NURHIDAYAT,3,
Riski Raditya,5,
