nama,rating,isi_review
Mommy of Nabil (Arni wdwt),5,
Putri Annisa Rahmawati (Onist),5,"Salah satu museum yang ada di Surakarta. Museum menjelaskan tentang perkembangan alat komunikasi sampai dengan pers. Disini juga tersedia perpustakaan yang berisi banyak sekali beragam koran-koran, termasuk koran yang sudah lama (dalam …"
Herry Pra,5,
Farih Solikhan,5,"Monumen Pers Nasional merupakan bangunan penting yang didedikasikan untuk sejarah dan perkembangan jurnalisme di Indonesia. Terletak di Surakarta, monumen ini menghormati peran pers dalam membentuk bangsa. …"
Nida'ul H.N,5,
Bung Syarifah,5,Salah satu tempat comfy buat nugas atau sekedar membaca buku. Jadi dari lobby masuk monumen pers nanti kalian disuruh mengisi buku kehadiran yang ada di komputer. Kemudian kalian diberikan 2 lembar kertas kecil yang berisi username dan …
Bengkel Mesin TEPAT Solo,5,👍👍🏻👍🏼👍🏽👍🏾👍🏿 …
Agil Laksmana Putra,5,
lintangdjati,5,"tempatt nya nyamannn banget! bersih, dingin, rapii! perpustakaannya juga trnyata ramee, tapii walau begitu kondisi tetep senyapp karena semua orang pda belajarr atau sekedar baca buku. pilihan buku nya juga banyakk! pokoknya bakal sering …"
Mas To,3,
Aliya Rizky,5,
Joko Santoso,5,
Nurul Hidayati_sp,5,"Pengalaman yang menyenangkan, gratis tour guide, wifi, dan refil minum, pelayanan ramah , cocok yang suka sejarah dan baca buku, apalgi yang masih sekolah biar nambah wawasan, terimakasih solo dan monumen pers nasional😍 …"
OVANNE A,5,10/10
Surya Jaya AC,5,
Novia Paramitha,5,
Indra Pradana Simanjuntak,5,"Museum Tetang Pers di Kota Solo, ruangannya sebagian besar ber-AC dan juga disediakan WiFi Gratis."
Iwan Jaya,5,Oke ada wifi baca 2 di depan ada
Rasya Ayu,4,"tempatnya nyaman, sangat bermanfaat untuk menambah pengetahuan sejarah"
Fasih Abdullah,5,Insya Allah. Besar
Miranda Nur Azizah,5,
Tito Fajar,5,Bagus dan memudahkan mendapatkan informasi² penting
Muhammad Alwi,3,"untuk keseluruhan pelayanan sebenarnya sudah sesuai dengan standar SOP tapi terdapat kendala yaitu di Fasilitas Parkir yang kurang luas, saya sampai harus parkir di trotoar. mantol saya juga hilang di lokasi, tapi yaudah mungkin ada error, tapi saya harap besok bisa lebih baik dari hari ini"
Sinta Konia,1,Mas mas parkir yang masih muda sangat tidak ramah dengan pengunjung baru
Auladani Shoda Amrulloh,5,"Aku dan temenku ke perpusnya, tapi penuh. Jadi, diarahin ke ruang baca. Semua pegawai pada ramah dan helpful banget. Wifinya juga kenceng. ACnya adem. Enak buat nugas dan belajar."
khusnul kha3,5,Tidak ada tiket masuk untuk berkunjung ke monumen pers ini.
Adi T2,4,
Sujadi Jaya Hartono,5,
Guja Marlon,5,
Jesra Jonathan,5,
Pondra Pradhika,5,
Erland Aviel,5,
Wahyudi Utomo,5,
Heru Nurnaningsih,5,"Ruangan nya bersih banget dan nyaman....
Kebetulan di perpus nya full..jadi kita diarahkan keruangan lain,cocok banget ya disini buat baca baca buku sambil nugas 🤭
Wifinya juga kenceng... …"
Ndung Ndung,5,
Rudy Trans,5,
karolina priskilla,4,Tempat yang beredukasi bagus. Pilihan bukunya juga banyak dan mantap
Pradini WY,5,
Khris Na,5,
Nugraha Rangga,5,"Salah satu museum penting yang ada di indonesia, museum pers, didalamnya ada berbagai koleksi penting baik sejarah kerajaan mangkunegara atau pun sejarah kemerdekaan Republik indonesia, terdapat rekam jejak pers indonesia sejak awal merebut …"
041_Dastra Nadiani Septianingrum,5,"Nyaman, bersih, petugasnya ramah"
Amelliaasa,5,
K,4,
Yunita Sekarning Tyas,5,
Rahma Safira,5,"Pertama kali datang ke sini. Woww perpusnya nyaman banget buat baca buku dan ngerjain tugas. Tempatnya cozy, bersih, rapi, dan tenang. Saya kira nanti bakal ga terlalu ramai di perpus tapi ternyata banyak yang minat ke sana!! 😲😲😲 Mantap sihh, free wifi jugaa. 🫰🏻🫰🏻 …"
Andy Susilo,5,
Zelda Nur Faizah,5,"tempat yang cukup lengkap untuk sebuah sejarah, disediakan tablet juga untuk berfoto"
maya rahma,5,"keren bgt tempatnya bisa lihat"" sama pegang"" mesin teknologi jadull,,,cocok juga buat foto"" pelayanannya juga ramah, disini tidak memungut biaya yaa jadi gratiss, rekomen bgt kalau bosen di rumah mau ke museum bisa ke siniii☺️☺️"
Mami Zefa,5,
Misbakhul Munir (Ora Galak),5,"Menurut saya ini bukan hanya monumen tapi juga museum. Tapi kalau mau disebut museum koleksi kurang banyak.
Lokasi strategis banget. Lumayan bagus isinya dan bisa untuk edukasi anak anak dan perpustakaan juga di lantai 2."
"SYAMSUL, KOMAR",5,Monumen yg anak3 sekarang jarang yg minat
uswatun binjub,5,
Anonymous,5,bagus
Herdhi Ardianto,5,tempat liburan edukatif yg gratis 👍🏼👍🏼👍🏼 …
Messias Raja,5,Tempat untuk mengalihkan dunia anak dari yang suka main gadget jadi tertarik membaca buku karena ada perpustakannya
Ivan Pramoedya Wardhana,5,
Fachriza Nur Astuty,4,
