nama,rating,isi_review
Dam Dam,5,
Wiji Anti,1,
Al Al,5,"Terong jepang, besar besar, se besar yg punya.. Joos"
Febri Nur Rohman,5,
Aris Yulianto,5,
Rifki Yunianto,5,
danang marwoko,5,
Pdika511,5,
Ratna Sari,5,"Museum Karst bisa sebagai tempat pembelajaran di luar kelas/outing Class. Siswa akan dipandu terkait dengan segala sesuatunya tentang karst. Tempat yang bagus, luas, area sekitar museum juga luas untuk tempat parkir. Dibagian luar juga ada …"
Ibnu,5,"Saya kesana liputan untuk tugas video,untuk tempat nya memang masih bagus dan pelayanan juga bintang ⭐⭐⭐⭐⭐ mungkin yang bisa di kritik hanya kebersihannya saja"
