nama,rating,isi_review
Dam Dam,5,
Wiji Anti,1,
Al Al,5,"Terong jepang, besar besar, se besar yg punya.. Joos"
Febri Nur Rohman,5,
Aris Yulianto,5,
Rifki Yunianto,5,
danang marwoko,5,
Pdika511,5,
Ratna Sari,5,"Museum Karst bisa sebagai tempat pembelajaran di luar kelas/outing Class. Siswa akan dipandu terkait dengan segala sesuatunya tentang karst. Tempat yang bagus, luas, area sekitar museum juga luas untuk tempat parkir. Dibagian luar juga ada …"
Ibnu,5,"Saya kesana liputan untuk tugas video,untuk tempat nya memang masih bagus dan pelayanan juga bintang ⭐⭐⭐⭐⭐ mungkin yang bisa di kritik hanya kebersihannya saja"
Yanuar Bukhori,5,Tiket Masuk 10K / Orang | 2K / Motor | Rekomen untuk dikunjungi 👍 …
Suliadi Purwanto,5,
wiratni sari,2,
"Prof Mudrajad Kuncoro, PhD",4,"keren, informatif"
Julia Pertiwi,4,Tempatnya agak lembab dan kurang terawat. Beberapa pendingin ruangan tidak berfungsi. Semoga rakyat Indonesia makin banyak yang berkunjung di museum.
B Realino,5,
Segara Huni,5,"Museum Karst Indonesia, apakah museum ini menginformasikan tentang kehidupan diawal diseluruh gua karst di Indonesia?
Karena hampir diseluruh perbukitan (pegunungan) karst bisa jadi dihuni oleh …"
Bambang Purwandi,5,Sangat membantu dalam memahami gugusan karst di Indonesia
Annisa Nasution,5,
Bayu kiplii,5,
Rahayu Lestari,5,
Tejo Prasetyo,3,
Desta Lawu,4,
pri yono,5,
Mennas Eriko,5,
Valentino Aurel Bimo pramana 32,4,"Tempat bagus dan luas, namun bisa ditingkatkan terutama di bagian kebersihan toilet dan mushola"
Bayu Satyyaa,3,
prasetya ningsih,5,museum yang edukatif
B Pram,3,
Nurjanah Dwi,5,Keren
Andrias Firmandani,5,Nyaman dan santau
oke bro,3,
Pratama Novan sulistyo,5,
Fina Putrianad,5,
mohammad setiawan,5,
Wiwit Satriono,5,
Muhamad Nurhidayat,5,Cakep bgt rekomend sih buat org Yang seneng masuk gua atau sekedar kenal dengan sejarahnya
Hario Wibisono,5,
Tegar Bagaskara Febriansyah,4,
Yanuar Kristianto,5,
SO_FYAN_RR,5,
Pius Ramadhani Pramudita,5,Tempatnya sangat dekat dengan jalan utama
Temperature 606,5,Bagus penuh pengetahuan
Amalia Furniture,5,Bagus untuk anak sekolah & masyarakat umum untuk mengetahui tentang jenis batuan purba. Proses terbentuknya & sejarah jutaan tahun yang lalu.
angggita danu,3,Disayangkan.. seperti banyaknya museum kurang diperhatikan
Lisa Lutviana,5,
Sabimo Chaneel,5,
yandhie susilo,5,"Ke museum karst, pada saat event vespa SCOOTJAMFEST-WONOGIRI
Tempatnya di perbukitan, jalan bekelok2, sangat menyenangkan dan berkesan.👍👍 …"
Sandi Bhakti Dwi Pratama,5,
Cintya Dewantari,4,"Pembangunan karst sudah banyak banget dari beberapa tahun yang lalu. Disini kita bisa belajar berbagai macam zaman prasejarah dan tinggalan tinggalannya, batu batuan kapur, stalaktit dan stalaknit dan batuan batuan lain. Di lantai 3 …"
Reza Satya,5,
Endang Respati,5,Senang
azwar keren,5,"Bagus,edukasi banget buat pengetahuan👍🏻👍🏻👍🏻 …"
I M,5,"Lumayan edukatif
Memiliki dua lantai
Bisa bermain bersama keluarga maupun mahasiswa"
Dimas Dimpol,1,
31. Thomy Kharisma Harimurti,5,
Styo Mahendra,5,Lokasi lumayan tersembunyi. Museum ini istimewa karena bagian dari aksi nyata global park unesco untuk gunung sewu yang diakui dunia. Koleksi menggambarkan karst² yang lengkap khususnya yang ada di Indonesia. Beberapa fitur tidak berfungsi. Semoga kedepan semakin membaik.  Warisan yang baik untuk anak cucu. Pengalaman yang menarik.
Wulan Iwul,2,"Sepi
Pengunjung  wajib mengisi buku tamu dientrance
Sayangnya nggak ada tour guide"
muhammad sandya,5,
Ghozali Putra,5,
Sri Muhammad Kusumantoko,4,"Tempat nya sebenarnya sangat bagus buat edukasi anak terkait geologi, cuma tempatnya lumayan sepi, mungkin kurang promo nya, banyak gua2 juga buat d jelajahi, mungkin kedepannya bisa d perbaiki d beberapa tempat dan d upgrade bisa rame lagi...."
Linda Oktaviani,5,
Adylla Mulyono,1,
diuliaaa,1,
Linda,5,"Saat datang sepi karena sudah mau tutup museumnya. Lokasi mudah diakses,tiket masuk 10 rb/orang. Tempatnya lumayan luas."
Nyoman Swardika,5,Bagus
ferrybreak official,5,
Christian Feuillet,3,Diindikasikan dengan buruk. Gua yang bagus untuk dikunjungi.
pambuka agung,5,
Afifuddin Noor,5,
Haris Handoko,5,"Bagus, cukup terawat kecuali toiletnya.
Museum bersih, sayang sekali sepi pengunjung,"
Panthera Adi Nugroho,5,
Bambang Kurniawan,4,
Candra,5,merasa sangat menikmati penyembuhan diri terakhir kali saya berkunjung pada April 2024
Bimantara,5,"Museum nya bagus untuk pengetahuan anak anak sekolah ,dapat belajar tentang batuan karst. Saran yang dapat saya berikan semoga pengelolaan oleh pemkab bisa lebih bagus dan lebih terawat lagi. Bisa dilakukan kerja sama dengan sekolah sekolah sekitar untuk membantu meningkatkan pengunjung disana. Terima kasih"
Irawan,4,
Anang Subianto (Nanang),4,
Intan Okta,4,
Mayang ningrum,4,Informasi yg disajikan menarik..bagus untuk pengetahuan anak sekolah..karena sy menyukai kars..jd cukup memberi wawasan mana saja dibelahan dunia ini yg memiliki struktur kars di wilayahnya
Yaniee Reza,5,
Tata Byan,5,
Aris Kristiawan,5,Terdapat beberapa goa yang sangat natural di sekitar Museum Karst
