nama,rating,isi_review
Nur Afni Khoirunnisa 09,5,
Putri Annisa Rahmawati (Onist),5,"Salah satu museum di Solo. Museum ini memiliki 5 lantai, ada tangga dan lift. Museum ini menjelaskan secara rinci tentang keris seperti jenis-jenis keris, cara pembuatan keris, dan cara penggunaan keris pada acara-acara tertentu. Tidak …"
MFAP,5,Sangat mengedukasi tentang budaya keris dan senjata tradisional nusantara lainnya
Salim Salim,2,
hanif prasetya,4,
Deha,5,
Endar Triyanto,4,Pengalaman/kenangan ngat berharga buat sy waktu dl masih jd security di museum keris... Dr awal konstruksi pembangunan sampai fenising... Msih inget dl waktu jaga cm sendirian kdg ditemenin temen q sdh lm gk ketemu dl namanya mas nunung.. …
Marva Indrasari,5,"Htm umum 10k aja. Tempatnya bersih dan rapi. Museum ada 5 lantai, ada tangga dan lift nya. Weekdays gak begitu banyak pengunjung. Pelayanan juga ramah"
nurhayati 20,5,
ikhsan arrahman,4,Memukau
Rosemarie Jr,4,"Tempat yang sangat nyaman, murah meriah, terjangkau tiket masuknya cuman 10 ribu. Ada banyak keris Dan informasi² bagus lainnya disini. Lalu ada qris yang bisa kita scan berisi informasi² mengenai keris / senjata tradisional itu dalam …"
Bowo Ardianto,5,"Museum inu dibangun oleh Direktorat Jenderal Kebudayaan, Kementerian Pendidikan dan Kebudayaan melalui Direktorat Pelestarian Cagar Budaya dan Permuseuman sejak 2013 dan diresmikan oleh Presiden Republik Indonesia, Joko Widodo pada tanggal …"
khusnul kha3,5,"Museum keris ada di samping stadion Sriwedari. Dengan membayar tiket masuk 10k, kita bisa berkeliling museum yang sangat nyaman ini. Selain berbagai koleksi keris yang cukup lengkap, ada juga perpustakaan yang bisa menjadi salah satu bahan …"
Wisnu,5,
GabeBee Gabe,5,"Koleksinya bagus, penataan rapi, pencahayaan juga bagus untuk highlight koleksinya, recommended untuk opsi wisata edukasi dan budaya keluarga juga untuk museum date"
Guntur S Hadi (Mbah Hadi),5,
Indah R,4,"Terletak di kawasan startegis di belakang Stadion Sriwedari, biaya masuknya hanya Rp 10rb (tanpa pemandu). …"
Yovie Yanuaristanto,5,"Bagus, semoga semua museum di Solo semakin rame"
