nama,rating,isi_review
Seputar Teknik Sipil,5,"Ruangan bersih dan nyaman,
Menambah pengetahuan.
Ayo kesini ya?"
Nurul Romsah,5,terima kasih sudah berkunjung ke Museum Lapangan Manyarejo
Yuni Yumi,5,Baik nambah wawasan anak
Naura Syifa azahra,5,"Tempat nya bagus, menambah wawasan, pelayanan sangat baik"
Eko Sujianto,4,"Berkunjung 5 klunter sangiran
Museumnya bagus"
Taufiq Hendrawan,5,
Asri Hayati Nufus,5,Bagian dari Sangiran yang memiliki displai kotak gali arkeologi. Salah satu museum favorit karena menjelaskan kinerja para arkeolog bersama para warga Sangiran yang mencoba untuk membuka tabir kehidupan masa lalu di Sangiran. …
Muhammad Nasrullah,5,Salah satu kluster museum manusia purba di Sangiran
Dimas Wahyu Prasetya,5,
mujibur rohman,5,Museum ini menyajikan koleksi fosil berusia ribuan tahun yang masih berada di lokasi aslinya. Berlokasi di tengah pedesaan sehingga menghadirkan nuansa asri dan nyaman khas pedesaan. Cocok untuk belajar tentang mitos balung buto/mitos tentang fosil
Rahmad Aja,5,Tempatnya bagus
TANTI KRISNAWATI,5,"Tempat yang mungil, namun sangat menarik. Menyajikan materi dengan sangat detail dan informatif. Menunjukkan sisi lain dari ""The Great Sangiran""."
Refi Amoorea,5,
Margon Krajan,5,
Le Yadi,5,Sangat  menakjubkan
nina iswati,5,"Museumnya cantik, bagus, dg penataan vintage, area terbuka hijau jg indah. Jika ingin belajar ttg ekskavasi/penggalian fosil dan sejarahnya bisa datang ke sini."
Danang Setyawan,4,menambah ilmu pengetahuan tempat bersih dan asri
Ananda Putra,3,
Decky adi prasetyo,5,"Salah satu dari klaster museum Sangiran, tempatnya masih sepi padahal tiket masuknya gratis. Kuy kunjungi Museum Purba Manyarejo"
Tegoeh Pambudi,5,"Beberapa kali kesini, walau tidak terlalu luas tapi menyimpan banyak kisah jaman dulu."
Imam Chudori (Imam chudori),3,Menambah wawasan
Martua Parasian Lumbantobing,5,
Sensen,5,Museum ini walaupun hanya beruangan tidak terlalu besar dan tidak terlalu kecil menyimpan data² yang mengindikasikan bahwa didaerah museum terdapat manusia² purba yang pernah menetap  yang dapat menambah wawasan dan pengetahuan kita tentang manusia purba👍 khususnya di zaman pleistosen …
Puji Noer Cahyani,4,"Museumnya kecil, tapi menyimpan benda benda purba yang bisa menambah pengetahuan kita"
Tito Suryawan,5,Salah satu museum yang paling menakjubkan. Terletak di tengah lingkungan yang ramah
dani prasetya,5,situs purba yang terawat
Nia Fitasari,4,Tempat bersejarah bagi peradaban manusia
Juni Eko Kuncoro,4,
Sigit Sugiri,5,
Romulo Simanjuntak,5,Museum kecil yang menyimpan cerita menarik di dalamnya. Seru!
Sigit Eko Prasetyo,5,Salah satu kluster di sangiran yg memperlihatkan kotak ekskavasi dan temuan para arkeolog
Bagas Suharjo,5,
Puji Yulianto (TSW Putro),5,Tempat wisata dan belajar
ferry wulan prihanto,5,
Putri Esti Rahayu,5,"Tempatnya nyaman,bisa jadi wisata edukasi"
Eko Abiyanto,1,Masih blm ramai pengunjung
Wahyu glass,5,sangat identik dengan barang purba
Riyono Siri,5,
Joni Setyawan,5,
Kang Kalih,5,"Wah, ini sih keren. Edukatif, cukup tidak terlalu luas juga untuk berkeliling. Hanya perlu disediakan buat disabilitas, jalur kursi roda untuk org tua."
Eka Wahyu Primadani,5,"Tidak hanya museum, penduduk di sekitarnya juga ramah dan terbuka untuk tamu. Bergaul dengan mereka membuat susah meninggalkan tempat ini."
Suranto Togox,5,
Ilham Arzy D.P,5,Lebaran selalu mampir
B'cak Tani trans,5,
Esa Sarah,4,
Abdurahman B.W,5,"Pernah lewat di depannya, tapi belum pernah masuk"
Gondrong Saputra,5,
ruscahyono,5,Wajib kunjung . . Jgn hanya yg di Sangiran/Krikilan . .
Siti Zulaikah,5,
Syida Muchtar,5,
War Sini,5,
Ummi Alizza,4,Salah satu museum purbakala di plupuh
Djoko Sunarjo,4,Alhamdulilah.....desa nenek moyang saya ada museum Purba....... .jadi saya termasuk keturunanya?
Agus Soge,5,
Wiwit Hermanto,5,Mencoba memahami apa yang dilakukan peneliti di masa lalu
Andri Kiswanto,4,
Sangkary A.M,3,
Dyah Merta,5,"Museumnya kecil tapi sarat informasi terkait peneliti dan masyarakat lokal di Sangiran. Ada Babad Sangiran dan Legenda Balung Buto di antara kajian ilmiah bagaimana meneliti manusia purba adalah kerja lintas disiplin ilmu, dari …"
Wahyu Pramono,5,"Museumnya tidak terlalu luas tapi pemandangannya luar biasa, karena tempatnya agak menanjak. Biasanya kesini saat lebaran"
Raihan Putra Ayudya,5,"Ayo kesini..
Museum Purba Manyarejo merupakan museum sejarah yang berisi kisah kehidupan masa lampau dan beberapa fosil manusia purba dan hewan purba.. …"
ahmad saekhu,5,Tempat bagus untuk kategori Museum di Indonesia... (Sebelum nya kesan Museum itu sumpek dan bau apek …
margaretha ayu,5,
Albert Yang,5,
Tyas Karismasari,5,
Ahzam Gypsum,5,Bagus untuk pengetauan...
dedi Ahmad Nurrohkim,4,Lokasi saja yang kurang strategis
Erlangga Svarnha,4,
Hardi Pendek Pendek,5,Bagus
Aprillia Wiwit,3,
F S,5,
Abdulharitsah Efendy,5,Koleksi gosil pitekan tropus dan peradapan manusia
tanti hartanti,4,Deket sini kunjungan bumil resti
Gangga Gondronk,5,Tempatnya bersih sejuk cocok untuk liburan bersama keluarga..masuk gratis hanya saja parkir bayar 2000 rb saja
Suryawan Abdian Alim,4,Tempat yang Bagus
ぁりか ゙とこ ゙さいますJEJAK PENDAKI,4,Tempat yang bagus dan nyaman
Rizki Nurlita Salsabila,5,"Museum Purba Manyarejo, memberikan edukasi yang baik untuk masyarakat terkait dengan perihal zaman purbakala.. Cocok untuk kalian yang ingin mengetahui zaman purba"
D o t,4,Semua museum luar biasa
Haryo Dwi Saputro,3,"Museum Purba Manyarejo / klaster Manyarejo mungkin adalah museum klaster yang paling kecil diantara klaster2 yang lain, karen hanya  ada 2 bangunan kecil tempat memajang koleksi dan 1 tempat ditemukannya fosil (sengaja tidak diangkat) …"
yudhi saputra,5,
Tri Sunanto,5,
andri yatmoko,5,
angger well,5,
Theresia Retno,3,
bagas geraldo,1,
Duwi ningsih,5,Kembali ke masa purba
Gilang Adi prasetyo,4,
Anas Rasyid,5,Sarana wisata edukatif
Dwi Isti Nadiaroh,3,Museum manyarejo koleksinya sedikit dan tempatnya hanya 2 kompleks saja
wiryo 09,5,
Nilasari 23,4,"Museum dengan konsep arkeologi, disini pengunjung bisa melihat tanah pengalian yang ada di kawasan museum dan perlengkapan apa saja yg di perlukan. sayang tempatnya kecil dan tempat untuk beristirahat nya jg sedikit tapi biarpun begitu kita akan merasakan kentalnya budaya Jawa dan jangan lupa untuk mencoba permainan berburu fosil disini."
Agung Nugroho,4,Nice place sih.. tapi sayang jalan penghubung antar museum klaster yang lain banyak yang rusak parah..
Brian Kannardi,3,
Christiani Widi Astuti,4,"tempat yang tenang dan terpencil untuk mempelajari berbagai hal. Agak sulit mencari jalan utama, tidak ada sinyal GPS"
Anik Mahmudah,5,Tempat nyaman bersih dan asri
iza zulfana Fikri,5,
MH AISLDMAIR,4,
eKsan 22,1,
De Jong Java,5,tempat yang mengagumkan
Aida Putri Sukmaranti,2,
HAGNYO SUMARNO,4,
Rozan _aulia,4,
