nama,rating,isi_review
Andreas Waluyojati,5,
Mustika mustika,5,
Anggita Syiami Mahda,5,
umi nrks 08,5,
Agus Eko,5,
Dewi Catur Warni,5,
Chila Chilu,5,Tempat nya estetik bgt... Seru banget. Tidak terlalu ramai mungkin orang² hanya tau museum sangiran ...
Ronny Subekty pamungkas,5,
ANVIS,5,Berbeda dengan yang di Sangiran disini diperlihatkan cukup detail manusia purba itu sendiri
venthy venosa,5,
Muhammad Nasrullah,5,Saat berkunjung masih free HTM. Bisa utk praktikum lapangan anak sekolah
Dimas Wahyu Prasetya,5,Salah satu museum yang wajib dikunjungi
nanang apriyanto,4,Cocok untuk mengenalkan sejarah bagi anak
Abu Khonsaisyah,4,Mantabs
OM BOB,5,
Seno Supriyadi,5,
sani setyawan,5,Sangat mengudukasi tentang penemuan manusia purba
Tri Awan W U,5,Keren
Nanga Sri Hartini,5,"Tempat nya bagus didukung koleksi""nya yang diedukasi mudah dipahami. Petugas nya juga ramah. Pokoknya tempatnya nyaman untuk dikunjungi"
IRHAM WIBOWO,5,Tempat edukasi
Marlia Prasetyo,5,"Museum ditutup selama pandemi Covid 19. Museum ini memiliki 2 bangunan utama, satu untuk kantor, laboratorium dan asrama serta satu lagi untuk pameran. Foto diambil dari pemandangan di luar museum Bukuran. …"
Wendy Junearto,3,Tempat ini perlu perhatian lebih
Priyo Darwinto,5,Mantap
Pramitasu,5,
Marisa Christ,5,
Etik Suyati,5,"Sepjng jln di suguhui view keren ,tmptny nyaman,parkir luas dan pelayanan sangT ramah 🤗🙏 …"
Muhammad nabil,5,
Tomy Pastry,5,
Wachid Bagus Prasetya,5,
Sebastian Yogyakarta tours,4,"Mempunyai bangunan yang besar, bagus dan modern namun sayang pengunjungnya kurang sedikit demi sedikit kurang terawat. Sejauh ini, ini adalah tempat yang bagus untuk dikunjungi"
Dendy Maula Rifai,5,
FATHONI .H.N (TONIトニ),5,
Gofar go,4,
Mama Vino,5,
Terra Cognito Indonesia,3,"Museum Manusia Purba yang menjelaskan secara runut tentang manusia purba di dunia, spesiesnya juga fosil-fosil binatang purba yang juga ditemukan"
Puji Noer Cahyani,5,"Tempatnya bagus, bersih, ber AC, cocok buat wisata dan belajar , media utk pengetahuan juga canggih dan mudah dimengerti, cocok buat anak-anak. Jalan menuju museum sudah bagus, recomended"
Candra Ade Saputra,5,Akses parkir terlalu jauh
joko pedrosa,5,Tempat bersih
esa hartapratama,5,
dolan wae,5,Sangat meng edukasi... terimakasih..
farendra,5,
Aryono Soerjo,5,
Surono Gendon,5,Banyak cerita
Demitlawu Demit,1,Bagus tempatya
Sigit Sugiri,5,
Romulo Simanjuntak,5,Diorama menjadi salah satu fokus dari museum ini.
Sigit Eko Prasetyo,5,"Pengalaman baru pengetahuan baru, diperlukan usaha khusus untuk ke tempat ini"
Hafid Adiatma,5,
Martua Parasian Lumbantobing,5,
Agus Santoso,4,
chikita rizky,4,
Yanti Minarsih,5,"Tempatnya bersih..tenang...ramah semua petugasnya..toilet bagus..bersih..recomend..
Cuma jln ke lokasi aja yg penuh tantangan...overall..kudu kesana dech.."
Rosalinda Nurhidayah,5,"Pilihan kopernya lengkap, dari harga 200 - 1 juta ada, kualitas dan warna juga macem-macem, pemiliknya ramah menjelaskan satu per satu. Lokasinya mudah dicari, sesuai gmaps, recommended pokoknya"
ferry wulan prihanto,5,
andoko siwi,5,Tempat berada dikecamatan plupuh kabupaten sragen....banyak yang akan kita pelajari saat berkunjung terutama buat anak anak...buat orang tua juga bisa menjelaskan pada anak...tempat sangat bersih dan nyaman...parkir luas jadi bisa menampung banyak kendaraan...
Dimas Suharto,5,
tio Indonesie,5,Tempat yang sangat menarik bagi penyuka history. Sangat disayangkan sepi pengunjung. Seharusnya pemerintah melalui dinas yang teekait ikut menggalakkan kunjungan ke tempat seperti ini sebagai pendidikan bagi generasi muda.
Bagus Eko Purnomo,4,
Jepro samudra Wisnuatmaja,3,
Donan Satria,5,Tempat yang bagus untuk edukasi tentang fosil dan evolusi di Indonesia. Ruangan museumnya luas dan nyaman. Banyak ruang pameran dan informasi bagus.
julie Samudra,3,"Bagus, bersih, lengkap. Sayangnya swpi pengunjung.. cuma ya akses menuju tempat tolong diperbaikilah.. mobil kita sampe nggasruk2 jalannya subhanallah. Ada akses tempat wisata kok jalannya jelek bgt msh tanah pula.. sedih 😩😩 …"
M. Iqbal Firmansyah,4,"Tempatnya asri dan modern tetapi koleksinya lebih sedikit dibanding yang Kluster Dayu. Per hari ini, tadi harus membayar tiket masuk seharga Rp 8,000."
supar pardi,5,
Heru Hartanto,5,
Aladhin 999,5,
Jonathan Tegar,5,"Keren banget, wajib kesini"
soni babe,3,
Ani Sri Minata,3,"Tempatnya bagus asri ,tp sayang akses jalan masih kurang bagus"
Reizan Aja,5,
Anas Lukito,5,"Wisata edukasi yg sangat bermanfaat. Tidak berbayar.
Namun...akses jalan sampai ke lokasi sangat tidak nyaman, jalannya rusak.
Koleksi fosil hanya sedikit, namun tempatnya llluuaassss sekali
Petugas jaga ramah²😊 …"
Puji Yulianto (TSW Putro),5,Salah satu klaster Museum Manusia Purba Sangiran
Aan Kurniawan,5,kerenn
Yasa Kadde,5,
Iskandar M. Siregar,5,
Wakhid Nurrohman Hanif,5,
Sifa Charisma Abdullah,5,
Soeradi,5,Oke
Yazid sutarno Sutarno,4,
Defi Yufitasari,5,
rian wahyu purnomo,2,
Dany Sadany (Dany item),1,
Thabib Sugeng Zainuri,1,
Joris Tutupoly,5,Banyak ilmu bisa didapat
Hafinda Auliya,5,
Rosit Mustofa,5,
Riana Wulan Pradipta,5,
Sugeng Riyono,5,Dekat bagus
Fauzi,5,
md fatomi,5,Jaman muda pernah kesini
cuwo holik,4,Bagus..sangat memuaskan
pri yanto,5,Situs purbakala memang penting buat kita ketahui
Arry Utama,4,Tanaman yg rapi
ernik dwi,5,
Indarto Bagoes,5,
Ngadino,4,Tempat wisata sekaligus edukasi untuk semua orang...
dede rahmani,4,Mayan buat foto foto dah 4 kali kesini
Tri Bos,5,
imam Sofi'i,5,JoZ
yudha herprima,5,Luar biasa...
IGNATIUS ARIE ADITAMA,5,Mantab
Subroto Pusdatin,5,Keren
permata assyifa,5,
gendar pecel,4,lumayan baguss
Anggoro Kleco,5,
Riyono Siri,5,Tempatnya bagus dan indah
Ali Maulana,5,
Callysta 1234,3,
Bayu Triyanto,4,Pokoknya topcer 👍 …
Duwi ningsih,5,Masih tutup terhubung Covid 19
Dwi Nugroho,5,
Andi Priyanto,4,
Eka Wahyu Primadani,5,Koleksinya lucu-lucu. Saya paling suka wayang beber yang menceritakan kisah balung Buto. Jangan lupa di sini ada kesenian Gambus yang semua instrumen terbuat dari bambu.
sigit vino,5,
maliq argo,5,
sutarto ok,2,
awan kurnia,4,
Tistowati Purwosucipto,4,"Terlalu masuk kedalam...
Boleh kayaknya ad mini market nya yg berhub dg oleh2 khas sragen ato khas museum"
Studio Foto Donjuan Photography,5,
Doni Kino,5,
Eko Purnomo,5,Tempat nya alami dan penduduknya ramah-ramah
Mas Muji,5,
ENGKAU RUMAH IMAN,5,
Dony Eko Prasetyo,5,
ilham sudaryanto,5,
Bagas Adi,2,
Najla Shidqya,5,Bagus representatif buat anak2
Nur Medisyanning K,5,"Museum masih baru, dan belum dikenakan retribusi. Parkiran luas. Gedung sangat bersih karena setiap saat dibersihkan. Petugasnya ramah2. Koleksi museum juga lengkap untuk bangunan se kecil itu"
Ngaliman Sragen,2,Perlu penyempurnaan
Edi Purharyanto,5,Efek corona...masih closed lur...
Mbelung Yoto,5,
widjayanto wiwied,5,suasana masih asri
fiaaura,5,
Tata Ahmad,4,
arika wulan office,5,
Eka Susilowaty,5,
agus ranu,4,
IlhamMV,5,"Kesini pas wabah Corona, numpang foto aja. Cukup bersih dan semoga setelah selesai Corona kembali dibuka kembali."
Adjie Mursita,5,New kemukus keren
kamilia munna,1,
Soleh Kenthos,3,
Hari Dewanti,5,"Museum manusia purba klaster bukuran adalah museum dengan penyajian pameran yang apik, interaktif dan modern. Berjalan-jalan di dalam museum ini sangat menyenangkan dengan tata pameran yang interaktif sehingga tidak akan membosankan. …"
Dean Alfriyan,3,
_이화린,5,Museum nya Bagus.
Ester Nanda Mega Utami (Ester Mega),4,
Ilham Arzy D.P,5,"Keren banget tata ruangnya, jd ga bosen"
Verlita Laras,3,Di sekitarku
Alfinanurul Oktavia,2,
Rieska Nurisyanto,5,Ninggal janji....mungkinkah bs hadir lg.
satrio riasmoro,5,
Muhamat Subhan,4,
Mulyono Dayu,1,Waoooo sejuk indah sipp dachhh
Mychael Ardhians,5,Dulu gratis sekarang bayar.....jd tambah sepi hheeehee
MH mas han,5,"Wisata edukasi,dikemas secara modern,tau seluk beluk manusia purba"
ALFIN ILHAM ARIF,3,
indah Wijayanti,5,
Adytia Suseno,5,
GAMBUH WIDYA LARAS,5,
Gandi Sofyan Ali,5,
Dian Pertiwi,5,
Reni Ekowati,5,Warisatan dunia sangat rekomende untuk edukasi
ruscahyono,5,Wajib kunjung . . Jgn hanya yg di Sangiran/Krikilan . .
Pandu Pratama,5,"Konten sejarahnya cukup lengkap, display yang menarik dan desain ruangan tidak membosankan."
Endah Yani,5,"Museum bukuran juga menyajikan tentang situs hewan purba sama seperti sangiran, di museum bukuran kita bisa menyaksikan masa dunia ini dahulu sebelum munculnya manusia purba. lokasi museum juga sangat bersih dan nyaman."
Nanda Aryansyah,5,"Tempat yang bagus, suasana hijau, sangat bersih, rapi, dan stafnya sangat ramah dan bersahabat."
adin ayu,5,
Salsabila8ell,5,
salis rohman,5,Oke
abas pamuji,5,mantap sangat educatif untuk para siswa. Tingkatkan promonya agar makin banyak pengunjungnya!
rocket cpn,5,
General Electrical,4,
Juni Eko Kuncoro,4,Tempat bersih dan nyaman parkir luar tiket masuk terjangkau. Cuma masih sepi pengunjung
Sumantri Junaidi,4,
Alan Shearer,5,Tempatnya bersih nyaman dan bagus
Wi Janto,3,
aku nathanael,5,
Dwi Okta Prasetyani,4,Asik utk ngajak anak bermain di sore hari. Anak suka lihat ikan dan tempat nya luas... Wisata ekonomis
"shania shania ,up!5538",4,
Woenk Muanies,4,
bowo harjosujud,4,
Sri Handayani,3,"Tempatnya bagus, bersih dan nyaman.
Sangat cocok untuk semua kalangan terutama
Anak2 sekolah.

Masukan:
1. untuk biaya masuk bisa diturunkan karena dengan biaya 8.000 bagi anak2 sekolah cukup memberatkan.

2. Sebagai masukan kalau bisa antara klaster bukuran dan manyarejo biaya di jadikan satu paket biar lebih hemat biaya dan yang pasti keduanya biar bisa rame karena otomatis sama dikunjungi, Sekai lagi usahakan biayanya jangan terlalu tinggi karena kebanyakan pengunjung anak2 sekolah.

Atas perhatian dan tindak lanjutnya kami ucapkan terimakasih🙏🙏"
aimmatuz zulfah,3,
Daniel Sunu Pradana,5,"Musium manusia purba klaster Bukuran, bagian dari musium Sangiran yang menjadi bukti peradaban manusia purba maupun binatang purba yang tentunya sudah terkenal tingkat internasional."
Nadia Ayu Setiyaningbudi,5,kereennn bgt
MasKitchuk Chanel,4,Museum Bukuran atau disebut klaster Bukuran adalah tempat yang cocok untuk mencari ilmu atau sekedar rekreasi dengan lokasi yang cukup mudah di jangkau.
Yafiahnaf Firdaus,5,
Sekar Rizqy,5,"TEMPAT INI SANGAT LUAR BIASA!
jika Anda ingin melihat semua tentang evolusi di seluruh dunia, datanglah ke museum ini! …"
Surya Fahmi Romadhon,5,
Yohanes Amat Yuliarto,5,
Adi Tri wijayanto,5,
Anik Musriah,4,
rosyid hakim,5,
Yulia Nh,4,Nyaman dan menyenangkan tempatnya
Sudiro,5,Luar biasa
tri widiastuti,4,Tempat edukasi yang sangat bagus
Candra Sena,5,
Ramli 123,5,Bagus buat belajar peradaban manusia...
Benny putra satu,5,
Arif Nurcahyanto,5,
Hey Mey’s Journey,4,Bagus
Agus Soge,5,
Retno Utari,5,
Wartatik julianti,5,
Darsi Darmastuti,1,
Agung Nugroho,5,Edukatif syekali.. sayang akses menuju wisata kurang baik..
Taufiq Win,4,Ayo belajar sejarah agar kita tahu asal-usul
Fitri Uswatun Khasanah,5,Tempat yg baik untuk belajar sejarah
Mochamad Ulinnuha,5,
Zulkarnaen Syri L,5,"Modern, informatif, bernilai edukasi tinggi, dan nyaman dikunjungi."
Rohman Taufiq,4,Inilah tempat yg pas untuk berwisata sambil belajar..
0430_Alfia Nur Aini,5,Museum deket rmh nih
Dyah Merta,5,Di museum ini kamu bisa dapat info banyak soal perjalanan dari leluhur kita sejak menyimpang dari simpanse. Intinya museum ini bicara soal evolusi manusia. Tampilannya modern. Ada media interaktif juga rekonstruksi Homo erectus dari temuan …
Dinda Nanda,5,
Fina zakiyans,5,
Abdulharitsah Efendy,4,Menelisik peradapan zaman prasejarah
Wahyu Pramono,5,"Kita bisa mengetahui tentang flora dan fauna di jaman purba. Biasanya saat lebaran kami menyempatkan untuk berkunjung ke museum bukuran, karena tidak jauh dari rumah kerabat."
Ridwan Kurniawan,5,"museumnya baru, disini membahas proses evolusi manusia. desain arsitektur museum ini modern, sangat minimalis, dan tidak seperti museum biasa. terdapat diorama interaktif, dimana kita dapat mengetahui maksud dengan berinteraksi via komputer yang tersedia pada suatu diorama. tiket masuk 15rb."
Marhen budi,5,
Sinta Fajrin,5,Subhanallah meskipun jarak tempuhnya lumayan jauh tetapi tempat ini menakjubkan dan bagus sekali untuk edukasi manusia purbakala selain museum sangiran..ayo ajak keluarga dan teman2 untuk explore sragen dengan mengunjungi museum manusia …
toko harish,4,"Bagus utk edukasi anak,
Tempat bersih banget..
Full ac"
Lien Mandiri,5,Baru.. masih wilayah sragen
mardiani wijaya,3,"Tempatnya bersih,nyaman,nuansa modern"
Saiful Rijal,5,
Muhammad Iqbal Fathoni IQBAL (IQBAL),5,
Driver Mudha,5,Musium bukuran menyimpan prasejarah di masa lampau... Tempat ini bagus tp akses jalan yang belum memadai...
Ary Rezfextor,5,
Joni Kliwon,5,
Erni Astuti,5,Bagus. Edukatif. Namun perlu sosialisasi lagi. Biar semakin banyak pengunjungnya.
Yogi Priyo,1,
Kamen Brumbung,5,
Atha Car Rental,5,
Syukur Sukur,5,nyaman dan sejuuk...
ahmad saekhu,5,"Tempat nya bagus dan nyaman.... Bagus untuk belajar bagi anak anak

Semoga bisa dipertahankan kondisi nya"
Raihan Putra Ayudya,5,Bagus tempatnya dan besar cocok untuk edukasi karena bernilai sejarah..
