nama,rating,isi_review
rangga regista,5,Terimakasih 
Andika Jefri,5,Terimakasih 
Vincennnt Pan,5,seneng banget jadi bisa ketemu temen temen lama ku yg udah di musiumkan 🥹 …
Adha Jaya Furniture,5,Terimakasih 
Dian Maya,5,"Lengkap, tempatnya bersih, nyaman, pas ke sana agak sepi"
Dian Maulana,4,"lebaran kemaren saya berkunjung ke sangiran, pelayanan dari orang yang jaga di jalan prempatan dan beberapa orang di area parkir kurang ramah sudah sperti preman, jika mau menjelaskan sesuatu bisa bicara dengan nada dan tutur kata yang baik dan sopan, semoga bisa lebih baik lagi trimakasih🙏 …"
Hendrik Wijaya,4,Terimakasih
DWIHATNA MN,5,"Anak-anak sangat betah karena Bagus banget, sangat edukatif, tempat berAC, sangat bersih dan tertata rapih. Fasilitas toilet juga bersih"
Heri Sujaka,5,Sangat menyenangkan
agus wedyanto,5,Terimakasih
Nurul Fadlilah,5,"Isi nya bgus"" cmn sayangnya cmn replika, lengkap juga+pemahaman materi nya menurutku enak bisa cepet paham. Udh gt aja makasi😭🙏🏻 …"
SUYONO,5,"Menambah wawasan,  perbanyak koleksi benda2 purba ya"
Dewi Catur Warni,5,Terimakasih 
パンデュトミー,5,Terimakasih
Cahya Mahendrani,5,Terimakasih
Yoga G R Siwi,5,Terimakasih
Agastya Raull,1,"Sangat buruk, mulai dari ruangan yang panas. Tempat yang seharusnya sepi, tenang, damai menjadi sangat berisik seperti pasar. Sangat tidak dianjurkan kepada introvert yang ingin datang ke sini !!!"
bdesain desain & print,5,Bagus
Adri Pamboedi,4,
Misbach Imaduddin,5,"Tempat menarik yang cukup dekat dengan Surakarta. Bangunannya ber-AC, bersih, dan ramah bagi kereta dorong bayi."
Faris Takhassuna Zamzani,5,Terimakasih 🙏 …
Eko Sujianto,4,
santo chen,5,"Suasana asri dan super resik, alat peraga dan ruang pamer sangat informatif, sangat berguna untuk yang minat mempelajari sejarah purbakala di area Sangiran"
Museum Ngebung Sangiran,5,bagus museumnya
sexovtae,4,"bagus tempatnya, tp sayangnya gaada cp nya buat dihubungin kalo mau tanya"" tentang kunjungan. kira"" disediakan ngga ya buat cp nyaa? mau tanya"" huhuu"
Rengga Frredyantoro,5,Ya bgttt
Selli Salim,5,Terimakasih
Arryangga Aliev Pratamaputra,5,Terimakasih
Sophia Celestia,5,Terimakasih 
prie,5,seru
Hafid Parabola,5,"Adem enakk,sejuk kaltpagi"
Kumis Romlah,5,Terimakasih 
Rei runi,5,"Museum nya luas dan bersih, fasilitas nya juga oke"
zea,5,Terimakasih
rachman gs,5,Terimakasih
Hxney bee,5,Terimakasih
Le Yadi,5,Suka lewat sini
Rena aprilia Andini putri,5,Terimakasih 
Muhammad Nasrullah,5,Salah satu museum di antara 4 Museum manusia purba di Sangiran
SuperSub 10,5,Terimakasih 
Aulian Miyaz,5,Terimakasih 
Dimas Prayitno Putra,5,Terimakasih 
Budi Akik,5,Terimakasih 
Jabangbayi k,5,"Tempat dengan sejarah kelas dunia yang membanggakan berada di Indonesia, tp kunjunganya wisatanya masih kalah dg wisata lokal, mari kita lestarikan bersama"
Wagino Wagino,3,Not recommend. Area kecil jalan kecil dan jauh dari antah berantah. Gak ada toko apa pun. Qlo lupa bawa air. Siap siap haus sampe pulang
Dimas Wahyu Prasetya,5,"Bagus dan nyaman, kebetulan waktu itu gratis tiket masuk"
nanang apriyanto,5,Gratisss
Novan Eru Prasdiaro,5,Sudah penasaran dr lama.pengen ksini sejak SMA. Penasaran kehidupan dan penemuan manusia prasejarah. Tempat asik nyaman. Informasi lengkap. Pas hari libur sepi. Banyak tangga naik turun. Tek cocok buat lansia yg susah naik turun. Mending pake kursi roda. Harus tetap d lestarikan.
frode,2,"Jika Anda hanya berencana mengunjungi museum ini di area tersebut, kemungkinan besar Anda akan melakukan kesalahan yang sama seperti yang saya lakukan. Pameran kecil dan semua teks hanya dalam bahasa Indonesia. Museum yang mungkin ingin …"
Nathanael Clemence,5,"Baguss, tempat untuk kita berwisata dan juga menambah wawasan sejarah manusia purba"
indie chanel,5,Terimakasih bintang 5 nya..
Sasha Amalia,5,menyesap
Brenda Aprilia Rahmawati,5,Terimakasih 
Andri Rahman,5,Tempat budaya yang bagus untuk dikunjungi
Alya Fitri Rahmawati,5,Terimakasih 
Anggit Nugroho,5,Oke
Tisa Wahyuni,5,Terimakasih 
Gofar go,5,Terimakasih 
Febby Dira,5,Terimakasih 
sani setyawan,5,Terimakasih 
Heru Nur Huda,5,Terimakasih 
Tito Malik,5,Terimakasih 
Harry Santosa,5,Keren dan nyaman
Margon Krajan,5,Terima kasih Pak Margono... Salam budaya...
Anggasaputra Saputra,5,Terimakasih 
Hariadi Mursito,5,Gowes ke sangiran lumayan panas untuk bulan nov ini
Diyahayu Purtintasari,5,Terimakasih 
Guntur Dwi Prasetya,5,Terimakasih 
Jagal Abilowo,5,Terimakasih 
Tejo sapto Febrian,5,Terimakasih 
krisan nilasari,5,Pertama kali masuk baru beres pembangunannya jadi pohon kanopi belum meneduhi pelataran. Sekarang sudah rimbun dan makin lengkap. Sukses mengadakan pagelaran wayang kulit tempo hari.
Heru Budi Prasetyo,5,"Sudah berkali-kali mengunjungi museum ini.
Museum yang sangat bagus dan banyak pengetahuan tentang geologi, arkeologi, dan banyak pengetahuan lainnya …"
Tatha Woro,5,Terimakasih atas pemberian bintang 5 🙏 …
Cholilu Rahman Nurhakim,5,Terimakasih untuk bintang 5 nya
Dini Pisserela,5,Terimakasih 
Sufaudin Majid,5,Terimakasih atas bintang limanya 🙏 …
chamim93 1917,5,"Kekayaan budaya sejarah manusia purba Jawa
Yg perlu dilestarikan"
Kubil Kunei,5,Mosipm iniaangunik kereen dan myaman pemandangannyaapalagisudah dibangun nagus sekali cocokuntik paribisata sekarah pirbakala
Indah Indriyani,5,Keren
sandy augusta,5,Terimakasih 
Agus Afaruk,4,Terimakasih 
Tony Supriatna,5,Terimakasih 
Sigit Trisnanto,5,"Museum ini cukup mengesankan dengan banyak fosil dan dokumentasi nyata. Kami juga didampingi oleh pemandu yang berkompeten, Pak Sutanto, yang mengikuti proyek penggalian di Sangiran."
BERPIJAR Bumi,1,Repot menuju ke sana
Arnik Widaryati,5,Terimakasih 
arul,5,Terimakasih 
Erix Pambudi,2,Terimakasih 
Noona Bee,4,"Museumnya bersih,tertata rapi juga. Sebenernya kemarin itu bukan kesini tujuannya. Tapi sama google maps diarahkannya kesini. Tapi overall suka koq."
ari kris,5,Terimakasih 
Buddi luhur Chanel,5,"Selalu menghindar dari musium ini, beberapakali bacil saya bertanya.
Awal manusia itu dari monyet atau nabi Adam.
Blm isa jawab dengan baik"
Faisal Akbar,5,"FYI :
• parkir motor maupun mobil di terminal wisata desa
• dari parkiran sudah disediakan transportasi pickup untuk berangkat, dan ojek …"
maman Taufiq,5,Terimakasih 
Ari Indarto,5,"Museum yang menakjubkab,"
yuli riyatno,5,Terimakasih 
Pramitasu,5,Terimakasih 
super pippo,5,"Jalan ke tempat nya seru, tp agak sepi...
Vibes nya oke buat jjs, klo siang panas beud."
Mr Ping,5,
Anindya Rizka,4,
Dimas Candra,4,
DOLACK YS,4,
St. Prabawa Dwi Putranto,4,Salah satu cluster museum di sangiran. Layak untuk dikunjungi jika Anda punya waktu
fanyy,5,
Marisa Christ,5,
Edu Haiyo,5,Ini adalah museum tentang orang-orang yang menggali manusia purba..
Sigit Eko Prasetyo,5,"Museum Ngebung merupakan museum yg dekat dengan lokasi penelitian berbagai disiplin ilmu (geologi, paleontologi, arkeologi). Dekat dengan museum ini terdapat titik triangulasi untuk wilayah sangiran. Titik ini sudah dibuat sejak masa …"
alif fiani,5,
Fasta Hakim,5,
taufik hidayat,4,"Bagus untuk pendidikan anak-anak. Lokasi agak terpencil, tapi ketika sudah sampai tidak seperti daerah terpencil. Museum bersih, nyaman dan terawat. Mungkin perlu dikembangkan objek wisata lain didekat lokasi untuk menarik pengunjung."
Wahyu Prasetyo,5,
EKSUMOREYS repliksgraffofficial,5,"Sejarah nya lengkap, bagus, patut di lestarikan"
Barry Setyo,5,
Ines Handayani,4,"Bangunan museumnya bagus, bersih dan terawat. Toilet bersih, tempat parkir luas. Koleksinya tidak banyak dan replika. Ada media audio visual, tapi kurang sekali informasi dalam bahasa Inggris. Harga tiket untuk pengunjung domestik 15rb dan …"
Suyitno Sari,4,
Najwa Jakarta,5,
Nadhilla Pembayun,5,"Museum yang edukatif dan dilengkapi teknologi terkini. Foto dan video bisa dilihat.

Ada sekian penemuan yang tersimpan, lengkap dengan penjelasannya. Terdapat pula Diorama tentang sejarah setempat ""Balung Buto"".

Oiya, temuan tulang hewan purba yang didisplay begitu mengesankan, sangat besar dan tinggi."
Hari Astika Arta Work,4,"Dalam ruangan ny dingin, ada jalur kursi roda tapi jalur ny nanjak bget, jadi lebih baik lewat jalur org umum tapi resiko ny g bisa masuk ruang 2 (cuma bisa masuk ruang 1 dan 3)... disediakan shelter angkot dari parkiran mobil ke museum …"
Dina Isholawati,1,"Katanya sudah dikelola sama warga, pelayanan nggak banget. Masuk nggak boleh pake mobil. Disuruh parkir luar jam 3.45 sore kita ditinggal shuttle."
sumartana bin Hardi Sartono,5,Asyiknya bersama anak-anak
Hanan Ria,5,
Diar Razaq,5,
Catherina Elisha,5,"lokasi di Sragen, lumayan masuk kayak hutan gitu. terawat banget tempatnya, situs2nya juga. ruangan adem, bersih, sepi, nyaman banget deh. tiket masuk tiap klaster 15k. jadi kalo mengunjungi tiap klaster ya bayar lagi 15k. agak lumayan …"
El Fabian,1,Penjaga keamanan menipu turis asing! Dia menagih saya 30k untuk masuk dan menolak memberikan tiket. Lagipula tidak layak untuk dikunjungi!
Arysta Salvasita,5,
Latifa Yuniarti Wulandari,5,
Te Re,4,"Saya sampai di kluster Ngebung krn Google, dan tnyt yg ini museumnya kecil bingit...
Tapi bagus, bersih, rapi, full ac, toiletnya wangi, …"
Haji Lemar,5,Wisata Edukasi
Frances Cooke,3,"Bukan yang terbaik dari masing-masing 5 museum di area tersebut, namun layak untuk melihat sisa-sisa Stegodon. …"
Shifa Paramadita Adzani,5,
faizal rachman,4,"PARKIRAN JAUH......tolong pihak bumdes,Dispora atau siapaun yang terlibat dalam mengelola parkiran untuk memperhatikan dan mempermudah agar parkiran tidak ditutup ke arah dekat museum,pisahkan antara mobil pribadi dengan BUS seharusnya masih memungkinkan..kasihan juga pedagang area dekat museum sepi sekali pengunjung tampaknya"
Hanan Bagus,5,
Aditya Bentoni,4,"Pengetahuan yang didapat banyak sekali sebenarnya, tetapi penyajiannya kurang baik. Banyak area gelap, keterangan kurang lengkap, dsb. Harus bisa lebih baik lagi karena ini adalah aset bangsa Indonesia."
Wiwit Wae,2,Tempatnya kurang terawat
Gunawan J,3,
sarfan ode,5,
D Aan,5,
TRANSPORTIER DDG,4,"Menunjukkan kalau orang Jawa gampang dibodohi oleh Belanda.. Nggak ada itu yang namanya manusia berevolusi dari kera. Benar2 bodoh.. Sejak manusia diciptakan awal mulai dari Nabi Adam, bentuknya sudah sempurna.. Kalau manusia Sangiran itu …"
Kahlan ali,5,
Gl Adys,5,"Bagus petugas ramah, tiket masuk murah"
Syaiful Khomsani,5,Sangat memberi ilmu tentang manusia purba
Arum Kumala,4,
Martua Parasian Lumbantobing,5,
farendra,5,
Agus Eko,5,
Farid Abdul Rohman,5,Tempatnya nyaman
Atifa Eltiya,4,
Sifa Charisma Abdullah,5,Wisata edukasi untuk anak
Agus Wibowo,5,
BarBar,5,Ini museum
