nama,rating,isi_review
KhoChenk Oyen,5,"Istimewa...
Kesampaian ke tempat yang pernah dibahas jaman sekolah dulu..
Berkunjung ke museum manusia purba (manusia tertua)..yang pernah ditemukan.. …"
Taufiq Muhammad Wijayanto,5,
Koko P,4,
agung susetyo,5,Bagus untuk pengetahuan sejarah..
AFTEK SOLO,5,
Adi Setyono,5,
Dwi Sujini,4,"Walaupun hari senin libur nasional, tp tetap di tutup. Krn jadwalnya tutup tiap senin."
Jendiroso P Bramanto,2,"Ada saja website yang saua buka malah tidak bisa, dan jika saya klik link dari suatu sumber website, pasti kadang bisa saja ke konten lainnya."
rangga regista,5,"Sangat menyenangkan membawa anak-anak wisata museum di Sangiran. Penuh dengan ilmu pengetahuan, tempatnya nyaman, bersih, sejuk. Souvenir-nya juga sangat menarik"
Sulaiman Sule,5,
Sri Setyawati Utami,5,
Eltranda Kusuma,5,
Lestari Sri Susanto,5,Pelayanan mantapp . Memuaskan
Agustinus Yustomo Iswidodo,5,Bagus... Tekhnologinya juga makin berkembang....
Tunjung Fitria Puspasari,5,"Bersih, ber AC, nyaman
Nambah pengetahuan."
Bima Duta,5,
Ratu Aisyah,5,
Atho Akbar,5,Wow
Muhamad Nur,5,Museum manusia purba dengan koleksi paling lengkap di Indonesia
Riana D,5,
Icha Aulia,5,
Bagus Dananto,5,pendidikan kuno
Ridho Akbar Bintoro,5,
Prima Dharin,5,Pengalaman pertama buat kami mengunjungi museum manusia purba Sangiran bagus untuk pengetahuan sekalgus wisata edukasi
Septiaji Setiawan,5,"Tempat belajar jaman pra sejarah, cocok untuk anak anak sekolah, minusnya kl siang panas poll 😁 …"
getman ari sandi,4,
Fry Abt,5,Bagus
Harry Purnama,5,"Akses menuju tempat ini bisa melalui beberapa jalan alternatif, namun saya sarankan bagi yang memiliki kendaraan sederhana sebaiknya mengambil jalan utama.
soal museum, tiket masuk dan parkirnya tidak mahal. Banyak hal yang bisa kamu …"
Pandan Purwacandra,5,
devi indriani,5,
setiawan bahar,2,
Silvy Dian,5,
Bang Susilo,5,Tempat nya nyaman. Bisa buat pengetahuan dan belajar anak anak. Dan ada taman dekat mushola..
Sukam Sukam,5,
Triska Septiana23,5,Enak siomaynya
Luklu maftuh,5,
tri Giyatmo,5,
Rizha Sofiana,5,"Tempat sejuk bangunnya keren , semoga menambah pengetahuan anak anak
Salam  SD GT DIY"
kusmayadi kusuma,5,
gunardi sigun,5,Sekarang sudah lebih bagus museum ini. Banyak sejakali kemajuan. Tikat masuk terbilang sangat murah sesuai kantong pelajar. Semoga makin maju kedepannya!
Rhea Almahyra,5,"semakin bagus museumnya, penataannya juga semakin modern., berkali kali berkunjung tidak pernah bosan.."
Heri Sujaka,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Lina Yunik,5,"Salah satu museum terbaik di jateng.
Mulai dr penyajian dan pelayanan, patut diacungi 4 jempol.
Penataan menarik,ruangan dingin, informasi interaktif dan cukup memadai. …"
Anisa N. Aswenda,4,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Zuqni Khoir,4,"Museumny cukup terawat tetapi sebelum masuk museum, pengunjung sudah digiring untuk wajib parkir kendaraan, lalu diharuskan naik ojek yg disediakan oleh masyarakat setempat, padahal perjalanan ke dalam tergolong dekat/ seharusny pengunjung bisa memilih menggunakan kendaraan sendiri tanpa harus membayar ojek lagi"
ageng rino lintang,5,terima kasih sudah berkunjung ke Museum Sangiran
warung selintang,5,terima kasih sudah berkunjung ke Museum Sangiran
27. Pandu L.Q,4,"kesana saat selasa,weekdays. Datang kesana pukul 3 sepi banget kayaknya karena udah mau tutup. Sekarang gak sefleksibel dulu, harus naik shuttlecar dulu bisa bawa motor atau mobil sampai ke depan gapura. Skrg ada parkir khusus, naik shuttle bus 3k Atau 6k saya lupa. Dianter ke museum naik shuttlebus, baliknya makai ojek sudah include"
adzhan Khalif,5,bagus buat edukasi anak2
Heri Sugianto,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Antic,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Heru Chaerudin,5,"Bakso bakarx mantap ,pedas doer"
Bagus Ichwantoro,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Prasetyo Adi,5,"untuk masuk, kendaraan harus parkir di terminal sangiran, dari terminal disediakan mobil angkutan khusus dgn biaya 4.000/ org.
setelah selesai melihat museum, untuk kembali ke terminal disediakan ojek motor …"
Andrei Ramani,4,"Datang pas sebelum lebaran, sangat sepi, parkir di kelola desa. Disediakan angkudes dari parkiran ke depan museum tarifnya 3rb per orang. …"
henny henny,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Fauzan Ardi,5,Disana saya belajar banyak hal.. Recommended banget deh kalau temen-temen suka dengan sejarah
Dewi Catur Warni,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Almer Shahnawaz,4,"Perlu adanya sesuatu daya tarik lebih,"
Tri Wahyu Handayani,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Nugroho Krisnovianto,5,"Tempatnya bagus buat pengetahuan anak anak, tp masuknya tidakn bisa langsung ke museum tp di parkiran mobil trua naik pick up ke museum, baliknya pakai ojek, bayarnya di parkiran mobil 8rb buat PP, tiketnya 15rb/orang, di depan museum ada jasa guide, Dalam museum dingin jadi nyaman buat lihat lihat isinya"
Asep Murdani,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Marta,4,"Positif:
1. Koleksi dan informasi di museum sangat edukatif
2. Satpam yang jaga ramah, kebalikan banget gk kayak tempat lain …"
Ninik Paryanti,5,"Dari rumah sekitar 45menit.
Parkir motor 3rb / mtr
Jasa ojek 8rb sudah pp.
Tiket masuk 15rb (Diatas 3th wajib bayar tiket)
Menyenangkan. Sejuk Bersih. Terjangkau"
Rhadyant Permana Samya Primavera,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Seputar Teknik Sipil,5,Bagus sekali
Bryan Marcell,4,"Museum cukup baik, untuk toilet perlu ditambah di area museum"
Tarish Maulana Setiawan,3,"Tidak ada peningkatan dari terakhir saya kesini sekitar 2016 an, cuman ada perubahan tempat parkir dan shuttle"
sugus cinema,1,
Nathaniel Andrian Nico Pradhana,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
juni asmo,5,"pas dulu ke sangiran masih boleh parkir didalam halaman,,sekarang sudah diarahkan parkir di terminal sangiran lalu naik mobil yang disediakan,,tiket PP rp6000 sdh termasuk naik ojek untuk kembali ke terminal sangiran"
bdesain desain & print,5,Bagus
Suwarno IAI,5,Oke
Charles Richard Manchester,5,"Museum yang sangat menarik untuk dikunjungi untuk mempelajari lebih lanjut tentang Manusia Jawa, subspesies Homo erectus yang hidup di wilayah tersebut sekitar satu juta tahun yang lalu. Banyak prasasti, terutama di bagian baru, juga diterjemahkan ke dalam bahasa Inggris."
Tari Wiji,4,Tolong patung yang telanjang d beri penutup bagian vital . Misal daun..kami selaku orang tua.. agak risih menjelaskan ke anak didik.... Toh jg masih kelihatan jadul. Semoga bisa menjadi masukan
Kang Hadie,5,"Museum yg bagus untuk pembelajaran sejarah kehidupan manusia, recommended sekali utk dikunjungi"
Jamil Nazwa,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Imam Syaifudin Syaifudin,5,
Veronica Yenny,5,Terima kasih sudah berkunjung ke Museum Sangiran
Heru Budi Prasetyo,5,"Ceritakan tentang sejarah, pelajari lebih lanjut tentang peradaban di sini"
janekslv,5,"Kunjungan yang hebat dan informatif dengan beberapa fosil yang terpelihara dengan baik. Terkadang tidak ada teks dalam bahasa Inggris, tetapi saya menggunakan Google Translate dengan kamera dan hasilnya baik-baik saja. Tempat parkir agak …"
Bowo Ardianto,5,"Sebagai museum yang menyimpan benda-benda peninggalan zaman dahulu, museum Sangiran termasuk museum yang modern. Dari segi tampilan, fasilitas juga koleksinya. Tempatnya sangat luas. Tak heran kalau  museum Sangiran ditetapkan sebagai …"
Kalyana Esthiningtyas puruhita,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Ardi Rakasiwi,5,Deket kampung mertua
bahagia doa,5,Untuk  hari lebaran april 2025 buka tgl berapa ? Krn pada mudik pgn nya ke sangiran
Agus Supriyanto,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Sophia Celestia,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
ADI ARIYANTO,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Citra Puspitaningrum,5,"salah satu tempat wisata edukasi sejarah yang sangat ingin saya kunjungi sejak saya masih SD di Lombok, akhirnya saya bernostalgia mempelajari sejarah manusia purba pada zaman dahulu, sungguh luar biasa, angkutan antar jemput hanya …"
Danang Agus Prakoso,5,terima kasih sudah berkunjung ke Museum Manusia Purba Sangiran
Alya Khairunnisa,4,"lucu banget, kesini karena buat laporan uprak kita sooo gitu aja sebenernya, awalnya kirain pp pake armada ternyata di antar doang agak mahal ya 🙏🏻🫰🏻 …"
