nama,rating,isi_review
Bangkit Eva kurniawan,5,
Adi Setyono,5,
Agus Wahyudi,5,
Siswadi Siswadi,4,
Lutfiana Aini,5,
Hafid Parabola,5,
Bagas Dwi Sulistyo,5,"Tempat edukatif untuk anak-anak belajar, cocok untuk anak-anak"
Az-zahra Media,4,Tempatnya bagus.
PaluGada 31,5,Bagus buat wawasan untuk mengetahui sejarah jaman purba
Fajar Abadi,5,Tempat nya bersih Nyaman suasana nya👍🏻👍🏻👍🏻👍🏻👍🏻 …
Dewi Catur Warni,5,terima kasih sudah berkunjung ke Museum Klaster Dayu
vetsurgeon 38,5,
Marlia Prasetyo,5,"Pemandangan indah, kebersihan, informasi tentang fosil Pleistosen yang luar biasa, sejarah evolusi manusia."
bdesain desain & print,5,Bagus bersih
Nur Arnos Dwi Prabagas,5,"Sangat mengasyikan, bisa berwisata dan belajar mengenai sejarah manusia purba di tempat ini."
Navisa Oktaviana,5,
ken eka fitriah,5,
Ahmad Marsono,5,Bagus banget di tambah ada fosil nya aku pegang sih
Linda Apriliana,5,"Mengunjungi Museum Sangiran Klaster Dayu.
Disini seperti private tour, karena di akhir pelan hanya bertemu dengan 2 rombongan saja. Ruang pamernya dikelompokkan beberapa ruang dan menuruni tangga setiap …"
ozora Yulianto,5,
Asri Hayati Nufus,4,"Salah satu museum di kawasan Sangiran. Ciri khas dari museum ini adalah pengunjung dapat melihat formasi pembentukan Sangiran, seperti formasi Kabuh. Setiap formasi dijelaskan secara rinci di masing-masing ruang pamer yang memiliki …"
Angga,5,
SH,5,"Pernah main kesini, relatif masih sepi"
Dwi Purnomo,5,Tempat wisata seru
Rr. Kurin,5,
SuperSub 10,5,
Dimas Prayitno Putra,5,
Magdalena Sundari,4,Tempat edukasi yg cocok untuk kegiatan P5
Vidian Andriani Yohanes,5,museum dayu sebagai salah satu museum kuno di kota solo mempunyai daya tarik tersendiri bagi wisatawan. sangat edukatif baik untuk anak-anak maupun orang dewasa. terdapat juga area bermain untuk anak-anak dan gazebo untuk beristirahat. Menggambarkan lapisan-lapisan tanah dengan sangat detail dan juga perkembangan manusia purba.
Sri Wahyono,5,Ini adalah tempat yang bagus untuk belajar tentang sejarah masa lalu
chatharina surya,5,"Tempatnya sangat Asri dan Sejuk karena banyak pohon dan bersih.
Pelayanan sangat baik dan ramah. Harga Tiketnya sangat murah dan terjangkau."
Dimas Wahyu Prasetya,5,
Aditya Ryzky,5,
vioes Vio,5,
Arif Prabowo,5,"Tempatnya Menarik, nyaman sambil santai mempelajari tentang penemuan2 manusia purba.. Museum ini adalah salah satu dari cluster2 yang museum yg ada disangiran"
LUHUR BUDI,5,
Arif Widodo,5,
Geszya Pramesti,5,Tempat nya bersih & nyaman
Andri Rahman,5,Pengalaman hebat di sini
Amir Thohar,5,Lumayan Aden
raka imn,3,
Syahrul Bakhtiar,4,
Joko Utomo162,5,"Tempat luas, ramah"
Lukman Fadlansyah,5,"Ukurannya pas-tidak terlalu besar, tidak terlalu kecil. Interiornya bersih dan terawat. Dan yang paling penting, tampilan dan kekayaan ilmu yang dipamerkan adalah yang terbaik. Mereka benar-benar menggali seluruh esensi museum hingga ke …"
Febby Dira,5,
Etik Suyati,5,"msh berada di area situs Sangiran ,tamannya hijau,,adem dan naik turunya berasa sesuatuhh 🤗😉 …"
Ardianz Gople22,3,Kayaknya bisa ya untuk di usulkan pembangunan jalan yang memadai menuju lokasi..
Gofar go,4,
Zeni Budi,5,
sani setyawan,5,"Bagus buat tau sejarah manusia purba,
Tempat Bersih adem"
Ika Wulandariika,4,Bisa belajar sejarah msalalu
ucok sambodro,5,
Heru Nur Huda,5,Rute pendek utk gowes dg tanjakan syahdu
agus agustenang,5,
