nama,rating,isi_review
Khosyi' Rofiqi,4,
Irwan 739,5,
Irwan,5,
Susilo SSL,5,
Maisya Nafisha,5,"Hawa sedih terasa sejak memasuki rumah bapak Kimin dan ibu Wati dimana rumahnya terkena musibah letusan gunung Merapi...  InsyaAllah semua korbannya husnul khatimah.. Aamiin
Setiap kejadian ada Hikmahnya"
Anak Kopong,5,"Tempatnya seru, menghibur bagi kita yg suka sejarah ya, mencerirakan tentang peninggalan pada tanggal 05 November 2010 pada saat Gn. Merapi Erupsi, Tersisa barang2 penuh dengan abu vulkanik serta kernagka Sapi dan Kerbau, lalu foto2 before …"
Agus Budi Utomo,5,
NIZAM AFIQ FIRDAUS,4,MUSEUM NYA SANGAT BAGUS DAN COCOK UNTUK STUDY TOUR. #NEGARA INYU
EKA MERDEKA WAHYUDIN,4,
Hartoyo Yeoka,4,
Rubil clynton,5,
Michael Caesario Hutabarat,5,
Selma Afiya Kunfina,5,
HIT PARAH,5,Sejarah mungkin berulang tapi tolong jangan sampai ada yang sama dengan jumlah penduduk Indonesia yang merasakan dampak yang sangat amat pedih
Sefiyana Sefiyana,5,Merinding pas masuk kesini. Alfatekhah buat para korban bencana gunung berapi
jano al,5,
Apri Adi,5,Museum yang mengingatkan pengunjungnya kedahsyatan letusan gunung Merapi
Deni Wetede,5,
Leo Agung Kusuma Adrianto,4,Melihat langsung sisa sisa erupsi merapi. Ini yg versi mini. Ada lagi yg versi lebih besar. Meski mini namun sudah cukup menggambarkan kondisi saat erupsi merapi.
Maulana Syarif Hidayatullah,5,
Yudharina Santosa,5,
Yogi Wiema,5,
Abe Flamboyant,5,
Boy Adam,5,Memory meletusnya gunung merapi yogyakarta
Ratu Semadaria,5,
Jajat Sudrajat,5,"Tempat yang penuh histori membawa kita ke suasana pada saat kejadian, bikin merinding"
Arif Romansyah,5,
Indah Syah,5,
Oky Yuripa,5,Akhirnya kesini lagi bareng keluarga. Terakhir kesini 2013 pas masih bujang. Terimakasih Bapaknya udah dengan sukarela bercerita sejarah meletusnya Merapi ke anak anak
Ferry Untung Budianto,5,
Ana Farkhana,4,"Sebuah rumah yang tersisa sebagian karena awan panas dan di dalamnya menampilkan foto-foto saat bencana, sisa-sisa perabotan yang belum hancur seluruhnya hingga kerangka hewan yang terkena awan panas."
Yoko,4,Wisata sambil membayangkan dahsyatnya erupsi gn merapi
Rafa Martin,5,"Sebuah rumah kecil hangus yang memberi tahu Anda secara langsung tentang tragedi gunung berapi. Rekan: beli kelapa dari anak di depan pintu, harganya murah dan ada cocoloco dengan sirup burung unta, enak sekali! Mereka mengambilnya dari tangan mereka!!!!!!"
Heru eko Pramono,5,
K Sinar Muhammad,4,"Musium mini hartaku, punya. Parkiean yang sangat luas. Disini kita bisa liat sisa2 bekas rumah yang terdampak dari perabotan rumah,elektronik dll. …"
guntoro amuktibowo,5,
Ali Bomo,5,Bagus
johan setiawan,5,
Işık Günal,5,Sebuah museum rumah yang menunjukkan bagaimana dan seberapa besar kerusakan yang dapat ditimbulkan oleh gunung berapi.
Shera Wihdatul Hawa,4,
Ujang Waluyo S,5,"Bagus, bisa mengingatkan kita kejadian eropsi Merapi th 2011, betapa pedihnya saat itu"
Aldio Hafidz,5,
Muhammad Maryanto,5,"berbagai macam peninggalan benda2 yang terkena ganasnya
letusan gunung merapi"
anugerah putra,4,
Fajrin Wihadi,4,
Enno resya,5,
Grita Ratriana,5,
Mang Samed,5,
thya 1109,5,
Dikki Hasriadi,4,Mantap
Suharno Su,5,
Zulfan Nuraziz,5,museumnya sangat bagusss
Sochin,5,
Susiawan Adi Trianto,5,
putik ns,4,"Datang kesini dan melihat secara langsung saksi bisu keperkasaan merapi.
Bener bener langsung membayangkan jika ada disana waktu kejadian berlangsung"
Evin Kurnyanto,5,Museum bersejarah tragedi meletusnya Gunung Merapi
Sulistia Rini,4,
Lina Yuliana,5,
Eris Razak,5,"Begitu banyak saksi bisu kengerian saat terjadinya erupsi Merapi tahun 2010 lalu. Melihat barang-barang yg tersisa, gak kebayang gimana panasnya saat itu. Dari mulai kaset, jam, sampe motor pun bisa meleleh. So sad.. tapi bikin kita sedikit merenung untuk lebih menghargai arti hidup ini yaa"
Media Belajar Lelly Fa,5,
iwan pvn,5,Jadi tau langsung kondisi bencana ditahun 2006 lewat peninggalan
Yahya M Aji,5,"Puing-puing kenangan masa lalu
Lupakan semua itu, biarkan masa lalu berlalu
Biarlah semuanya, terkubur dimakan waktu"
Bagus Handoyo,5,
WACHID KURNIAWAN,5,
Anida Imut,5,sedih mengingat kejadian meletusnya gunung Merapi apalagi inget mbah marijan roso
Syahrul Fauzi Rahman,5,
Yudha Yuana,5,
Dalban Albarn,5,
Safrita mulya agung,5,
Aulia Herlina,5,
Kevin A,5,Suasana mencekamnya masih terasa. Nice place to visit ketika ke Merapi.
Ananda Yuslam Budiman,3,"Mning skip, kecuali suka sejarah 😅 …"
Eny R. M.,5,"Terimakasih Museum Mini Sisa Hartaku, dari sini jadi banyak belajar dan tahu betapa dahsyatnya letusan Merapi kala itu."
Heru Amsori,5,Menyaksikan Sejarah Yang Tak Terlupakan
Ghefira Nur Fatimah,5,"ke yogyakarta sekalian deh kesini :(( cukup sedih liatnya, tp alhamdulillah ada beberapa barang yg menjadi saksi bukti erupsi merapi pas itu. yaa semoga barang"" yg ada disana bisa dirawat dan menjadi kenangan"
ahmad fauzy,5,
Iyanni Moezt,5,
A'Lan Lintang,5,Terbawa suasana
Masdika Ilhan Mansiz,5,Tempat peninggalan erupsi gunung Merapi
yoerobun,5,"kita bisa liat sejarah Gn merapi yg erupsi thn 2010 disini, sgt sakral dan recommended"
Charif interisti,5,"Merapi Tak Pernah Ingkar Janji

Sebuah tempat museum yg menjadi saksi bukti sebuah musibah letusan gunung merapi yang membuat kita harus bersyukur lebih dan menjadikan kita lebih berhati-hati dalam berkehidupan"
mohhasan,5,Pengalaman yg tak terlupakan bersama keluarga
