nama,rating,isi_review
Sonic Chicken Pramuka,5,
ren035 _,3,
juli kuncoro Putro,5,Mantab
Marni Aja,5,
Harini Darmastuti,4,Tempat makan yg cukup luas.. Nyaman.. Lengkap dg tempat sholat dan toilet. Menu juga cukup lengkap
Gita Savitri,5,"kesini nemenin anak yg lagi outing class museum. saya cuma masuk sebentar dan ga terlalu eksplore museum. walaupun cuma lihat sekilas tapi kelihatan kalau museumnya bagus dan terawat. pencahayaannya bagus, pantes sempet viral buat foto …"
Agung Tri,3,
rani sanjaya,5,"Bagus bgt staf nya bapak2 baik, ayo ramaikan temen2 biar bisa lebih banyak lagi nnt isinya"
Adi Prasetyo,5,
Dwi Hartanto,5,
Tiara Ayulandari,4,"masuknya gratiss, tangganya baguss buat fotoo"
Umi Latifah,4,"Pas kesana hr minggu pas siang hari...hujan...
Masuk ke museum tidak ada yg jaga sm skali kcli satpam di pintu keluar museum nya... …"
gngjnm,5,museum gratis terjaga dengan baik
yessi karlina,4,"Saya jatuh cinta dengan bangunannya, namun kurang deskriptif atau penjelasan mengenai barang atau gambarnya"
danang apriyanto,5,Edukatif dan informatif seputar objek wisata di Boyolali
Anna Puspita Latiefani,5,
rista poncosari,5,
Ratih Dewi Anggraini,5,
erlina krisnawati,5,
Pramuda Wardani,5,
pak ambar,5,Sejarah boyolali ada disini
nawawi channel,5,"tempat yang cocok untuk pembelajaran generasi saat ini ditengah gempuran gadget, lahan parkir perlu ditambah"
Avin Nolis Ridwan,5,Satu-satunya Museum yang ada di Boyolali yang tetap exist. Isinya ada berbagai benda yang kental kaitannya dengan identitas dan sejarah dari Boyolali itu sendiri. Ada replika patung kuda simpang lima dan lembu suro (patung sapi gede). …
Khoirul Mustofa,4,
Jus Desain,5,Keren. Gratis
lituhayu puri,5,Museum ini paling sering di kunjungi anak anak TK dan SD untuk belajar mengenal sejarah.
naysa,5,"museum free, jangan lupa ngisi buku tamu!"
iman wisnu,5,
cholil amri,5,Lumayan bagus
April Lina Sri Windayani,5,
Faiz Arrahman,5,Banyak ilmu pengetahuan sejarah terdahulu yang dapat kita dipelajari di museum ini
Wiwin astuty,4,
Daniel Tri Samua,5,
Feibe lydia,5,
Toko 45,4,"Apa karena kurang menarik ya...sepi pengunjung,terus kyk gk terawat...ayo warga boyolali lestarikan budaya dgn promosi2 keluar daerah biar boyolali jd lbh terkenal di mata daerah2 lain"
Audry Aipassa,5,Arsitekturnya menarik yang didominasi warna putih dengan rangka baja dan kaca dan juga bagian dalam didominasi kayu. Bangunan masih sangat terjaga baik segi kebersihan ataupun pemeliharaan. Memang tidak begitu besar tp sangat layak utk …
aivi,5,
Jati Diriku Sendiri,5,R Hamonh Wardoyo itu nama ayah dari bupati boyolali Seno Samudro. Aku jadi bupat. Namanya jadi Musium Mbah Gito
sri rahayuwijayanti,5,Tempatnya.menyenamgkan. anak anak suka. Bisa tau tentang boyolali. Gratis lagi
Wahyu Saptorini,4,
Holla Hallo,5,
Evi Mursidah,5,😍😍😍 …
Anonymous,4,"Menarik tapi tempatnya kecil, lukisannya berdebu, ada beberapa tempat yang kosong, tidak ada penjaganya hanya satpam, masuknya gratis hanya mengisi buku tamu saja …"
Rina Tiarawaty,4,"Ada kota kecil punya museum yang cukup terawat, lengkap dengan buku panduan. Plus pas datang, sedang ada latihan gamelan. Keren!
Museumnya sendiri kecil, tapi cukup terawat dan punya diorama2 yang bagus. …"
Dwi Tirto Nugroho,5,
siti nur khasanah,5,
Benz Ndutz,5,
Ahmad Iqbal,5,DI DALAM
rrr레이,3,
Romo Nardi Djayadiningrat,4,
Imam Keira2,5,Tmptnya bersih
Qory Dian Priyamada,5,
Wiyono Kodajaya,5,
Mas Wanto,5,
PST_ Danang Soryanto,5,
Nazwa 123,5,Bahagia banget bisa liat rumah utiii pas di belakang museum ini makasih banyak ya jdi kngn utiii sama kung🙂 …
Fajar Noviar,5,
joko purwanto,5,
SlaluAda Sonny,5,
Muhammad Nur Azza,3,"Sebenernya overall okay sihh. HTM free, tempat bagus dan estetik. Namun perlu diperhatikan soal keterangan koleksi, tidak jelas sumbernya terutama di koleksi arca dan artefak candi. Bahkan ada beberapa arca yang salah keterangannya. Ada …"
Hasani Saputra,4,
Arya Afdani,5,
Dewi Rahmawati Yundha Saputri,5,"Sebenarnya  saya penasaran  dengan dalam nya situ tapi saya ke situ pak satpam  nya gak ada trs saya nunggu   10 menitan di parkiran   ,  akhirnya  ku balek"
Agus Parmono,5,
Suryo Elhadee,4,
Sudarmanto Klepu,5,
Febri Prasetyo,5,Banyak peninggalan masa Hindu-Budha yang disimpan di sini.
R dya,3,"HTM free. Bersih terawat.
Waktu saya datang tidak ada yang jaga di resepsionis, jd isi buku tamu sendiri. Seharusnya paling tidak ada yang jaga ya. Di pos satpam jg tidak ada orang jd …"
Putri Sulunk,5,
Nada Teguh,5,Yang jelas sip jos BAJ
Sri Suwarti,5,
Bambang Purwanto,4,
Widi Solo,5,
Heru Djatmika,4,Kereen
Yuhono Indra Pitarto,4,Museum yang lumayan bagus untuk belajar sejarah boyolali. Suasananya nyaman dan relatif sepi untuk berkunjung. Mungkin bisa dikembangkan lebih bagus lagi agar banyak pengunjung.
Edi Setiyono,5,Cukup menghibur dengan koleksinya walaupun g banyak tp cocok untuk sekedar mendalami sejarah
Lutfia Azzahra,5,
Fajar Setyawan,3,
Sriyanto 0880,5,Bisa mengingat masa lalu yang pernah terlupakan
Rini Suryandari,4,
3 Tegar Tri Wibowo,5,"Tempat nya , cukup mengedukasi tentang sejarah"" Boyolali"
ana susanti,5,Tempat ini sangat cocok untuk melarikan diri sejenak ditengah padatnya aktivitas. Terletak didekat tengah kota Boyolali tempat ini menyuguhkan halaman depan hijau yang penuh reremputan. Di dalam museum ini kita bisa menyaksikan peninggalan-peninggalan bersejarah yang indah.
Krishnawan Adhi,5,Oke
Sri Yanti,5,"Tempat yg edukatif. Harusnya rame, tapi pas kesini kok malah sepi"
Ronny Ampkhi,5,Pelayanan Ambulance 24 Jam
Lannang Kurnia Jati,5,Museum tentang boyolali yang patut anda kunjungi
Bijak Techno,5,
Primadi Anggoro,3,Tidak buka di liburan panjang
Mudi Yono,5,
Rama FadilA,4,
Michelia Ana,4,"Tempat nya bagus dan banyak koleksi. Memberi pengetahuan baru ttg sejarah yg ada di Boyolali. Masuknya gratis, tapi perawatan dan kebersihan agak kurang,mungkin bisa ditingkatkan.*sy dpt kalender juga"
DA Prihantoro,5,Bagus
Edu Haiyo,5,Ini adalah museum lokal tentang sejarah boyolali.. Bangunannya menarik.. Unik.. Seperti yang ada di Perancis...
ILHAM THOLE,5,Luar biasa
Indahayub Indahayub,5,
dwi purnomo,3,
Petra Hanny,4,"Gedungnya bagus, masuknya gratis, cukup bersih, namun sayang foto2 yg disajikan kurang lengkap informasinya"
Putri Munalisa,4,Waktu itu datang jam 3 sore kalau tidak salah. Jadi sudah sepi. Jujur lebih asik kalau sepi jadi lebih bebas untuk eksplor dan ekhem foto-fotonya. …
bayu santoso,1,"Petugas sangat tidak ramah, parkir sulit"
Darriant Agusty,5,
junior maullana,5,Pusat edukasi yang bagus untul anak²
RupaRupa Ana,5,
Jibril Permana,5,
eL Wahjoedi,4,Oke
Mar one,4,oke
Purwo Sudibyo,5,Bagus
Darmawan,3,
Supri Hartini,5,Petugasnya Ramah.. Wisata edukasi yang sangat menarik di tengah kota Boyolali. Untuk masuk gratis hanya mengisi buku tamu saja. Semoga koleksi museum bisa bertambah.
Hanna Dewi,4,
Adam Al Rasyid,5,
eko triyanto,5,"Mas Penjaga nya Ramah...
Semoga sehat selalu"
Dini Yogi Rudi Perdana,5,
uminuha triyanto,5,"Gratis, dapat souvenir ganci & pulpen"
Fajhar Sidiq,3,Bagus.. cuman koleksi dan penataan yang mungkin harus diperhatikan lagi... Semoga pemeri dan masyarakatnya maupun peneliti dapat membantu dan dapat mengoleksi lebih banyak lagi..
Akbar Raline Story,3,
Setyawanputra Baru,5,
Hamba Allah,3,
wydha bee,5,Lumayan bisa mlipir buat foto2 selfi🤭🤭... Kemarin waktu kesana masih blm buka🤗🤗🤗 …
Ira Kuswandari,5,Pertahankan nilai sejarah
Ruth Liesa,5,
Firda S K,5,
ratna surya berlina,4,bagus
yosep kustono,5,
