nama,rating,isi_review
Putri Annisa Rahmawati (Onist),5,"Salah satu museum yang ada di Kota Solo. Museum ini menceritakan tentang barang-barang bersejarah di Solo, dan barang-barangnya kebanyakan unik dan antik. Di beberapa barang diperikan dupa sehingga wanginya tercium samar-samar di area …"
Amilia Novitasari,5,Dijelaskan secara detail sama mb pendampingnya. Parkir luas banget. Tempat museumnya terbilang kecil tidak seperti museum lain yg sangat luas
Tyoo niih,5,
MFAP,5,Tidak terlalu ramai di weekend
arman daris,5,
Happy Indah Kusumawati,5,"Termasuk Museum tertua di Indonesia yang lokasinya strategis banget di Surakarta. Dekat dgn taman Sri Wedari, Museum Tumurun dan Museum Keris. Pastinya dekat juga dengan hotel2 yg affordable. …"
Dhanar Adi Dewandaru,5,
Sani 65,4,
khusnul kha3,5,"Museum ini terletak satu kawasan dengan taman Sriwedari. Dengan letaknya yang cukup strategis aku pikir bakalan ramai pengunjung, ternyata di akhir pekan cukup sepi. Harga tiket masuk hanya 10k. Koleksi di musim ini lumayan banyak, sampai …"
haikal prima,5,"Saya berkunjung di periode musim mudik, jalanan macet sekali tapi museum ini sepi

Tidak ada musholla disini

Parkir mobil luas karena sepi

Harga tiket masuk 10 ribu per orang, balita gratis

Tour di dalam tidak terlalu lama mungkin 10 menit area museum sudah terjelajah semua, ada perwayangan dan lain lain.
Saat saya kesana sudah jam 15.00 jadi praktik membuat wayang nya sudah mau tutup.

Saat saya mau pulang hujan deras sekali, area persambungan gedung banyak yang bocor

Tidak banyak bangku tapi ada area duduk duduk di bagian dalam yang ada di samping dekat toilet, area nya remang jadi anak anak takut karena banyak patung batu"
qqdhimas,5,
Arjam Daily Channel,5,
Yustika Muharastri,5,"Museum Radya Pustaka di Surakarta menawarkan koleksi yang kaya dan lengkap, menawarkan penyelaman mendalam ke dalam sejarah dan budaya Jawa. Ini memberikan pengalaman pendidikan yang berharga bagi mereka yang tertarik dengan warisan lokal. …"
Realino Aditya,5,"Salah satu museum tertua di Indonesia dan untuk koleksi nya banyak dan bersejarah. Disini terdapat koleksi unggulan seperti Raja Mala, hingga Serat Wulangreh karya Sri Susuhunan Pakubuwana IV. Selain itu disini juga ada koleksi wayang, gamelan, miniatur, manuskrip, mata uang, keramik dan arca."
Wong Yaohan,3,Benda atau artefak yang dipamerkan sangat terbatas.   Penjelasan terbatas tentang apa yang Anda lihat
Nandha Zulyana,5,
Siti Hidayatul Choiriyah,5,"Tiket masuk 10.000
Seperti kebanyakan tiket masuk situs cagar budaya.
Tapi Radya Pustaka bagian penyimpanan arca bikin nangis. …"
Wisnu Broto,5,Dari kecil sampai sudah punya anak selalu nyempatin kesini.
iradha,5,
rifai oktavian,5,
Abdul Kholid,5,Musium peninggalan sejarah Surakarta yang kayak dikunjungi untuk mengenal sejarah peradaban solo masa lalu
Chintya Milkaseptiana,5,
Sekar,5,"Museum kebanggaan kota Solo. Harga tiketnya 10k dan bisa cashless juga gaes. Koleksi museum sudah dilengkapi dengan penjelasan yang detail dan ada penjelasan lanjutan yang bisa diakses lewat scan qris. Semua staf di sini ramah, jangan …"
Indah Nastiti,5,
Margaretha Gunawan,5,"Museum dengan tiket yang sangat terjangkau, 10k untuk umum, dan 7,5k untuk pelajar dan mahasiswa, museum berisikan barang antik spt senjata, perabotan, wayang, adapun juga perpustakaan. Saya mendapatkan banyak pengetahuan tentang wayang dari buku di museum ini, petugas juga sangat ramah dan membantu saya, terimakasih banyak 👍👍 …"
Ahmad Sudaryanto,5,
Ken Anidhya Ika Pratiwi,5,"harga tiket cuma 10K, bisa bayar QRIS/transfer atau tunai. staffnya banyak dan masih muda-muda plus bisa berbahasa inggris lancar, jadi para turis nggak usah khawatir ke sini. koleksinya nggak terlalu banyak. tapi lebih amazed sama gedungnya secara keseluruhan sih, cantik banget!"
Muhammad Khoirul Irfan,5,
Himawan Makmuri,5,"Museum dengan koleksi barang2 peninggalan bersejarah, tidak terlalu banyak koleksinya, Ada beberapa display yang kosong, kemudian menurut saya barang yang ditampilkan kurang adanya penjelasan yang lengkap"
Muhammad Agung,3,"-Banyak peninggalan tidak dirawat
-Sudah berbayar?
-harus diperbarui mekanisme penyajiannya"
alvina witono,5,
Wahyu Bintang H,5,
jangkep Langgeng,5,
Catwari Diahp,5,
Ken Chen,4,
NA SRI HARTONO,5,Musium dengan aura mistis penuh dengan peninggalan era dulu. Sangat recommended bagus sekali pelayanannya
suci lestari,5,
Wahyu Toyota Solo,5,
Dian Agustini,3,"Saya datang ke sini hari Sabtu siang, kondisi lumayan sepi. Kalau umum bayar 10.000, tapi saya masuk jalur pelajar jadi cuma bayar 7.500. …"
Mu'iz Sri Hayati,5,
kasiyanta deka,5,"Museum yang sudah tua. Museum keraton sejak mataram.
Banyak menyimpan benda benda keraton sejak mataram hingga saat ini menjadi kasunanan dan mangkunegaran. …"
Sujadi Jaya Hartono,5,Museum Radya Pustaka Surakarta
Ainun Jannah,4,
Joice Aprilista,5,
Muhammad Febriansyah Santosa,5,"Tiketnya murah, ada khusus pelajar juga. Museum nya sepi mungkin karena saya berkunjungnya saat siang hari."
Dionisius Thomas A,4,
Nicholas Damanik,5,
Girinda Dara,5,Kesini karena ada acara. Tempatnya memang terasa sakral sih vibesnya.
