nama,rating,isi_review
Latifah Shafa,3,
Bengkel dinamo,5,
Kristianto Raharjo,3,"Mampir aja turun dari tol sragen.
Ada banyak burung merpati, ada kelinci, kalkun, dan ayam.
Tiket masuk 5000 per orang. …"
Gun Wibi,4,Sepi
Rio abu Abdillah,4,"pas hari biasa sepi, kolam renang serasa milik sendiri, kebersihan lumayan, semoga bisa ramai lgi"
Anwar Jr37,4,Nyaman Nyegerin full wahana
Istin Krisnawati,4,
Harry Mocca Official,5,good aplikasi 👍 …
dhani hari,3,"Tempat yg rindang dan asri, kebersihan baik di area wisata.
Untuk bagian jalan dan lokasi tertentu sudah mulai berlumut, menandakan area/atraksi sudah tidak digunakan. …"
Rama Poter,5,
BellBoet Canary,5,Nyaman
Muryani Royvella,5,"Mungkin karna pandemi jadi sepi..
Tp main dsni puas..karna sepi.. hehhe..
Tempatnya hidum,sejuk...luass..."
Raka Kusuma,5,"tempatnya bagus,dokternya juga baik"
sumartana bin Hardi Sartono,4,Cocok untuk hajatan
Danna Suandana,5,Parkir luas .arena renang anak luas
indra lusiana,5,
Diki Budiyanto,5,
Prana Listy,5,
dedy safari,5,"Wisata murah tapi memuaskan
Kolam renang nya banyak,, dan bersih,, kamar bilas juga bersih padahal hari libur lebaran tapi tempat nya tetap nyaman"
Sukis No,1,"Parkir per orang 10 RB, bukan per motor/mobil,
Parah"
Adila Iye,4,"Asri dan nyaman tempatnya,ada aula karaoke nya juga."
Tlow Tlow boucahe,5,"Tempat nya sejuk dan luas...
Juga ada beberapa hewan primata"
Yashinta Nanda Mustika,5,"Tempat sangat luass, rindang dan tidak panass. Banyak pepohonan dan banyak tempat bermain untuk anak2"
Priyanto Restu,5,Taman bermain dan kebun binatang punya bapak untung mantan bupati sragen
kristanto Kristanto,2,"Banyak nyamuk,,,,bikin g betah. Padahal tempatnya bagus. Dan perlu d optimalkan lagi."
Suparman Jaya abadi,5,
MR BOB,5,
Sragen 408,5,
Feny_ CHN,4,Tempat asri dan nyaman buat nenangin pikiran
Arba Ganteng,2,Bagus
tari lestari,5,
susilo tri,5,
Dittoo,5,tempat wisata yang baik dan fasilitas yang minimalis
zogss tv,5,
fajar anton,5,
Dwi Purnomo,5,Tempat recoment
Abiyu nugraha pratama,5,
Bimantara,5,"Tempat wisata yang asri, tiket juga murah hanya 5000. Bisa di promosikan lagi agar lebih banyak pengunjung"
Ilyas Mutaaliy,5,
Ronggo Warsitooo,5,MANGKAT ACARA 2TAK
Ari Setiyoko,4,
Valdo Tanubrata,5,stabil
Griselda Silda,5,
Mia Aprianti,1,
tiyo. emper,5,
Liyanto Abu Haidar,5,Bagus untuk sarana pembelajaran anak-anak TK...
Fatikah Suryaningrum,5,"Rekomendasi buat liburan sama anak kecil, ada kolam renang, kebun binatang, dan restaurant.. Tempat asri. Ada paket outbound nya juga"
Nurul Qomariyah,5,
Entin Suhartini,3,Bagus...hewan lengkap...tapi mohon dijaga kebersihannya dan perawatannya
Alim Mdt,5,
Dimas Ilham,5,
Hijaukan Bumiku,5,"Tempat pertemuan sangat nyaman baik yg Out & In door.
Aula konsepnya klasik ornamen kayu jati terkesan klasik & nyaman.dikelilingi pohon yg rindang kapasitas Masjidnya dapat mrnampung ratusan Orang."
Hana Wastrinova,5,
Wahib agung Yulianto,5,"Tempat wisata lokal yang sejuk,adem, aman nyaman,tempat jogging yg segar,fresh,ada kolam renang, kuliner, kolam ikan,dan agro wisata, dan sekolah alam.ok,mantap,.tiket masuk murah meriah 5 ribu rupiah,toilet bersih,masjid bersih nyaman.kuliner enak."
Afham Anharul,2,
kusama Jaya,5,2024 lomba dalang cilik juara 2
Suki Yanto,5,
Yudha Kurniawan,5,
ardajou kiju,5,"Tempatnya luas, cocok buat nyantai"
Muh Kiten,5,"Murah, aman, nyaman..."
aprilia,4,"tempat luas, ada kolam renang, pendopo, temoat outbond, mini zoo panas krn emg cuaca lg panas,kesan nya kurang bersih dan terawat krn mgkn sepi"
Anin Subekti,5,
Hartanto Rembun,4,"Buat wahana outbond anak sekolah TK-SD, area luas sekali jadi efeknya anak² jalan nya jauh jauh juga ke tiap pos2 outbond nya."
ZoRaRa,5,"Keren banget, tamannya asri, rindang, gak panas, masjidnya gede. Cocok banget utk rekreasi, tapi sayang sekali utk jalan di mini zoo nya agak kotor penuh dg kotoran angsa, bebek, dll. Embungnya saya kira cuma ada 2, ternyata ada 3. Satunya …"
Muslimah Entrepreneur,5,
Wahyu Alfendo,1,
JUST FOR FUN,5,
Lintang Pamikat,4,
Heri ragil saputro,4,"Tempatnya lumayan luass... Cuma sampah plastik masih berserakan,, petugas kebersihan perlu di training lagi.... Kolam renang lumayan bersih,, krna air sering dikuras... Kanan kiri kolam bnyk pepohonan yg rindang.... Cuma disayangkan banyak …"
Dwi Putri Winanti,3,"Tempatnya luas dan sejuk. Hanya saja fasilitas nya kurang bersih dan tidak terawat. Mini zoo nya juga kondisi hewannya kurang terawat.
Semoga ada revitalisasi untuk mengembangkan kembali operasional nya shgg hewan hewan dan kebersihannya lebih baik lagi 🙏🙏 …"
mareta dwi hernawan,5,
Gito Central Grafika,4,Tempat wisata yg representatif untuk smua usia
adhi pratomo,2,"Tidak terawat dengan baik...seperti sentengah terbengkalai. Penginapan kotor, debu2 dan kotoran menempel di kasur, bantal, dinding, dll. AC tidak dingin. Setelah jam 15.00, keadaan seperti mati suri. Gelap gulita."
donny bonar,4,semoga bisa di update konsepnya sama pengelola 👍 …
Ari Tri Wibowo,5,
Andri Respati,4,"Cocok untuk kegiatan outbond dan pertemuan.
Sayangnya beberapa wahana sudah tidak bisa digunakan."
Nadefa Abdillah,4,Saya sangat senang saat berenang
fauzi albani,5,
Gatot Siswoyo,5,Mantappp
Anis Azhar Official,5,
Visda Therezia,3,
Supardjo Pardjo,4,
Raafi Arrasyid,5,
Bengkel Sekarjati Auto Service,5,
Anto Mourinho79,4,
Septo Albani,3,"Baru pertama kali datang tempatnya sepi, harga tiket cukup murah, parkiran luas, akan tetapi ada beberapa pos pos fasilitas yg gak fungsi dan minim perawatan"
Greace Sita Bingah Gumelar,2,
ken fry,3,
Mooren Lia Luthfiana,5,
Juni Eko Kuncoro,4,
Abyazka Alzawahiri,4,Bagus
Ibnu Mustofa,5,"Tempat wisata yg tergolong luas dan nyaman sejuk asri tiket masuknya murah.. tapi herannya di hari weekend kenapa sepi ya.. mungkin harus di promosikan lagi biar warga sekitar terutama warga solo lebih mengenal.. saya yg sudah lama di solo, …"
dewi surya okta viana,5,Dekat dengan rumah saya tapi harga tiketnya diturunkan menjadi 6 rb ae
fransiskus pamilih j t,5,"tempat yg bagus untuk refreshing keluarga,,wahana permainan lumayan lengkap,,HTM standart..sdh beberapa kali ketmpat ini,selalu terawat."
asti ayu,5,
Xd1mas 555,5,
wisar doyo,5,"Lumayan  nyaman dg pepohonan rimbun
Masjidnya bagus luas
Rekomended untuk liburan dg klg"
Alauni Shop,3,
Silvi Wardana,5,
Waone Setyoriyadi,5,Ademmm..full musik
rorr,1,
Fania Trans,4,Syahdu
Shodiq Alanshori,2,
Andhika Hidayat,5,
lysta ayu pramudhita,3,
Nanang Budii,4,
Rahayu,1,
Agung Gemilang,5,
Junaidi '88,5,
Widya Nuryanti,4,"Tempat yang cocok untuk berwisata beredukasi untuk anak-anak,dan terjangkau"
Julichan Eswanto Saputro,5,
Djoko Rijanto,5,apik
Attala Yogia,2,
Fajriano Akbar,5,
Farell Wirayudha,4,"Ndayu Park Sragen berlokasi di GXPR+HPJ, Gembong, RT.08/RW.04, Saradan, Kecamatan Karangmalang, Kabupaten Sragen, Jawa Tengah 57222. Tempat ini mungkin menjadi salah satu destinasi wisata yang populer di Sragen, menawarkan berbagai wahana …"
Ika Puji,5,Tempat liburannya orang Sragen.
gondang asri,4,untuk kebun binatang kurang nyaman bagi pengunjung...atau hewannya sedikit
Mas Aples12,5,
Susilowati 72,5,"Cukup memuaskan untuk edutrip anak-anak, harga masih terjangkau dibandingkan tempat lain. Tempat nya sepi karena mungkin weekday. Pelayanan baik. Parkir bis 20.000, edutrip agrowisata pertanian 25.000."
Ezha Sukamto Diagnosa,4,sippppp
dodhy yustisiangga,5,"Belajar bersyukur saja ada tempat dekat, murah, asri, anak happy wes cukup, manuk akeh, iwak okeh."
Annas Zielby,4,Bangunan rumah dan masjidnya model klasik dan elegan
Bembz Margonz,4,"Beberapa lama baru berkunjung lagi, lebih sepi."
Wagiyanto,4,"Lumayan oke buat rehat & momong

Di dekat ada kenapa nyari taman jauh jauh."
Abuismail Aan,3,Lumayan lah buat jalan2.  Masjid nya bagus alhamdulillah.  Tapi kurang terawat. Hewan2 nya memperhatinkan. Banyak nyamuk
Kanaya Anjar,4,"Tempat rindang dan asri, jajanan harga standart. Parkir luas wahana mainan anak cukup banyak. Wisata dalam kota yg murah meriah.."
Puput Ahlia Liquisari,5,Tambah sejuk menyenangkan ngajak anak kecil anakku happy bngt 😍😍😍 …
Lia Noviana,5,
Helmi Abu Abizar,3,"Cukup bagus, untuk kolam renangnya, namun ada beberapa spot yang mungkin kurang terawat dan kurang bersih dan rapi, (pendapat pribadi), semoga bisa ditingkatkan kembali kebersihan dan kerapian sarana dan prasarananya, biat lebih enak dipandang mata"
Joni Jr.,4,Cocok buat syuting film horror😂 …
Agus Wahyu Pramono,5,
Simel Mbaon,5,
Irwan Jatmiko,5,Nyaman
Harjono,4,"pengelola ramah2,, sarana2 kurang terawat, beberapa binatang terlihat memprihatinkan, kurus & kelaparan.
Usul saran : mungkin akan lebih baik jika fokus ke binatang2 yg murah …"
Santoso Soo,2,"Arena permainan ,,dan alat permainan dan tempat permainan TDK terawat ,,"
Alfa rizi Rizi,4,
GGWP TEAM,5,
Sugito Rahmat,3,
Devid Erlandia chandra andi nugroho,4,Bagus
Anindita Wijaya,5,
eva ardhi,1,Tempatnya asri
Felicia Kamila,2,"Zoo nya ga terawat , bau , kotor , banyak nyamuk , banyak ulet bulu.
Kolam nya kemaren ke sana tgl 22.02.24 lagi kosong 3 kolam yg bagian belakang  .
Please lah..duhhhh"
taufiq ahmad,5,"Lumayan bagus, dan kayaknya serunya pas hari libur anak sekolah, weekend
atau libur lebaran"
Muh Rusni,5,
Amenna Izme,4,Tempatnya sejuk nyaman kolam renang ada bbrp..parkir sangat luas tiket msk 15k aja .ada hiburan..kebun binatang mini..
ilham Fauzan,4,
Abdul Hakim,5,
Kusrini Yuliani,4,"Sebenarnya lumayan bagus dan bersih. Area luas dan sejuk. Kurang papan penunjuk arah arena agar pengunjung jg tahu ada kebun hidroponik, mini zoo, arah masjid, kebun jambu kristal, wahana bebek air, terapi ikan, penginapan dll. Semoga bisa ramai lg, sehingga bs menutup untuk biaya perawatan, shg lbh terawat"
iwan tan - GKKI Pemulihan,5,
陳財通,5,Ini adalah tempat yang bagus untuk bermain air dan menenangkan diri. Itu tidak mahal.
Putri Handayani,5,
moch abdul kholiq,5,
Elsavarho HJ,5,Jaga selalu kebersihan agar pengunjung nyaman
Teti Yuliawati,5,
Agung Setyawan,5,Tempat parkir luas ...ada taman satwa
Purwanto Solo,4,Bagus
Diyah Patminingsih,1,"Pengalaman hari minggu tgl 21 jan....
Maen di depan kebun binatang ndayu park. Yg utara Cuma maen sebentar pindah ke mainan  laen nya di hitung beberapa kali padahal samping e pas  Klo anak e yg aktif pindah sana sini mungkin bisa di hitung beberapa kali. 😅😅 semoga berkah pak. …"
ghostsong milagros,5,
Ari Giyarto,4,
Pradita Hendy,3,
Imam Saputra,1,
abun ayya,4,Ciblon
Mar'a _,5,"Banyak pilihan wahana, ada kolam renang, ada tempat outbond dll jadi lebih seru"
Idham Ramdhani Joesoef,4,"Kolamnya ada 5, cuma nyoba 3 aja. Seluncur yg tinggi udh ga bisa dipake lagi, usang dimakan waktu. Hati2 untuk yg punya kulit sensitive ya"
Naim Mam,4,
Indah Dewi,5,
Joko Waloyo,5,
Mas jhon,4,lumayan baik..harga tiket juga terjangkau..untuk tiap wahana bayar tiket lagi...hanya saja wahana terbatas hanya sedikit jadi kesannya sepi..untuk penjual makanan minuman sangat minim...semoga kedepannya bisa ditingkatkan lebih baik dan lebih menarik lagi
Ekho Jabrix,4,
Heppy Hendiawan,5,
Lilik Sutopo,1,
supariyanto gendon,5,Enak dsn nyaman
Den eddhy,5,Mantap poolll...pokoke...
Linda Wijayanti,5,
Bagong Banser,4,
juragan tuyul,5,
Alfian Oenadi,5,
awan kayat,4,"Tempat nya adem,,mini zoo nya juga bagus,,tp kurang terawat mungkin Krn pengunjung nya blm terlalu rame,,kolam renang nya juga bagus,,harga tiket nya juga murah meriah,,"
Rosti Yati,5,"Bersih,nyaman dan Asri.."
Kris Bee,5,Adem.
Gantara Srg,5,
Arka Raffasya,5,
Rima Kurniawati,1,"HR ini tgl 17 Desember 2023,,tumben bgt ya apa krn barengan dgn pas gatring famili polres Sragen,,parkir motor Sampek 15k,,setahu q parkir motor 5k itu mahal,,kemarin piknik ke gunung kidul aja parkir bis 30k,,Iki sepeda 15k,,Ojo larang"" nek parkir dak ora payu,,q Yo gur wong Karanganyar"
Vivin Indiarti,5,
Karya Bangsa,5,Parkiran luas dan Adem . Dibawah pepohonan
Nur Fatimah Meiningsih,5,
Dewiosa X Kedai Java,5,👍👍 …
Umam Mahbub,5,
Bagastino Kusdiansyah,5,
Iwan Rustanto,2,perlu pembenahan
Kontring Trans,5,
fitri zaamila,5,"Cocok untuk outbound, outing class, rapat, wedding.... Adem, sejuk karena banyak pohon besar.
Ada mini zoo, kolam renang, kolam ikan, ada sekolah alam juga"
Lazuardi Bcl,5,Kolam renangnya bersih dan tiket masuknya murah
novian catur pustoko,5,Ada outbond kolam renang dan peternakannya tuk mengedukasi anak anak
Susu Similkkiti,5,
Mutiara Sukma Adilla,5,
Novia Dwi Anggraini,3,
riski oktovi,4,
Prayogi 28,4,Disitu apa ada ruang sanggarnya ya .
batik rizky,2,
Octa Irawan,4,
Sigit Lepo,5,"Tiket masuk lokasi Rp5.000 per orang, Tempatnya Rindang, parkiran luas, ada Masjid, ada tenant2 makanan dengan harga yg wajar, ada waterpark (Rp10.000), ada mini zoo (Rp5.000), ada becak air, ada wahana mandi bola dan playground untuk …"
shizuka “shashi” Ishaka,3,
Anang okta Prasetyo,5,Tempat wisata recomend bagus sejuk
Abu Layla Supry,3,"Rindang. Masjid bagus. Warung jajanan memadai..

Hanya saja, sepertinya ada peremajaan dan perawatan area binatang. Sehingga, tampak bersih dan nyaman.."
Heba Carolina Meisya Dewi,5,tempat piknik keluarga.
Umu Hibban,5,
oka luthfia,5,Ada kolam renang dan kebun binatang mini
Tri Haryo,4,
Aditya WP,5,Nyaman untuk liburan keluarga
Kuswatun Kasanah,4,
Joko Porwono,5,"Sangat luas, nyaman, sejuk,
Mungkin perlu promosi dan perawatan ekstra,
Cukup bersih dan profesional, …"
yakob daud aurariskar,4,"Berkunjung sebagai visitor Tempatnya bagus sih.  cocok untuk liburan ringan.

Kekurangannya harga tiketnya kadang ga jelas. Kadang mahal kadang murah, apalagi …"
Siti Aminah,3,
Bahrul Ulum,5,
redyna fawziah,5,
Bang Udin sedunia,5,Sangat sepi di hari kerja.
Istini,5,
