nama,rating,isi_review
Hesty Masya,4,
Budi Marwanto,4,
Krs azzamira,4,Sipp
Koebil Andesmoy,4,"Mini Zooo. Huehehe kebun binatang mini. Tiket masuk cuma Rp. 6000,-
Cocok buat bocil². Ada perahu bebek dan mobil² an. Parkiran mobil ada. Musholla ada, toilet ada. …"
Dion,5,"Edit 29 maret 2025: sudah buka lagi. Masih proses renovasi, tetapi sudah ada binatangnya"
Nanang Febriyanto,5,"agak kurang terawat, semoga semakin maju dan diperhatikan pemda setempat, sepertinya kalo cuman diurus desa bakalan ngap²an, termasuk bagus lo untuk penghasilan desa jika makin diperhatikan pemerintah tingkat kota"
Ikasari Putri,5,
Andri,5,
Mufidah Khairiyyah,3,
Slamet Sumadi,5,
Mochammad Luthfi,4,"Sebuah lokasi hasil pengembangan BUMDES, menarik memang, dimana Klaten terkenal dengan pengelolaan sumber mata air. Disini berani untuk eksplorasi lebih positif. …"
Sri Suratiningsih,5,"Tempatnya bagus, hanya saja kurang terawat. Cocok untuk liburan keluarga"
Ahmadyennis Yennis,3,"Perlu perawatan tempat saja,biar tmbh rame"
Apri Van Basten,5,Bagus untuk anak2
thekir kiryono,5,
bejo infomitigasi,5,"Dalam tahap pengembangan..
Semoga kedepan bisa jadi andalan untuk PADes"
rizqi bagus saputra,5,
Rizky Alamsyah,4,
Muhamad Sidiq,4,Tempatnya bagus cuma kesini tidak ada orang.harus ditingkatkan lagi media sosialnya .semangat
Mustikha Kusumaningrum,5,Tempat wisata keluarga yg murah meriah tp bikin anak hepi
Antok Hermawan,5,🏗🎢🎡🎠🎪 …
intan maris ocktavia,5,Kurang lengkap satwanya.. kurang pemeliharaannya.. kurang promosi..
Eres Ga,4,
Heru Susanto,5,"Ayo ajak keluarga kesini. Mau lihat buaya, burung unta, burung merak, buaya, rusa, naik kuda, naik atp, perahu bebek, mandi bola, mau keceh, terapi ikan atau sekedar ngadem. Bumdes Karangduren. Ada musholanya juga. Tiket masuk saat ini cuma 6rb."
Hanafi Zakariya (eram28),5,"Taman wisata merakyat.
Ada mini zoo, play ground anak, kolam renang, danau buatan, ada foodcourt juga.
Bagus banget mini zoo nya untuk edukasi dan mengenalkan ke anak tentang …"
Ibnu R,5,"Bisa membeli tiket langsung
Walaupun siang cuaca terik banyak saung untuk duduk dan istirahat suasana asri murah meriah dan bikin anak-anak happy"
Doni Herwan,5,"Tempat yang bagus,bisa untuk menyenangkan anak
HTM terjangkau,,taman yg ada di deket sungai"
Iqin William,5,"Wisata yang menarik, banyak tempat bermain anak & berbagai macam jenis satwa. Bisa juga bermain sambil memberikan makanan yang sudah disediakan oleh pengelola.
Misalkan mau naik kuda juga ada."
Kartika Hoshi,4,"Nganterin anak anak yg mau naik kuda. Sambil Jalan Jalan ahad sore. Tempat luas Dan ada beberapa hewan yang dirawat disana, Salah satunya kuda."
Ambar Sito Jati,3,Koleksi hewan semoga dapat lebih lengkap
freand jack,5,
faiz mumtaaz,5,Wisata bagus
Annisa Sholihah,4,"tempat bermain dan mini zoo, htm 6k perorang. untuk binatangnya ada burung unta, merak, kelinci, kuda, ular, burung, kura-kura, biawak.
bisa naik kuda harganya 10k. …"
Dems,5,Jossss rekomen
Risna Dewanti,5,
endra arya,4,
Puput Fuadi,4,"Konsepnya menarik, belum ada konsep itu di kecamatan Kebonarum. Gasebo dan pendopo banyak sangat cocok untuk acara keluarga atau rombongan. Kurangnya hanya perawatan rumput dan tanaman serta estetika mini zoo yang blm menarik untuk anak-anak"
YUANTO PRAYUDI,4,"Tempat bermain bersama keluarga yang murah dan mengasyikan bagi anak. Harga tiket masuk nya 6000/orang, mandi bola 2000/seiklasnya sampai puas, wahana ayunan  dkk gratis, kolam renang gratis, mobil listrik 10000/anak, perahu bebek …"
T4t4k Pujiyanto,5,
Prastya Tri Pamungkad,5,
uminuha triyanto,3,"Tiket masuk 6K, ada mini zoo (burung onta, ular, ayam, burung merak burung hantu, rusa dll), bisa naik kuda juga. Ada kolam renang tetapi airnya kotor. Ada naik bebek - bebek di air biayanya 10K / orang, tersedia mushola"
VENUS,4,Terima kasih atas kunjungan dan apresiasinya kak.
Elia Putri,5,Mini zoo dan taman bermain
Arshea naewa Candrarini,3,"Bagus tempatnya, nyaman seperti mini zoo. Tp gk ada penjual."
Undangan Nikah Kelingking Art,5,"Sangat cocok untuk menghibur anak², destinasi wisata terjangkau untuk masyarakat sekitar, kabarnya baru dibuka lagi bulan mei ini, sedang perbaikan kolam renang nya. Semoga segera selesai dan bisa lebih ramai lagi."
Agung Blitzr,5,"Smoga kedepannya lebih baik lagi ,lebih maju dan bisa menyaring UMKM desa"
Basuki Rahmad,5,Minum
Ivan Denny Susanto,5,
Fardan Perdana,4,
Herlina Putri,5,
Ali Ahmad,4,
CFC Food indonesia,2,
nurul menur,3,"Cuman lewat sekarang dah tutup hewannya dah ngk ada, sayang sekali moga bisa direnov lagi"
supri ciprut,4,kok skarang tutup ya?
Jono Joni,3,Sepi
Seza 11,3,"Seminggu lalu kesana...ternyata sudah tutup...penunggunya rumput liar.
Eman eman lho"
Wong Sepele,5,
Beybil,1,"Sudah tutup, 😩😩😩😫 …"
Mawardi pam7,3,
Sam Ateng Official,5,
Babene Karind,3,
Martoe Tjiptosoemarno,1,Lumayan asri dan asik
Mahabbah Hanhankids,3,"Lumayan keren, tapi masih kurang lengkap,"
Joko wahyono,1,
ADEILA FIMA HSNH,4,
Hendik,4,
angie marina,4,"Sederhana tapi lumayan. Naik kuda poninya murah, cuman 10 ribu. Naik bebek airnya juga murah, cuman 15 ribu. Ada motor2an juga, 10 ribu. Ada kolam renang dengan ember air raksasa juga. Tiket sukarela. Sayang lokasinya jauh dari perkotaan."
Puput Puteri,4,
must rur1,4,
Sulis 3030,3,Resik
Caraka Prabu,4,
Prambanan klaten,1,
Suhardi Ristanto,5,Alhamdulillah... masyaallah
Demiko Yazid,5,"yok yg mau berkunjung ke taman jlengut, bisa kami antar dg sepur mini
wisata edukasi dg berbagai macam fauna"
Agustinus Andriantoko,5,
Yudy Anto,5,
Lilia Nur,4,"Htm 5k/ orang, mohon diperhatikan yg bagian satwa mulai tidak terawat, mau naik bebek yg bisa dikayuh tidak ada penjaganya , kolam renang berwarna hijau ,"
wiro dinomo7474,1,sangat tidak banget
Nunung Setiya,3,Wisata murah meriah
Risqi Amelia,4,
Laila Sya'bani,4,"Taman yang belum lama dibangun. Lokasinya mudah ditemukan, parkiran luas tapi hanya sedikit yang teduh. Taman yang menyediakan banyak wahana, seperti naik perahu bebek, berkuda, scooter, berenang, area bermain anak seperti ayunan dkk. Ada …"
wawat kartini,3,Tamannya gersang
Agnes Febby,3,"HTM murah meriah. Ada wahana baru yaitu kolam renang. Namun perlu diperhatikan kebersihan tempatnya. Perawatan kandang dan hewannya. Terutama di rumah reptil dan kucing. (mohon maaf) bau sekali dan seperti kumuh.
Semoga ke depannya lebih baik lagi."
Bang nggosis Channel,5,Tempatnya bagus dan bersih.
Konveksi Tas Klaten,4,"Wisata ini terletak di dk.karangduren desa karangnongko klaten ,tiket masuknya 5000 perorang"
Angga Eko Saputro,5,"Dekat dr rumah , cuman agak kurang bt perawatannya."
Insan Biasa,4,"Pertama kali ke tempat ini sore hari, hari ini. Sampai sana gerimis , menjelang sore hujan deres. Pas maghrib pulang hujan hujanan. Mengesankan."
A3youtube Channel,5,Masih sepi pengunjung mungkin tempatnya yang kurang nyaman buat wisata keluarga. Ya berharap kedepannya pemerintah desa bias berbenah lagi
Diyon Oke,5,"Tempatnya luas dan dejuk, cuma agak bau pesing dr hewan peliharaanya"
Piyol Jelek,5,
ratna saras,5,
Yuli Kurniawati,5,"Bagus utk wisata klrga...
Kpn y bs jln bareng2 SM klrga lengkap lg"
Ana Natalia,4,
Asri Nurani,5,"Taman luas, banyak hewan2, wisata edukasi dan rekreasi anak dan keluarga
Penuh mainan ada yg gratis dan berbayar, murah sekali, tiket masuk 5rb/orang, wahana naik bebek kayuh, kuda, skuter 10rb aja 👍🏼
Banyak tempat untuk berteduh 👍🏼 …"
Iwan Kristi,2,
Nona Srimulyani,4,Cuma modal 5 rebu doang udah bs liat binatang2 yg lumayan banyak dan unik2. Asyik dah. Petugas2 d dalam t4 wisata juga ramah2 dan helpful. Yang saya sayangkan hanya 1: PETUGAS PARKIR CUMA MAU DUITNYA TAPI GA MAU PANASNYA. Motor qt kepanasan …
Fajar S Adi,3,
Irawan Fauzi Utoro,5,"Taman wisata Jlengut ini adalah taman yang memiliki koleksi hewan-hewan seperti kerbau, sapi, kambing dll. Fasilitas nya juga lengkap"
Khansa Annisa,4,Lumayan.. wisata desa cocok buat anak2
