nama,rating,isi_review
Wanda Sulanjari,5,
Mas Mul,5,
Juni Dwiyanto,5,
wahyu heryono,5,
Puput Puput,5,Pernah kesana udah agak lama pas lagi rame ikutan nyanyi juga bareng ibuk2..😊😊😃 …
Jarwono Ucup,5,
Muhammad Iqbal Ghozy,3,"Sebenarnya tempat ini memiliki potensi yang besar, sayangnya sampah di sungai membuat air sungai jadi bau dan sedikit keruh. Harapannya tempat ini bisa makin berkembang"
Khoirudin (Kanz Roey),5,
Syaiful Anwar,4,
Mbelik Agus,5,
Puddin Din,5,
Djoko Warasto,4,
BRUDA CHANEL,4,
lilik prikitiu,2,Sekarang tidak dikelola dengan baik. Mungkin masih dalam tahap pembangunan
Putra Nalendra,1,"Jembatan kapan selesai renov ya lama sekali, ati2 kalau siang lewat sini ada pungli"
Susanto Yoto Suharjo,5,
Wahyu Raharjo,5,"alamiah asli..ibu nyes, adem dan adem.."
Suwani,5,
Shofi Ferdiyan,5,Menyesap
Arief Budi,5,Kompor gas
Rima Istiqomah,5,
Nurita Htw,5,
Dini Sukma,5,"Bagus, murah."
Agus Murjoko,5,Oke
Yunik Titis,4,
delagung nugroho,5,Mantap buat latihan...
Subi Agung,5,"Lokasinya sedang di renovasi
Semoga makin bagus,indah lokasinya"
labinovasi,3,
Ari Wibowo,5,
Ilham Rofi'i,5,👍 …
Pak Guru Kembar,5,coba map
Gilang Primada,5,
Erwinimam Keling,3,
Aldian Siregar,5,
M.FAIZAZIZAN,5,
Dimas Klaten,5,
adi pidi,1,Tidak terawat
Loly Gasnanto,5,
Danar Sugiyarto,5,
hendisagala84 Sagala,5,Baik
Ditanto Aris Subroto,3,
Anwar Junaedi,5,Bagus
Toko 45,5,"Sebetulnya bagus,cuma kurang terawat dan pas kesana kemaren kotor bgt"
Putri rahma,4,
Raga Winarto,1,
arief hari Samudro,5,Siplah
rendra raya,5,Asik
vicky pratama Fitriadi,5,Bagus
Didik Nugroho,5,
Purwanto u,5,
Cambina Tv Indonesia,5,
Zainal Mustofa,5,
Abdul Lathif,4,"Tempatnya representatif untuk edukasi sebenarnya tentang prinsip bendung. Air, namun tidak ada penjelasan mengenai itu .. tempat agak kurang terawat"
Dwii Cahyono,5,
Yohanes Bowo,5,
Haryawan Gutomo,5,
MARGIKERIS,5,"Destinasi Wisata alam yang sangat indah,yang berlatar belakang saluran irigasi warisan penjajahan Belanda yang hingga saat ini masih kokoh di Dukuh Malangsari Desa Sudimoro Kecamatan Tulung Kabupaten Klaten Propinsi Jawa Tengah. …"
KainseruI,5,
wira wiranta,5,Tempatnya bagus
iLa Khayla,1,"Pas kesana akhir pekan, parkir mobil 5 rb, biasa sih. Yg gak worth it tu tiket masuk per orang 10 rb di akhir pekan. Kl tempatya bersih dan terawat sih gak masalah, tapiii pas masuuuk waaauuuuw, sungainy kotor banget, gak terawat sama …"
Wish Maker,4,"Bagus, perlu dipoles lagi kebersihan kali & tamannya"
Erbee Pram,5,
Marni Bunda syifa,3,"Alternatif obyek wisata di Tulung Klaten, bagus tp kurang terawat."
Adtha yayaya,5,"Tempate bagus.masuk juga murah,kebersihan mohon di tingkatkan.sama pengelolaan masak spot foto malah di duduki nggk bisa selfi2"
A 3,5,"Ikonnya sudah bagus
Untuk perawatan dan pemeliharaannya saja yg perlu ditingkatkan lagi."
Putut agus Wijanarko,5,tempat yang sangat cocok untuk ngadem.. cari udara segar jauh dari polusi..ramah di kantong he he...
Haris bang,5,
Muhamad Nur Rahman,3,Bukan masalah akses dan obyek twtapi kelengkapan wisata
Dwi Hastuti,2,
Subiantoro Agung,5,kolom Renang dengan pemandangan alam yg indah
Cici Flow fine do,3,"Jalannya masuk terlalu menurun .. jadi waktu mau exit naik tangga juga kelelahan☺️
Kalau bisa diberi toilet di parkiran jg ..jdi kalau ada yg kebelet gk msk lgi …"
