nama,rating,isi_review
Farida Nur Aisyiyah,4,Banyak wahananya. Tiket terjangkau. Satwanya lumayan banyak. Ada tempat bermain anak. Kulineran juga oke. Sayang agak kumuh. Semoga ada peningkatan kebersihan lingkungan waduk.
Rahma dani,4,"Di berbagai tempat masih banyak sampah berserakan. Mungkin dibutuhkan tong sampah lebih di setiap tempat, dan pengunjung kurang kesadaran untuk buang sampah pada tempatnya, lebih diimbau lagi."
Rani Agung,4,
ASLB kreatif,3,
Fifit Novias,5,
kristi ani,5,
Cahyo Priambodo,1,"konsep yang bagus untuk perbaikan tetapi implementasi dan detailnya sangat buruk, dimulai dari pengelolaan sampah yang sangat sangat buruk, sampah dan plastik di setiap sudut dan rambu-rambu tidak membantu sama sekali, kami masih bertanya …"
Ninuk Purnaningsih *,5,
Eko Toni Raharjo,5,Oke
Anggun P,5,"Tempatnya luas cocok buat piknik keluarga,ada jembatan kaca,kebun binatang mini & bisa naik perahu sambil lihat tambak ikan.😊👍 …"
Ryan Csgp,4,Perlu dirawat dan ditambah wahana permainan nya
Yeni Purwanti,4,
EMY KUSUMAHATI,5,"Menakjubkan,, tempat healing recommended"
Anwar_ Bdhrt,5,
Nina Ristyaningrum,5,
Ervina Tri Aryani,5,
aan purwanto,4,"Masuk nya mahal ,nitip helm masih bayar lagi.
Makann jg mahal..
Harga gorengan melebihi harga di kota"
Havid Kustanti,5,
Victor Kalikit Bara,5,
Er Setya,4,Seruuu ramee
Me,5,"Bagus,,"
Sapta Rini,5,
hpes,4,"Cocok buat liburan, ada jembatan kaca"
Kristiati Setyaningsih,3,"Tempat wisata yg masih menjadi tujuan Sudah banyak kemajuan , tempat bagus , HTM terjangkau , makanan juga khas dan lumayan enak. Cuma kebersihannya sangat kurang. Alangkah baiknya tiap hari Jumat semua tempat dibersihkan untuk persiapan …"
Anna Widiasss,5,"Bagus poll, sekarang bersih, tempatnya lebih aesthetic makanan nya masih harga standar
Suka banget sama wgm yang sekarang"
kus mar,5,Buat rekreasi bagus bisa keliling naik prahu lihat keramba sekarang 👍👍👍👍 …
aris sawahan,5,
Dony Juniadi,5,"Ada tempat makan mie ayam dan bakso nama nya ADHEL 77 jarak sebelum mengarah ke Waduk gajah Mungkur , 500 meter dari Polres Wonogiri , tempat nya enak , makanan nya Apalagi mie ayam bakso sangat enak sekali bumbu nya berasa sekali sangat rekomendasi"
Nanda Ihsan,5,
wulan eka handayani,4,
Rahmatika Sari,4,
mas gin,5,"Tempat rekreasi keluarga,.
Wonogiri adalah sebuah kabupaten di Jawa Tengah yang menawarkan pesona alam yang memukau serta berbagai destinasi wisata yang menarik. Salah satu destinasi …"
ibnu rahman,5,"Rekomended buat yg mau wisata bersama keluarga, apalagi naek perahu smpai bendungan, asik sekali,, utk makanan jg lengkap bgt,,"
Farah Harum,4,"Tambah bagus untuk penataan bangunan yg ada didalam obyek wisata WGM.. tiket masuk jembatan kaca hanya Rp10.000 sj. Sandal/sepatu boleh dipakai...tapi jika ingin naik keatas kacanya, dilepas ya .. PD saat sy kesana sdh agak sore, penjaganya …"
purnamadiyah,5,
Alur Rolas Karaten,4,
Nimade Indah anggrian,5,Aman buat lansia...
Putri Riski Ratna Sari,5,
Nunna Shazia,3,
Ida Tiyono,5,
Sigit Sugiri,5,
Sularno Sukoharjo,1,
Eka Fitriyani,5,
Muh Irhashon,4,
Santuy,5,
Fatimah Suseno,5,Wisata keluarga semi kebun binatang
Ahmad Rifqi,5,
Sri widiyati,5,Tempas menyenangka. Nyamam
Fitri Nur Jannah,5,
teofilus hariyanto,1,"sangat wow dengan harga tiket masuk 20k per orang, dan fasilitas harus bayar lagi, yang paling minus adalah setiap sudut sangat KOTOR SEKALI BANYAK SAMPAH, tidak di sediakan tempat sampah"
bani prasetyo,2,
Dhiego,5,Silahkan dicoba 😁👍 …
sanding carl,4,"Tempat yang asik buat dikunjungi paling nggak sekali kalo ke wonogiri, pemandangan waduk nya bagus ya minus panas kalo parkir di lapangan."
Meylanni Toko Bambang 2,5,
Mawar Puluhdadi,4,
Safitri Prima,4,"Parkir Luas, Tempat bagus, ditambah ada jembatan kaca dan spot foto sebelum ke jembatan kaca semakin menarik, sayang tempat sampah terbatas, apalagi di area parkir."
Zhanaz Farah Anisa,3,"harga tiket masuk 15 ribu/orang, parkir mobil 5 ribu.
buat makanan/minuman di warung, masing-masing tiap warung harganya sama, dan tiap menu udah tercantum harga. …"
Laskar Aji Pangestu,5,
maria smd,3,
hadi JM,4,Bagus tempatnya
RM. Kusumo,5,"Sae....stlah revitalisasi..WGM semakin bagusss..
Petugas loket dan parkir...ramah dan ganteng2..
Mereka kompak...."
Subadi adi,5,
Hanif Ilham Fadlilah,5,
Satimin Satimin2329,5,
azis hady,5,Waduh Gajah Mungkur
Puspo Heru,4,Tambah bagus
Agus Pramoe,2,"Sayang seksli obyek wisata yg masih cukup banyak pengunjungnya tetapi kurang terawat..

Banyak rumput tinggi2.., waduknya juga kotor .."
S.E Channel,3,"Kesekian kalinya datang ke Waduk Gajah Mungkur setelah beberapa tahun tidak datang. Ada perubahan yang cukup mencolok: taman baru, jembatan kaca, dan dermaga perahu yang pindah ke sebelah selatan. Namun, sayang perubahan yang ada tidak …"
Septiaji Setiawan,5,"Lebih tertata, bnyk spot foto bagus dengan latar waduk, bisa naik speedboat"
Gurindra Bhana,4,
Wisnu Rusdianto,1,"Tidak rekomendasi untuk sebuah tarif masuk 20 per orang
Dengan fasilitas di dalam masih bayar jembatan kaca dan helm memaksa harus di titipkan dengan tarif 2000 per helm , padahal sudah saya kancing di jok tapi di suruh menitipkan helm"
YudiAE Setya,5,
Purwanto Solo,5,Sangat bagus
BOS MUDA T,5,
Lucas Prasetyo,5,Piknik
Eko manyiel,5,
Sintiya Moneka,4,"Biasa aja, masuk per org 15rb. Kalo mau naik/masuk wahana harus bayar lg. Tidak terlalu worth it bagi yg pengen liburan
hewan"" di biarkan spt tidak terawat"
Karisma KBS,3,"Banyak tempat-tempat yang terbengkalai, kurang terawat, dan kumuh"
Tri72,5,
Ariebawa Setya,5,"Wuenakkkk, ikannya sueger...
Lain kali pasti kembakli kesini sama keluarga"
rifqi andi saputro,5,
Leni Maryati,4,Bagus
Feni Putri,5,"kebetulan datangnya pas hari libur jadinya rame poll. banyak lokasi yang ditawarkan, ada taman bermain, pusat perbelanjaan oleh-oleh khas wonogiri, jembatan kaca, tersedia taman untuk bersantai. tiket harga masuk 25k/orang, tiket jembatan kaca 10k/orang."
Novi Widyawardhani,5,
rama 1323,5,
Bias Niditra,5,"suasana jalurnya, adem 🍃 …"
Yantie Wahazz,4,"Bagus, luas, murah, tapi sayangnya kurang terawat."
Muhammad Affansyah,5,
Suparjo Komputer,5,Mencoba jembatan kaca dan naik kapal
Anis Safitri,5,"Tempat wisata yang bersih, asri, dan pemandangan waduh yg indah. Coba ke jembatan kaca trnyata kehujanan. Akhirnya neduh lama wkwk.
Bnyk penjual ikan dan berbagai makanan di sekitar waduh. Recommended utk wisata keluarga."
Edy Irawan,5,"Ini tempat yang bagus untuk berjalan kaki, tapi cuacanya sangat panas
Seharusnya ada pegunungan dengan banyak pepohonan dan suasana sejuk"
jibrut uma,5,
yuliyan dutas,5,"Sekarang Lebih Bestlah,,lebih rapi dan nyaman"
Dais Cahya Darmawan,5,
Andang Mayriza,4,"Sekarang lebih tertata dan rapi.
Mungkin agak gimana gituya. Pas liburan lebaran kemaren, waktu masuk bayar parkir 2000, trs disuruh menitipkan helmnya. Krn di parkiran semua helm harus …"
Raif Musthofa,5,
Alwan Maghribi,5,"Pemandangan luarbiasa..
Udara segar karena di kelilingi gunung gunung.."
Abqory Sajid,3,"Waduh gajah mungkur indah, sayangnya tempat wisata kurang terawat, kasihan hewan2 nya.
Saran, perlu untuk di tinjau ulang untuk merawat area wisatanya, supaya banyak pengunjung dan peminat."
Sudiyo Anake mbah Wito,5,Warung makan Murah oleh oleh ikan wader juga murah pokoke serba Murah
Bambang Hermanto,5,
Muhammad Krisna Yoga Pratama,5,
Ummu Abdillah Lathifah,5,"Sekarang WGM tambah bagus, bayar masuk rp. 20.000;/orang.."
Paulus Yong,4,
Gg Gg,5,"bersih, makanan enak, suasananya adem, hanya colokan listrik sj yg gak ada mhn pengelola untuk ditambahkan"
Bang Miko,4,
Yoyok slameto,4,
Fajar Nur Hananto,5,
Rizka Azzahra,5,
Bayu Hidayah,2,"Tempat tidak terawat.
Wahana permainan anak banyak yang rusak
Sampah berserakan
Tidak di kelola dengan baik
Petugas kebersihan tidak ada
Tempat istirahat pengunjung kotor"
Taufiq Baraja,5,"Yang sekarang sudah bagus banget, ada kapalnya. Saya datang sore mendung, naik kapal dapat sunset, keren dah. Lumayan cocok buat family liburan. Ada kapal speed boat kecil buat 5 orang harganya 150.000, kalau yang lebih gede harganya 350.000"
BILAL ACHMADI,5,Oke
Karya Home,4,
Eko nur setyono,5,
Septiawan Pandu Sasongko,5,
agung susetyo,5,Jembatan kaca.. dengan pemandangan indah
joko asmara,3,Datang di weekday hari Kamis. Sudah sore saat gerimis namun setelah sampai cuaca sudah bersahabat. HTM /@ 15k. Penitipan helm 3 pcs 5k. Langsung menuju boat/ perahu. Dengan harga 150k. Ada mushola dekat parkir motor. Banyak toilet yang …
Ajipasa Lukadinata,5,untuk joging atau sekedar bersantai di sore maupun pagi hari
Aan Erika Tomi,5,masukan untuk dinas terkait agar di perbanyak tempat sampah agar wisatawan tidak buang sampah sembarangan
Jahra a.f,2,
Giyat Bintang,5,Seru dan menarik
nicky minaj,3,"Kaget juga, saya pikir daerah sini dingin, ternyata puanas banget. Waduknya besar banget, tapi gak kelihatan bagus, gak menarik ternyata daerah sini. Jauh2 kesini karena penasaran, tapi ya biasa saja."
Erma Umi Nurhikmah,5,
Jaya Otenius,5,Sangat Bagus
Nashrullah Alfath Sugiyarso,4,
arga damara,5,Lebih de tahun2 sebelunnya.tingkatkan terus pesonamu
Ida Rahma,5,
Azam Fatur,4,
luthfiana kaltsum,5,
Ahmad Rizqi,5,tiket masih 20RB
Hartoyo,3,
Anak Seribu,5,Kebersihan lingkungan tolong lebih di perhatikan
Rois Sidiq,5,
Marsiyatun,4,Bagus sekarang
Kila Azka,4,"Panassss bgt, tempat yg teduh sedikit. biaya masuk nya terhitung mahal....25k/org blm parkirnya 5k."
Bakso gm Wonogiri,4,"Tingkatkan kebersihan dll, kandang2 kelihatan ga keurus, klo bisa tambah lgi wahanya"
IWAN SANUSI,4,Pemeliharaan perlu lebih di tingkatkan
agus salam,5,
dhity natalia,3,Kalo di itung tuh ke tempat ini naik transportasi umum emang murah cuma naik BST 4000 trus angkut kecil 10.000 tapi nunggu BST buat balik ke solo kalo mau duduk ya biasanya harus nunggu bis ke 2 karena rame bgt. Trus angkut kecilnya nunggu …
Amin Nurhidayat,2,"Pengelola kalau tidak bisa mengontrol pengunjung untuk tidak buang sampah sembarangan, tolong diperbanyak petugas lebersihannya!"
Tyo Yudi,5,
TRi_S,4,Tempat wisata waduk yg luas dan yg pengen naik perahu dan speedboard
Andy N Chaniago,5,
Beny Ainun Najib,5,
Mino Purwanto,5,"Tiket masuk 25rb hari lebaran murah lumayan buat education anak soalnya ada satwanya juga ,yg terbaru jembatan kaca bagus, tapi sayang water boom nya bangkrut coba klo masih ada pasti paket komplit bisa berenang lihat satwa plus jembatan kaca"
