nama,rating,isi_review
Sugiyanto Syadziliyah,5,"Ngur-uri
Budaya leluhur
Kunjungi leluhur"
Hermadi,5,Tempat makam Kanjeng Gusti Pangeran Adipati Arya (KGPAA) Mangkunegoro VI (Raja Kadipaten Mangkunegaran) beserta keluarga dan abdi dalemnya. Konon renovasi makam diarsiteki oleh Ir. Soekarno (1927) yang kemudian (1945) menjadi Presiden I RI. …
Jepro samudra Wisnuatmaja,3,
Panduaji Panditatwa,5,"Tempat yang menenangkan dan damai, cocok untuk berhenti sejenak dari hari sibuk dan kembali berbisnis."
Isa Kira,5,
"AllooH Continuum 1,618 Frequency Earth 61 power",5,
Adi Saputra,5,
Tegoeh Pambudi,5,Satu-satunya Makam penguasa puri Mangkunegaran yang berada di tengah kota
Rio Mahendra,5,
Catur Maulana,5,"Penjaganya ramah dan komunikatif , parkir bisa di masjid sebelahnya"
rendro setyoko,5,
Pak Bekti,5,Makam keluarga Mangkunegaran dan kerabatnya bersih. Sering di pakai wisata relegie...
Maulana SR,5,Nenek Mangkunagaran yang ke 6 lahir dengan nama Raden Mas Suyitno
X connan777,5,
Hariyadi Wibowo,5,
Gunawan Sri Haryono,5,Astana Oetara atau Astana Nayu merupakan makam KGPAA Mangkunegara VI. Satu-satunya Adipati Mangkunegara yang dimakamkan di luar Astana Mengadeg dan Girilayu Matesih.
Mamen Cycling,4,
Raihan S.A,5,👍👍👍👍 …
Arifatun Nisaa,5,Mencari sejarah leluhur
Febriyanto Arifin,5,"Salah satu tempat cagar budaya di solo, makam raja mataran."
Harry Kurniawan,5,sejarah budaya jawa yg harus dilestarikan
SL AE,5,Makam KGPAA MANGKUNEGARA VI berserta para kerabat. Tempat yang berbeda dan penting untuk dikunjungi.
Adi Wahyu Pribadi,4,"makam Raja Pura Mangkunegaran, Kanjeng Gusti Pangeran Adipati Arya (KGPAA) Mangkunegoro VI, keluarga dan abdi dalemnya. …"
Zaskya Wahyu Saputri,5,
Arya Dhiratara,5,
